"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Cichorioideae","Polygonum aviculare-type","Thalictrum","Apiaceae","Asteroideae","Brassica-type","Olea","Carduus-type","Cirsium/Gundelia","Matricaria-type","Glaux","Dryopteris-type","Cyperaceae","Centaurea solstitialis-type","Quercus coccifera-type","Cedrus","Cladium mariscus","Sparganium-type","Quercus cerris-type","Unknown","Amaranthaceae","Poaceae","Artemisia herba-alba-type","Pinus","Castanea","Plantago lanceolata-type","Juniperus","Scorzonera-type","Poaceae (Cerealia-type)","Euphorbia","Geranium","Potentilla-type","Acer","Fabaceae","Delphinium-type","Artemisia vulgaris-type","Capsella-type","Thymus/Mentha","Apium-type","Centaurea cyanus-type","Matthiola","Caryophyllaceae","Beta","Noaea-type","Corylus","Typha latifolia","Alnus","Sanguisorba-type","Carpinus betulus","Armeria/Limonium","Ostrya/Carpinus orientalis","Plantago coronopus-type","Plantago maritima-type","Utricularia","Equisetum","Brassicaceae","Filipendula","Phillyrea","Galium-type","Spergularia-type","Pseudopediastrum boryanum","Paronychia-type","Plantago undiff.","Ranunculaceae","Malva","Scrophularia/Verbascum","Ranunculus sect. Batrachium-type","Nymphaea","Stachys-type","Senecio-type","Tilia","Centaurea jacea-type","Rosaceae","Ophioglossum","Cousinia","Picea","Ephedra distachya-type","Rumex hydrolapathum","Myriophyllum spicatum/M. verticillatum","Allium","Fagus","Vitis","Lythrum","Plumbaginaceae","Ephedra fragilis-type","Bunium-type","Betula","Theligonum","Filago-type","Sanicula-type","Turgenia-type","Rumex subg. Emex","Ulmus","Calystegia","Valerianella","Halothamnus-type","Ferula-type","Berberidaceae","Psylliostachys spicata","Pistacia","Ranunculus sceleratus-type","Pediastrum duplex","Nuphar","Anemone","Nigella","Salix","Hippophaë","Convolvulus","Rumex patientia-type","Pimpinella-type","Rhamnaceae","Tamarix","Ericaceae","Asperula-type","Malabaila","Datisca","Arctium/Jurinea","Leontice leontopetalum","Sphagnum","Helianthemum","Eryngium-type","Rumex cyprius-type","Sanguisorba officinalis","Centaurea scabiosa-type","Nitraria","Alisma","Teucrium","Urtica","Frankenia hirsuta-type","Butomus umbellatus","Vicia-type","Lotus-type","Linum","Scabiosa","Ranunculus asiaticus-type","Aquilegia-type","Halogeton","Hammada-type","Buxus","Rumex acetosa-type","Atraphaxis","Chenopodium/Thalictrum","Solanum nigrum","Viola","Plantago cf. P. crassifolia","Echinops","Clematis-type","Echium-type","Polygonaceae","Plantago ovata-type"
9338,9723,8990,230,NA,4,NA,1,3,3,1,NA,NA,1,23,NA,14,5,6,3,2,NA,24,142,6,221,108,117,8,NA,NA,5,NA,1,NA,NA,NA,2,NA,NA,1,3,NA,NA,NA,NA,3,NA,1,NA,4,1,NA,NA,3,2,1,NA,NA,1,NA,1,NA,1,NA,NA,3,NA,2,NA,NA,1,1,NA,7,NA,NA,NA,NA,6,NA,1,NA,20,1,1,1,1,1,3,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9715,10057,9399,240,NA,4,NA,3,15,6,3,NA,1,2,34,NA,18,11,4,7,NA,NA,47,247,12,328,96,231,11,NA,NA,5,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,8,NA,3,5,NA,8,2,1,3,5,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,2,21,NA,NA,NA,NA,12,NA,1,NA,16,NA,NA,2,NA,NA,1,NA,30,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10093,10397,9809,250,NA,NA,NA,NA,NA,2,NA,NA,1,1,14,NA,14,5,2,3,2,NA,26,104,4,172,177,71,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,4,2,2,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,4,NA,NA,NA,27,NA,NA,NA,NA,NA,4,2,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10470,10742,10214,260,NA,NA,NA,5,2,NA,1,NA,NA,NA,6,NA,3,21,1,NA,1,NA,73,51,11,177,227,56,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8,1,2,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,1,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,3,NA,6,NA,261,NA,NA,1,NA,NA,2,NA,14,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10848,11096,10615,270,NA,7,1,6,8,3,1,NA,1,NA,7,NA,5,33,NA,NA,3,NA,69,41,11,129,299,55,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,6,3,5,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,17,2,NA,NA,2,NA,2,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,13,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11226,11454,11009,280,NA,3,NA,1,5,1,5,NA,NA,NA,9,NA,6,37,NA,NA,2,NA,69,4,20,151,288,71,2,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,1,NA,80,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,3,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11603,11819,11400,290,NA,4,1,4,NA,1,NA,NA,1,NA,6,NA,6,25,2,1,3,NA,34,22,25,177,253,136,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,1,NA,5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,1,NA,2,2,107,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,3,11,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11943,12159,11750,299,NA,4,NA,3,1,3,1,NA,NA,NA,4,NA,11,12,3,NA,1,NA,44,28,17,160,182,178,5,NA,1,1,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,2,NA,NA,NA,NA,NA,1,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12358,12586,12167,310,NA,6,NA,2,1,5,5,NA,NA,NA,1,NA,5,31,1,NA,2,NA,21,40,27,228,182,226,3,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,9,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,49,8,NA,2,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,9,NA,14,NA,NA,NA,NA,NA,1,2,109,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,3,28,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12736,12986,12536,320,NA,2,NA,2,1,2,1,NA,NA,NA,4,NA,3,17,1,NA,1,NA,17,35,9,223,174,213,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,168,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,1,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12897,13146,12698,330,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,2,NA,13,24,3,187,142,132,3,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,57,3,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13004,13245,12803,340,NA,3,1,2,NA,2,1,NA,NA,NA,6,NA,NA,11,NA,1,1,NA,28,35,14,282,196,235,6,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,1,300,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13112,13346,12902,350,NA,1,1,1,NA,NA,NA,NA,NA,NA,10,NA,NA,6,2,NA,NA,NA,17,66,1,395,106,269,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13219,13455,13001,360,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,7,NA,NA,1,NA,22,21,2,114,175,44,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,58,3,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13326,13566,13098,370,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,4,NA,4,9,3,26,58,12,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13433,13680,13195,380,NA,2,3,NA,1,NA,NA,NA,1,NA,8,NA,NA,14,2,5,2,NA,41,41,4,345,209,83,10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,4,3,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
