"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Plantago lanceolata-type","Galium-type","Convolvulus","Brassica-type","Myriophyllum spicatum/M. verticillatum","Caryophyllaceae","Butomus umbellatus","Artemisia","Poaceae","Quercus cerris-type","Juniperus","Centaurea solstitialis-type","Cichorioideae","Ranunculus peltatus-type","Asteroideae","Cedrus","Cyperaceae","Amaranthaceae","Sparganium-type","Pinus","Thalictrum","Poaceae (Cerealia-type)","Matricaria-type","Ostrya/Carpinus orientalis","Ranunculus repens-type","Nymphaea","Quercus coccifera-type","Polygonum aviculare-type","Apiaceae","Fabaceae","Centaurea cyanus-type","Cirsium/Gundelia","Urtica dioica-type","Dryopteris-type","Betula","Thymus/Mentha","Viburnum-type","Asphodeline","Isoëtes","Taxus","Poterium sanguisorba","Lomelosia rotata-type","Sphagnum","Abies","Corylus","Picea","Potentilla-type","Alnus","Persicaria maculosa-type","Delphinium-type","Centaurea scabiosa-type","Loranthus","Haplophyllum","Onopordum-type","Turgenia-type","Pteridium","Juglans","Ericaceae","Typha latifolia","Rumex acetosa-type","Senecio-type","Valerianella","Ranunculus arvensis-type","Malabaila","Cladium mariscus","Dipsacus-type","Scorzonera-type","Salix","Carya","Geranium","Humulus/Cannabis","Cousinia","Arctium/Jurinea","Vitis","Malva","Ephedra distachya-type","Datisca","Pteris","Ephedra fragilis-type","Tilia","Acer","Olea","Ulmus","Botrychium","Lycopodium","Pseudopediastrum boryanum","Anemone","Antirrhinum/Linaria","Euphorbia","Allium","Lythrum","Vicia-type","Cheilanthes","Oleaceae","Scrophulariaceae","Carpinus betulus","Theligonum","Cistus","Fraxinus excelsior","Pimpinella-type","Ferula-type","Menyanthes trifoliata","Liliaceae","Ononis-type","Teucrium","Aesculus","Stachys-type","Potamogeton","Noaea-type","Fraxinus ornus","Xanthium","Bupleurum-type","Sambucus nigra-type","Bunium-type","Polypodium","Alisma","Filipendula","Fagus","Castanea","Halothamnus-type","Arceuthobium oxycedri","Fagopyrum","Chrysosplenium","Lemna","Rhinanthus-type","Plantago media-type","Hippuris","Rubus","Campanula-type","Crataegus-type","Nigella","Pterocarya","Armeria/Limonium","Calligonum","Lomelosia olivieri","Mercurialis annua","Plantaginaceae","Hypericum hirtellum var. assyriacum-type","Capsella-type","Hippophaë","Prosopis","Rosaceae","Helianthemum","Caltha","Hypericum perforatum-type","Asparagus-type","Scilla-type","Ranunculus sceleratus-type"
1490,1758,1217,105,7,NA,NA,NA,2,NA,NA,3,16,1,NA,16,23,NA,14,15,44,2,17,371,NA,2,1,NA,NA,NA,1,3,4,1,NA,7,NA,NA,1,NA,NA,2,NA,NA,NA,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1632,1876,1381,115,9,3,NA,4,1,1,NA,4,28,3,NA,14,18,NA,20,25,28,5,16,379,NA,7,2,NA,NA,NA,1,8,1,NA,NA,7,1,2,NA,NA,NA,1,NA,1,2,3,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1774,1995,1544,125,17,1,NA,7,1,1,NA,14,28,11,NA,21,37,NA,19,33,61,3,7,373,NA,18,4,NA,NA,NA,2,7,3,NA,NA,20,2,2,1,NA,NA,1,NA,NA,1,2,NA,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,2116,1707,135,2,NA,1,1,NA,5,NA,7,17,13,NA,38,96,NA,15,11,28,15,8,172,NA,11,2,2,NA,2,2,14,2,NA,1,11,1,3,10,NA,NA,NA,NA,NA,1,1,2,NA,6,NA,NA,17,NA,NA,1,1,NA,1,1,5,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2059,2238,1868,145,81,10,2,29,21,17,NA,40,130,21,1,50,71,8,30,20,129,21,22,208,NA,71,25,NA,4,17,3,36,5,6,2,17,NA,4,18,3,NA,NA,NA,NA,9,15,7,NA,4,NA,NA,10,NA,NA,5,NA,NA,3,2,7,14,NA,9,NA,5,1,2,3,1,NA,3,NA,NA,1,2,8,NA,1,NA,NA,1,1,2,NA,NA,7,2,1,NA,1,NA,NA,11,NA,NA,NA,NA,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201,2364,2028,155,24,3,2,6,54,5,NA,54,53,23,3,12,4,21,12,10,90,12,5,50,NA,17,9,NA,2,34,9,11,4,2,2,8,NA,2,6,NA,NA,NA,NA,NA,3,2,3,NA,1,NA,NA,4,NA,NA,2,NA,NA,NA,2,3,4,NA,3,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,4,1,NA,3,NA,1,NA,3,NA,NA,NA,8,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2343,2494,2188,165,24,5,NA,14,238,5,NA,41,104,22,1,19,11,39,6,11,206,20,8,63,NA,10,8,2,1,96,11,7,3,1,2,5,NA,4,1,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,1,NA,1,8,NA,1,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,1,NA,2,NA,NA,NA,NA,3,NA,NA,10,1,NA,NA,1,NA,3,1,1,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,2,NA,3,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2414,2560,2268,170,13,5,1,18,238,7,NA,28,199,23,NA,13,18,104,NA,4,438,14,5,122,NA,27,11,NA,NA,218,19,9,NA,NA,NA,1,NA,4,1,NA,NA,1,NA,NA,7,1,2,NA,2,NA,NA,3,NA,NA,1,NA,NA,1,NA,6,16,NA,2,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,8,1,NA,1,NA,NA,NA,NA,1,NA,NA,17,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,28,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2485,2629,2348,175,10,3,1,14,33,1,NA,34,465,25,2,22,7,183,NA,5,453,7,6,61,NA,9,7,NA,NA,130,20,4,4,NA,2,2,NA,5,NA,2,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,1,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2557,2696,2425,180,14,5,NA,13,112,1,NA,40,275,34,6,12,9,119,5,8,814,14,30,103,NA,10,4,NA,1,224,28,1,3,1,1,2,NA,2,NA,NA,NA,NA,3,NA,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,19,NA,NA,1,NA,NA,NA,NA,10,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,1,NA,1,NA,NA,17,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,13,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2628,2766,2501,185,4,2,NA,9,123,2,NA,33,43,44,7,8,12,44,5,15,196,15,29,179,NA,4,7,NA,NA,52,20,3,3,2,1,5,NA,2,NA,3,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,7,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,24,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2699,2836,2574,190,21,2,NA,8,24,1,1,60,56,70,16,22,4,47,6,27,300,24,35,225,NA,8,9,1,NA,65,47,1,2,3,NA,3,NA,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,3,14,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,3,NA,NA,22,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2770,2907,2646,195,3,1,NA,7,16,1,NA,37,52,41,20,10,7,46,NA,14,226,20,46,154,NA,6,9,NA,1,55,22,NA,2,1,NA,2,NA,3,NA,1,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,2,NA,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2912,3048,2784,205,1,8,NA,3,NA,2,1,36,511,55,15,5,7,13,3,8,266,62,102,160,NA,5,8,NA,NA,22,23,1,5,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3489,3520,3460,220,2,2,NA,NA,NA,NA,NA,14,76,62,19,5,1,6,1,25,108,3,74,323,NA,2,NA,NA,NA,1,5,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4393,4426,4363,235,1,2,NA,1,NA,NA,NA,22,281,172,101,5,NA,39,4,15,70,9,105,143,NA,10,5,NA,NA,12,12,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4991,5040,4947,245,3,5,NA,2,8,NA,NA,23,598,216,50,8,2,15,3,14,79,11,258,160,NA,4,6,NA,NA,44,10,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
