Depth,Radiocarbon years BP,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,Abies,Acer,Alisma,Alnus,Artemisia,Asteraceae,Betula,Brassicaceae,Callitriche,Carpinus,Caryophyllaceae,Centaurea,Centaurea cyanus,Chenopodium,Cistaceae,Consolida,Corylus,Corylus-type,Cyperaceae,Ericaceae,Fabaceae,Fagus,Fraxinus ornus,Jasione,Juniperus,Lamiaceae,Myriophyllum,Nuphar,Nymphaea,Olea,Ostrya,Phillyrea,Pinus,Pistacia,Plantago,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonum,Potamogeton,Quercus,Quercus coccifera,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sarcopoterium,Sparganium,Taxus,Thalictrum,Tilia,Typha,Ulmus,Utricularia,Vitis,cf. Cannabaceae,cf. Cirsium,cf. Hottonia,cf. Liliaceae,cf. Primulaceae,cf. Rhamnaceae,cf. Scrophulariaceae,cf. Solanaceae,cf. Urtica
412,--/10278/--,12013/11211/10511,,,,,11,17,,3,,,,2,,14,,,,,17,,,,,,36,,,,,,,,12,1,,,37,,,,48,1,,,3,,1,1,6,,7,,,1,,,,,,,,,,,
418,--/10433/--,12200/11370/10643,,,4,,27,18,1,,,,,8,,44,,,,,12,,1,,,,61,,2,,,,3,,18,,2,,108,,,,67,3,,1,7,1,,1,14,,2,,,,,,,,,,,,,,
425,--/10613/--,12419/11556/10798,,,,,16,5,,,,,,8,,24,,,,,13,,,,,,17,,2,,,,,,12,,,,69,,,,33,,,,7,,1,,20,,1,,,,,,,,,,,,,,
431,--/10768/--,12606/11715/10931,,,,2,10,12,2,3,,,3,4,,17,,,,,5,,1,,,,,,1,,,,,,19,,,,88,,,,8,23,,,4,,,,18,,,,,,,,,,,,,,,,
437,--/10923/--,12794/11874/11063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
456,--/11412/--,13387/12379/11481,,,,,,1,1,1,,3,,,,44,,,,,4,,,,,,3,,,,,,,,6,,,,85,1,,9,9,3,6,,2,,,,295,,,,2,,,,,,,,,1,,,
481,--/12056/--,14169/13042/12032,,1,,,35,7,1,4,,,,1,,67,,,,,7,,,,,,,,1,,,,,,12,,1,,72,,,,5,1,1,,7,,,1,88,,1,,1,,,,,,,,,,,,1
516,--/12958/--,15265/13971/12802,1,,,,22,14,1,2,,,2,3,,25,1,1,,,4,,,,,,,,,,,,,,52,,,,62,,,,11,3,,,6,,1,1,4,,,,,,,,,,,,,,,,
558,--/14040/--,16582/15086/13726,,1,,,14,14,1,9,,,2,3,,16,,,,,12,,,,,,21,,1,1,2,,,,22,,,,39,18,,2,11,,,,5,1,5,1,8,,1,,,,,,,,,,,,,,
583,--/14685/--,17366/15750/14276,,,,,8,16,,4,,,4,2,,30,,1,,,6,,,,,,6,,1,1,,,,,28,,,,78,,,,4,,,,13,,2,,6,,,,,,,,,,,,,1,,,
633,--/15973/--,18935/17077/15376,,1,,,14,2,1,1,2,,2,,,34,,,,,8,,,,,,,,1,1,,,,,51,,,,78,,1,,6,1,4,,5,1,2,,10,,,,,,,,,2,,,,,,,
681,--/17210/--,20443/18351/16433,,,,,18,7,1,1,,,,2,,25,,,,,8,,,,,,,,,,,,,,21,,1,,27,,,,3,2,,,3,,,,7,,,,,,,,,,,,,,,,
708,--/17906/--,21290/19068/17026,,1,,,18,6,,4,,,1,1,,17,,,,,10,,,,,,20,,,,,,,,7,1,2,,41,7,,3,3,1,1,,4,,3,2,9,1,,,1,,,,,,,,,2,1,,
741,--/18756/--,22326/19944/17752,,,,1,14,13,,3,,,3,1,,39,,2,,,4,,1,,,,4,,3,3,,,,,9,,,1,64,1,,,13,1,,1,4,,1,,8,,,,,,,,,,,,,,,,
783,--/19838/--,23645/21059/18676,,,,,24,8,2,3,,,11,,,27,,,,,6,,,,,,,,2,2,,,,,37,,,,53,,,,9,1,2,,6,,1,,3,,,,,,,,,,,,,,,,
833,--/21127/--,25215/22386/19776,1,,,,16,4,3,,,,4,,,36,,,,,7,,,,,,,,1,1,,,,,21,,2,,79,,,,3,,1,,11,,1,,7,,,,,,,,,,,,,,,,
933,--/23703/--,28356/25040/21975,,,,,16,9,,,,,3,,,42,,,,,9,,,,,,,,,,,,,,1,,,,110,,,,1,5,,,4,,,,15,,2,,,,,,,,,,,,,,
1033,--/26280/--,31496/27695/24174,,,,,36,11,,,,,2,,,40,,,,,10,,,,,,,,2,2,,,,,27,,1,,86,1,,,19,1,,,5,,1,,19,,,,,,,,,,,,,,,,
1083,--/27569/--,33065/29022/25272,2,,,,23,7,,8,,,8,4,,28,,1,,,6,,,,,,,,,,,,,,27,,,,48,,,,,10,1,,10,,,,2,,,,,,,,,,,,3,2,,,
