Depth,Calendar years BP,Foraminiferatest,Lycopodium spikecounted,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acacia,Acer,Achillea-type,Alisma,Allium,Alnus,Amaranthaceae,Anogramma leptophyllaspore,Anthoceros laevisspore,Anthoceros punctatusspore,Apiaceae undiff.,Apium,Arbutus,Arceuthobium oxycedri,Arctium,Artemisia,Asparagus,Asphodelus albus-type,Asplenium-typespore,Aster-type,Astragalus-type,Betula,Borago,Botryococcuscolony,Brassicaceae,Buxus,Callitriche,Campanula-type,Cannabis,Carduus-type,Carlina,Carpinus betulus,Carthamus-type,Caryophyllaceae undiff.,Castanea,Celtis,Centaurea cyanus-type,Centaurea nigra-type,Centaurium,Centranthus,Cerastium-type,Ceratonia,Ceratophyllumspine,Cercophora-typespore,Chaerophyllum temulum-type,Chamaerops,Cheilanthesspore,Cichorioideae,Cistus,Citrus,Cladium mariscus,Coelastrum reticulatumpalynomorph,Colchicum,Coniochaetaspore,Convolvulus-type,Cornus sanguinea,Corrigiola litoralis,Corydalis,Corylus,Crocus,Cuscuta,Cyclamen hederifolium,Cynoglossum officinale-type,Cyperaceae,Cyperus-type,Daucus,Delitschiaspore,Dinoflagellatacyst,Dioscorea,Dryopteris filix-mas-typespore,Echium,Ephedra,Equisetumspore,Erica-type,Eryngium,Eucalyptus,Euphorbia,Euphrasia,Fabaceae undiff.,Fagus,Falcaria-type,Ficus carica,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus ornus-type,Fumaria,Galium-type,Gelasinosporaspore,Genista-type,Gentianaceae,Geranium,Glaucium,Glomusspore,Hedera helix,Helianthemum,Herniaria,Hippophaë,Humulus,Hypericum,Iris pseudacorus-type,Isoëtesspore,Juglans,Juncaceae,Juniperus-type,Knautia,Lamiaceae,Lavandula-type,Lavatera,Liliaceae undiff.,Limonium,Linaria,Linum,Linum catharticum-type,Listera-type,Lotus,Lygeum spartum,Lysimachia vulgaris-type,Lythrum,Lythrum portula,Malva-type,Matthiola-type,Mentha-type,Mercurialis annua,Morus,Mougeotiapalynomorph,Myriophyllum alterniflorum,Myriophyllum spicatum,Myrtus,Neurosporaspore,Nymphaea,Nymphaeahair,Odontites-type,Oenanthe,Olea,Ophioglossum lusitanicumspore,Orlaya,Ornithogalum-type,Ornithopus,Osmundaspore,Ostrya/Carpinus orientalis-type,Papaver,Paronychia-type,Pediastrumcolony,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Phlomis,Picea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polypodiumspore,Polystichumspore,Populus,Potamogeton-type,Potentilla-type,Primula clusiana-type,Prunus-type,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Pteridophyta (trilete) undiff.spore,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Radiola linoides,Ranunculus acris-type,Ranunculus aquatilis,Reseda,Ricciaspore,Rosa,Rosaceae,Rubus,Rumex acetosa-type,Rumex acetosella-type,Ruppia,Salix,Salsola-type,Sambucus,Sanguisorba minor-type,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scrophulariaceae,Scutellaria-type,Sedum-type,Selaginella denticulataspore,Senecio-type,Silene dioica-type,Silene vulgaris-type,Sinapis-type,Smilax,Solanum dulcamara,Solanum nigrum-type,Sorbus,Spergula-type,Spiniferitesspore,Spirogyrapalynomorph,Sporormiellaspore,Stachys-type,Styrax,Tamarix,Taxus,Tetraëdronpalynomorph,Teucrium,Thalictrum,Theligonum cynocrambe,Thymelaeaceae,Tilia,Trifolium pratense-type,Trifolium repens-type,Typha/Sparganium-type,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Ustulina deustaspore,Utricularia,Valeriana,Valerianella,Verbascum-type,Veronica-type,Vicia-type,Vitex,Vitis,Zygnema-typezygospore
110,--/120/--,,861,62545,1,,,,2,,1,5,9,,2,,,,1,,,6,2,,,4,,,,35,4,,,,,2,,,,1,,,1,,,,,,192,2,,,,34,27,,,,3,1,,,,,,,,,,67,,,,10,,,,2,,33,2,,,,,,,,11,,1,,,1,,2,,,,1,,1,,,,3,,19,2,,35,,4,,,,,1,,,,,,,,,,,1,,,,,57,2,,,,,,35,,2,,,,,1,,,,,1,,,,21,31,,44,3,,,60,13,,,,3,,,,,,3,2,,57,12,3,,2,2,,,,,,4,4,,,1,,,,,,,,,7,,,,,,,,,,,,12,6,,6,,,2,1,,,,,,2,,,,,,,,1,2,,,4,
120,--/137/--,,403,62545,1,,,,1,,3,,7,,1,,,,,,5,6,,,,2,,,,38,7,,,,,2,,,,,1,,,,,,,1,605,16,,2,,30,40,,,,,31,1,,,,,,,,,42,,,3,13,,,,,,92,1,,2,,,,1,,8,,,,,,,2,,1,1,2,,3,,,,1,,16,,,33,,1,,,2,,,,,,6,,,,,,,1,,,,,,1,,,,,,38,1,,,,,2,1,,,,,1,,,,7,32,,12,,1,,34,5,,1,,1,6,,,,,1,,,47,7,4,,3,5,,,,,,4,2,,,2,1,,,,1,,,1,2,,,,,,,,,,1,,50,10,1,1,,3,4,,,,,,,4,,4,,,,,,,1,,3,1,2
130,--/153/--,,580,62545,1,,,,4,,,10,4,1,1,,,,,,1,15,,,,1,,3,,52,5,,,,,1,,,,,,2,,,,,,,940,4,,,,17,13,,,,,1,,,,,3,,,,,38,,,,84,,,,,,29,,,,,2,1,,,4,,3,,2,,,,,,,,,1,,,,4,,4,,,36,,6,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,33,,1,,,,1,,,,,,,,,,9,83,1,12,1,5,,52,10,,,,2,,,,,,1,1,,59,6,2,,2,2,,,1,,,18,14,,1,7,,,2,,,,,,1,,,,1,,,,,,,,12,8,,5,,,2,,,,,,,7,,,2,,,,,,1,,,,
140,--/170/--,,507,62545,1,,,,2,,,3,4,,,,1,,1,,,10,,,,1,,,,34,9,1,1,,1,,,,,,,,,,,,,,566,,,,,10,7,,,,,1,,,,,,,,,,47,,,,48,,,,,,33,1,,,1,2,,,,11,,1,,1,,,,,,,,,1,,,,1,,1,1,,33,,2,,,,,1,,,,4,,,,,,1,1,1,,,,1,1,,,,,,47,,,,,,2,,,,,,8,,,,8,24,,,,,,22,5,,,,5,,,,,,1,2,,159,31,4,,5,3,,,,,,2,2,,1,2,1,,1,,,,,,,,,,,,,,,,,,7,11,,7,,,,,,,,,,,2,5,,,,,,,,,1,1,
150,--/213/--,,614,62545,1,,,,4,,,4,,,,,,,2,,1,9,,,,3,,1,,38,12,,,,,,,,,,,,,,,,,,783,1,,2,,9,9,,,,,,,,,,1,,,,,58,,,,34,,,,,,37,,,,,1,,,,7,,2,,,,,,,1,,3,,1,,,,,,8,,,37,,2,,,,,1,,,,5,,,,,,,,1,,,,,,,,,,,34,,,,,,2,,,2,,,5,,,,7,34,2,3,,2,,37,5,,,,1,2,,,,,,,,139,25,6,,2,3,,,,,,5,7,,1,3,,,1,,,,,,,,,,1,,,,,,,,12,13,,3,,,1,,1,,,,,1,2,4,,,,,,,,1,,4,
160,--/259/--,,584,62545,1,,,,4,,1,2,5,,,,,,,,1,12,,,,14,,1,,33,7,,,,,,,,,,,,,,,,,,572,2,,3,,12,4,,,,,,,,,,1,,,,,56,,,1,81,,,,,,32,1,,,,,1,,,3,1,,,,,,,,,2,,,,,,,1,,5,,,64,,2,1,,1,,3,,,,1,,,,,,,,,,,,,1,,,,,,27,,,,,,4,,,,,,6,,,,8,27,2,6,,,,32,2,,,,1,4,,,1,,,,,131,30,4,,2,4,,,,,2,4,13,,1,1,,1,,,,,,,2,,,,,,,,,,,,2,5,,3,,,6,,1,,,,,3,,8,1,,,,,,,,,,
170,--/306/--,,633,62545,1,,,,4,,,3,8,,,,,,,,,8,,,2,8,,1,,236,5,,,,,1,,,,1,1,,,,,,,,699,2,,2,,7,7,,,,,8,1,,,,,,,,,72,,,,35,,,,,,26,,,,,,1,1,,4,,7,,,,,10,,,,1,,3,,,,1,,10,1,,37,,1,,,1,,,2,,,3,,,,,,1,2,1,,,,,1,,,,,,31,,,,,,3,,,1,,,11,,,,11,67,,6,,,,31,8,,,,1,4,,,,,,,,98,11,17,,4,9,,,,,,10,8,3,,3,,,,,,,,,,,,,2,,,,1,,,13,14,12,,2,1,,4,1,,,,,,5,1,12,1,,,,,,2,,,2,3
180,--/352/--,,880,62545,1,,,,6,,,3,10,,,,,,1,,1,5,,,,6,,1,,105,6,1,,,,3,,,,,,,,,,,,,655,1,,,,10,5,1,,,,,,,,,2,,,,,49,,,,71,,,,,,41,,,,,,,,,,,5,,,1,,2,,,,2,,3,,,,1,,8,1,,44,,3,,,,,1,,,,6,,,,,,1,3,,,,,,,,,,,,31,,,,,,2,,,3,,,2,,,,11,24,1,9,,,,33,3,,,,1,2,,,,,1,,,136,24,4,,1,1,,,,,,6,7,,2,2,,,,,,,,,,,,,,,,,,,,,4,15,,7,,,3,,,,,,,9,,8,,,,,,,3,,,1,
190,--/398/--,,586,62545,1,,,,2,,,4,13,,,,,,1,,1,10,,,,4,,,,139,6,,,,,3,,,,2,,,,,,,,,1077,3,,2,,9,4,,,,,,,,,,,,,,,72,,,1,40,,,,,,33,,,,,,1,,,2,,3,,,,,,,,2,1,,,,,,3,,,,,44,,3,,,1,,,,,,4,,,,,,,1,,,,,,,,,,,,33,,1,,,,,1,,1,,,5,,,,5,46,1,5,,,,56,4,,,,1,2,,,,,1,,,122,22,5,,,1,,,,,1,4,9,,1,,,,,,,,,,2,,,,1,,,,,,,,8,14,,1,,,2,,,,,,,1,,1,,,,,,,2,,,,
210,--/490/--,,511,62545,1,,,,5,,2,5,12,,,,,,1,,1,7,,1,1,3,,,,42,28,,,1,,,,,,1,,,,,,,,,124,1,,,,12,6,,,,,,,,,,,,,,,44,,,,58,,,,,,31,1,,,,1,1,,,4,,6,,,,,8,,,,5,,1,,,,,,2,,,40,,3,,,3,,,,,,1,,,,,,,3,,,,,,1,,,,,,27,,,,,,,,,,,,2,1,,,6,61,,17,,,,53,6,3,,,1,3,,,1,,,,,69,28,13,,,,,,1,,,2,6,,2,,,,2,,,,,1,,,,,1,,,,,,,,3,18,2,1,,,2,2,,,,,,2,,16,,,,,,,1,,3,,
220,--/537/--,,702,62545,1,,,1,3,1,2,1,1,,1,,,,3,,1,4,,1,,7,,,,126,7,,1,,2,,,,,,,,,,,,,1,752,,,,,6,6,,,,,,1,,,,1,,,,,43,,,,85,,,,,,44,,,,,,,,,,,7,,,,,19,1,,,,,4,,,,2,,2,,,22,,2,,,10,,2,,,,9,,,,,,1,,,,,,1,,,,,,,33,4,,,,,2,,,2,,,7,,,,11,66,1,5,,,2,28,9,,,,3,8,,,1,,,,,73,12,1,,3,4,,,6,,,3,7,,1,,3,,3,,1,,,,3,1,,,,,,,,,,,1,38,,5,,,6,1,,,,,,8,,4,,,,,,,3,,1,2,1
230,--/583/--,,530,62545,1,,,,,,3,11,3,,,,,,,,,4,,,,8,,2,,46,15,,1,,,,,,,,,,,,,,,,,2,,,,13,6,,,,,1,,,,,,,,,,32,,,,118,,,,1,,37,,,,,,,,1,,,3,,,,,7,,,,,,,,,,2,,4,,,38,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,24,,,,,,2,3,,,,,5,6,,,1,57,,6,,2,,43,7,,,,1,,,,,,,,,105,29,11,,6,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,2,14,2,9,,,5,3,1,,,,,,,9,1,,,,,,2,,,,
240,--/629/--,,566,62545,1,,,,6,,,4,7,1,,,,,,,1,8,,,,4,,,,50,16,1,3,,,,,,,,,,,,,,,,,,,,,5,12,,,,,,,,,,1,,,,,45,,,,127,,,,1,,29,,,,,,1,,,6,,4,,,,,4,,,,4,,1,,,,1,,1,,,26,,1,,,,,,,,,,,,,,,,2,,,,,1,1,,,,,,27,,,,,,3,1,,,,,6,3,,,6,63,,17,,2,,27,5,,,,,1,,,,,,,,115,29,7,,7,,,,,,,2,5,,4,,,,2,,,,,,,,,,,,,,,,,,4,15,1,3,,,3,2,,,,,,1,4,9,,,,,,,3,,,1,4
250,--/675/--,,402,62545,1,,,,2,,,2,8,,1,,,,,,,4,,1,,2,,,,97,25,,,,,,,,,,,,,,,,,,307,,,,,5,10,,,,,,,,,,1,,,,,30,,,,12,,,,,,53,,,,,,,,,,,1,,,,,7,,,,2,,1,,,,3,,,,,36,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,4,19,,6,,,,81,4,,,,2,,,,2,,,,,105,29,7,,6,,,,,,4,1,1,,1,,,,6,,,,,1,,,,,,,,,,,,,4,22,,3,,,11,1,,,,,,,2,3,1,,,,,,6,,,,
260,--/721/--,,505,62545,1,,,,1,,,5,7,,,,,,,,,8,,,,8,,,,100,17,2,,,,,,,,2,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,40,,,,58,,,,2,,30,,,,,,1,,,3,,5,,,,,5,,,,,,1,,,,,,,,,16,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,39,,,,,,3,6,,,,,1,1,,,6,66,,5,,,,27,2,,,,,6,,,,,,,,134,33,15,,5,,,,,,,4,6,,,1,,,3,,,,,,,,,,,,,,,,,,1,14,4,5,,,5,3,,,,,,5,1,8,,,,,,,2,,1,,
270,--/767/--,,814,62545,1,,2,,2,1,2,1,7,,,,,,,,,19,,1,1,9,,3,,582,3,,,,,1,,,1,1,,,,,,,,,278,2,,,,4,11,,,,,3,,1,,,,,,,,61,,,,40,,,,,,43,2,,,,1,1,,,8,,5,,,,,42,,,,,,,,,,,,2,,,19,,4,,,2,,,,,,11,,,,,,1,,,,,,,2,,,,,,36,,1,,,,2,1,,2,,,7,,,,8,21,2,5,,,,39,9,,,,1,2,,,,,,,,67,14,13,,6,1,,,3,,,4,9,1,3,4,,,,,,1,,2,,,,,1,,,,,,,,2,26,,5,,,5,,,,,,,,1,5,2,,,,,,,,,5,
280,--/814/--,,521,62545,1,,,,1,,,9,5,,,,,,,,,9,,,,5,,,,100,16,,,,,1,,,1,1,,,,,,,,,100,,,,,5,11,,,,,,,,,,3,,,,,20,,,,3,,,,,,43,,,,,,,,,2,,4,,,,,8,,,,,,1,,,,,,1,1,,14,,2,,,,,,,,,,,,,,,2,1,,,,,2,,,,,,,32,,,,,,5,3,,,,,4,2,,,10,48,,,,,,37,1,,,,1,2,,,,,,,,125,37,8,,,,,,,,,2,3,,3,,,,1,,,,,,,,,,,,,,,,,,,14,1,4,,,4,3,,,,,,1,,8,1,,5,,,,,,2,,
290,--/860/--,,343,62545,1,,,,1,1,,4,5,,,,,,,,,7,,,,12,,,,69,11,,,,,1,,,,,,,,,,,,,,,,,,5,12,,,,,,,,,,1,,,,,32,,,,58,,,,,,41,1,,,,,,,,1,,1,,,,,12,,,,,,1,,,,1,,,,,30,,2,,,,,,,,,,,,,,,,,2,,,,5,1,,,,,,22,,,,,,5,,,,,,6,7,,,8,54,,2,,5,,23,3,,,,,,,,,,,,,93,24,21,,4,,,,,,,2,6,,4,,,,2,,,,,,,,,,,,,,,,,,,12,1,8,,,2,1,,,,,,3,,18,,,,,,,8,,1,,
310,--/952/--,,441,62545,1,,,,,1,1,5,4,,,,,,3,,,5,,,,9,,,,532,6,,2,,1,,,,,,,,,,,,,,29,,,,,3,10,,,,,,,,,,1,,,,,49,,,,5,,,,1,,53,,,,,,4,,,,,10,,,,,1,,,,,,,,,,,,2,,,19,1,4,,,,,,1,,,4,,,,,,2,2,,,,,,1,,,,,,42,,,,,,1,,,5,,,7,,,,6,77,1,11,,,,20,6,,,,1,4,,,,,1,,,108,12,19,,4,1,,,,,,2,4,,,1,,,,,,,,,,,,,1,,,,,,,,2,16,,10,,,2,,,,,,,,1,1,,,,,,,1,,,,
320,--/998/--,,757,62545,1,,,1,3,7,,4,8,,2,,,,6,,,7,,4,,9,,1,,110,4,,4,,,1,,,,,,,,,,,,,114,1,,1,,10,7,1,,,,,,,,,1,3,,,,46,,,,7,2,,,,1,23,,,,,,,,,3,,5,,1,,,36,1,2,,1,,1,,,,2,,2,,,12,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,39,,,1,,,3,1,,17,,,1,2,,,2,49,1,8,,,,50,5,1,,,2,3,,,,,,,,70,13,27,,10,,,,1,,,1,5,,1,2,,,,,4,4,,,,3,,,1,,,,1,,,,1,12,,6,,,,3,,,,,,,1,,,,,,,,5,,1,1,3
330,--/1045/--,,408,62545,1,,,,2,,2,3,7,,,,,,1,,,8,,1,,11,,1,,100,11,,,,,1,,,,,,,,,,,,,206,2,,,,14,13,,,,,,1,,,,3,,,,,52,,,,39,,,,,1,23,1,,1,,,,,,3,,6,,,,,6,,,,,,,,,,1,,1,,,15,,,,,2,,,,,,,,,,,,,,,,,,1,1,,,,,,35,,,,,,2,5,,3,,,7,3,,,7,42,,7,,,,70,5,,,,2,,,,3,,2,,,78,21,18,,12,,,,,,4,4,2,,2,,,,1,,,,,,,,,,1,,,,,,,,3,14,,6,,,4,4,,,,,,4,1,1,,,,,,,1,,1,,
