Depth,Calo et al. (2013)Calendar years BP,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ammi-type,Anogramma leptophyllaspore,Anthemis-type,Anthoceros laevisspore,Anthoceros punctatusspore,Anthriscus sylvestris-type,Apiaceae,Arbutus,Arnoseris,Artemisia,Asparagus,Asplenium-typespore,Aster-type,Asteroideae,Astragalus-type,Berberis,Betula,Botrychiumspore,Botryococcuscolony,Brassicaceae,Bupleurum,Calendula,Caltha-type,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Cedrus,Celtis australis,Centaurea nigra-type,Centaurium,Cerastium-type,Ceratonia siliqua,Cercophora-typespore,Cheilanthes-typespore,Cichorioideae,Cistus,Corylus avellana,Crataegus-type,Cuscuta,Cyperaceae,Cyperus-type,Daphne,Daucus,Diporothecaspore,Dryopteris filix-mas-typespore,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica arborea-type,Erodium,Euphorbia,Fabaceae,Ficus carica,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Glomusspore,Gnaphalium-type,Helianthemum,Heliotropium,Herniaria-type,Hypericum perforatum-type,Jasione,Juglans regia,Juniperusstomate,Juniperus-type,Lamiaceae,Ligustrum,Liliaceae-type,Limonium,Linaria-type,Lithospermum officinale,Lonicera,Lotus-type,Lythrum portula,Malvaceae,Matthiola-type,Mentha-type,Mercurialis annua,Microthyriumspore,Microthyriumfruit body,Morus,Myrtus communis,Odontites-type,Olea,Ononis-type,Ophioglossum lusitanicumspore,Ornithopus,Ostrya-type,Paronychia-type,Phillyrea,Phlomis,Picea,Pinus,Pinusstomate,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Potamogeton-type,Potentilla-type,Prunus-type,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda,Rhamnus,Rhinanthus,Rhus,Ricciaspore,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex-type,Sagina,Salix,Sambucus nigra,Scabiosa,Sedum-type,Selaginella denticulataspore,Senecio-type,Silene dioica-type,Silene vulgaris-type,Silenoideae-type,Smyrnium-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Ulmus,Urtica,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Ustulina deustaspore,Verbascum,Viola,Vitis
172,--/150.9/--,913,18584,2,1,,,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,2,,,,2,,,,,,,,2,18,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,15,,1,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,
196,--/179.9/--,1150,18584,2,1,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,9,13,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,26,,4,,,,,,7,,,,1,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
204,--/189.6/--,1272,18584,2,1,,,,,1,,7,,1,2,2,,,1,,,18,,,1,,,,,,8,7,,,,,1,,,,,,,,,,,1,,9,1,,,,5,,2,1,,,1,,2,31,,1,,,,,,,,1,2,,,,,,,10,,,,,,,,,,,,1,1,,,,,,4,,,,1,6,3,,,31,,17,2,6,,1,,19,1,3,,4,,,,,,14,3,,,,,,,,,,1,,5,,54,,2,,,,1,1,,,,,6,,,,,1,,,4,,1,,,,1
220,--/208.9/--,537,18584,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,96,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,1,,,,,,,,,,,,,,
228,--/218.6/--,1605,18584,2,1,,,,,,,,,,1,,,,,3,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,4,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,36,,3,,1,,,,,,,,2,,,,,,8,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
244,--/238/--,602,18584,2,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,154,1,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
252,--/247.6/--,1698,18584,2,1,,,,,,,3,,,2,,,,,15,,14,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,37,,2,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,12,,,,,,,,,66,,20,,2,,,,5,1,,,,,,,,,27,6,,,,,,,,,,,,,,3,,,,,,1,,,,,,,2,2,,,,,,,,,,,,
260,--/257.3/--,431,18584,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,182,,,,,,,,1,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
268,--/267/--,500,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,58,,6,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,--/276.6/--,1757,18584,2,1,,,,,,,1,,,,,,,1,3,,23,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,47,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,80,,16,,1,,,,3,,,,,,,,,,27,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,4,1,,,2,,,,,,,,,
284,--/286.3/--,1984,18584,2,1,,,,,,,2,,,,,,,,1,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,,,,3,,,,,,,,2,19,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,84,,3,,3,,,,1,,,,3,,,,,,11,1,,,,,,,,,,,,,,5,,,,,,,,,,1,,,1,1,,,,,1,,,,,,,
292,--/296/--,1120,18584,2,1,,,,,,,1,,,,,,,,6,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,1,,,,,,,,1,11,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,133,,2,,3,,,,1,,,,2,,,,,,3,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,,,,,,,
300,--/305.6/--,679,18584,2,1,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,2,,,,,,1,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
308,--/315.3/--,456,18584,2,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,118,,,,,,,,1,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
316,--/325/--,1781,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,--/344.3/--,600,18584,2,1,,,,,,,2,,1,3,,,,3,,1,3,,1,,1,,,,,8,4,,,,1,,,,,,,,,,,,4,,7,7,,,,,,1,1,,,,,,98,,,1,,,,,1,,,2,,,,,,,,,,,,,1,2,,,,,,,,1,,,,1,,,,,1,2,,,60,8,4,,1,,,,1,1,,,,,2,,,3,15,1,1,,,,,,,,,1,1,4,,10,,,,,,,,,1,,2,11,,,,,20,,,,,,,,,
348,--/363.7/--,630,18584,2,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,45,,,,,,,,6,,,,3,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,--/383/--,374,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
380,--/402.4/--,182,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
388,--/412/--,869,18584,2,1,,,,1,,,4,,,6,5,,,1,1,,3,,,2,1,,,,,,6,,2,,,3,,,,,,,,,,,3,1,9,,,,,4,,1,1,2,,1,,,63,,,1,1,,,3,,3,,2,,,,,,,2,,,,,,,,,,,,,1,,1,,1,,4,,,,,1,2,,,81,,1,,,,,,1,1,2,,,1,1,,,7,19,2,,1,,,,,,,,1,1,1,,34,3,,,,4,,,1,,,,31,,,,,11,,,3,,,,,,
396,--/421.7/--,215,18584,2,1,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,2,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,1,,,,,,,,,,,1,,,,,,20,2,,,,,,,,,,,,,,1,,,,,,4,,,,,,1,,,,,,,,,,,,,,
404,--/431.4/--,1976,18584,2,1,,,,,3,,20,,,7,2,,,,1,1,27,1,,1,,,,,,,7,,1,,,,,,,1,,,,,,,,1,1,,,,,4,,2,1,,,5,1,1,43,,1,1,,2,,,,,2,1,,,,,,,18,1,1,,,,,,,,,,1,1,,,,,,1,1,,,3,11,7,,,79,,23,1,12,,2,,16,1,,,2,2,,,1,,1,1,,,,,,,,,,,,1,,19,,1,,,,,,,,,1,1,,,,,4,,,4,,1,,,,
428,--/460.4/--,973,18584,2,1,,,,,,,2,,,5,2,,,,,1,11,,1,2,,,,,,,6,,,,,,,,,,,,,,,,1,,3,,,,,3,,4,,,,1,1,,77,,,,,8,,3,,,,,,,,,,1,6,,,,,,,,,,,,,1,,,,4,,3,,,,,5,10,,,197,5,12,1,5,,,,6,,,,1,,,,1,1,11,3,,,,1,,,,,,,,,,7,,,,,,,,,,,1,7,,,,,9,,,3,,,,,1,
436,--/470/--,747,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,2,,,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,--/508.7/--,438,18584,2,1,,,,,,1,,,4,3,,,,,,,11,,1,,,,,,,3,4,,1,,,,,,,1,,,,,,,,,9,2,2,,,2,1,2,,1,,3,,1,90,,1,,,,2,,,,,,,,3,,1,,9,,,,,4,,,,,,,,1,,,,1,,12,,,,3,5,21,,,115,1,23,1,10,,,,10,,,1,2,1,2,1,2,1,29,2,,,,1,,,,,,,,6,,1,,1,,,,3,1,,,,1,5,,,,,2,,,,,,,,,
476,--/518.4/--,638,18584,2,1,,,,,,1,1,,,,,,,1,,,19,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,,,2,,,,,,,,,44,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,56,,6,,5,,,,,,,,1,,,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,--/537.7/--,356,18584,2,1,,,,,,,3,,,,,,,1,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,1,,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,43,,10,,3,,,,1,,,,2,1,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
516,--/566.8/--,924,18584,2,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,57,,30,,3,,,,9,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
524,--/576.4/--,281,18584,2,1,,1,,1,,,4,,1,3,5,,,,2,2,2,1,1,,,,,,4,4,,,,,,,,,,,,,,,,,2,,9,1,,,,6,,2,,2,,5,,,112,,,,1,,,10,,4,,,1,,,,,1,1,,,,,,,,,,,,,,,,,1,,2,,,,,4,,,,247,2,3,,1,,,,2,,2,,5,,1,,1,5,1,1,,,,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,,12,,,,,,,,,
532,--/586.1/--,553,18584,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,15,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,
540,--/595.8/--,192,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,90,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
548,--/605.4/--,265,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,87,1,2,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,
556,--/615.1/--,333,18584,2,1,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,2,,1,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
564,--/624.8/--,520,18584,2,1,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,176,,7,,2,,,,1,,,,,,,,,,14,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,
572,--/634.4/--,468,18584,2,1,,,,,,,3,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,45,,2,,,,,,,2,,,6,,,,,,11,,,,,,,,,,,,,,,1,,,,,,6,,,,,,2,,,,,,,1,,,,,,,
588,--/653.8/--,192,18584,2,1,,,,,1,,,,,5,,,,,,1,5,,1,1,,,1,,,1,2,,,,,1,,,,,,,,,1,,2,,8,,,,,,,1,1,,,,,,61,,,,,1,,,,2,,1,,,,,1,,1,,,,,,,1,,,,,,,,,,,,2,,,,,,8,,1,55,3,11,2,,,,,5,4,,,,,6,,1,,3,,,,,,,1,,,,,,2,,25,,,,,,1,,2,,,,27,,1,,,8,,,,,,,,,
596,--/663/--,909,18584,2,1,,,,,,,,,,1,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,27,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,6,,,,,,4,,,,,,,,,,,,,,
604,--/672.1/--,573,18584,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,1,,,,,,,12,,,,1,,,,,,24,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
612,--/681.2/--,387,18584,2,1,,,,,,,,,,1,,,,,,,6,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,2,,,,,,,33,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,189,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,3,,,,,,1,,,,,,,,,,,,,,
620,--/690.3/--,656,18584,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,5,,,,1,,,,,,,,,29,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,3,3,,,,,,2,,,,,,,,,,,,,,
628,--/699.4/--,403,18584,2,1,,,,,,,4,,1,4,3,,,1,1,,5,2,2,,1,,,,,,3,,,,,,,,,,,,,,,,4,,6,,,,,1,,2,,5,,2,,1,130,,,,,,,20,,5,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,2,2,,,261,3,1,,1,,,,1,2,,,1,,,,3,7,5,,,,1,,,,,,,,,1,,,,,,,,4,,1,,1,,8,,,,,16,,,1,,,,,,
648,--/722.2/--,504,18584,2,1,,,,,,,2,,,1,2,,,2,,,4,,1,,1,,,,,,2,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,61,,,,1,,,3,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,2,,,,38,2,,,1,,,,1,,1,,,,,,1,1,2,,,,,,,,,,1,1,,11,,3,,,,,,2,,,,,,28,,,,,2,,,,,,1,,,
676,--/754.1/--,1680,18584,2,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,5,,,,2,,,,,,,,1,22,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,31,,1,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,4,,,,1,,23,,,,,,,,,,,,,,
700,--/781.5/--,700,18584,2,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
