Depth,EPDRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Armeria/Limonium,Artemisia,Artemisia herba-alba-type,Asphodelus,Asteroideae,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus,Buxus,Calligonum,Caltha,Campanulaceae,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea undiff.,Cichorioideae,Cladium mariscus,Clematis-type,Convolvulus,Cornus mas/C. sanguinea,Corylus,Cotoneaster-type,Cyperaceae,Daphne,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentianaceae,Geraniaceae,Hedera,Helianthemum,Hippophaë,Humulus/Cannabis,Hypericum perforatum-type,Isoëtesspore,Juniperus,Knautia,Lemna,Ligustrum,Liliaceae,Lotus-type,Lythrum,Malvaceae,Matricaria-type,Muscari,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nymphaea,Olea,Onobrychis-type,Onosma-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Pediastrum longicornecolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus repens-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Rumex undiff.,Salix,Sambucus nigra-type,Sanguisorba-type,Scilla-type,Scrophularia/Verbascum,Solanum dulcamara,Sparganium-type,Stachys-type,Tamarix,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Triglochin,Typha latifolia,Ulmus,Unknown/spore,Valeriana,Viburnum-type,Vicia-type,Vitis,Xanthium
620,--/6525/--,7618/7417/7199,9,,,9,6,4,,6,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,8,,28,,,14,,,,,,,,,,4,1,,,,,,,,,,2,,7,,,,,,,,,,,,,,,40,,,,,66,3,,,,,,,,373,1,,,,,1,,,1,,87,,,,,,,,2,,,1,,,,,,4,,,,,,,,6,,,6,4,8,,,,6,
640,--/6565/--,7644/7453/7249,14,,,11,27,4,,8,,,,1,,,,,,,,,,,,6,,,,,,,2,,,,,25,,7,,,1,,,,1,,,1,1,,11,5,,1,,,,,,,,10,,,,,,,,,,,1,,,,,,43,,,1,,108,2,,5,,,1,,,1350,1,,,,,1,,,1,1,221,,,,,1,,1,1,,,,,,,,,,,,,,1,,1,1,,,,14,9,,,,4,
651,--/6587/--,7658/7473/7275,32,,,27,273,2,15,25,,,22,2,,1,,,,,,,,1,,5,1,,,,,,1,,,,,114,,18,,,43,,,,2,,,3,,,12,20,1,,,,,,,,,5,,,,,,,,,,,,,,,,,39,,,11,,223,2,,3,1,1,,,,2000,2,1,,,,,,,3,,276,,1,,,,,2,4,1,,,,1,,,,6,,,,,,,,11,,,1,38,15,,,,14,
660,--/6605/--,7670/7489/7297,11,1,,33,331,2,4,22,,,20,3,,,2,,,,,,,,1,3,2,,,,1,,,,,,,77,,69,,,4,,,,1,1,,2,4,,6,4,,,,,,,,,,3,,,,,,,,1,,,,,,,,,12,,,2,,99,3,,,2,,,,,1900,2,4,,,1,,,,13,1,165,,,1,,,,,4,,,3,,1,,,,16,,,,,,,1,7,,,4,13,13,,,,7,
680,--/6645/--,7695/7525/7344,27,,1,1,9,,,4,,,3,,,,,,,,,,,,1,2,,,,,1,,8,,,,,5,,2,,,32,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,141,,,,,,,,,2,,3,1,,,11,1,1,45,,9,,,,,,,1,,,,,,,,,,1,,,,,,,,8,,,,1,10,,,,1,
715,--/6714/--,7737/7587/7423,41,,,2,3,7,,19,,1,1,2,,,,,,,,,,,2,,,,,,1,,7,,,,,10,,1,,,18,,,,,,,,10,,,3,,,1,1,,,,,1,2,,,,,,,,1,,,,,,,,,1,,1,,1,249,,,,,,,,,12,,14,2,,,6,1,,31,,24,,,,,,,,1,,,1,,,,,,,,,,,,,,7,,,,1,13,,,,3,
743,--/6770/--,7773/7637/7485,29,2,,4,7,3,,7,,,,,,,,,1,,,,,,,2,2,,,,,1,4,,,,,22,,6,,,6,,,,,,1,,26,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,173,,,,,,,,,18,,3,,,,30,,,18,,21,,,,,,,,,,,1,,,,,,1,,,,,,,,3,,,,1,9,,,,,
760,--/6803/--,7795/7668/7521,5,,,16,12,8,,34,,,11,1,,,,,,,,,,1,,1,2,,,,1,,6,,2,,,35,,21,1,,14,,,,,1,,,36,,,2,2,2,,,,,,1,,5,,,,,,,,3,,,,,,,,3,1,,,,,215,5,,,1,,2,,,59,,26,,,1,4,,,30,,205,,,,,,2,3,15,,,16,,2,,,,58,,,,,,,2,4,,,,9,37,,,,28,
780,--/6843/--,7824/7703/7565,20,,1,11,9,8,,88,,,6,1,,,,,,,,,,,,3,1,,,,,,13,,,,,47,,7,,,29,2,,,,,,1,112,,1,2,3,,,2,,,,1,,1,,,1,,,,,2,,,,,,,,3,18,2,,,1,164,1,,5,,,,,,58,6,46,,,1,76,,,60,,69,,,1,,,,3,29,,,3,,2,,3,,14,1,,,,,,,14,4,,,4,41,,,,12,
805,--/6893/--,7866/7748/7621,5,,,23,14,3,,32,,,2,1,1,,2,,,,1,,,,1,4,3,,,,3,,13,,,,,121,,9,,1,22,,,1,1,,1,1,33,,2,4,2,,,,,,,,,6,,,,,,,,1,1,,1,,1,,1,,41,,,,,127,2,,2,,,,,,58,1,34,,1,,9,,,25,4,73,,,,,,,2,4,,,22,,,,,,11,,,,,,,1,8,,,2,10,23,,,,3,
820,--/6923/--,7892/7775/7654,10,,,34,7,2,,22,,,4,2,,,,,,,,,,,,2,6,,,,3,2,6,,,1,1,100,,13,,,8,,,,,,,1,17,,,,,,1,1,2,,,,,2,,,,,,,,,,,,,,,,2,39,,,,,121,2,,,,,,,,24,4,16,,,,3,,,40,,55,,,,,,,1,5,,,6,,1,,1,,3,1,,,,,,1,4,,,,18,16,,,,2,
840,--/6962/--,7926/7811/7695,13,,,108,8,4,,23,,,2,,,,1,,,,,,,,2,2,,,,,,1,2,,1,,,253,,9,,,6,,,,,,,,25,,7,1,,1,,,,,1,,,1,,,,,,,,,,,1,,,,,4,4,,,,,146,,,1,,,,,,35,6,14,,,1,9,2,,24,,50,,,,,,,,4,,,3,,2,,,,7,1,,,,,,,2,,,,29,15,,,,1,
860,--/7002/--,7961/7847/7733,2,,,36,16,1,,26,,,1,1,,,1,,,,,,,,,,,,,,,,2,,,,,48,,15,,,11,,1,,,1,,1,13,,1,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,13,,,,,43,1,,1,,,,,,43,,5,,,,9,,,17,1,85,,,,,,,,,,1,2,,,,,,13,,,,,,,1,1,,,,9,4,,,,6,
880,--/7042/--,7996/7882/7768,9,1,,41,28,6,,32,,,2,,,,1,,,,,,,,1,1,,,,,1,,7,,,,,63,,18,,,9,,,,,,,,17,,6,3,,,,1,,,1,1,,3,,,,,,,,,,,,,,,,2,8,,,,,123,2,,1,,,,,,58,3,15,,,,3,,,22,,91,,,,,,,,6,1,,6,,1,,,,9,,,,,,,,8,,,1,5,19,,,,9,
905,--/7091/--,8044/7927/7813,,,,69,17,4,,8,,,5,1,2,,,,,,,,,,1,,1,,,,,,3,,,,,58,,11,,,6,,1,,,,,1,12,,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,2,,9,,,,,1,,,,54,,4,,,,,,,5,,46,,,,,,,,4,,,2,,1,,,,12,,,,,,,,3,,,2,12,12,,,,19,
920,--/7121/--,8075/7954/7838,3,,,37,10,1,,26,,,1,,,1,,,,,,,,,,,,,,,,,4,,,,,59,,14,,,6,,,,,,,,14,,,3,,,,1,,,,,,3,,,,,,1,,,,,,,,,,1,20,,,,,66,4,,,,,,1,,57,,9,,,,5,,,11,1,76,,,,,,,,,,,5,,1,,,,4,,,,,,,,2,,,2,11,18,,,,17,
940,--/7161/--,8115/7990/7867,7,2,,49,68,5,,26,,,2,2,1,,1,,,1,,,,,,3,,,,,1,,3,,,,,116,,30,,,16,,,,,,1,1,15,,,,1,,,1,,,1,,1,4,,,,,,,,,,,2,,,,,,31,,,1,,145,4,,1,,,,,,106,1,5,,,,,,,19,2,226,,1,,,,,2,5,,,6,,2,,,,24,,,,,,,,10,,,,15,15,,,,16,
960,--/7201/--,8160/8026/7897,17,,,22,49,6,,10,,,1,,,,,,,,,,,,2,1,1,,,,,,1,,1,,,56,,14,,,11,,1,,,,,2,7,,3,2,3,,,1,,,,,1,2,,,,,,,,2,,,,,,,,,18,,,,,193,2,,2,,,,,,66,,7,,1,,,,,6,1,181,,,,,,,,2,,,2,,1,,1,,6,,,,1,1,,,9,,,2,9,,,,,5,
985,--/7250/--,8259/8070/7932,5,1,,13,243,2,,35,,,2,1,,,,,,,,,,,,1,,,,,,,5,,,,,53,,14,,,10,,,,,,,,4,,4,7,2,,,,,,1,,,3,,,,,,,,2,,1,,,,,,,5,,,1,,32,3,,2,,,1,1,,960,3,29,,,,,,,1,,89,,,,,,,1,6,,,4,,,,,,17,,,,,,,1,6,1,,23,5,2,,,,5,
1005,--/7290/--,8306/8105/7957,8,2,,12,17,2,,6,,,4,,,,,,,,,,,,,,3,,,,1,,12,,,,,21,,258,,,19,,,,,,,,50,,1,1,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,1,,,,2,72,1,,,,,,,,48,4,46,,,,,,,9,,95,,,,,,,,,,,3,,,,,,6,,,,,1,,,12,,,1,5,20,,,,1,
1020,--/7320/--,8339/8132/7976,7,1,,14,16,5,,24,,1,2,1,,,2,,,,,,1,,1,1,1,,,,,,20,,,1,,25,,45,,,27,,1,,,,,,62,,1,4,,,,2,1,,,1,,2,,,,,,,,,,,,,,,,1,4,,,,,116,3,,,,,,,,90,8,62,,1,1,4,,,15,,155,,,,,,,,,,1,5,,3,,,,9,,,,,1,,2,10,,,1,8,13,,,1,14,
1045,--/7369/--,8400/8177/8006,5,1,,34,17,2,,36,,,4,1,,,1,,,,,,,,2,,3,,,,2,,14,2,,1,,44,,35,,,31,1,,,,,,1,54,,6,2,,,,,,,,1,,6,,,,1,,,,,,,,,,,,,7,,,,,61,5,,,,,,,,99,5,52,,1,,3,,,14,,93,,,,,,,3,,,4,9,,1,,,,3,,,,1,,,1,17,,,,4,36,,1,,11,
1060,--/7399/--,8437/8204/8023,17,,,24,11,4,,14,,,5,,,,,,,,,,,,,,1,,,,,,18,,,,,29,,13,,,11,,,,,,,,27,,,2,2,,,,,,1,,,1,,,,,1,,,,,,,,,,,1,2,,,,,91,3,,,1,,,,,72,,42,,,,1,,,6,,81,,,,1,,,,,,4,9,1,,,,,4,,,,,,,2,14,2,,,6,15,,,,14,
1080,--/7439/--,8485/8239/8045,13,3,,30,29,1,,38,,1,6,1,,,1,,,,,,,,,,4,,,,,1,16,,,,,43,1,33,,,21,,,,,,,,42,1,5,1,2,,,1,,,1,,2,3,,,,,,,,1,,,,,,,,,5,,,,,90,5,,,,,,,,159,4,54,,,,6,,,10,,146,,,,,,,,4,,,27,,1,,2,,6,,,,,,,,12,,,1,3,12,,,,7,
1120,--/7518/--,8577/8311/8090,14,,,32,15,1,,8,,,5,2,,,,,,,,,,,,1,1,1,,,1,,7,,,,,22,,27,,,113,,,,,,,2,32,,2,2,,,,1,,,,,1,1,,,,,1,,,,,,,,1,,,,7,,1,,,69,2,,,,,,,,85,1,17,1,,,1,,,5,,54,,,,,,,1,,,2,2,,2,,4,,7,,,1,,1,,,7,,,3,7,6,,,,4,
1140,--/7558/--,8621/8347/8112,34,2,,72,54,,,5,,,1,1,,,1,,,,,,,,,,1,,,,,2,6,,,,,136,1,53,,,31,,1,,,,,,14,,4,3,,,,1,,,2,,11,2,,,,,,1,,,,,,,,,,3,4,,,,,70,3,,1,,,,,,103,1,20,,1,,1,,,11,,75,,,,,,,,,,1,15,2,1,,,1,7,,,,,,,2,9,,,,8,11,,,,2,
1158,--/7594/--,8662/8379/8132,13,,,28,63,,1,12,,,8,1,,,2,,,,,,,,,1,,,,,1,,7,,,,,26,,23,,,19,,,,,,,,8,,7,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,48,2,,1,,,,,,113,2,22,,,1,,,,1,,72,,,,,,,,,,2,7,,1,,1,,1,,,,,,,2,8,,,1,6,10,,,,5,
1189,--/7655/--,8729/8434/8167,1,,,46,53,6,,21,,,10,8,,,,,,,,,,,,,2,,,,2,,5,,,,,62,,14,,,15,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,5,2,,,,,,,,79,,43,,,,,,,6,,85,,,,,,,,2,,,2,,,,,,,,,,,,,,11,,,1,6,24,,,,8,
1223,--/7723/--,8773/8495/8210,1,,,11,78,23,,18,,,6,4,1,,1,,,,,,,,,,1,1,,,,,11,,,,1,57,,24,,1,15,,,,,,,1,,,5,8,3,,,1,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,15,1,,1,,,,,,123,1,19,,,,,,,5,2,83,,,,,,,1,,,8,2,1,,,,,13,,,,,1,,,18,,,4,5,8,1,,,9,
