Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,Abies,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anthericum,Apiaceae,Aquilegia-type,Artemisia herba-alba-type,Artemisia vulgaris-type,Asteroideae,Astragalus-type,Betula,Bistorta officinalis-type,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cistaceae,Cladium mariscus,Clematis-type,Corylus,Cyperaceae,Digitalis,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Ericaceae,Euphorbia,Fabaceae,Fagus,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentianaceae,Geraniaceae,Hedera,Helianthemum,Humulus/Cannabis,Hypericum perforatum-type,Juglans,Juniperus,Knautia,Lemna,Liliaceae,Linaceae,Loranthus,Lotus-type,Lythrum,Malva,Matricaria-type,Matthiola,Monactinus simplexcolony,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Noaea-type,Olea,Onobrychis-type,Onosma-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Papaver,Pediastrum duplexcolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum boryanum var. longicornecolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus repens-type,Ranunculus sect. Batrachium-type,Rhinanthus-type,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Sambucus nigra-type,Sanguisorba-type,Scilla-type,Scrophularia/Verbascum,Secale,Senecio-type,Solanum dulcamara,Sorbus-type,Sparganium-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Valerianella,Viburnum-type,Vicia-type,Vitis,Xanthium,Zea mays
210,2567/2374/2178,--/2225/--,12,,,,44,10,,1,2,14,3,9,1,6,,1,,4,,,,,,,,7,13,,2,,1,,,12,1,,,,,20,15,,,6,,,2,,,56,2,1,7,2,,,,,1,,,8,,,1,,1,1,6,1,,,,,1,,,,1,,92,1,2,,2,,92,2,,11,,,,,6,145,8,4,,,,,624,,,2,8,1,508,,1,,,,6,,6,1,,,1,,,1,,18,,1,1,,,3,3,,2,6,2,,,1,2,,
225,2872/2699/2525,--/2528/--,18,1,,,40,4,,5,,10,1,5,,2,,,,,,,,,,,,4,11,,,,,,,6,1,,,2,1,14,16,,,4,,,1,,,70,,4,16,1,,,,,6,1,5,4,1,,,,,,2,,1,,,,,,,3,,,101,,,,,,129,3,,6,,,,2,2,160,18,8,,,,,450,,,5,3,4,669,,5,,,4,13,,8,,1,,1,,,1,,17,,,,,3,1,5,3,10,23,1,,,,1,,
235,3078/2915/2741,--/2730/--,13,,,,50,6,1,4,1,12,1,3,,9,,,,3,,,,,,,,6,20,1,,,,,1,4,1,,1,1,,22,13,,,12,,1,2,,,94,1,3,9,2,1,,,,,2,2,4,,,,,,1,2,,3,,,,2,1,1,1,,,143,,,,1,,139,2,,15,,,,,4,171,16,15,,,,,600,,,1,6,5,830,,1,,4,1,17,,5,,2,,1,,,,,14,,1,,,,1,5,1,10,12,4,,,,1,,
250,3406/3240/3057,--/3034/--,2,,,,17,10,,3,,8,,3,,1,,1,,5,,,,,,,,4,9,,2,,,,,1,1,,,1,,8,7,,,5,,,,,,19,,,8,1,,,,,,,,1,,,,,,2,3,,2,,,,,,,7,,,54,,2,,2,,22,,,3,,3,,1,4,134,7,4,,,,,742,1,3,11,1,2,327,3,,1,,1,8,,7,,,,1,,,2,,8,,,,,2,,3,,1,8,,,,,5,,
260,4227/4065/3908,--/3769/--,22,2,,,34,16,,1,,13,13,5,,2,,,,11,,,,,1,,,1,15,1,,,,1,,1,,,,,,19,50,,,12,,,2,,5,38,,5,7,7,,,,1,,4,,31,,,,,,11,2,,1,,,,1,,1,2,1,,104,,,,2,,349,1,,4,,,1,,,214,6,19,,,,1,3000,,,,15,4,421,,,1,2,2,10,8,,1,1,,7,,,1,,19,1,2,,,3,4,,9,3,18,5,,,,,,
270,5637/5498/5345,--/5038/--,29,1,,,34,10,,,,,5,1,,,,,,,,,,,,,,,10,,,,,,,,1,1,,,,32,7,,,16,,,,,,5,,4,6,,,,1,,,,,10,,,,1,,,,,,,,,3,,,,,1,66,,4,,,,237,,,2,,,,,,86,4,4,,,,,1050,,,1,,,326,,,,,,4,,3,,2,,,,,,,6,,1,,,1,6,,,11,13,,,,,,,
280,7092/6931/6750,--/6307/--,25,,,,23,7,,,,4,14,3,,,,,,2,,,,,,,,,5,1,,,,,,,1,,,1,,29,18,,,7,,,,1,,2,,8,4,3,,,,,1,1,,41,,1,,,,,,,1,,,,1,,,,,,32,,10,,2,,190,1,,2,,,2,,,137,1,6,,,,,9999,,,7,3,,176,,,4,,,17,,1,,2,,1,,,4,,7,,,,,1,2,,3,10,10,,,,,2,,
287,8124/7934/7719,--/7195/--,32,1,1,,30,19,,3,,24,,2,,4,,,,2,,,,,,1,,,7,,1,,,,,2,2,,,1,,39,12,,,11,1,,,,,1,,9,23,,,,1,,,,,17,,,,,,,1,,1,,,,3,,,,,,55,,10,,,1,292,2,,8,,,,,,158,16,17,,,,,6400,2,,2,4,2,343,,,,,1,19,,1,,,,1,,,1,,11,,,,,,16,,1,10,5,,,,,3,,
295,9240/9009/8753,--/8210/--,24,1,,,22,10,,2,,9,40,3,,4,,,,1,,,,,,,,,,1,,,,,,,1,,,1,,66,17,,,26,1,,,,1,1,1,12,11,,,,,,,1,,22,,1,1,,,,,,,,,,,,,,,,7,,4,,,,127,3,,1,,,,,,243,3,18,,,4,1,1913,,,,2,,369,,,2,,1,8,,2,,8,,,,,,,10,,,,,1,11,,3,14,10,4,,,,,,
303,10433/10155/9846,--/9225/--,10,1,,1,42,11,,3,,27,,1,,5,,,,1,,,,,,,2,2,,,,,,,,1,1,,,2,,40,25,1,,21,,,,,,,9,12,10,7,,,,,2,,,10,,,1,,,,,,7,,,,1,,,,,,5,,20,,2,,78,12,,2,,,1,,,408,,4,,,,,3800,1080,800,460,2,,627,,,,,1,53,,4,1,63,,1,,8,,,39,,,4,,6,6,,,38,6,,,,,1,,
