Depth,Cal yr BP,C14 BP,Lycopodium spikecounted,Abies,Acacia,Acanthus,Acer,Aconitum-type,Adonis-type,Aesculus,Agrostemma,Alisma plantago-aquatica,Alnus,Amaranthaceae,Anchusa,Apiaceae,Apium-type,Armeria-type,Artemisia,Asphodelus,Asteroideae,Avena-type,Bistorta officinalis,Boraginaceae,Botryococcusfilament/cell,Brassicaceae,Bupleurum-type,Campanula-type,Cannabis,Carpinus betulus,Carpinus orientalis,Carthamus-type,Carya,Caryophyllaceae,Casuarina,Cedrus,Celtis,Centaurea nigra-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea-type,Ceratonia,Chelidonium-type,Cichorioideae,Cirsium/Carduus-type,Cistaceae,Cistus,Convolvulus,Corylus,Crataegus-type,Cupressaceae,Cyperaceae,Delphinium-type,Dipsacoideae,Ebenus-type,Echinops,Echium,Elaeagnus,Ephedra distachya,Ephedra fragilis,Epilobium,Equisetumspore,Ericaceae,Erodium,Eucalyptus,Euphorbiaceae,Fabaceae,Fagus,Fraxinus ornus,Fraxinus syriaca,Galium-type,Geranium,Helianthemum,Heracleum-type,Herniaria-type,Hordeum-type,Hypericum,Juglans,Knautia,Lamiaceae,Lemna,Liliaceae,Linum austriacum-type,Linum bienne-type,Lythrum portula-type,Lythrum salicaria-type,Mentha-type,Mercurialis,Myriophyllum,Olea-type,Osmundaspore,Papaver-type,Papaveraceae,Pediastrumfilament/cell,Persicaria amphibia,Phillyrea-type,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus,Plantago indeterminata,Plantago lanceolata,Plantago major/P. media,Platanus orientalis,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare,Polygonum indeterminata,Polygonum oxyspermum,Polypodiophyta (monolete)spore,Polypodiophyta (trilete)spore,Populus,Potamogeton,Potentilla-type,Prunus-type,Quercus coccifera,Quercus indet.,Quercus ithaburensis,Ranunculaceae,Ranunculus aquatilis-type,Rhamnus-type,Rhinanthus-type,Rhus,Rosaceae,Rumex,Salix,Salvia-type,Sambucus,Sarcopoterium,Scabiosa,Scrophulariaceae,Secale-type,Solanum,Stachys-type,Symphytum,Tamarix,Thalictrum,Theligonum,Thymelaeaceae,Tilia,Trifolium-type,Triticum-type,Typha angustifolia/Sparganium,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Varia/spore,Veronica-type,Vicia-type,Vitis,Xanthium,Zea mays,Ziziphus-type
37.5,--/156.5/--,--/151.5152/--,1358,,,,,,,,,,1,15,,5,,,56,,23,1,,,1,2,1,1,1,2,2,,,3,,1,,1,5,,2,,,8,1,,1,,,,,8,,,,,1,,,1,,,1,,,,3,,,,,,,,18,2,,2,,1,,,,,,,,,707,41,,,1,,,1,,,32,42,,8,20,,,271,16,4,,,4,5,,17,,,215,7,34,8,,,,,3,4,,,,45,,,,,,,,,3,,1,3,7,,,,,19,1,1,1,1,,
39.5,--/168.9/--,--/159.596/--,713,,,,,,,,,,,23,,3,,,63,,22,1,,,12,3,1,,,2,,,,5,,1,,,6,,1,,,13,2,,,,,2,2,10,,,,,,,,1,,,,,,,1,,,,2,,,,9,4,1,5,,1,,,,,,,1,,1269,32,,,,2,,,,,27,35,,15,15,,1,243,12,2,,,,1,1,28,,,285,1,37,8,,,,,2,7,2,,,42,,,,,,,,,1,,,4,7,2,,,,11,,,2,,,1
43.5,--/193.7/--,--/175.7576/--,775,,,,,,,,,,,20,,9,,,38,,24,,,,,6,1,1,,,,,,3,,,,,8,1,,,,15,1,,1,,,4,2,2,2,,,,,,,,,,1,,,,2,,,,8,,,,10,,,2,,1,,,,,,,1,,682,20,,,,,,,,,17,42,2,3,18,,2,276,3,2,1,,,1,,59,,,361,1,52,21,1,,,,1,4,3,,,44,,1,,,,,1,,,,1,2,,,,,1,13,1,,1,,,1
45.5,--/206.3/--,--/183.8384/--,420,,,,,,1,,,,1,25,,8,,,34,,35,1,,,,4,1,,,,,1,,4,,,,,2,,,,,26,2,,,,1,2,1,9,2,,,,,,,,,,,,,,1,,,,3,,,,15,1,,2,,,,1,,,,,,,655,15,,,,2,,,,,10,43,2,8,7,2,3,267,3,1,,,1,2,,40,,,430,,76,16,,,,,5,4,1,,,25,1,2,,,,,,,2,,,3,1,,,,2,7,,,1,,,
49.5,--/232.6/--,--/200/--,501,,,,,,,,,1,,33,,3,,,33,,12,,,,8,3,,1,,,1,,,7,,,,,3,,4,,,9,,,,,1,,2,5,,,,,,,,1,,,,1,,,1,,,,1,1,,,2,1,,1,,,,,,,,,1,,1276,40,,,,1,,1,,,13,24,,11,11,,1,197,8,1,,,1,,,21,,,413,10,90,7,1,,,,3,2,3,,,36,,,,,,,,,1,,,2,4,1,,,,19,,,,1,,
50.5,--/239.5/--,--/209.2/--,392,,,,,,,,,,,24,,3,,,28,,13,,,,,,1,,1,1,1,1,,4,,,,1,2,,,,,6,2,,,,,1,,5,3,,,,,,,,,,,,,,,,1,1,,,,,17,1,,1,1,,,,,,,,,,1079,14,,,,,,,,1,14,26,3,,7,1,2,209,2,5,,,1,,,29,,,589,,71,13,,,,,3,3,3,,,23,1,1,,,,,,,1,,,2,,1,,,,8,,,1,,,
54.5,--/268.2/--,--/246/--,292,,,,,,,,,,,19,,1,1,,30,,16,,,,,2,1,,,,,,,1,,,,,3,,,,,6,,,,,1,2,2,4,1,,,,,,,,,,,,,,1,,1,,1,,,,5,1,,,,,,1,,,1,,1,,915,4,,,1,,,2,,2,9,24,,4,6,1,2,163,3,1,,,,,,35,,,530,1,72,10,,,,,1,,,,,19,,,,,,,,1,,,,1,,1,,1,,4,,,,,,
57.5,--/289.8/--,--/273.6/--,421,,,,,,,,,,2,24,1,10,,,23,,22,,,,2,2,,,,,1,,,5,,,,,5,,,,,24,,,,,,1,2,11,,,,1,,,1,1,,,,,,,5,1,,,2,,,,16,3,,5,,1,,2,,,,,,,1140,19,,,,,,1,,,14,27,2,4,18,1,5,294,3,1,,,1,,,47,,,790,,89,20,,,,,3,2,,,1,27,,,,,,,,,,,,,1,,,,1,7,,,,,,
59.5,--/304.2/--,--/292/--,291,,,,,,,,,1,1,16,,7,,,32,1,17,,,,,2,,,,2,,,,2,,,,,3,,,1,,4,1,,,,,,1,5,,,1,,,,,,,,,,,,1,,,,1,,,,8,2,1,2,,1,,,,,,,1,,972,15,,,,1,,1,,,6,17,1,3,5,,3,134,12,1,,,2,1,,17,,,515,7,74,11,,,,,3,1,,,,34,,,,,1,,,,3,,,5,5,1,,,,17,,,,,,
64.5,--/340.2/--,--/338/--,350,,,,,,,,,,,23,,5,,,39,,12,,,,,2,,,,,,,,3,,1,,,2,,,,1,7,5,,1,,,3,,15,,,,,,,,,,,,,,,,,1,,1,1,,,22,,,,,1,,,,,,,2,,1119,15,,,,,,2,,1,17,23,1,2,8,1,2,245,2,4,,,,1,,7,,,622,,76,6,,,,,6,4,1,,,20,,,,,,,,,,,,4,4,,,,,5,1,,,,,
69.5,--/375.9/--,--/384/--,690,,,,,,,,,1,1,36,,6,,,29,,3,,,,,1,,,,,,,,,,,,,2,,1,,,5,,,,,,,,6,,,,,,,,,,,1,,,,1,,,,,1,,,5,1,,1,,,,1,,,,,,,1288,16,,,,,,,,,11,21,,2,4,,3,149,4,1,,,,,,2,,,578,,81,4,,,,,1,4,3,,,21,,,,,,,,,,,,2,,1,,,,9,,,,,,
71.5,--/390/--,--/402.4/--,234,,,,,,,,,,,14,,5,,,19,,9,,,,,1,,,,,,,,2,,,,,,,,,,9,1,,,,,2,3,9,1,,,,,,,1,,,,,,,1,,,2,,,,,9,1,,,,1,,,,,,,,,624,10,,,,,,,,,11,18,,5,5,,2,192,2,,,,,1,,16,,,530,3,61,5,1,,,,1,3,,1,,13,,,,,,,,,,,,2,,,,,1,5,1,,,,,
73.5,--/404.1/--,--/420.8/--,224,,,,,,,,,,,,,1,,,33,,7,,,,,1,,,,,1,1,,3,,,,,1,,,1,,4,,,,,1,1,,7,1,1,,,,,,,,,,,,,1,,1,1,,,,,7,2,,1,,,,,,,,,,,580,20,,,,2,,1,,1,7,21,1,2,12,,3,182,2,1,1,,,1,,16,,,530,1,63,5,,,,,6,3,,,,19,,,,,,,1,,1,1,,4,2,,,,1,2,1,,,,,
78.5,--/439.7/--,--/466.8/--,194,,,,,,,,,,,22,,4,,,29,,8,,,,,1,,,,,,,,2,,,,,1,,,,,10,,,,,1,1,2,6,1,,,,,,,,,,,,,,1,,,,,,,,12,1,,1,,,,,,,,,,,450,18,,1,,1,,,,,7,14,1,4,10,,1,179,1,,,,,,,21,,,524,,45,8,,,,,,5,,,,21,,,,,,,1,,1,,,,2,1,,,,3,,,2,,,
79.5,--/446.9/--,--/476/--,432,,,,,,,1,,,,43,,4,,,39,,10,,,,,,,,,,2,,,4,,1,,,4,,1,,,10,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,1,,,,11,,,6,,,,,,,,,,,591,23,,,,,,2,1,,18,19,,7,4,,1,173,5,2,,,,,,10,,,521,3,45,5,,,,,1,2,1,,,34,,,,,,,,,,,,1,,,,,,12,2,,,,,
85.5,--/489.6/--,--/531.2/--,408,,,,,,1,,,,1,41,,4,,,48,1,17,1,,,2,2,,,,,,2,,3,,,,1,7,1,,,1,29,2,,,,,3,2,14,3,,,,,,,,,,,,,,2,,,,2,,,,15,1,,4,,1,,,,,1,,,,519,22,,,1,3,,,,1,17,29,,3,11,1,3,276,4,1,,,1,3,,48,,,352,,38,13,,,,,2,8,,,,31,,2,,,,,,,1,,,2,,,,,,12,1,,1,,,1
89.5,--/519/--,--/568/--,446,,,,,,1,,,,3,52,,5,,1,55,,23,,,,,1,2,,,2,1,,,4,,,,,3,,1,,,14,1,,,,,5,,3,,,,,,,,1,,,,1,,,1,,,,,1,,,12,2,1,6,,1,,,,,,,,,599,45,,,,1,1,1,,,17,26,,10,10,,,240,7,3,,,,3,,16,,,374,6,70,15,1,,,,3,2,1,,,27,,,1,,,,,,1,,,1,,,,,,7,,,,,,1
93.5,--/546.8/--,--/604.8/--,288,,,,,,,,,1,,89,,6,,,45,,18,,,,,5,,,,,1,1,,4,,,,,4,,,,,11,1,,2,,,,4,6,2,,,,,,,,,,,,,,1,,1,,3,,,,11,,,3,,,,,,,,,,,683,25,,1,,6,,1,,1,17,9,,4,2,,,191,3,1,,,,1,,22,,,385,1,79,19,,,,,,6,1,,,21,,,,,,,,1,3,,,3,,,,,,7,,,,,,
95.5,--/560.7/--,--/623.2/--,377,,,,,,1,,,,1,91,,3,,,52,,19,,,,,2,,1,,,1,,,2,,,,1,1,,,,,15,1,,,,,,,4,,,,,,,,1,,,,,,,,,,,4,,,,13,,,3,,2,,1,,,,,1,,736,38,,,,2,,,,,22,20,,8,6,,,179,7,1,,,,3,,10,,,358,9,138,29,,,,,,4,1,,,18,,,,,,,,,1,,,,1,1,,,,9,,,,,,
99.5,--/589.4/--,--/660/--,159,,,,,,2,,,,3,92,,2,,,18,,18,,,,,3,,,,,,,,5,,,,,,,,1,,17,1,,,,,1,,4,,,,,,,,,1,,,,,,1,,,,1,1,,,5,2,1,1,,,,1,,,,,,,359,43,1,,,2,2,,,,11,16,,9,3,,,99,11,3,,,1,3,,7,,,490,8,123,82,,,,,3,1,2,1,,19,,,,,,,,,3,,,3,3,,,,,9,,,,,,1
102.5,--/607.8/--,--/694.6667/--,186,,,,,,,,,,3,164,,6,,,25,1,13,,,,,6,,,,,1,,,1,,,,,1,,,,,12,1,,1,,,2,,10,1,,,,,,,,,,,,,,,,,,2,,,,2,,,1,,,,,,,,,2,,396,18,,,1,4,1,2,,1,7,8,,3,3,,,99,3,2,,,1,1,,7,,,591,3,120,46,,,,,2,1,,,,20,,,,,,,,,1,,,2,,1,,,,13,1,,,,,
105.5,--/627.1/--,--/729.3333/--,217,,,,,,1,,,,,126,,1,,,23,,10,,,,,1,,,,,,,,1,,,,,,,1,,,10,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,276,46,,,,1,1,,,,17,9,,1,3,,,79,2,4,,,1,2,,3,,,424,12,189,68,,,,,1,,,,,14,,,,,,,,,1,,,,,,,,,12,,,,,,
107.5,--/646.9/--,--/752.4445/--,161,,,,,,,,,,,104,,3,,,26,,9,,,,,3,,,,,1,,,2,,,,,,,,,,13,1,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,1,3,,3,,,,,,,,,1,,310,38,,,,2,,,,,18,13,,2,7,,,93,4,6,,,1,1,,4,,,480,8,110,76,,,,,2,,1,,,13,,,,,,,,,1,,,,,,,,,5,,,,,,
110.5,--/677.2/--,--/787.1111/--,97,,,,,,,,,,1,21,,7,,,25,,15,,,,2,3,,,,,,,,2,,,,,1,,,,,19,1,1,,,,1,,5,1,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,1,,426,22,,,,8,,,,,14,4,,3,3,,,135,1,3,,,1,2,,11,,,505,1,116,54,,,,,2,2,,,,18,,,,,,,,,1,,,,1,,,,,6,,,,,,
114.5,--/727.6/--,--/833.3333/--,143,,,,,,,,,,,116,,3,,,23,,14,,,,,4,,,,,1,,,3,,,,,,,1,,,17,4,,,,,,,8,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,3,2,,,,,,,,,,270,40,,,,,,,,,11,11,,1,2,,,55,3,,,,2,2,,4,,,571,15,71,85,,,,,1,1,1,,,18,,,,,,,,,1,,,,,,,,,13,,,,,,2
119.5,--/789.9/--,--/891.1111/--,106,,,,,,,,,,,62,,4,,,24,,9,,,,4,3,,,,,,,,2,,,,,1,,1,,,15,2,2,,,,,,10,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,225,30,,,,21,1,,,,13,5,,2,2,1,,104,,2,,,1,3,,6,,,547,3,74,27,,,,,4,,,,,9,,,,,,,,1,1,,,,,,,,,23,,,,,,
124.5,--/854.9/--,--/948.8889/--,213,,,,,,,,,,1,55,,1,,,24,,11,,,,,,,1,,,,,,3,,,,,,,,,,13,2,,,,1,,,10,,,2,,,,,1,,,,,,,1,,,,1,,,,2,1,,2,,,,,,,,,,,307,39,,,,48,,,,,18,8,,5,,,,96,8,3,,,2,1,,10,,,491,12,64,77,,,,,1,,1,,,18,,,,,,,,,,,,,1,1,,,,23,,,,,,1
129.5,--/918.8/--,--/1006.667/--,214,,,,,,,,,,1,15,,,,,21,,10,,,,1,2,,,,,,,,3,,,,1,,,,1,,14,1,,,,1,,1,4,,,,,,,,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,,,327,73,,,,109,,,,,16,19,,6,7,2,,142,10,6,,,2,1,,31,,,461,8,42,129,,,,,,2,1,,,22,,,,,,,,,2,,,1,2,1,,,1,8,,,3,,,
134.5,--/983.9/--,--/1064.444/--,132,,,,,,,,,,,8,,3,,,16,,6,,,,,,,1,,,,,,2,,,,,1,,,,,8,1,,,,,,3,7,,,,,,,,,,,,,,,3,,,,1,,,,1,1,1,2,,,,,,,,,,,276,65,,,,87,,1,,,23,10,1,3,7,,1,152,5,2,,,,1,,16,,,452,4,41,95,,,,,1,,,,,31,,,,,,,1,,1,,,1,1,1,,,,12,,,,,,
139.5,--/1046.9/--,--/1122.222/--,200,,,,,,1,,,,,2,,3,,,10,,7,,,,1,1,,1,1,1,,,,1,,2,,,1,,,,,15,1,,1,,,,8,13,,,,,,,,,,,,,,,2,,,1,,,,,,1,,7,,,,,,1,,,,,306,67,,,,158,1,2,,,29,19,,7,8,2,1,130,7,8,,,,1,,12,,,448,10,45,133,,,,,2,,,,,24,1,,,,,,,,,,,1,,2,,,,7,,,,,,
141.5,--/1072.4/--,--/1145.333/--,129,,,,,,,,,,,16,,3,,,29,,6,,,,,1,,,,,,,,1,,,,,2,,1,,,11,,,,,,,13,9,,,,,,,,,,2,,,,,,,1,,,,,,1,1,,1,,,,1,,,,,,,222,113,,,,128,,2,,,24,11,,5,10,1,1,162,1,4,,,2,,,21,,,445,2,26,98,,,,,,2,,,,27,,2,,,,,,,1,,,2,,,,,,9,,,1,,,
143.5,--/1098.2/--,--/1168.444/--,277,,,,,,1,,,,1,12,,2,,,25,,16,,,,,,,,,,,,,2,,,,,1,,,,,23,2,,,,,1,32,11,,,,,,,,,,1,,,,,2,,,,2,,,,,1,1,3,2,1,,,,,,,,,255,172,,,1,245,,1,,2,42,10,,2,3,2,4,228,1,6,,,,,,38,,,266,,20,101,,,,,2,2,,,,41,,,,,,,,,2,,,1,2,,,,,4,,1,,,,
145.5,--/1124.9/--,--/1188.725/--,329,,,,,,1,,,,1,12,1,8,,,28,,34,,,,,2,2,2,1,,,1,,6,,,,,4,,1,,,42,1,,1,,,,44,13,3,,,1,,,,1,,,,,,,5,,,,2,,,,2,,12,7,,,,,,,,,1,,259,270,,,,37,,,,,49,10,,4,5,3,1,220,5,9,,,1,2,,85,,,71,1,11,98,,,,,7,2,1,1,,48,,1,,,,,1,,3,,,4,1,1,,,1,16,,,3,,,1
147.5,--/1153.2/--,--/1206.174/--,352,,,,,,,,,,1,20,,7,,,32,,21,,,,,3,,,2,,,1,,1,,,,,4,,1,,,66,5,,1,,,,30,16,4,,,1,,,,,,,,,,,2,,,,1,,,,,5,7,17,,,,,,,,,1,,221,278,,,,20,,,,1,32,8,,3,11,1,2,204,1,7,2,1,1,2,,79,,,50,1,14,105,,,,,1,5,,,,28,,1,,,,,,,1,,,4,1,,,1,2,10,,,4,1,,
149.5,--/1181.3/--,--/1223.623/--,588,2,,,,,,1,,,,15,,8,,1,26,,27,,,,,3,1,2,,2,4,,,4,,3,,,,,3,1,,26,3,,,,1,,42,20,,,,,,,,,,1,,,,,6,1,,,2,,,,3,1,1,19,,,,,,,,,1,,354,269,,,,18,,1,1,1,51,4,,6,5,1,,186,24,12,1,,3,2,1,132,,,58,1,12,76,,,,,8,3,2,,,33,,,,,,,,,1,,,3,3,3,,,,15,1,,1,1,,
151.5,--/1210.2/--,--/1241.073/--,240,,,,,,,,,,2,22,,5,,,35,,23,,,,1,2,1,,,,,,,4,,,,,,,,,,23,3,,1,,,,23,2,2,,,,,,,,,,,,,,1,,,,,,,,3,1,11,3,,,,1,,,,,1,,320,275,,,,28,,5,,2,42,15,2,3,3,2,1,151,6,3,1,,,1,,4,,,189,1,8,97,1,,,,2,2,,,,47,,1,,,,1,,,,,,1,,,,,,4,,,,,,1
153.5,--/1239.4/--,--/1258.522/--,479,,,,,,,,,,2,14,,3,,,44,,19,,,,,1,,,,,1,,,3,,1,,,3,,,,,34,2,,,,,,28,14,,,1,,,,,2,,,,,,,2,,,,1,,,,1,1,1,8,,1,,1,,,,,,,329,317,,,,181,,1,,,53,6,,2,4,,1,202,10,11,,,,,,33,,,123,,17,107,,,,,4,3,,,,44,,,,,,,,,2,,,9,4,,,,,5,1,,4,1,,
155.5,--/1268.3/--,--/1275.971/--,236,,,,,,,,,,,12,,1,,,26,,14,,,,1,2,,,,,1,1,,4,,,,,3,,1,,2,29,5,3,,,1,,47,14,1,,,,,,,1,,,,,,,4,,,,,,,,,1,7,7,,,,,,,,,1,,221,264,,,,229,,1,,1,32,8,1,3,8,1,1,190,6,2,,,,3,,44,,,93,1,12,104,,,,,6,1,,,,45,,,,,,,,,1,,,3,1,2,,1,1,5,1,,,1,,
157.5,--/1297/--,--/1293.42/--,255,,,,,,1,,,,,14,,1,,,24,1,22,,,,,3,,,,,2,1,,1,,,,,1,,2,,,36,2,1,1,,,,38,19,,,,1,,,,,,1,,,,,3,,,,3,,,,,1,8,11,,,1,1,,,,,1,,239,270,,,,244,,1,,1,34,4,,5,3,1,3,225,4,2,,,,3,,115,,,110,2,7,83,,,,,3,4,1,,,40,,4,,,,,1,,1,,,5,1,1,,,1,11,,,2,1,,1
159.5,--/1325.4/--,--/1310.87/--,393,,1,,,,2,,,,1,23,,14,,,27,,35,,,,,6,,4,1,,1,1,,2,,,,1,5,,,,,51,1,,,,,,23,14,1,,,1,,,,1,,,,,,,2,,1,1,2,,,,1,2,22,17,,2,,,,,,1,,,249,383,,1,,21,,1,,2,49,8,1,4,14,1,4,219,5,11,1,,,,,123,,,62,2,7,140,,,,,12,4,1,2,,45,,2,,,,,,,3,,,5,,1,,,3,20,1,,4,,,
