Depth,Calendar years BP,Abies,Acer,Achillea/Anthemis-type,Agrostemma githago,Allium-type,Alnus,Amaranthaceae,Anagallis arvensis,Anagallis tenella,Anemone nemorosa-type,Angiospermae undiff. (herbs),Apiaceae undiff.,Armeria,Artemisia,Asphodelus-type,Asteraceae undiff.,Betula,Bistorta officinalis-type,Boraginaceae undiff.,Brassicaceae,Bryophyta undiff.spore,Bupleurum-type,Buxus,Calligonum-type,Campanulaceae,Carpinus betulus,Caryophyllaceae undiff.,Castanea,Cedrus,Celtis,Centaurea cf. C. cyanus/montana-type,Centaurea scabiosa,Centaurea solstitialis-type,Ceratophyllum,Cichorioideae,Cirsium,Cladium,Clusiaceae/Hypericaceae cf. Hypericum,Consolida ambigua-type,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae undiff.,Digitalis-type,Dipsacoideae,Dryopterisspore,Echium-type,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euonymus europaeus,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Fraxinus undiff.,Fritillaria-type,Fumana,Galium-type,Geranium,Hedera,Helianthemum,Helleborus foetidus,Helleborus viridis,Hippophaë,Humulus/Cannabis,Ilex,Indeterminable (broken)/spore,Indeterminable (concealed)/spore,Indeterminable (crumpled)/spore,Indeterminable (degraded)/spore,Juglans,Larix,Lemnoideae,Liliaceae,Linum,Lithospermum,Lonicera,Lotus,Malvaceae undiff.,Marrubium-type,Mentha-type,Menyanthes,Myriophyllum alterniflorum,Myriophyllum spicatum-type,Myriophyllum undiff.,Myriophyllum verticillatum,Nuphar,Nymphaea,Olea,Ononis,Ostrya,Oxyria-type,Papaveraceae,Pedicularis,Persicaria amphibia,Persicaria maculosa-type,Persicaria undiff.,Phillyrea,Picea,Pinus subg. Strobus,Pinus undiff.,Pistacia,Plantago,Poaceae (Cerealia-type),Poaceae undiff.,Polypodiophyta undiff.spore,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae undiff.,Prunus spinosa,Pteridiumspore,Pterocarya,Quercus ilex,Quercus undiff.,Ranunculus,Resedaceae,Rhamnaceae,Rosaceae cf. Geum,Rosaceae undiff.,Rumex,Salix,Sambucus,Sanguisorba officinalis,Saxifragaceae,Scilla-type,Scrophulariaceae,Scutellaria-type,Serratula-type,Solidago-type,Sorbus,Spermatophyta undiff. (trees/shrubs),Sphagnumspore,Tamarix,Taxus,Thalictrum,Thymelaeaceae cf. Daphne,Tilia,Trifolium-type,Typha angustifolia,Typha latifolia,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Unknown undiff./spore,Urtica-type,Valeriana,Veronica-type,Viburnum,Vicia,Viola palustris-type,Viscum,Vitis,cf. Alchemilla,cf. Androsace,cf. Callitriche,cf. Centaurium,cf. Chrysosplenium,cf. Circaea,cf. Daphne,cf. Elatine,cf. Epilobium,cf. Euphorbia,cf. Frangula/Bruckenthalia,cf. Helianthemum,cf. Larixpalynomorph,cf. Mentha,cf. Mercurialis,cf. Myrica,cf. Onobrychis-type,cf. Platanus,cf. Rutaceae,cf. Sambucus,cf. Samolus valerandi,cf. Sedum,cf. Trichomanesspore
67.5,--/969/--,1,1,,,,98,,,,,7,,,1,,2,,,,,,,,,,29,,1,,,,,,,,,,,,,16,,1,,,,,,,,,,,,29,,,1,,,,,,1,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,1,,19,,,,,,,1,,,4,,7,2,42,2,,,1,,,,,2,,14,145,,,,,,1,6,,,,,,,,,,4,,,,,,2,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.2,--/1034/--,,,,,,80,2,,,,7,,,5,,1,,,,,,,,,,17,,2,,,,,,,,,,,,,15,1,2,,,,,,,,,,,,29,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,8,,32,,,,,,,,,,3,1,11,1,55,4,,,3,,,,,5,,14,175,,,,,,1,8,,,,,,,,,,3,,,1,,,1,,2,2,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
80,--/1110/--,1,,,,,43,4,,,,6,,,4,,5,,,,,,,,,,15,,3,,,,,,,,,,,,,11,,6,,,,,,,,,2,,,27,,3,2,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,1,,,3,6,,32,,,,,,,2,,,2,3,5,5,87,9,,,,,,,,1,,14,85,,,,,,2,1,,,,,,,,,,1,,,1,,,,,2,3,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
86.2,--/1179/--,,1,,,,56,4,,,,6,,,5,,8,,,,,,,,,,18,,1,,,,,,,,,1,,,,8,,8,,,,,,,,,,,,20,,2,1,,,,,,2,,,,,6,,,,,,3,,,,,,,,,,,,,,5,,,4,4,,38,,,,,,,,,,3,1,12,5,57,4,,,,,,,,5,,15,64,,,,,,,1,,,,,,,,,,1,,,,,,,,2,2,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
88.6,--/1207/--,1,1,,,,65,3,,,,8,,,5,,5,,,,,,,,,,27,,4,,,,,,,,,2,,,,10,1,6,,,,,,,,,1,,,29,,1,4,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,3,4,,16,,,,,,,1,,,1,2,7,2,60,5,,,4,,,,,4,,13,78,,,,,,1,8,,,,,,,,,,1,,,1,,,,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,--/1222/--,,,,,,69,1,,,,,,,1,,,4,,,3,,,3,,,14,2,8,,,,,,,1,,,,,,4,,2,,,,,,,,,1,,,27,,4,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,31,,,,,,,2,,,,,5,,13,,,,,,,,,,,,163,,,,,1,1,5,2,,1,,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
91.6,--/1233/--,1,,,,,67,,,,,8,,,2,,4,,,,,,,,,,17,,1,,,,,,,,,,,,,7,1,1,,,,,,,,,2,,,36,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,5,,,2,3,,27,,,,,,,,,,,5,6,4,54,19,,1,,,,,,5,,11,81,,,,,,1,2,,,,,,,,,,1,,,,,,,,1,1,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
102.1,--/1301/--,1,,,,,71,2,,,,2,,,3,,3,,,,,,,,,,26,,,,,,,,,,,3,,,,5,,1,,,,,,,,,1,,,71,,3,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,5,2,,35,,,,,,,,,,,2,1,3,32,27,,2,,,,,,2,,19,126,,,,,,1,5,,,,,,,,,,2,,,1,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,--/1313/--,,1,,,,56,2,,,,,,,,,,2,,,,,,,,,16,,3,,,,,1,,,,,,,,11,1,,,,,,,1,,,4,,,77,1,,2,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,1,,46,,,,,,,1,,,2,4,4,4,34,,,,,,,,,4,,5,130,1,,,,,2,2,,,,,,,,1,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.7,--/1378/--,2,1,,,,64,4,,,,7,,,1,,4,,,,,,,,,,25,,,,,,,,,,,,,,,3,,2,,,,,,,,,1,,,53,,,2,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,4,,,2,1,,17,,,,,,,2,,,1,3,9,2,29,22,,,,,,,,3,,8,92,,,,,,1,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
113.3,--/1440/--,1,1,,,,62,2,,,,7,,,4,,2,,,,,,,,,,16,,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,48,,2,5,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,3,3,,25,,,,,,,,,,4,,2,7,26,8,,,,,,,,2,,12,101,,,,,,,2,,,,,,,,,,3,,,,,,,,2,2,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
113.4,--/1441/--,1,2,,,,36,,,,,6,,,2,,5,,,,,,,,,,29,,3,,,,,,,,,,,,,5,,2,,,,,,,,,,,,70,,1,3,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2,,,3,3,,22,,,,,,,,,,3,2,3,5,45,11,,1,3,,,,,5,,9,120,,,,,,,2,,,,,,,,,,2,,,1,,,,,10,3,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
124,--/1586/--,1,1,,,,45,1,,,,,2,,,,,1,,,,,,,,,32,,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,69,,,3,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,10,,47,,,,,,,3,,,,4,3,3,23,,,,1,,,,,6,,15,85,,,,,3,1,,,,,,,,,,,,,,1,,,,,,,2,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,--/1752/--,,2,1,,,33,2,,,,,,,,,,3,,,,,,,,,15,1,3,,,,,1,,,,,,,,5,1,2,,,,,,,,,,,1,87,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,29,,,,,,,,,,,,2,1,22,,,,,,,,,,,,124,,,,,,2,,,,,,,,,1,,,,,,,,,,,,3,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
144.8,--/1836/--,,1,,,,76,,,,,2,,,1,,2,,,,,,,,,,73,,1,,,,,,,,,3,,,,13,1,,,,,,,,,,,,,108,,2,5,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,1,20,,45,,,,,,,,,,3,6,7,5,16,2,,,,,,,,3,,28,182,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,--/1909/--,,2,,,,47,,,,,,2,,1,,,1,,,,,,,,,67,,1,,,,,,,,,1,,,,12,3,,,,,,,,,,1,,,48,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,4,,68,,,,,,,8,,,,8,4,1,7,,,1,,,,,,,,13,95,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,--/1946/--,1,1,,,,100,,,,,3,,,3,,1,,,,,,,,,,68,,,,,,,,,,,,,,,14,2,,,,,,,,,,,,,33,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,49,,,,,,,3,,,1,6,4,1,26,2,,1,,,,,,1,,14,164,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
180.4,--/2104/--,1,2,,,,119,3,,,,6,,,,,2,,,,,,,,,,53,,,,,,,,,,,4,,,,11,,1,,,,,,,,,1,,,45,,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,34,,52,,,,,,,,,,3,4,8,1,28,3,,,,,,,,1,,15,239,,,,,,5,1,,,,,,,,,,,,,1,,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.5,--/2106/--,,,,,,60,,,,,,,,2,,,3,,,,,,,,,21,,,,,,,,,,,,,,,10,9,6,,,,,,,,,1,,,21,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,30,,,,,,,8,,,1,,2,,31,,,,,1,,,,,,,204,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
184,--/2186/--,,1,,,,54,1,,,,,1,,2,,,2,,,1,,,,,,39,,,,,,,1,,,,2,,,,16,1,4,1,,,,,,,,2,,,37,,1,3,,,,,,,,,,,1,,,,5,,2,,,,,,,,,,,,,,,,,2,1,,52,,,,,,,3,,,,1,6,,17,,,1,,,1,,,2,,9,172,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,--/2352/--,,2,,,,100,2,,,,,1,,,,,2,,,,,,,,,41,,,,,,,1,,,,2,,,,9,1,4,,,,,,,,,1,,,15,1,1,1,,,,,,,,,,,,,,,3,,3,,,,,,1,,,,,,,,,,,1,,,37,,,,,,,2,,,1,,2,1,19,,,,,,,,,3,,20,124,,,,,3,1,,,,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.1,--/2394/--,1,,,,,83,2,,,,3,,,,,1,,,,,,,,,,41,,,,,,,,,,,2,,,,9,2,,,,,,,,,,1,,,16,,2,3,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,17,,28,,,,,,,,,,2,3,5,3,37,4,,,,,,,,5,,27,146,,,,,,2,,,,,,,,,,,2,,,,,,,,9,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
214.9,--/2520/--,12,,,,,125,1,,,,10,,,4,,2,,,,,,,,,,88,,,,,,,,,,,1,,,,66,,1,,,,,,,,,1,,,51,,1,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,57,,,,,,,,,,1,3,2,8,35,,,,,,,,,3,,13,106,,,,,,2,,,,,,,,,,,1,,,,,,1,,5,1,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
220.5,--/2565/--,,,1,,,69,,,,,,,,2,,,4,,,2,,,,,,38,,3,,,,,,,1,,,,,2,20,,1,,,,,,,,,2,,,27,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,6,,17,3,,,,,,,,,,,4,,33,,,,,,,,,1,,6,117,1,,,,,8,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
225.5,--/2648/--,4,1,,,,69,,,,,,,,1,,,,,,,,,1,,,28,,,,,,,2,,,,2,,,,23,2,3,,,,,,,,,2,,,33,,,2,,,,,,1,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,3,3,,41,,,,,,,,,,3,1,3,4,28,,,,,,,,,2,,13,105,,,,,,2,1,,,,,,,,,,,,,4,,,,,,,3,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
236,--/2823/--,11,1,,,,23,1,,,,3,,,2,,,,,,,,,,,,46,,,,,,,,,,,1,,,,82,,1,,,,,,,,,1,,,19,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,28,,,,,,,,,,,,3,,34,4,,,,,,,,1,,23,32,,,,,,1,1,,,,,,,,,,3,,,2,,,1,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.5,--/2981/--,6,,,,,72,,,,,,,,1,,,1,,,,,,,,,68,,,,,,,,,1,,1,,,,61,1,,1,,,,,,,,2,,1,24,,1,,,,,,,2,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,3,1,,48,,,,,,,,,,1,2,3,1,10,,,,,,,,,2,,11,58,,,,,1,2,2,,,,,,,,,,,,,2,,,,,1,,2,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,
254.6,--/3132/--,18,,,,,127,,,,,5,,,1,,2,,,,,,,,,,24,,1,,,,,,,,,,,,,31,,,,,,,,,,,,,,8,,3,4,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,27,,,,,,,8,,,1,,1,1,12,2,,,,,,,,,,8,132,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
265.5,--/3314/--,36,1,,,,52,,,,,,,,1,,,,,,,,,,,,58,3,,,,,,1,,,,,,,,27,1,,,,,,,,,,1,,1,29,,3,4,,,,2,,4,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,5,1,,66,,,,,,,10,,,1,1,4,2,25,,,,,,,,,,,30,26,,,,,1,,,,,,,,,,1,,,,,19,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.3,--/3425/--,33,2,,,,126,2,,,,11,,,1,,,,,,,,,,,,19,,,,,,,,,,,1,,,,16,,2,,,,,,,,,,,,18,,9,7,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,44,,,,,,,,,,1,,1,1,19,,,1,,,,,,1,,24,104,,,,,,1,,,,,,,,,,,,,,21,,,1,,,1,19,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
275.5,--/3456/--,25,,,,,86,2,,,,,,,1,,,1,,,,,,,,,27,,,,,,,,,,,,,,,11,,1,,,,,,,,,1,,2,20,,2,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,47,,,,,,,5,,,1,1,2,,13,,,,,,,,,1,,10,65,,,,,1,,,,,,1,,,,,,,,,24,,,,,2,,27,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
315.5,--/4018/--,24,,,,,47,3,,,,,2,,,,,,,,,,,,,,29,1,1,,,,,,,,,,,,,10,1,,,,,,,,,,1,,,10,1,1,,,,,1,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,67,,,,,,,16,,,1,1,4,,16,,,,2,,,,,2,,14,106,1,,,,3,,,,,,,,,,,,,,,13,,,1,,,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
319.3,--/4043/--,32,2,,,,53,,,,,2,,,,,2,,,,,,,,,,25,,,,,,,,,,,,,,,19,,3,,,,,,,,,,,,9,,4,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,47,,,,,,,1,,,4,2,2,1,19,3,,,,,,,,2,,30,124,,,,,,1,,,,,,,,,,,6,,,12,,,2,,,,27,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
320.5,--/4050/--,9,2,,,,25,2,,,,,4,,1,,,2,,,,,,,,,21,,1,,,,,1,,1,,,,,,27,4,1,,,,,,,,,1,,1,6,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,36,,,,,,,,,,3,1,5,,9,,,,,,,,,,,27,125,,,,,,,,,,,1,,,,1,,,,,7,1,,,,,,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
