Depth,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,Radiocarbon years BP,Abies,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anemone,Apiaceae,Aquilegia-type,Arbutus,Arctium/Jurinea,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus albus-type,Aspleniumspore,Asteroideae,Berberis,Betula,Botrychiumspore,Brassica-type,Bunium-type,Bupleurum-type,Butomus umbellatus,Calligonum,Caltha,Campanula-type,Capsella-type,Carduus-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea jacea-type,Centaurea solstitialis-type,Cheilanthesspore,Cichorioideae,Cirsium/Gundelia,Cistus,Cladium mariscus,Clematis-type,Convolvulus,Cornus,Corylus,Cotinus coggygria,Crassulaceae,Crataegus-type,Cuscuta,Cyperaceae,Daphne,Delphinium-type,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagopyrum,Fagus,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Genista-type,Gentianaceae,Geranium,Halothamnus-type,Hedera,Helianthemum,Heliotropium-type,Helleborus,Hippuris,Humulus/Cannabis,Hymenophyllumspore,Hypericum perforatum-type,Ilex,Isoëtesspore,Juglans,Juniperus,Knautia,Lamiaceae,Liliaceae,Lomelosia rotata-type,Loranthus,Lotus-type,Lycopodiumspore,Lysimachia,Lythrum,Malabaila,Matricaria-type,Matthiola,Mercurialis annua,Myriophyllum spicatum/M. verticillatum,Myrtus,Nepeta-type,Nigella,Noaea-type,Nymphaea,Olea,Oleaceae,Oleaceae/Brassicaceae,Onosma-type,Ophioglossumspore,Ornithogalum,Osmunda regalisspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Phillyrea,Phlomis,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago ovata-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Primulaceae,Prunus-type,Pteridiumspore,Pterisspore,Quercus cerris-type,Quercus coccifera-type,Ranunculaceae,Ranunculus asiaticus-type,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Sambucus nigra-type,Sanguisorba officinalis,Sanguisorba-type,Sanicula-type,Scilla-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Spartium,Spergula,Spergularia-type,Sphagnumspore,Stachys-type,Symphytum-type,Tamarix,Teucrium,Thalictrum,Theligonum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trachomitum,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (trilete)spore,Urtica,Valeriana,Valerianella,Viburnum-type,Vicia-type,Vitis,Xanthium,Zea mays
300,1867/1751/1636,--/1777/--,6,,,,,6,,2,,,,,3,,,4,4,,1,2,11,,,,,,,1,,1,1,,,,,,,,10,,,,,,,,,,,,19,,,,3,,1,,6,,1,,2,,,,3,,,,,,,1,,,,,,,,4,2,,,,,,,,,,,,4,,,,,,,2,,12,,6,,1,,,21,,,1,3,,18,14,,,,,,,,2,46,6,1,2,,,,,,44,,312,56,,,1,,,,,,,2,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,3,12,,,,,,,2,,
305,1926/1806/1690,--/1846/--,1,1,,,1,11,,3,,,,,4,,,,,,,,10,,,,,,,,,,1,,,,,,4,,8,,,,,,,2,1,,,,20,,,,7,,6,,9,,1,,,,,,2,,,,,,2,1,,,,1,2,,,1,5,,,,,,,,,,,,3,,3,1,,,,2,,8,,24,,3,,1,14,,,5,3,,13,21,,2,,,,,4,2,61,,4,2,,,1,1,,37,,445,43,,,,,,,,,1,,,,,,,,,,4,,6,,,,,,,1,,4,,,,1,,,,,1,16,,,,,,,11,,
307,1949/1828/1711,--/1873/--,6,,,,,7,,,,,1,,,,,2,3,,1,,6,,,,,,,1,1,,1,1,,,,,,,1,,2,,1,,,,,,,,10,,1,,3,,,,7,,1,1,2,,,,,,,,1,,,,,,,,2,,1,,2,,,,,,,,,,,,1,,1,,,,,,,13,,15,,1,,,8,,,2,1,,9,8,,3,,,,,,3,36,8,1,,,,,,,34,,264,31,,,,2,,,,,2,2,,1,,,,,,2,,,,,,,,1,,,,1,,,,,,,,1,2,4,,,,,,,2,,
310,1985/1862/1743,--/1915/--,6,,,,1,9,,1,,,,,2,1,3,1,3,,1,,8,,,,,,,,1,1,4,,,,,,1,,9,,,1,,1,,1,3,,,,33,,,,7,,,,11,,,,1,,,,,,,,,,1,1,,,,,3,,,2,3,,,,,,1,,,,,,1,,,,,,,2,,9,,17,,2,,1,12,,,2,,,15,10,,2,,6,,,,8,59,1,1,3,,,,,,34,,424,43,,,,1,,,,,,1,,,,,,,,,,,1,,,,,3,,,,1,,,,,,,,,4,10,,,,,1,,7,,
320,2106/1977/1852,--/2052/--,3,1,,,2,21,,1,,,,,4,,,2,7,,2,,14,,,,,,,6,,,7,,,,,,7,,15,1,2,,,,,3,1,,,,37,,1,,5,,4,1,19,,3,,1,,,,4,1,,,,,,,,,,,1,,,2,7,2,,,,,,,,1,,,6,1,,,,,,9,,23,,18,,6,3,,19,,,15,4,,20,17,1,4,4,5,,1,,3,87,4,1,2,,,,,,34,,322,121,,,3,1,,,,,,1,,,1,,1,,,,,,,,,,,7,,,,,,1,,1,,,,,,22,1,,,,,1,9,,
340,2368/2221/2086,--/2327/--,1,,,,1,12,,1,,,,,2,,,2,4,,,,5,,,,,,,,,1,1,1,,,,,4,,24,,,1,,,,2,2,,,,28,,3,,5,,2,,6,,2,,,,,1,,1,,1,,,,,,,1,3,,,,4,,3,,,,,,,,,,,1,,,,,,,6,,11,1,52,,,,,10,,,2,,,4,9,,1,,,,,,,35,1,7,1,,,,,,23,1,91,69,,,,,,,,,,,,2,,,1,,,,1,,8,,,,,,,,,,1,2,,,,,,,,25,,,,,,,3,,
360,2657/2487/2343,--/2601/--,2,,,1,1,15,,2,,1,,,4,5,,,7,,,,24,,,,,,,3,,1,,,,,,,1,,16,,2,,,,,1,,,,,51,,3,1,8,1,3,1,13,,,,,2,1,,2,,1,,,,,,,,,,1,,,2,,1,,,1,,,,,,,,6,,,1,,,,10,,23,,,,4,,,25,,1,2,,,10,7,1,3,,2,,3,,1,82,,11,,,,,,,14,,185,69,,,,,,,1,2,1,2,,,,1,3,,,2,,,4,,,,,5,,1,1,2,,,1,,,,,,2,13,,1,,,,,4,,
380,2971/2777/2628,--/2876/--,2,1,,,2,22,1,1,1,,,,9,,,,9,,1,,6,,,2,,,1,1,1,,1,,,,,,6,,22,,1,,,,,2,2,1,,,42,,4,,7,,1,,25,,1,,1,,,,3,5,,,,,,,,,,,1,,,13,,2,1,,4,,,1,,,,,5,,1,,,,,6,,23,,14,,4,,1,17,,1,4,3,,6,15,,6,,6,,,,,87,3,7,,,,,1,1,24,1,264,91,,,,,,,1,,1,2,,,,,3,1,,,,,5,,,,,4,,,,4,,,1,1,,,,,,46,1,,,,,,8,,
400,3322/3093/2942,--/3151/--,2,,,,2,42,,6,,,,,10,1,,,13,,1,,26,1,,,,,,,,1,6,,,,,,8,2,20,,1,3,,1,,5,,,,1,94,,1,1,23,,,3,18,,2,,3,,,,,2,1,1,,,,,,,,,1,,,15,,1,,,1,,,2,,,,,7,,1,1,,,,12,1,7,6,,,2,,1,32,,,2,,,5,8,,7,,2,5,,,,149,1,7,4,,,,,,41,,308,114,,,1,,,,2,,1,2,,5,,,2,,,4,,,50,,,1,,7,,,,2,,,1,,1,,,,1,39,2,,,,,1,8,,
420,3683/3439/3290,--/3425/--,3,5,,,2,35,1,10,,1,,,20,,,5,9,,2,,15,,,,1,,,6,1,,8,1,1,1,,,8,1,52,,,,1,,,4,2,,,,69,,6,1,11,,,1,18,,3,,2,,,,,4,,,,,,,,,,,6,1,,29,,,,,,,,1,,,1,,16,3,4,,,,1,20,,14,1,,,10,,4,43,,,1,1,,14,22,,17,1,,,,2,,140,4,13,5,,,1,,,72,3,316,94,,1,,5,1,1,1,1,1,8,,6,,,2,,,2,3,,9,,,2,,2,,,,4,,,,,,,,,1,61,,,,,,,14,,
440,4053/3817/3665,--/3700/--,,,,,1,19,,3,,,,,7,3,,4,12,,,,4,,,,,,,1,,,3,,,,,,2,,21,,,,,,,1,,,,,20,,,,3,,,,17,,2,,,,,,3,1,,,,,,,1,,,,2,,,12,,2,,,,,,,,,,,4,,,,,1,,4,,2,,8,,1,,1,21,,,1,6,,5,9,,7,2,,,1,,,49,2,2,1,,,,,,10,,70,30,,,,1,,,,1,1,1,,,,,,,,,,,1,,,,,,,,1,5,,,,,,,,1,1,14,,,,,,1,2,,
460,4459/4227/4056,--/4199/--,2,1,,,2,28,,5,,,,,4,1,1,,12,,1,,14,2,,,,,,3,,,8,,,,,,2,3,20,1,,,1,,1,1,,,,,34,1,,,6,,3,,12,,2,,,2,1,,,6,1,,,1,,2,,,,1,2,,,10,,2,,,,,,,,,,,5,,2,,,,,10,,2,,,,3,,,21,,,5,,,16,4,,5,,17,,,,,76,,11,,,,,,,37,,118,71,,,,1,,,,2,3,1,,3,,,3,,,,,,4,,,,5,2,1,2,2,1,,,4,1,,,,1,3,35,,1,,,,,2,,
480,4923/4667/4505,--/4698/--,1,,,,1,36,,7,,,,,,3,2,9,11,,3,,10,,,,,,,1,,1,3,,,,,,5,,26,,1,,,1,,,,,,,21,,,,10,,1,,16,,5,,2,,,,1,1,,,,,,3,,,,1,1,,,5,,1,,,,1,,,,,,,5,,2,,,,,7,,2,,2,,5,2,7,36,,,2,1,,10,12,,7,,2,3,2,,,71,2,10,2,,,,,,37,,116,47,,,,1,,,1,1,,3,,2,,,,,,,4,,2,,,,,1,,1,,7,,1,2,,,,,,,44,,,,,1,,6,,
500,5376/5129/4961,--/5198/--,1,,,,1,22,,3,,1,,,7,,,1,5,,1,,6,4,,,,,,2,,,2,,,,,,3,,9,1,,,1,,,,,,,,14,,2,,12,,,1,17,,,,,,,,1,4,,,,,,,1,,,,2,,1,18,,,,,,,,,,,,,6,,2,,,,,5,,1,,,,2,,,30,,,4,1,,6,2,,9,,1,6,,,,81,1,5,1,,,,,,34,,126,45,1,,,2,,,,1,2,3,,1,,,1,1,,,2,,3,,,,,1,,1,,1,,,,,,,,,3,20,,,,,,,2,,
520,5822/5610/5413,--/5697/--,2,,,,4,24,,6,,,,,9,,2,7,6,,2,,6,,,2,1,,,3,2,1,10,,,,1,,9,2,32,1,1,,1,,,,,,,,14,,1,,6,,,,21,,4,1,2,,,1,2,2,,,,,,1,,,,,3,,,9,,2,3,,2,,,,,,,,11,,3,,,,,6,,7,,7,1,5,,2,33,1,,4,3,,13,7,,11,1,10,,,,1,102,5,3,,,,,,,46,1,264,42,1,,2,,,,1,,1,3,,,1,,2,,,1,5,,2,1,,,,3,,1,,5,,,,2,,1,1,,1,32,,,,,1,,3,,
540,6291/6102/5881,--/6196/--,2,,,2,,17,,2,,,,,2,,,2,2,,1,2,3,,,,,,,2,1,,1,,,,,,1,2,13,,2,,,,,4,,,,,19,,,,8,1,2,,14,,,,,,,1,,,,,,,,,,,,,2,,,17,,2,,,,,,,,,,,3,,,,,,,3,,6,,,,,,2,28,,,3,,,8,7,,1,6,,,,,,40,,6,,,,,,,39,,191,30,1,,,,,,,2,,,,1,,,1,,,3,5,,4,,,,,1,,2,,1,,,,1,,,,,1,10,,,,,,,6,,
570,7045/6851/6572,--/6945/--,2,2,1,1,5,10,,,,,,,1,1,,,4,4,1,,15,1,,1,,,,1,,,3,,,,,,1,,9,1,,,,,,1,,,,,10,,,,15,,,,14,1,,,4,1,,2,1,,,,,,,1,,,,,,,,4,,,,1,1,,,,,,,,4,,1,,1,,,3,,6,,2,,3,,,32,,,2,,,10,1,,2,,3,,,1,1,63,,3,5,,,,,,13,,215,77,,,,,,,,,1,2,,1,,,1,,,,3,,2,,1,,,,,,,,,,,,,,,,2,21,1,,,,,,12,,
595,7727/7476/7130,--/7569/--,1,1,,1,,14,,8,,,,1,2,,2,3,10,,,1,6,,,,,,,,2,,,,,,,1,2,,24,,,1,,,,7,,,,,15,,2,,15,,3,,24,,5,,,,,,,2,,,,,1,,,,,,,,,17,,2,,,1,,,,,,,,2,,3,,,,,3,,4,,,,,,1,20,,,,1,,21,1,,2,5,,,,1,,70,1,6,,,,,,,25,,114,33,,,,,,,1,2,,,,,,,,,,1,1,,3,,,,,2,,,,,,,,3,,,,,,13,,,,,,,7,,
599,7837/7576/7220,--/7669/--,1,,,,,15,,2,,,,,1,1,,,6,,,,3,,,,,,,3,,1,,,,,,,3,,13,,1,,,,,,,,,,5,,,,20,1,3,,8,,,,,,,,,,,1,,,,,1,,,,,,,7,,1,,,,,,,,,,,4,,1,,,,,,,2,,,,1,,2,9,,,,,,13,1,,4,,,,,3,,39,3,2,3,,,,,,9,,63,25,,,,,,,,,,,,1,1,,,,,,1,,3,,1,,,2,,,,1,,,,,,,,,3,16,1,,,,,,3,,
