Depth,Sample age (C14 BP),Sample age (cal BP),Lycopodium spikecounted,Lycopodium tabletsquantity added,Lycopodium tabletsconcentration,Acer,Amaranthaceae,Arbutus,Artemisia,Asteraceae,Berberis,Betula,Buxus,Caryophyllaceae,Centaurea,Cistaceae,Corylus,Cyperaceae,Ephedra,Ericaceae,Fraxinus,Fungispore,Genista-type,Ilex,Indeterminable (unknown)/spore,Juglans,Juniperus,Lamiaceae,Myriophyllum,Olea,Phillyrea,Pinus,Pinus pinaster,Pistacia,Plantago,Poaceae,Polygonum aviculare-type,Potamogeton,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Quercus (deciduous),Quercus (evergreen),Rhamnus,Ricciaspore,Salix,Spermatophyta undiff. (trees/shrubs),Taxus,Thymelaeaceae,Typha,Ulmus,Zygnemataceaefilament/cell
66,--/2166.481/--,--/2277.8/--,160,2,12542,,10,,13,11,,1,,,,5,,9,2,,,14,,,9,,5,3,,1,2,306,8,,,31,,4,12,,13,23,,,1,,,,2,,38
68,--/2193.395/--,--/2312.6/--,148,2,12542,,3,,15,10,,,,,,9,,17,3,,,12,,,10,,13,2,,,,354,10,,,35,,6,15,,11,23,,,,,,,3,,34
73,--/2260.679/--,--/2399.3/--,150,2,12542,,12,2,15,7,,,,,,4,,25,5,,,27,,,12,1,21,7,,,,342,10,3,3,27,,2,12,,13,19,,,,,,,4,,61
78,--/2327.963/--,--/2485.4/--,157,2,12542,,2,3,5,12,,2,,,,6,1,14,5,,,18,,,12,1,6,3,4,1,,304,9,,,45,,2,5,,5,22,,,,,,,9,1,70
81,--/2368.333/--,--/2536.7/--,141,2,12542,,,,14,3,,1,,,,3,,13,2,,,24,,,16,,12,4,2,1,,310,13,2,,22,,4,,,11,19,,,2,,,,4,,60
11,--/1438/--,--/1339.7/--,144,2,12542,,5,,19,18,2,,,3,5,11,,35,5,,,79,,,4,4,30,10,,2,2,130,,,12,32,6,,39,2,5,13,9,16,,11,,,,2,9
17,--/1507.099/--,--/1438/--,158,2,12542,,8,2,5,4,1,5,,,,5,2,28,2,,3,59,,,10,,21,9,,,,326,13,,3,23,,,5,,12,25,2,,,3,,,,1,60
25,--/1614.753/--,--/1572.5/--,139,2,12542,3,2,,6,4,2,3,,2,2,2,1,9,1,,,10,,,8,2,21,5,,,,338,10,2,,19,,2,9,,15,22,1,3,2,3,,,9,1,80
35,--/1749.321/--,--/1746/--,144,2,12542,,6,,10,9,,,,,,5,,10,2,,3,17,,,5,,14,7,,,,332,14,,2,9,,,,,14,25,,,1,,,,4,3,38
50,--/1951.173/--,--/2003.3/--,139,2,12542,,3,1,15,6,,2,,,,5,,28,2,,,18,,,11,,13,5,,1,,363,14,,2,40,,,7,,12,19,,,2,,,,2,,28
70,--/2220.309/--,--/2347.5/--,155,2,12542,,7,,9,8,,1,,,,11,3,28,2,,,11,,,12,,12,9,,4,,322,11,,3,22,,9,,,10,21,,,,,,,4,,45
79,--/2341.42/--,--/2502.8/--,153,2,12542,,1,4,10,10,,,,,,5,1,23,4,,,9,,,3,2,19,6,3,1,,348,15,,,13,,7,,,11,18,,,1,,,,,2,40
89,--/2475.988/--,--/2670.4/--,143,2,12542,,2,,12,10,1,,,,,12,,25,1,,2,22,,,3,,5,6,,,4,338,6,,,41,,3,4,,17,27,,,,1,,,2,1,83
99,--/2602.5/--,--/2853.8/--,170,2,12542,2,2,,18,5,,,,,,4,3,14,2,,,14,,,9,,20,6,3,,2,298,17,,3,38,,2,6,,29,24,,,,,,,12,1,49
114,--/3295/--,--/3539.2/--,149,2,12542,,7,,11,11,,,,,,8,1,27,2,5,,21,,1,5,,19,2,,4,5,288,4,,,16,,6,5,,11,20,,,1,,,,5,,29
134,--/4010.769/--,--/4524.8/--,150,2,12542,,2,,6,6,,3,,,,5,1,7,,1,,27,,2,8,1,23,,9,1,5,398,5,3,,32,,5,13,,10,23,,,2,,,,4,3,66
147,--/4577.963/--,--/4954/--,156,2,12542,,,1,,3,,7,2,,,4,6,7,,3,,25,,2,10,,,2,4,9,5,294,17,4,2,27,,3,,,22,8,,,4,,,,3,3,80
158,--/5233.889/--,--/5472/--,154,2,12542,2,1,3,,4,,11,1,,,2,4,3,,2,,29,,2,9,,3,,4,5,5,267,22,3,,28,,10,11,,19,8,,,4,,,5,11,6,48
3,--/1367.6/--,--/1214/--,150,2,12542,,13,,25,11,4,,,6,2,12,,58,2,,,55,4,,12,5,34,21,,2,,76,3,,13,26,8,,62,3,5,4,10,35,,18,,,,2,5
16,--/1493.642/--,--/1420.6/--,149,2,12542,,8,1,11,11,1,,,,,4,,12,1,,,29,,,2,2,14,4,,5,,289,7,,5,16,,,11,,7,23,,13,,1,,,,,58
24,--/1601.296/--,--/1556.1/--,150,2,12542,2,8,,7,3,1,,,,1,5,,18,,,,9,,,13,1,15,9,,1,,383,8,,5,18,,,7,,10,40,,1,,1,,,8,2,55
36,--/1762.778/--,--/1762.9/--,170,2,12542,,3,,17,5,,,,,,6,2,11,2,,,21,,,13,,14,4,1,,,358,8,,,19,,5,5,,11,25,2,,2,2,,,4,2,39
52,--/1978.086/--,--/2038/--,150,2,12542,,4,,8,5,,1,,,,4,2,17,5,,,17,,,11,,12,5,,,2,346,5,,3,41,,,,,18,13,,,1,,,,8,1,31
71,--/2233.765/--,--/2364.6/--,150,2,12542,,5,2,13,9,,,,,,8,,18,3,,2,30,,,13,,15,5,,1,,309,11,,4,37,,4,,,15,21,,,1,,,,3,2,59
80,--/2354.876/--,--/2520/--,137,2,12542,1,,1,12,8,,,,,,2,,14,1,,,14,,,,,7,3,3,,,367,14,1,,11,,5,,,17,31,,,3,,,,5,,53
91,--/2502.901/--,--/2703.2/--,158,2,12542,,,1,4,8,,4,,,,10,,11,2,8,,15,,,11,,13,6,,1,3,399,9,1,1,38,,2,6,,16,17,,,1,,,,8,1,64
102,--/2695/--,--/2935.6/--,167,2,12542,,10,,12,8,,1,,,,6,,19,,4,,16,,,1,1,22,4,,3,,275,2,3,,33,,9,12,,5,17,,,,,,,9,5,67
116,--/3395/--,--/3653.5/--,171,2,12542,,3,1,13,10,,,,,,8,2,8,,1,,11,,,8,,15,,1,3,,279,2,1,2,17,,3,16,,12,28,,,2,,,,4,,44
136,--/4026.154/--,--/4586.3/--,165,2,12542,,,2,4,2,,5,1,,,4,2,5,1,,2,21,,,7,,8,2,5,7,3,288,6,4,2,26,,7,6,,13,15,,,3,,,,12,4,63
144,--/4399.074/--,--/4829.1/--,160,2,12542,1,,,4,2,,8,,,,3,4,17,2,4,3,14,,,12,1,6,,5,,1,264,20,4,,33,,8,5,,30,5,,,2,,,2,5,1,52
153,--/4935.741/--,--/5233.9/--,150,2,12542,,,3,,10,,7,1,,,2,7,5,,3,,32,,,6,,4,1,,4,2,275,15,4,4,41,,9,,,10,7,,,5,,,3,5,4,38
7,--/1402.8/--,--/1276.6/--,144,2,12542,,15,2,29,12,3,,,7,2,9,1,53,3,,,56,5,,19,,29,16,,1,,108,,,12,35,10,,62,3,6,7,8,23,,16,,,3,,7
28,--/1655.123/--,--/1624.9/--,157,2,12542,2,1,1,11,5,,,,,,9,,12,5,,,23,,,13,,15,4,,1,,344,15,,,21,,,5,,13,31,,3,2,,,,6,1,63
38,--/1789.691/--,--/1797/--,160,2,12542,,5,,5,3,,,,,,7,1,20,3,,,12,,,6,,21,4,,,,354,7,2,,33,,6,2,,12,18,,,1,,,,5,,48
54,--/2005/--,--/2072.8/--,150,2,12542,2,4,1,10,4,,,,,,5,,16,4,,,22,,,10,,32,4,,,1,361,12,,4,24,,3,3,,15,25,,,3,,,,9,,33
72,--/2247.222/--,--/2381.9/--,150,2,12542,1,4,3,11,9,,2,,,,8,,15,6,,,28,,,10,1,14,8,,,,355,12,4,5,31,,10,,,19,25,,,1,,,,5,,37
82,--/2381.79/--,--/2553.7/--,144,2,12542,,3,1,8,7,,2,,,,4,,24,2,,1,21,,,12,,9,4,5,2,1,335,9,,3,23,,8,2,,10,21,,,1,,,,6,,62
92,--/2516.358/--,--/2720/--,150,2,12542,,,2,10,6,,,,,,7,,12,1,,,16,,,9,,10,5,,1,,326,17,1,2,13,,2,7,,10,26,,,2,,,,4,1,33
101,--/2645/--,--/2904.9/--,190,2,12542,,2,,29,8,,,,,,5,3,17,3,,,21,,,12,1,16,9,,2,,270,1,2,3,36,,4,,,8,21,,,1,,,,5,4,47
105,--/2845/--,--/3028.2/--,150,2,12542,,8,1,18,7,,2,,,,3,2,22,2,,,11,,,8,,19,5,5,,3,308,4,,,33,,2,,,14,15,,,2,,,,9,,60
123,--/3745/--,--/4038.9/--,140,2,12542,3,4,,19,5,2,5,,,,2,2,9,,,,23,,,4,1,16,5,4,5,6,264,7,3,,35,,5,,,15,17,,,,2,,,8,,37
139,--/4140/--,--/4670.7/--,150,2,12542,,,2,,8,,3,,,,5,5,5,,,,21,,,9,,6,,2,5,3,277,6,2,3,26,,6,,,8,21,,,2,,,,5,3,77
149,--/4697.222/--,--/5043.9/--,150,2,12542,,,,,7,,5,,,,2,3,7,,5,3,21,,1,7,2,9,,5,10,5,291,16,5,,34,,4,7,,38,8,,,2,,,,8,6,67
161,--/5412.778/--,--/5616.5/--,154,2,12542,3,,5,1,5,,8,2,,,3,8,7,,2,5,10,,,9,,,,4,12,5,291,19,5,4,20,,7,6,,19,4,,,4,,,,4,1,73
169,--/5889.815/--,--/5993.5/--,150,2,12542,3,,4,2,2,,10,1,,,1,8,8,,4,5,13,,,6,1,3,,9,10,5,287,13,5,,23,,12,10,,38,3,,,5,,,3,5,4,44
83,--/2395.247/--,--/2570.7/--,150,2,12542,1,4,,9,4,,,,,,4,,35,2,,2,23,,,11,,16,5,,1,,350,10,,4,27,,4,12,,11,19,,,2,,,,6,,55
93,--/2529.815/--,--/2737.3/--,146,2,12542,,2,1,14,7,,5,,,,4,,21,2,,1,12,,,5,,11,5,2,1,3,349,15,3,3,23,,1,19,,19,29,,,,,,,5,2,38
100,--/2614.167/--,--/2874.5/--,190,2,12542,,3,2,11,7,,4,,,,4,,9,2,,,12,,,11,,28,1,,2,5,289,1,,4,48,,9,,,15,19,,,2,,,,5,2,80
104,--/2795/--,--/2997.3/--,170,2,12542,,4,2,10,3,,,,,,5,2,21,3,,,9,,,,,21,7,3,1,6,283,5,1,2,35,,3,,,10,18,,,1,,,,3,3,40
121,--/3645/--,--/3930.4/--,150,2,12542,,1,,12,6,,,,,,5,,10,,,,28,,1,6,,23,,,,3,325,9,2,,25,,6,,,11,22,,,2,,,,8,2,42
138,--/4096/--,--/4642.8/--,180,2,12542,,1,,3,10,1,4,,,,,3,26,,,,34,,,7,,5,,3,2,5,280,5,5,2,19,,5,,,9,29,,,2,1,,,3,2,80
148,--/4637.593/--,--/4999.6/--,170,2,12542,3,1,,,2,,5,1,,,3,8,9,,3,2,22,,,9,1,,,3,7,3,302,21,,5,33,,3,,,17,8,,,3,,,,4,1,77
160,--/5353.148/--,--/5568.4/--,157,2,12542,3,,4,,2,,9,1,,,3,7,3,,8,4,30,,1,7,2,2,,3,3,3,298,20,4,3,19,,11,4,,40,8,,,2,,1,,10,2,83
166,--/5710.926/--,--/5854.5/--,145,2,12542,,,2,,1,,12,2,,,2,3,5,,3,6,12,,1,7,,,,9,4,6,256,12,3,2,45,,13,,,32,5,,,4,,3,,6,4,55
88,--/2462.531/--,--/2654/--,144,2,12542,,3,,11,2,1,,,,,5,,28,,,,22,,,3,2,17,7,,2,,358,16,,,30,,5,5,,10,21,,,2,1,,,9,,40
98,--/2590.833/--,--/2833/--,170,2,12542,3,3,,5,4,1,3,,,,7,6,33,1,,6,15,,,8,,7,4,2,5,2,351,20,2,6,44,,8,12,,26,18,,,,1,5,,11,2,90
112,--/3195/--,--/3422/--,150,2,12542,2,10,1,15,6,2,1,,,,6,,16,2,5,,18,,,12,,14,3,9,1,,304,5,,,16,,4,2,,13,34,,,,2,,,5,,71
135,--/4018.461/--,--/4558.6/--,160,2,12542,2,,1,6,5,,6,,,,5,5,6,,,,29,,1,11,,15,,4,,4,289,11,5,1,55,,6,5,,5,19,,,3,,,,9,1,45
143,--/4339.444/--,--/4796.7/--,155,2,12542,2,,2,,5,,3,,,,4,6,23,1,,,16,,,1,,,,4,3,2,254,11,3,,41,,8,5,,21,,,,1,,,,7,2,60
152,--/4876.111/--,--/5185.3/--,150,2,12542,2,,1,2,3,,12,2,,,3,4,4,,3,,21,,,8,1,,,3,5,5,266,10,3,,28,,5,,,19,5,,,1,,,5,2,4,47
90,--/2489.444/--,--/2686.9/--,148,2,12542,,1,,14,9,1,1,,,,3,1,10,3,,,16,,1,5,,15,7,1,1,2,327,18,2,1,40,,4,,,7,22,,,,1,,,9,2,44
103,--/2745/--,--/2966.2/--,178,2,12542,,7,1,11,4,,,,,,5,5,12,,7,,21,,,11,2,18,6,2,4,7,290,,2,,32,,8,,,10,16,,,2,,,,9,2,49
118,--/3495/--,--/3765.3/--,150,2,12542,,2,,18,9,,4,,,,3,3,7,1,,1,19,,1,5,1,13,,2,2,,290,8,2,,21,,7,25,,8,12,,,1,,,,9,1,28
137,--/4052/--,--/4614.5/--,167,2,12542,,2,3,2,4,,5,,,,4,,7,2,,,21,,,7,,,3,3,3,6,253,4,3,3,21,,5,7,,9,12,,,1,,,,11,5,29
145,--/4458.704/--,--/4861.5/--,150,2,12542,,,,3,9,,4,,,,2,8,12,,12,,16,,1,9,,2,,6,6,2,288,10,5,3,42,,7,5,,19,5,,,5,,,1,3,1,57
155,--/5055/--,--/5327.3/--,145,2,12542,3,,1,,4,1,13,,,,1,10,3,,2,,19,,1,14,,,,5,5,5,283,18,6,,33,,7,,,20,5,,,2,1,1,,7,4,58
9,--/1420.4/--,--/1307.9/--,155,2,12542,,13,,22,14,4,,,8,3,16,,44,2,,,93,4,,2,4,26,8,,,,118,6,,10,20,,,43,,4,9,12,12,,20,,,,2,
18,--/1520.556/--,--/1455.2/--,171,2,12542,,8,,16,3,,,,1,,6,,16,3,,,25,3,,5,,10,12,,2,,295,10,,,26,,,7,,16,19,,11,,3,,,6,,39
26,--/1628.21/--,--/1589.9/--,145,2,12542,,1,,16,10,,,,,,4,,16,1,,,15,,,9,,16,7,,1,,300,16,,,32,,4,11,,10,32,,,2,,,,4,,58
40,--/1816.605/--,--/1830.4/--,166,2,12542,,4,2,18,9,,,,,,3,2,9,2,,2,30,,,15,,17,6,,2,,375,13,,3,36,,,10,,16,25,,,1,,,,4,,44
60,--/2085.741/--,--/2176.1/--,162,2,12542,,1,1,14,11,1,1,,2,,12,,12,3,,,21,,,17,1,19,3,4,1,,332,8,,3,31,,4,15,,18,28,,,1,1,,,9,3,67
75,--/2287.593/--,--/2433.5/--,150,2,12542,,5,,11,3,,,,,,9,,10,4,,,22,,,9,,16,9,,1,2,399,7,2,4,33,,4,4,,18,21,,,1,,,,7,,48
85,--/2422.16/--,--/2604.8/--,150,2,12542,,5,1,16,3,,,,,,8,3,9,1,,,15,,,9,,11,6,,,2,333,15,3,,29,,3,,,17,30,,,,,,,7,3,63
96,--/2567.5/--,--/2791.6/--,178,2,12542,5,1,,6,5,,5,,,,4,7,21,2,,2,33,,1,12,,10,4,2,3,2,389,16,,,21,,9,,,28,17,,,2,,,,9,,18
108,--/2995/--,--/3194.7/--,143,2,12542,,2,,19,1,,,,,,3,,4,,,,30,,,9,,16,5,,1,,277,9,2,2,36,,6,,,6,19,,,,,,,6,2,48
130,--/3980/--,--/4387.5/--,151,2,12542,,7,1,10,4,,2,1,,,6,,16,3,,,11,,,4,,29,,3,3,3,324,13,3,,31,,6,7,,5,19,,,1,,,,6,,38
141,--/4228/--,--/4731.4/--,150,2,12542,,,2,3,9,,1,1,,,2,5,3,,,,11,,1,12,,,,,,2,295,7,,,38,,3,,,7,20,,,2,,,,9,3,47
151,--/4816.481/--,--/5137.1/--,144,2,12542,2,,1,3,4,,7,1,,,2,7,5,,2,,13,,2,6,1,2,,6,5,1,288,11,5,3,27,,5,,,24,,,,1,,1,,1,4,85
162,--/5472.407/--,--/5664.9/--,152,2,12542,2,,3,,4,,7,1,,,2,5,5,,11,5,11,,1,12,,9,,6,5,4,300,15,5,,34,,7,,,25,7,,,5,,2,4,3,5,58
10,--/1429.2/--,--/1323.7/--,162,2,12542,,13,,30,15,1,,,9,4,14,,69,2,,,39,3,,10,3,31,19,,1,,113,5,1,15,12,2,,46,,4,10,13,20,,17,,,,,6
14,--/1466.728/--,--/1387.4/--,150,2,12542,,6,,9,4,,,,1,2,13,,26,2,,,29,2,,6,3,16,11,,,,279,10,,6,36,,,12,,10,16,3,10,,5,,,,,39
19,--/1534.012/--,--/1472/--,158,2,12542,,5,1,22,7,,,,,,3,1,17,2,,,13,2,,17,1,21,10,,3,,337,3,3,5,26,,,11,,9,23,1,,,3,,,6,,41
20,--/1547.469/--,--/1488.8/--,154,2,12542,,3,3,21,6,,5,,,,5,,12,6,,,29,,,12,2,20,8,,2,,364,10,,5,25,,,12,,13,28,2,,,2,,,5,,70
27,--/1641.667/--,--/1607.4/--,156,2,12542,,2,,11,9,,2,,,,5,2,14,1,,,15,2,,12,,17,7,,1,,342,9,,,11,,,10,,16,21,,,1,2,,,8,2,55
30,--/1682.037/--,--/1659.9/--,150,2,12542,,9,2,12,8,,3,,,,8,1,11,2,,,28,,,11,1,10,4,,1,2,307,7,,4,31,,,21,,15,22,,,1,,,,5,,45
37,--/1776.235/--,--/1780.1/--,155,2,12542,,6,,14,4,,3,,,,7,,21,3,,,31,,,9,,13,5,,,,321,9,,,10,,5,16,,7,22,,,,,,,3,,75
41,--/1830.062/--,--/1847.4/--,146,2,12542,,5,2,7,12,2,,,,,8,,8,3,,,20,,,3,3,10,6,,,,309,7,,2,27,,,10,,8,20,,,1,2,,,4,2,41
58,--/2058.827/--,--/2141.6/--,150,2,12542,,10,,15,12,,,,2,,8,2,11,2,,,13,,1,4,1,18,4,,1,,337,13,,6,28,,2,12,,12,19,,,1,,,,9,,77
64,--/2139.568/--,--/2243.7/--,163,2,12542,,5,,21,5,,1,,,,14,2,21,3,,,13,,,8,,17,4,,2,1,379,8,,,45,,5,,,7,27,,,1,,,,,,71
74,--/2274.136/--,--/2416.6/--,153,2,12542,,10,,16,6,,2,,,,9,1,20,3,,,31,,,11,,13,2,,2,,360,16,3,3,22,,12,11,,12,26,,,1,,,,6,,66
76,--/2301.049/--,--/2450.8/--,149,2,12542,,5,,11,4,,1,,,,7,,11,3,,2,23,,,9,,19,7,,,,321,9,1,9,37,,4,5,,12,24,,,,,,,9,2,51
84,--/2408.704/--,--/2587.9/--,150,2,12542,,7,,9,3,,2,,,,5,3,12,,,,17,,,8,,4,4,,,,321,12,,4,18,,,10,,10,16,,,2,,,,8,2,54
87,--/2449.074/--,--/2637.6/--,150,2,12542,1,2,,10,3,,3,,,,9,2,18,2,,2,31,,,9,1,20,6,,1,,321,8,,,49,,5,5,,6,21,,,2,,,,7,4,33
94,--/2543.271/--,--/2754.3/--,150,2,12542,,1,,13,5,,,,,,2,1,35,2,,,31,,,7,,8,3,3,2,2,290,14,2,2,30,,1,,,18,27,,,2,,,,7,,48
97,--/2579.167/--,--/2812.1/--,170,2,12542,4,2,1,7,5,,5,,,,7,3,11,3,,5,15,,,7,,7,3,,4,3,323,32,4,5,41,,7,1,,32,25,,,1,,5,,11,1,45
106,--/2895/--,--/3083.6/--,150,2,12542,,11,,12,5,,3,,,,6,,17,,,,20,,,5,,17,7,3,,4,271,10,2,,27,,4,,,8,17,,,1,,,,8,,71
110,--/3095/--,--/3304.9/--,156,2,12542,,3,1,16,2,,,,,,7,3,9,1,,,15,,,8,,18,2,,,,270,10,,,26,,6,1,,9,27,,,,,,,5,,33
125,--/3834.545/--,--/4147.4/--,148,2,12542,,6,1,20,5,,3,,,,7,6,8,,,,34,,,9,,21,4,5,3,4,289,6,4,,34,,4,,,9,16,,,1,,,,7,,56
132,--/3995.385/--,--/4456.1/--,150,2,12542,,4,,3,7,,4,,,,4,3,8,2,,,16,,1,9,1,35,,5,4,4,329,7,5,,44,,10,12,,6,24,,,,,,,5,2,82
140,--/4184/--,--/4698.3/--,150,2,12542,,,,4,4,,,1,,,1,3,5,,,,25,,1,11,,,,7,4,2,299,17,,,27,,7,,,12,15,,,1,,,,10,4,55
146,--/4518.333/--,--/4907.8/--,150,2,12542,,,1,2,4,,6,1,,,3,5,9,,3,,19,,1,7,,3,,5,6,3,279,9,,4,18,,9,,,36,7,,,2,,,,6,2,58
150,--/4756.852/--,--/5088.4/--,153,2,12542,1,,,,13,,5,,,,1,7,5,,13,2,33,,1,6,,5,,5,2,4,270,13,1,,32,,4,,,40,4,,,3,,,,7,3,49
156,--/5114.629/--,--/5375.8/--,156,2,12542,2,,2,,3,,5,1,,,1,8,4,,11,4,18,,1,11,1,,,5,4,4,278,19,5,,32,,10,12,,33,,,,3,,,,6,5,67
164,--/5591.667/--,--/5760.4/--,150,2,12542,2,,2,,3,,4,1,,,2,10,,,5,,12,,2,9,,5,,4,6,7,279,19,4,,22,,9,,,34,5,,,6,,,,7,3,49
12,--/1446.8/--,--/1355.5/--,129,2,12542,1,14,1,12,21,6,,,4,6,12,,57,2,,,70,2,,7,5,32,11,,,,158,,,19,17,,,31,,6,16,8,15,,16,,,,1,13
21,--/1560.926/--,--/1506/--,154,2,12542,,4,,19,4,,,,,,4,2,21,5,,3,30,,,11,,18,4,,,,309,9,,,31,,,6,,12,30,,3,,,,,,2,23
34,--/1735.864/--,--/1728.8/--,153,2,12542,,4,,17,5,1,,,,3,2,1,15,1,,,13,,,3,,12,9,,,,366,7,,1,20,,,12,,7,26,,,1,1,,,6,2,29
43,--/1856.975/--,--/1881.6/--,167,2,12542,2,2,,12,7,,3,,,,11,,17,3,,,32,,,9,,13,7,,,,377,16,,4,21,,,9,,8,27,,1,,,,,3,,59
62,--/2112.654/--,--/2209.7/--,166,2,12542,,12,2,16,4,,2,,,,3,,16,3,,2,17,,,5,2,10,3,,1,3,342,14,,4,33,,3,11,,10,18,,,2,,,,,,64
77,--/2314.506/--,--/2468.1/--,150,2,12542,,3,2,10,4,,,,,,6,1,19,6,,,31,,,16,,5,2,,,,347,10,,,42,,3,3,,12,13,,,,,,,3,1,61
86,--/2435.617/--,--/2621.2/--,150,2,12542,,2,3,13,4,,3,,,,9,,19,2,,2,16,,,15,,17,5,2,,3,298,18,,,19,,4,11,,10,23,,,2,,,,2,1,39
95,--/2555.833/--,--/2771.6/--,169,2,12542,,1,1,11,5,,,,,,10,5,22,1,,,30,,1,8,,9,5,4,2,,311,27,,,25,,,,,21,28,,,1,,,,8,,15
107,--/2945/--,--/3139.4/--,155,2,12542,,3,,13,6,,3,,,,5,,7,1,,,22,,,14,,16,6,7,2,4,284,12,4,,26,,5,,,10,20,,,3,,,,7,1,58
127,--/3892.727/--,--/4244/--,150,2,12542,,5,1,17,5,,2,,,,2,3,7,4,,,35,,,12,1,22,3,3,2,6,278,7,,3,39,,9,21,,12,15,,,2,,,,8,,47
142,--/4279.815/--,--/4764.2/--,150,2,12542,,,,5,6,,5,,,,2,6,4,,,,36,,2,6,,3,,3,2,5,321,13,5,,31,,3,,,37,5,,,1,,,,8,3,38
154,--/4995.371/--,--/5281.1/--,155,2,12542,1,,,,6,,11,1,,,,5,4,,3,3,14,,1,5,,3,,,5,3,254,13,4,4,36,,1,,,35,,,,6,,,2,3,3,12
