Taxon (original name),Taxon (revised nomenclature),Family name,Pollen habit (code),Pollen habit (name),Plant habit,,,,,
Suada* monoïca,Suaeda monoica-type,AMARANTHACEAE,A,tree,shrub 1.2-6 m high,,,,,
Suaeda cf. monoica,Suaeda monoica-type,AMARANTHACEAE,A,tree,shrub 1.2-6 m high,,,,,
Suaeda monoica,Suaeda monoica-type,AMARANTHACEAE,A,tree,shrub 1.2-6 m high,,,,,
Suaeda monoica-type,Suaeda monoica-type,AMARANTHACEAE,A,tree,shrub 1.2-6 m high,,,,,
Suaeda* monoica,Suaeda monoica-type,AMARANTHACEAE,A,tree,shrub 1.2-6 m high,,,,,
SUAEDA* MONOICA,Suaeda monoica-type,AMARANTHACEAE,A,tree,shrub 1.2-6 m high,,,,,
Suaeda-type monoica,Suaeda monoica-type,AMARANTHACEAE,A,tree,shrub 1.2-6 m high,,,,,
type Sericocomopsis,Sericocomopsis-type,AMARANTHACEAE,A,tree,small bushy shrubs < 2 m,,,,,
Anacardiaceae,Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Anacardiaceae (2 especes),Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Anacardiaceae (2 espèces),Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Anacardiaceae comp.,Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Anacardiaceae Rhus longipes,Searsia-type longipes,ANACARDIACEAE,A,tree,shrub or tree 4-8 m high,,,,,
Anacardiaceae undiff.,Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Anacardiacees,Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Anacardiacées,Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Anacardium,Anacardium occidentale,ANACARDIACEAE,A,tree,shrub or tree up to 10 m high,,,,,
Anacardium occidentala,Anacardium occidentale,ANACARDIACEAE,A,tree,shrub or tree up to 10 m high,,,,,
Anacardium occidentale,Anacardium occidentale,ANACARDIACEAE,A,tree,shrub or tree up to 10 m high,,,,,
Anthrocaryon-type,Antrocaryon-type,ANACARDIACEAE,A,tree,large trees usually more than 20 m high,,,,,
Antrocaryon,Antrocaryon-type,ANACARDIACEAE,A,tree,large trees usually more than 20 m high,,,,,
Antrocaryon klaineana,Antrocaryon-type klaineanum,ANACARDIACEAE,A,tree,large tree,,,,,
Antrocaryon-type,Antrocaryon-type,ANACARDIACEAE,A,tree,large trees usually more than 20 m high,,,,,
Cf Anacardiaceae,Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
cf Anacardium occidentale,Anacardium occidentale,ANACARDIACEAE,A,tree,shrub or tree up to 10 m high,,,,,
cf Gluta tourtour,Gluta tourtour,ANACARDIACEAE,A,tree,tree,,,,,
cf Mangifera indica,Mangifera indica,ANACARDIACEAE,A,tree,evergreen dense crowned tree reaching until 40 m,,,,,
cf Poupartia caffra,Sclerocarya-type birrea ssp. caffra,ANACARDIACEAE,A,tree,deciduous spreading tree to 18 m high,,,,,
cf Rhus natalensis,Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
cf. Rhus vulgaris,Rhus-type pyroides,ANACARDIACEAE,A,tree,evergreen shrub or small tree 2-10 m high,,,,,
Cotinus,Cotinus,ANACARDIACEAE,A,tree,shrubs or trees,,,,,
Cotinus-type,Cotinus,ANACARDIACEAE,A,tree,shrubs or trees,,,,,
Fegimanra,Fegimanra,ANACARDIACEAE,A,tree,shrubs or trees,,,,,
Haematostaphis,Haematostaphis-type barteri,ANACARDIACEAE,A,tree,tree to 7.5 m high,,,,,
Haematostaphis barteri,Haematostaphis-type barteri,ANACARDIACEAE,A,tree,tree to 7.5 m high,,,,,
Haematostaphis-type barteri,Haematostaphis-type barteri,ANACARDIACEAE,A,tree,tree to 7.5 m high,,,,,
Heeria,Ozoroa-type,ANACARDIACEAE,A,tree,trees,,,,,
Heeria type,Ozoroa-type,ANACARDIACEAE,A,tree,trees,,,,,
Lanea type,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannaea type,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea  sp.,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea (tvpe),Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea (type),Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea acida,Lannea-type acida,ANACARDIACEAE,A,tree,tree  5.5 m tall,,,,,
Lannea comp.,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea sp.,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea spp.,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea type,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
LANNEA WELWITSCHI,Lannea-type welwitschi,ANACARDIACEAE,A,tree,Tree 10-30 m,,,,,
Lannea*,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
LANNEA*,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea/Sclerocarya,Lannea/Sclerocarya,ANACARDIACEAE,A,tree,trees and shrubs,,,,,
Lannea-t,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Lannea-type,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
Mangifera,Mangifera indica,ANACARDIACEAE,A,tree,evergreen dense crowned tree reaching until 40 m,,,,,
Mangifera indica,Mangifera indica,ANACARDIACEAE,A,tree,evergreen dense crowned tree reaching until 40 m,,,,,
Mangifera indica (P3cp 2,Mangifera indica,ANACARDIACEAE,A,tree,evergreen dense crowned tree reaching until 40 m,,,,,
Mangifera indica (P3cp 2),Mangifera indica,ANACARDIACEAE,A,tree,evergreen dense crowned tree reaching until 40 m,,,,,
Mangifera type,Mangifera indica,ANACARDIACEAE,A,tree,evergreen dense crowned tree reaching until 40 m,,,,,
Operculicarya,Operculicarya-type,ANACARDIACEAE,A,tree,shrubs or small trees,,,,,
Ozoroa,Ozoroa-type insignis,ANACARDIACEAE,A,tree,tree or shrub 3-9 m high,,,,,
Ozoroa-type,Ozoroa-type insignis,ANACARDIACEAE,A,tree,tree or shrub 3-9 m high,,,,,
Ozoroa-type insignis,Ozoroa-type insignis,ANACARDIACEAE,A,tree,tree or shrub 3-9 m high,,,,,
Pistacia,Pistacia,ANACARDIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
Pistacia lentiscus,Pistacia lentiscus-type,ANACARDIACEAE,A,tree,shrub up to 3 m high,,,,,
Pistacia non P chinensis,Pistacia,ANACARDIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
Pistacia sp.,Pistacia,ANACARDIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
Pistacia t.atlantica,Pistacia atlantica-type,ANACARDIACEAE,A,tree,tree up to 10 m high,,,,,
Pistaciat atlantica,Pistacia atlantica-type,ANACARDIACEAE,A,tree,tree up to 10 m high,,,,,
Poupartia,Poupartia-type,ANACARDIACEAE,A,tree,trees,,,,,
Pseudospondias,Pseudospondias-type,ANACARDIACEAE,A,tree,shrubs or trees,,,,,
Pseudospondias microcarpa,Pseudospondias-type microcarpa,ANACARDIACEAE,A,tree,spreading tree 10-40  m high,,,,,
Pseudospondias-type,Pseudospondias-type,ANACARDIACEAE,A,tree,shrubs or trees,,,,,
Rhus,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
RHUS,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus (Africa),Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus cf natalensis,Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
Rhus cf. natalensis,Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
Rhus cf. R. abyssinica,Searsia-type abyssinica,ANACARDIACEAE,A,tree,trees,,,,,
Rhus cf. R. natalensis,Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
Rhus cf. tripartita,Searsia-type tripartita,ANACARDIACEAE,A,tree,a low spiny bush,,,,,
Rhus comp.,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus longipes,Searsia-type longipes,ANACARDIACEAE,A,tree,shrub or tree 4-8 m high,,,,,
Rhus longipes-type,Searsia-type longipes,ANACARDIACEAE,A,tree,shrub or tree 4-8 m high,,,,,
Rhus natalensis,Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
Rhus natalensis-type,Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
Rhus sp.,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus type,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus undiff.,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus vulgaris,Rhus-type pyroides,ANACARDIACEAE,A,tree,evergreen shrub or small tree 2-10 m high,,,,,
Rhus vulgaris cf.,Rhus-type pyroides,ANACARDIACEAE,A,tree,evergreen shrub or small tree 2-10 m high,,,,,
RHUS*,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus* natalense,Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
Rhus* vulgaris,Rhus-type pyroides,ANACARDIACEAE,A,tree,evergreen shrub or small tree 2-10 m high,,,,,
Rhus/Anthrocaryon/Pseudospondias,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus_Anthrocaryon_Pseudospondias,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus-type,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus-type undiff.,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Schinus,Schinus-type,ANACARDIACEAE,A,tree,trees,,,,,
Sclerocaria,Sclerocarya-type,ANACARDIACEAE,A,tree,small to medium trees,,,,,
Sclerocarya birrea,Sclerocarya-type birrea,ANACARDIACEAE,A,tree,deciduous spreading tree to 18 m high,,,,,
Sclerocarya caffra,Sclerocarya-type birrea ssp. caffra,ANACARDIACEAE,A,tree,deciduous spreading tree to 18 m high,,,,,
Sclerocarya-type birrea,Sclerocarya-type birrea,ANACARDIACEAE,A,tree,deciduous spreading tree to 18 m high,,,,,
Searsia-type (S. natalensis),Searsia-type natalensis,ANACARDIACEAE,A,tree,densely branched shrub,,,,,
Sorendeia,Sorindeia-type,ANACARDIACEAE,A,tree,shrubs,,,,,
Sorindeia juglandifolia,Sorindeia-type juglandifolia,ANACARDIACEAE,A,tree,shrub or small tree up to 23 m,,,,,
Sorindeia-type juglandifolia,Sorindeia-type juglandifolia,ANACARDIACEAE,A,tree,shrub or small tree up to 23 m,,,,,
Sorindeia-type warneckei,Sorindeia-type grandifolia,ANACARDIACEAE,A,tree,shrub,,,,,
Spondias monbin,Spondias monbin-type,ANACARDIACEAE,A,tree,deciduous tree to 18 m high,,,,,
Spondias-type,Spondias,ANACARDIACEAE,A,tree,trees,,,,,
Spondias-type monbin,Spondias monbin-type,ANACARDIACEAE,A,tree,deciduous tree to 18 m high,,,,,
Thyrsodium,Sorindeia-type,ANACARDIACEAE,A,tree,shrubs,,,,,
Trichoscypha arborea,Trichoscypha-type arborea,ANACARDIACEAE,A,tree,tree to 20 m high or more,,,,,
Trichoscypha oba,Trichoscypha-type lucens,ANACARDIACEAE,A,tree,small tree or shrub,,,,,
Trichoscypha-type arborea,Trichoscypha-type arborea,ANACARDIACEAE,A,tree,tree to 20 m high or more,,,,,
type Campnosperma micrantha,Campnosperma-type micranteium,ANACARDIACEAE,A,tree,tree 10-20 m high,,,,,
type Poupartia silvatica,Poupartia-type silvatica,ANACARDIACEAE,A,tree,tree up to 20 m high,,,,,
Anisophyllea,Anisophyllea,ANISOPHYLLEACEAE,A,tree,trees or shrubs,,,,,
Annona senegalensis,Annona senegalensis-type,ANNONACEAE,A,tree,deciduous shrub or small trees 1.5-10 m tall,,,,,
Drypetes gilgiana,Drypetes-type gilgiana,EUPHORBIACEAE,A,tree,small tree to 9 m high,,,,,
Drypetes molunduana,Drypetes-type molunduana,EUPHORBIACEAE,A,tree,small tree to 4 m high,,,,,
Drypetes-type floribunda,Drypetes-type floribunda,EUPHORBIACEAE,A,tree,Cauliflorous tree to 10 m tall,,,,,
Klaineanthus type,Klaineanthus gaboniae,EUPHORBIACEAE,A,tree,tree 9-28 m high,,,,,
Macaranga,Macaranga-type,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Macaranga (cf),Macaranga-type,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Macaranga capensis,Macaranga-type capensis,EUPHORBIACEAE,A,tree,small to medium tree 3.5-20 m,,,,,
Macaranga kilimandscharica,Macaranga-type capensis,EUPHORBIACEAE,A,tree,small to medium tree 3.5-20 m,,,,,
Macaranga monandra,Macaranga-type monandra,EUPHORBIACEAE,A,tree,small to large evergreen tree 6-25 m,,,,,
Macaranga sim.,Macaranga-type,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Macaranga spp.,Macaranga-type,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Macaranga type,Macaranga-type,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Macaranga type kilimandscharica,Macaranga-type capensis,EUPHORBIACEAE,A,tree,small to medium tree 3.5-20 m,,,,,
Ormocarpum-type,Ormocarpum-type,FABACEAE,A,tree,shrubs or small trees,,,,,
Ormocarpum-type trichocarpum,Ormocarpum-type trichocarpum,FABACEAE,A,tree,shrub or small tree 1-5 m tall,,,,,
Philenoptera,Philenoptera,FABACEAE,A,tree,tree or shrub,,,,,
Pterocarpus,Pterocarpus-type,FABACEAE,A,tree,trees,,,,,
Pterocarpus - type (fabaceae),Pterocarpus-type,FABACEAE,A,tree,trees,,,,,
Pterocarpus santaloides,Pterocarpus-type santalinoides,FABACEAE,A,tree,tree 9-12 m high,,,,,
Pterocarpus-type,Pterocarpus-type,FABACEAE,A,tree,trees,,,,,
Pterocarpus-type abyssinicus,Pterocarpus-type lucens,FABACEAE,A,tree,deciduous tree up to 7.5-18 m tall,,,,,
Pterocarpus-type erinaceus,Pterocarpus-type erinaceus,FABACEAE,A,tree,tree up to 12-15 m tall,,,,,
Sesbania cf. sesban,Sesbania sesban,FABACEAE,A,tree,aquatic deciduous shrub or small tree 1-7 m tall,,,,,
Sesbania sesban-type,Sesbania sesban,FABACEAE,A,tree,aquatic deciduous shrub or small tree 1-7 m tall,,,,,
Sesbania-type sesban,Sesbania sesban,FABACEAE,A,tree,aquatic deciduous shrub or small tree 1-7 m tall,,,,,
type Cadia,Cadia purpurea,FABACEAE,A,tree,shrub 0,,,,,
type Ormocarpum,Ormocarpum-type,FABACEAE,A,tree,shrubs or small trees,,,,,
Ulex type,Ulex-type,FABACEAE,A,tree,perennial non-climbing shrubs,,,,,
autres Quercus,Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Broadleaved Quercus,Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Castanea,Castanea,FAGACEAE,A,tree,trees up to 20-30 m,,,,,
cf. Fagaceae,Fagaceae undiff.,FAGACEAE,A,tree,trees,,,,,
Fagaceae-like,Fagaceae undiff.,FAGACEAE,A,tree,trees,,,,,
Nothofagus,Nothofagus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Quercus (2 ou 3 espèces dont Q. mirbeckii),Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Quercus (2/3 esp dont Q. mirbeckii),Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Quercus (dt Q. Ilex et Q. Mirbeckii),Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Quercus caducifolie,Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Quercus calliprinos-type,Quercus calliprinos-type,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
type Aphloia,Aphloia theiformis,FLACOURTIACEAE,A,tree,shrub or generally a slender tree,,,,,
Globularia arabica,Globularia arabica,GLOBULARIACEAE,A,tree,erect shrub 30-80 cm tall,,,,,
Globularia cf.alypum,Globularia arabica,GLOBULARIACEAE,A,tree,erect shrub 30-80 cm tall,,,,,
Greyia,Greyia,GREYACEAE,A,tree,shrub,,,,,
Hamamelidaceae,Hamamelidaceae undiff.,HAMAMELIDACEAE,A,tree,trees and shrubs,,,,,
Trichocladus ellipticus,Trichocladus ellipticus-type,HAMAMELIDACEAE,A,tree,evergreen shrub or tree 2-18 m tall,,,,,
Trichocladus malosanus,Trichocladus ellipticus-type,HAMAMELIDACEAE,A,tree,evergreen shrub or tree 2-18 m tall,,,,,
Trichocladus-type,Trichocladus,HAMAMELIDACEAE,A,tree,trees or shrubs,,,,,
Heteropyxis,Heteropyxis,HETEROPYXIDACEAE,A,tree,perennial tree 2-20m,,,,,
Aesculus (2 especes),Aesculus,HIPPOCASTANACEAE,A,tree,trees,,,,,
Hua gabonese,Hua gaboni,HUACEAE,A,tree,shrub or small tree 8 m high,,,,,
Sacoglottis,Sacoglottis gabonensis,HUMIRIACEAE,A,tree,evergreen large tree,,,,,
Cf Harungana,Harungana,HYPERICACEAE,A,tree,trees or shrubs,,,,,
Harungana,Harungana,HYPERICACEAE,A,tree,trees or shrubs,,,,,
Harungana madagascarienesis,Harungana madagascariensis-type,HYPERICACEAE,A,tree,evergreen shrub or tree up to 12 m tall,,,,,
Harungana madagascariensis-type,Harungana madagascariensis-type,HYPERICACEAE,A,tree,evergreen shrub or tree up to 12 m tall,,,,,
Hypericaceae Hypericum kiboense Typ,Hypericum kiboense-type,HYPERICACEAE,A,tree,Shrub or subshrub 0,,,,,
Hypericum cf. H. revolutum,Hypericum revolutum-type,HYPERICACEAE,A,tree,shrub or small tree,,,,,
Psorospermum,Psorospermum,HYPERICACEAE,A,tree,trees,,,,,
Psorospermum febrifugum,Psorospermum febrifugum-type,HYPERICACEAE,A,tree,shrub or small tree 1-6 m tall,,,,,
Vismia,Vismia,HYPERICACEAE,A,tree,trees or shrubs,,,,,
Vismia guineensis,Vismia guineensis-type,HYPERICACEAE,A,tree,Shrub 2-3 m tall or more,,,,,
Apodytes cf. A. dimidiata,Apodytes dimidiata,ICACINACEAE,A,tree,evergreen tree to 25 m tall,,,,,
Apodytes dimidata,Apodytes dimidiata,ICACINACEAE,A,tree,evergreen tree to 25 m tall,,,,,
APODYTES DIMIDIATA,Apodytes dimidiata,ICACINACEAE,A,tree,evergreen tree to 25 m tall,,,,,
Cassinopsis type,Cassinopsis,ICACINACEAE,A,tree,shrub up to 4 m tall,,,,,
Cf. Apodytes,Apodytes dimidiata,ICACINACEAE,A,tree,evergreen tree to 25 m tall,,,,,
Leptaulus daphnoides,Leptaulus daphnoides-type,ICACINACEAE,A,tree,shrubsor small tree up to 12 m high,,,,,
type Apodytes,Apodytes dimidiata,ICACINACEAE,A,tree,evergreen tree to 25 m tall,,,,,
IRRINGIA GABONENSIS,Irvingia-type gabonensis,IRVINGIACEAE,A,tree,tree to 36 m high,,,,,
Irvingia gabonensis,Irvingia-type gabonensis,IRVINGIACEAE,A,tree,tree to 36 m high,,,,,
Irvingia sp.,Irvingia-type,IRVINGIACEAE,A,tree,trees,,,,,
Irvingia/Klainedoxa,Irvingia/Klainedoxa,IRVINGIACEAE,A,tree,perennial evergreen or seasonal herbs,,,,,
Irvingiaceae undiff.,Irvingiaceae undiff.,IRVINGIACEAE,A,tree,trees,,,,,
Irvingia-type gabonansis,Irvingia-type gabonensis,IRVINGIACEAE,A,tree,tree to 36 m high,,,,,
Irvingia-type gabonensis,Irvingia-type gabonensis,IRVINGIACEAE,A,tree,tree to 36 m high,,,,,
Klainodoxa,Klainedoxa-type,IRVINGIACEAE,A,tree,trees,,,,,
Ixonanthaceae undiff.,Ixonanthaceae undiff.,IXONANTHACEAE,A,tree,shrubs or trees,,,,,
Carya,Carya,JUGLANDACEAE,A,tree,trees,,,,,
cf.Pterocarya (non P. fraxinifolia),Pterocarya,JUGLANDACEAE,A,tree,trees,,,,,
Juglans,Juglans,JUGLANDACEAE,A,tree,trees,,,,,
Pterocarya cf. fraxinifolia,Pterocarya fraxinifolia-type,JUGLANDACEAE,A,tree,tree,,,,,
Pterocarya fraxinifolia-type,Pterocarya fraxinifolia-type,JUGLANDACEAE,A,tree,tree,,,,,
Capitanya cf. otostegioides,Coleus-type otostegioides,LAMIACEAE,A,tree,spreading or trailing shrub,,,,,
Capitanya-type otostegiodes,Coleus-type otostegioides,LAMIACEAE,A,tree,spreading or trailing shrub,,,,,
Hoslundia opposita,Hoslundia-type opposita,LAMIACEAE,A,tree,erect or half-climbing shrub,,,,,
Thymus,Thymus,LAMIACEAE,A,tree,sub-lignous,,,,,
Lauraceae,Lauraceae undiff.,LAURACEAE,A,tree,mostly evergreen trees,,,,,
Ocotea,Ocotea,LAURACEAE,A,tree,evergreen trees or rarely shrubs,,,,,
Barringtonia,Barringtonia-type,LECYTHIDACEAE,A,tree,evergreen trees and shrubs,,,,,
lecythidaceae,Lecythidaceae undiff.,LECYTHIDACEAE,A,tree,trees or shrubs,,,,,
Ephippiandra,Ephippiandra,MONIMIACEAE,A,tree,shrubs,,,,,
Monimia t.,Monimia,MONIMIACEAE,A,tree,trees,,,,,
Tambourissa purpurea-type,Tambourissa purpurea-type,MONIMIACEAE,A,tree,Shrub,,,,,
type Monimia,Monimia,MONIMIACEAE,A,tree,trees,,,,,
Xymalos,Xymalos,MONIMIACEAE,A,tree,evergreen shrubs to medium-sized trees 6-20 m tall,,,,,
Myrtaceae cf. Eugenia,Eugenia-type,MYRTACEAE,A,tree,trees,,,,,
Myrtaceae cf. Syzygium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Myrtaceae undiff.,Myrtaceae undiff.,MYRTACEAE,A,tree,trees,,,,,
Myrtacees (sauf Myrtus),Myrtaceae undiff.,MYRTACEAE,A,tree,trees,,,,,
Myrtacées M. cf. communis,Myrtus-type communis,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Myrtus,Myrtus-type,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Myrtus nivellei,Myrtus-type nivellei,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Myrtus-type,Myrtus-type,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Psidium,Psidium-type,MYRTACEAE,A,tree,trees or shrubs,,,,,
