Depth,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,EPD  Calibrated radiocarbon years BP,Abies,Alisma,Alnus,Amaranthaceae,Anthoceros laevis-type spore,Apiaceae,Arctium/Jurinea,Armeria/Limonium,Artemisia,Asparagus-type,Asperula-type,Asphodelus,Asteroideae,Betula,Bistorta officinalis-type,Botrychium spore,Brassica-type,Brassicaceae,Bunium-type,Bupleurum-type,Butomus umbellatus,Caltha,Calystegia,Campanula-type,Capsella-type,Carpinus betulus,Carthamus,Carya,Caryophyllaceae,Castanea,Cedrus,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthes spore,Cichorioideae,Cirsium/Gundelia,Cistus,Clematis-type,Convolvulus,Cornus,Corylus,Cotinus coggygria,Cousinia,Cyperaceae,Datisca,Dipsacus-type,Dryopteris-type spore,Echium-type,Ephedra distachya-type,Ephedra fragilis-type,Equisetum spore,Ericaceae,Euphorbia,Fabaceae,Fagus,Ferula-type,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Fumaria,Galium-type,Gentiana,Geranium,Gossypium,Gypsophila,Halothamnus-type,Helianthemum,Humulus/Cannabis,Hydrocotyle,Hypericum perforatum-type,Isoetes spore,Jasione-type,Juglans,Juniperus,Knautia,Lemna,Liliaceae,Liquidambar,Lomelosia rotata-type,Lycopodium spore,Lysimachia,Lythrum,Maianthemum,Malva,Matricaria-type,Matthiola,Melampyrum,Mercurialis annua,Mercurialis perennis,Myriophyllum spicatum/M. verticillatum,Myrtus,Nigella,Noaea-type,Nymphaea,Olea,Oleaceae,Onobrychis-type,Ophioglossum spore,Osmunda regalis spore,Ostrya/Carpinus orientalis,Oxalis,Papaver,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantaginaceae,Plantago coronopus-type,Plantago lanceolata-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polygonum aviculare-type,Polypodium spore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pteridium spore,Pteris spore,Pterocarya,Pterocephalus-type,Quercus,Quercus ilex-type,Ranunculaceae,Ranunculus asiaticus-type,Ranunculus repens-type,Ranunculus undiff.,Rhamnus,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Ruppia,Salix,Sambucus,Sanguisorba officinalis,Scabiosa columbaria-type,Scrophularia/Verbascum,Scrophulariaceae,Sisyrinchium,Solanum dulcamara,Sparganium-type,Sphagnum spore,Stachys-type,Tamarix,Taxus,Thalictrum,Thymus/Mentha,Tilia,Trifolium-type,Trollius,Turgenia-type,Typha latifolia,Ulmus,Unknown spore,Unknown spore,Urtica dioica-type,Urtica pilulifera-type,Valerianella,Viburnum-type,Vicia-type,Viscum,Vitis,Xanthium
160,1148/1112/1073,--/927/--,,,2,615,,1,,,3,,,,5,,,1,2,,,,,,,,,,,,,,,,,25,1,6,,,,,,,,,4,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,31,,,,,,8,3,,2,2,,,,,2,,,,9,,,,,,,,,,,,,1,,,,,,1,,2,,,,,1,,,,,,,,1,,,,,,,,,
180,1338/1296/1248,--/1084/--,,,1,336,,2,,,2,,,,13,1,,3,5,,,,,,,,2,,,,1,,1,,,13,1,4,,,,,,,,,5,,,2,,,1,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,57,,,,,1,1,1,,,1,,,,,4,,,,3,,3,,,,,,,1,,,,,,,,,,,,2,,,,1,,,,,,,,1,8,5,,,,1,,,,
201,1538/1489/1432,--/1255/--,2,,1,4,,1,,,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,89,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,34,,,,,,,,
220,1720/1664/1597,--/1414/--,,,8,38,,1,,,17,,,,9,,,,,,,,,,,,,,,,,,1,,,3,,160,1,,,,,1,,1,6,,1,6,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,4,,,,,,,,,2,,,,3,2,2,,,,,107,,,,1,,12,,,,,,,,,3,,,2,3,,,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,,2,,2,5,39,,,,,1,,,
245,1961/1894/1816,--/1631/--,3,,10,40,,1,,,71,,,,13,,,2,,,,,,,,,,1,,,2,,82,,,6,,13,1,,,1,,,,2,2,,,8,,,,,,2,13,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,382,,,,3,,37,1,,,,,,,,1,1,,,7,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,1,1,,,,,,,,,,
260,2105/2033/1947,--/1764/--,1,,4,22,,,,,29,,,,5,,,,,,,,,,,,,,,,1,,,,,,,6,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,301,,,,,,12,2,,,,,,,,,,,,15,,,,,,,,,,,,,1,,,,,,,,6,1,,,,,1,,,,,1,,,5,,,,,,,,
280,2297/2217/2120,--/1946/--,,,9,49,,1,1,,11,,,,26,2,,2,1,,,,,,,,,,2,,4,,2,,,4,1,35,3,,,,,1,,,4,1,,6,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,12,,,,,,,,2,,1,,,1,,4,,,,,87,,,,,,31,4,,1,,,,,,2,,,,23,,,,1,,,1,,,,,,1,,,,,,,,4,2,,,,,1,,,,,,1,1,,,,,,,,,
305,2538/2447/2333,--/2180/--,2,,11,17,,1,,,43,,,,6,,,3,,,,,,,,,,,,,1,,1,,,1,,7,,,1,,,,,1,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,,,1,123,,,,1,,7,4,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,1,58,,,,,,,,,
320,2682/2585/2461,--/2323/--,1,,9,31,,2,,,100,,,,8,,,1,,,,,,,,,1,,,,1,,5,,1,7,,14,2,,,,,,,,3,,,3,,2,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,1,,,,1,200,,,,,,8,2,,2,,,,,,,,,,8,,1,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,1,,2,,,,,,,,,,
330,2778/2677/2547,--/2419/--,1,,21,860,,3,,,35,,,,11,1,,10,1,,,,,,,,,,,,1,,16,,1,8,1,34,3,,,1,,1,,,3,2,,16,,1,,,3,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,3,,,,,,,202,,,,,,11,3,,,,,,,,7,,,,9,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,2,,,1,,
340,2874/2769/2634,--/2517/--,,,26,110,,8,,,338,,,,39,,,11,,2,,,,,,,,,,1,12,,1,2,,18,,63,7,,,,,,,,8,2,,27,,1,1,,,,,,,,,,,1,5,,,,,1,,1,,1,,,,,,,,,,,,,,,23,,,,,,,,2,2,1,3,,4,,6,,,,,322,,,,3,,95,30,2,5,,,1,,,12,,,,17,,1,,,5,,2,,,,,,,,,,1,,,,12,,,,1,,2,,,,,,4,32,,,,1,,,,,
350,2971/2861/2720,--/2616/--,2,,14,66,,7,1,,126,,,,38,1,1,3,,,,,,,,,,1,,,2,,2,1,,9,,23,2,,,,,,,,2,,,11,,,,,,,1,,,,,,,,2,,,,,,,,,,2,,1,,,,,,,,,,,,14,,2,,,1,,,,,,,,2,,1,,,,,271,,,,,1,31,8,4,2,1,,,,2,2,,,,34,,2,3,,,,,,,,,,,,,,,,,,18,,,,,,,1,,,,1,5,2,,,,,,,,5,
360,3067/2953/2807,--/2715/--,,,4,149,,4,,,55,,1,,14,,,1,1,,,,,,,,,,,,,,1,,,8,,16,3,,,,,,,,8,,,6,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,,,,,1,,,,,,,108,,,,,,137,6,1,1,,,,,,3,,,,23,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,1,1,,,,,,,,,,
370,3163/3045/2893,--/2815/--,,,16,124,,5,,,64,,,,19,1,1,2,1,,2,,,,1,,,,,,3,,5,,,12,,18,5,,,,,1,,,20,1,,3,,,1,,4,1,4,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,16,,,,,1,,3,,,,,,1,,1,1,,,2,145,,,,5,1,90,7,,5,,,,1,3,1,,,,42,,,,,,1,,,1,,,,,,,,,,,,6,,,,,1,,,1,,,2,1,8,,,,,,,,,
380,3259/3137/2980,--/2917/--,,,1,113,,2,,,12,,,,1,,,1,2,,,,,,,,,1,,,,,2,,,2,,1,,,,,,,,1,433,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,2,,5,,,,,3,,,,1,113,2,,,4,,280,1,,2,,,,,10,3,,,,94,,,,,,1,,,,,,,,,,,,,,,5,,,,,1,,,,,,,3,2,,,,,,,,4,
390,3357/3229/3068,--/3019/--,,,5,228,,4,,,1,,,,6,,,2,,,,2,,,,,,,,,,,,,,1,,3,,,,,,,,,218,,,1,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,1,,,,,1,1,5,,,2,,4,,,,1,110,1,,,2,,163,3,,2,,,,,9,2,1,,,103,,,,,3,1,,,,1,,3,,,,,,,,,9,,,,,1,,,,,,,1,,,,,,,,,1,
400,3453/3321/3155,--/3122/--,2,,2,237,,2,,,5,,,2,4,,,,,3,,1,,,,,,,,,1,,2,,,2,,2,1,1,1,,,,,,333,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,3,,,,,,15,,,,,1,,,,1,193,,2,,8,,239,2,,1,,,,1,10,2,,,,120,,,,,,,,,,,3,14,,,,,,,,,11,,,,,,,,4,,,,1,,,,,,,,,2,
415,3597/3460/3286,--/3278/--,1,,4,243,,1,,1,1,,,,2,,,2,,,2,,,,,,,,,,,,1,,,3,,2,,,,,,2,,,177,3,,,,,1,,1,,,,1,,1,2,1,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,6,,1,,,1,,,,,196,1,1,,3,,160,1,,,,,,,3,,,,,86,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
430,3742/3598/3418,--/3435/--,,,3,127,,1,,,3,,,,1,,,1,,,,,,,,,,,,,,,3,,,1,,12,,,,,,,,,4,,,12,,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,169,,,,,,17,1,,,,,,,,1,,,,10,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,5,,,,,,,,,
440,3838/3690/3507,--/3542/--,2,,6,3,,1,,2,20,,,,7,,,1,1,,,,,,,,,,2,,4,,5,,,1,,27,1,,,,,,,1,6,3,,8,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,598,,,,,,21,1,1,,,,,,,4,1,,,13,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,1,,,,,2,20,,1,,,,,,,
460,4031/3874/3680,--/3756/--,,,4,419,,,,7,5,1,,,5,,,1,,,,,,,,,,1,1,2,1,,7,,,4,4,21,,,,,,1,,,10,,,13,,,,,1,,2,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,5,1,,,,,,,,,1,,,5,,,,,,,183,,,,,,15,,,,2,,,,,5,,,,11,,,,,,,,1,,,,,,,1,,,,,,3,,,,,,,,,,,,2,,,1,,,,,,,
470,4128/3966/3767,--/3865/--,,,1,285,,,,12,1,,,,2,,,2,,,,,,,,,,,,,,,5,,,1,2,26,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16,,,,1,,32,2,,,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,2,,,,,,1,,,
480,4224/4058/3854,--/3974/--,,,4,285,,,,3,3,,,,12,1,,1,,,,,,,,,,,1,,,,6,,,2,1,33,,,,,,,,1,7,,,9,,,,,3,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,88,,,,1,,31,2,,,,,,1,,1,,,,4,,,,,,,,3,,1,,,,,,,,,,,2,,,,,,,,,,,,1,2,,,,,,,,,
510,4514/4334/4114,--/4306/--,,,2,25,,,1,,4,,,,11,1,,5,3,,,,1,,,,,,,1,8,,20,,,3,1,27,,,,,,1,,,14,1,1,10,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,1,,,1,,1,,,,,,,8,,,,,,,,,,,,,,,1,,,,,41,,,,,,30,4,,,,,,,,3,,,,34,,,,1,,,,,,,,,,,,,,,,,6,,1,,1,,,,1,,,,,,,,,,,,,,
520,4611/4426/4201,--/4419/--,,,4,2300,,,2,,1,,,,11,,,3,,,,,,,,,,,,1,1,,1,,,1,1,35,,,,,,,,2,,,,7,,,,,2,,,,,,,,,,,,1,,,,2,,,,,,,,1,,2,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,35,,,,,,4,2,,,,,,,,1,,,,14,,,,,,,,2,,,,,,1,,2,,,,,2,,,,,,,,,,,1,,5,,,,,,,,1,
540,4804/4610/4375,--/4645/--,1,,17,90,,1,,1,13,,,,4,,,1,,,,,,,,,,,,,,,,,,1,,7,,,,,,,,,3,6,,10,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,210,,,,,,14,,,,,,,,,7,,,,5,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,2,7,,,,,,,,1,
555,4948/4748/4504,--/4817/--,12,,3,55,1,2,,1,3,,,2,11,,,9,,,,,,,,,,,,,1,,20,,,16,5,33,,,,,,,,,21,,,51,,1,,1,,,2,,,,,,,,,,,,,,3,,1,,2,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,55,,,,,,30,5,,1,2,,,,,32,2,1,,18,,,,,,,,,,,,,,1,,1,,,,,2,,,,1,,,,,,,,,1,4,,,,,,,,
570,5093/4886/4634,--/4990/--,,,96,5,,2,,,4,,,,8,,,2,,,,1,,,,,,,,,1,,2,,,9,,17,1,,,,,,,,9,,,3,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,9,,,,1,,,,,,,1,,24,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,5,,,,,,,,,
580,5189/4979/4720,--/5106/--,1,,3,830,,1,,,8,,,,11,,,,7,3,,,,,,,,,,,2,,3,,,6,,24,2,,,1,,,,,26,4,,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,340,,,,,,25,8,,1,1,,,,,6,,,,100,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,1,,,,,,1,,,,,1,,,,,
590,5286/5071/4807,--/5223/--,,,3,6,,,,,1,,,,2,,,4,,,,,,,,,,,,,,,8,,,5,1,6,,,,,,,1,,9,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,2,,,,,,1,,,,,201,,1,,,,17,6,,,,,,,,1,,,,16,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,
600,5383/5163/4894,--/5341/--,1,,1,20,,2,,,13,,,,16,,,,1,,,,,,,1,1,,,,7,,51,,,9,1,11,1,,,,,2,,1,11,,,2,,,,,,,1,,,,,1,,,6,,,,,,,,,,,,,8,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,284,,,,2,,45,21,,,,,1,,,1,,,,61,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,
610,5479/5255/4980,--/5459/--,,,8,6,,2,,,15,,,1,5,,,2,,,,,,,,,,,,,2,,3,1,,3,,22,3,,,,,,,2,9,,,1,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200,,,,,,15,1,,3,,,,,,,,,,18,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,29,,,1,5,,,,,
620,5575/5347/5066,--/5578/--,1,,3,156,,2,,,71,,,,8,,,,1,,,,,,,,,1,,,1,,1,,,2,,12,3,,,,,,,,11,1,,1,,,,,,,6,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,11,,,,,,,,1,,140,1,,,1,,47,2,,1,,,,,1,1,,,,86,,,,,2,,1,,,2,,,2,1,,,3,,,1,5,,,,,,1,,,,,,2,25,,,2,,,,,2,
630,5672/5439/5153,--/5697/--,,,2,43,,4,,,21,,1,,26,,,,2,,,,,,,,,1,,,2,,14,1,,5,,19,2,,,,,1,5,1,8,1,,1,,,,,,1,10,,,,1,,,,3,,,,,,,,,,,1,,1,,,,,,,,,,,4,,,,,1,,,,3,2,,1,1,,1,,,,,135,1,1,,1,,33,10,,3,,,,,,,,,,114,,,,,2,,1,,,2,,,1,1,,,,,,2,5,,,1,,1,7,,,,1,,1,38,,,,,,,,2,
