"Abies","Acacia t.","Acalypha","Acanthaceae undif.","Aeschynomene","Aizoaceae t.","Alchornea","Alternanthera t.","Anacardiaceae undiff.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bauhinia","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Caesalpinia","Capparaceae undif.","Cassia","Casuarina","Ceiba","Celtis","Chrozophora","Chrysobalanus t.","Cichorieae","Cissampelos","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Cordia","Crossopteryx","Crudia","Cucurbitaceae undif.","Cyperaceae","Daniellia","Delonix","Dichrostachys","Diodia","Diospyros/Euclea t.","Dodonaea","Elaeis","Ephedra","Eucalyptus","Eugenia","Euphorbia t.","Faboideae Undif.","Fagara","Faidherbia albida","Fern","Ficus","Grewioideae","Heliotropium","Hygrophila","Hyphaene t.","Hypoestes t.","Indigofera","Jacquemontia t.","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Leucaena","Lotus t.","Maerua","Malva undif.","Mangifera","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Musci","Myrtaceae undif.","Nyctaginaceae","Nymphaea","Olea t.","Parkia","Paronychieae","Pedaliaceae undif.","Pentodon","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Poaceae","Polygonum t.","Portulacaceae t.","Prosopis t.","Psidium","Ricinus","Rumex t.","Salvadora","Sapotaceae undif.","Sesbania","Spergularia t.","Symphonia","Tamarindus","Tapinanthus","Tephrosia","Tribulus","Typha","Uapaca","Utricularia","Vigna","Waltheria","Ziziphus/Paliurus","Indeterminable","Sample name","Pollen sum","Total sum"
"0","0.458","0","0","0","0","0","0","0","0.057","0","0.057","0","0","0","0","0","0.057","0","0","0","5.037","0","0","0.057","0","0","0","0","0","0","14.196","0","0","0.057","0","0","0","7.384","0","0","0.057","0","0","0","0","0","1.546","0","0.401","0.572","0","0","0","0","0.057","0.172","0","0.401","0","0.057","0","0.057","0","0","0","0","0.114","0","0","0","0","0","0.172","0","0","0","0","0","0","0","0","0","0","0","0","0.057","0","0","0","68.517","0","0","0","0","0","0","0.114","0","0","0.229","0","0","0","0.057","0.057","0","0","0","0","0","0","1.132","0","1747","1767"
"0","0.096","0","0","0","0","0","0","0","0.032","0.096","0","0.032","0","0.032","0","0","0.096","0","0","0","1.468","0","0","0","0","0","0","0","0","0","7.022","0","0","0","0","0","0","5.65","0","0","0","0","0","0","0","0","0.926","0","0.064","0.064","0","0","0","0","0","0.128","0.032","1.979","0","0.032","0","0","0.064","0","0.064","0","0","0","0.032","0","0","0","1.053","0.032","0","0","0","0","0.032","0","0.287","0","0","0","0","0.064","0","0","0","79.86","0","0","0","0","0","0","0","0","0.032","0.766","0","0","0","0","0","0","0","0","0","0","0","0.286","0","3133","3143"
"0","0.372","0","0","0.047","0.093","0","0.047","0","0.047","0.047","0.047","0.233","0","0","0.047","0.093","0.186","0.093","0","0.047","2.281","0","0","0","0","0","0","0","0.047","0","4.143","0","0","0","0","0","0.093","3.445","0","0","0","0","0","0","0","0","0.931","0","0","0.14","0","0","0","0","0","0.14","0","4.469","0","0","0","0","0.047","0","0.047","0","0","0","0.093","0","0","0.186","1.816","0","0","0.093","0.047","0","0","0","0.186","0","0","0","0","0.093","0","0","0","79.842","0","0","0","0","0","0","0.047","0","0.093","0.233","0","0","0","0.047","0.047","0","0","0","0","0","0","1.059","0","2148","2171"
"0","0.552","0","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0","0.201","0.201","0","0.05","1.657","0","0","0","0","0","0","0","0","0","3.214","0.05","0.05","0","0","0","0","7.433","0","0","0","0","0","0","0","0","0.854","0","0","0.1","0","0.251","0","0","0.1","0.05","0","3.867","0","0.05","0","0","0","0","0.1","0","0","0","0","0","0","0.151","1.959","0.05","0","0","0","0.05","0","0","0.201","0","0","0","0","0","0.1","0","0","78.051","0","0","0","0","0","0","0.1","0","0","0.402","0","0","0","0","0.1","0","0","0","0.05","0","0","1.239","0","1991","2017"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0.079","0","0.158","0","0.317","0.079","0","0","0.555","0","0","0.079","0","0","0","0","0.079","0.079","3.328","0","0","0","0","0","0","9.984","0","0","0","0","0","0","0","0","0.238","0","0.079","0.079","0","0","0","0","0","0.079","0","3.407","0","0.238","0","0","0.079","0","0.079","0","0","0","0","0","0","0","2.139","0","0","0","0","0","0","0","0.317","0","0","0","0","0.158","0.079","0.079","0.158","77.417","0","0","0","0","0","0","0.158","0","0.079","0.396","0","0","0","0","0","0","0","0","0","0","0","1.252","0","1262","1278"
"0","0.227","0","0","0.076","0","0","0","0","0.076","0","0","0.227","0","0","0.076","0","2.042","0.076","0","0.454","0.454","0","0","0.076","0","0","0.076","0","0","0","2.648","0.076","0","0","0.076","0.076","0","8.775","0","0","0","0","0","0","0","0.076","1.589","0","0.151","0.151","0","0","0","0","0","0.076","0","3.631","0.076","0","0","0","0","0","0.151","0","0","0.076","0.076","0","0","0.983","1.513","0","0","0","0.076","0","0","0","0.151","0","0","0","0","0.151","0.151","0.151","0","74.811","0","0","0","0.151","0","0","0.076","0","0.076","0.076","0","0","0","0","0.076","0.076","0","0","0","0","0","1.342","0","1322","1341"
"0","0","0","0","0.084","0","0","0","0","0","0","0.084","0.084","0","0","0","0","0.501","0","0","0.084","0.668","0","0.084","0","0","0","0","0","0","0","2.84","0","0","0","0.084","0.084","0","2.757","0","0","0","0","0","0","0","0","2.172","0","0.167","0.084","0","0","0","0","0","0","0","3.509","0","0","0","0","0","0","0","0","0","0","0.334","0","0","1.086","1.17","0","0","0","0","0","0","0","0.167","0","0","0","0","0","0.084","0.084","0","83.041","0","0","0","0","0.084","0.084","0.084","0","0.251","0.167","0","0","0","0","0","0","0","0","0","0","0.084","1.885","0","1197","1220"
"0","0","0","0","0.116","0","0","0","0.347","0","0","0","0.116","0","0.231","0","0","0.578","0","0","0.116","2.312","0.116","0","0.116","0","0","0","0","0","0","3.006","0","0","0","0","0.116","0","3.584","0","0","0","0","0","0.578","0","0","2.89","0","0","0","0","0","0","0","0","0","0","3.353","0","0","0","0","0.231","0","0","0","0","0","0","0","0","1.156","1.272","0","0","0","0","0","0","0","0.231","0","0","0","0","0.116","0","0.116","0.116","78.728","0","0","0","0.116","0.231","0","0","0","0","0","0","0.116","0","0","0","0.462","0","0","0","0","0","1.808","0","865","885"
"0","0.454","0","0","0.114","0","0","0.227","0","0","0","0","0.114","0","0","0","0","0.568","0","0","0","1.816","0","0","0","0.114","0","0","0","0","0","6.356","0","0.114","0","0","0","0","1.703","0","0","0","0","0","0.681","0","0","3.859","0.227","0","0.114","0","0","0","0","0","0.227","0","1.703","0","0.227","0","0","0","0","0","0","0","0","0.227","0","0.795","0.568","1.703","0","0","0","0","0","0","0","0","0","0","0","0","0","0.114","0.114","0","77.526","0","0","0","0","0","0","0","0.114","0","0.227","0","0","0","0","0","0","0","0","0","0","0","1.344","0","881","893"
"0","0.233","0","0","0","0.155","0","0","0","0","0","0.078","0.155","0","0","0.078","0","0.233","0.155","0","0","2.326","0","0.155","0.078","0","0.078","0","0","0","0","5.736","0","0","0.078","0","0","0","1.085","0","0.078","0","0","0","0.155","0","0","7.287","0.155","0.078","0.31","0.155","0","0","0","0","0.31","0","5.969","0","0.078","0","0","0.155","0","0.078","0","0","0","0.465","0","1.008","0.233","0.853","0","0","0","0.155","0.078","0","0","0","0","0","0","0.078","0.233","0","0.388","0","70.93","0","0","0","0","0","0","0","0","0.078","0.155","0","0","0","0","0","1.008","0","0","0","0","0","1.062","0","1290","1318"
"0","0.163","0","0","0","0","0","0","0","0","0","0.163","0.272","0","0.054","0.054","0","0.272","0.109","0.054","0","1.901","0","0","0.054","0","0","0","0","0.706","0","3.15","0","0","0","0","0.163","0","1.521","0","0","0","0","0","0.109","0","0.054","21.727","0","0.163","0","0","0","0","0","0","0","0","3.259","0","0","0","0","0.054","0","0.163","0","0","0","0.815","0","0.163","2.064","0.76","0","0","0","0","0.109","0","0","0.054","0","0","0","0.163","0","0","0.109","0","61.162","0","0","0","0.054","0","0","0.109","0","0.054","0.163","0","0","0","0","0.054","0.326","0","0","0.054","0.054","0","1.07","0","1841","1869"
"0","0.265","0","0","0","0","0","0","0","0","0.066","0","6.954","0","0","0","0","0","0","0","0.132","2.252","0","0","0.066","0","0","0","0","0","0","1.854","0","0","0","0","0.066","0","0.53","0","0","0","0","0","0.066","0","0","20.397","0.596","0.066","0","0","0","0","0","0","0","0","7.152","0","0","0","0","0.066","0","0","0","0","0","0.199","0","0.132","9.934","1.589","0","0","0","0","0","0","0","0","0","0","0","0","0.066","0","0.066","0","47.152","0","0","0","0","0.132","0","0","0","0.066","0.066","0","0.066","0","0","0","1.258","0","0","0","0","0","0.65","0","1510","1539"
"0","0.068","0","0","0","0","0","0","0","0","0","0","2.439","0","0","0","0","0","0","0","0.136","0.61","0","0","0","0","0","0","0","0.068","0","3.252","0","0","0","0","0.068","0","0.949","0","0","0","0","0","0","0","0","4.065","0.136","0.068","0.068","0","0","0","0","0","0","0","24.661","0","0","0","0","0","0","0","0","0","0","0.068","0","0","35.366","0.813","0","0","0","0.136","0.068","0","0","0","0","0","0","0.068","0.068","0.068","0.068","0","26.491","0","0","0","0.068","0","0","0","0","0","0.136","0","0","0","0","0.068","0.068","0","0","0","0","0","0.605","0","1476","1487"
"0","0","0","0","0.075","0","0.075","0","0","0","0","0","1.728","0","0","0","0","0.301","0","0","0.301","3.156","0","0","0.902","0","0","0","0","0.225","0","9.617","0","0","0","0.15","0.15","0","2.479","0","0","0","0","0","0","0","0","1.653","0","0.15","0","0","0","0","0","0","0.075","0","26.071","0","0","0","0.075","0","0.075","0","0","0","0","0.225","0","0.15","1.803","0.451","0.15","0","0","0","0","0","0","0","0","0","0","0.075","0","0","0.376","0","49.286","0","0","0","0","0","0","0","0","0","0.15","0","0","0","0","0.075","0.526","0","0","0","0","0","1.906","0","1331","1364"
"0","0.415","4.706","0","0","0","0.138","0","0","0","0.138","0.069","2.353","0","0","0.208","0","0.138","0","0","0.138","2.491","0","0","0.623","0","0","0","0","0.208","0","11.557","0.069","0.069","0","0.069","0","0.208","1.038","0","0","0","0.069","0","0","0","0","0","2.007","0.069","0.069","0.069","0","0","0","0","0","0.346","11.626","0","0","0","0","0.069","0","0","0","0.069","0","0.069","0","0","0.208","1.592","0","0","2.145","0","0","0","0","0","0","0","0","0","0.069","0.138","0.277","0","56.678","0.069","0","0","0","0","0","0","0","0","0","0","0","0","0","0.069","0","0","0.069","0","0","0","0.343","0","1445","1456"
"0","0.243","3.163","0","0","0","0","0.081","0","0","0","0.081","1.298","0","0","0.081","0","0","0","0","0","2.433","0","0","0.162","0","0","0","0","0.162","0","6.894","0","0","0","0","0","0","0.649","0.081","0","0","0.081","0","0","0","0","0.081","1.379","0.081","0","0","0","0","0","0","0","0.081","18.086","0","0","0","0","0","0","0","0","0","0","0.081","0","0","0.162","1.946","0","0","1.541","0","0","0","0","0","0","0","0","0","0.162","0","0","0","60.665","0.081","0","0","0","0","0","0","0","0","0.081","0","0","0","0","0.243","0","0","0","0","0","0","0.404","0","1233","1239"
"0","0.061","0","0","0","0","0.061","0","0","0","0","0","0.427","0","0","0.061","0","0","0","0","0","0.915","0","0","0.122","0","0","0","0","0","0","26.463","0","0","0","0.122","0","0","0.61","0","0","0","0","0","0","0","0","0","0.244","0.122","0","0","0","0","0","0","0","0.305","2.256","0","0","0","0","0.061","0","0.122","0","0","0","0.061","0","0.061","0","1.159","0","0","0.366","0","0","0","0","0","0","0","0","0","0.183","0","0.061","0","66.28","0","0","0","0","0","0","0","0","0","0.061","0.061","0","0","0","0","0.061","0","0","0","0","0.061","0.724","0","1640","1658"
