Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anagallis,Anchusa/Pulmonaria,Anemone,Apiaceae,Aquilegia-type,Arceuthobium oxycedri,Arctium/Jurinea,Artemisia herba-alba-type,Artemisia vulgaris-type,Asperula-type,Asphodelus,Aspleniumspore,Asteroideae,Betula,Brassica-type,Brassicaceae,Bunium-type,Buxus,Caltha,Campanula-type,Capsella-type,Carduus-type,Carpinus betulus,Carthamus,Caryophyllaceae,Castanea,Cedrus,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthesspore,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Clematis-type,Convolvulus,Cornus mas,Corylus,Crocus,Cuscuta,Cyperaceae,Delphinium-type,Dipsacoideae,Dryopteris-typespore,Echinops,Echium-type,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Erodium,Eryngium-type,Euphorbia,Fabaceae,Fagus,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentiana,Geranium,Haplophyllum,Hedera,Helianthemum,Heliotropium-type,Humulus/Cannabis,Hydrocotyle,Hypericum hirtellum var. assyriacum-type,Hypericum perforatum-type,Isoëtesspore,Juglans,Juniperus,Liliaceae,Linum,Lomelosia rotata-type,Lotus-type,Lysimachia,Malabaila,Malva,Matricaria-type,Matthiola,Mercurialis annua,Monactinus simplexcolony,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nigella,Noaea-type,Nymphaea,Olea,Oleaceae,Ophioglossumspore,Osmunda regalisspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum duplexcolony,Persicaria amphibia,Persicaria maculosa-type,Phillyrea latifolia,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae,Prunella-type,Prunus-type,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pteridiumspore,Quercus cerris-type,Quercus coccifera-type,Quercus ilex-type,Ranunculaceae,Ranunculus acris,Ranunculus arvensis-type,Ranunculus asiaticus-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Salviniaspore,Sambucus nigra-type,Sanguisorba officinalis,Sanicula,Scorzonera-type,Scrophularia/Verbascum,Scrophulariaceae,Senecio-type,Solanum dulcamara,Solanum nigrum,Sparganium-type,Spergularia-type,Stachys-type,Symphytum-type,Tamarix,Taxus,Teucrium,Thalictrum,Theligonum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Tribulus terrestris,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Urtica pilulifera-type,Valeriana,Valerianella,Viburnum-type,Vicia-type,Vitis,Xanthium,Zea mays
220,1118/981/849,--/865/--,3,,,,10,11,,,,,,,,17,7,,,,8,1,3,1,,,,,4,3,5,,10,,,,,,7,,17,2,,1,1,1,4,,,11,1,,3,1,,,1,,,,2,,2,61,,1,1,2,1,,,,,3,,10,,,,,7,6,1,,,,,,,6,,,,,,,,,,,1,,41,,,,1,,,,,145,3,,9,,,,4,6,134,57,28,2,,,1,4,,,,,,39,142,1,,,,1,,4,,,1,,,8,,,,,,,,,,,,,4,,,,,,,1,,1,1,1,,,,,1,25,1,,,,,2,5,2,
240,1325/1196/1061,--/1165/--,15,1,,,12,8,,,1,,,,,4,2,,,,1,1,2,,,,,,4,1,4,,3,,,,,,8,,4,,,,1,,12,,,12,,,4,,,,,,4,,,,3,66,,,,8,1,,,,,1,,7,1,,,,,1,,,,,1,,,7,,,,,1,,,,1,,2,,62,,,,,,,,,165,5,1,5,1,,4,,5,101,17,14,,,,,1,,,,,,26,267,4,,1,,,,,,,,,2,1,3,,,,,,,3,,1,,,1,,,1,,,,2,,,,1,,,,2,,14,1,1,,,1,1,1,,
243,1360/1231/1096,--/1210/--,4,1,,,13,6,,,,,,1,,8,7,,,,,2,,,,,,,1,,8,,2,,,,,,3,,4,,,,,,8,,,12,,,3,,,,,,7,,,,,59,,,,6,1,,,,,,,7,,,,,7,24,,,,,,1,,3,,,,,,,,,15,,1,,83,,,,,,2,,,68,,,5,,1,3,,2,61,17,12,,,2,,4,,,,,,36,269,12,,,,,,2,1,,,1,1,8,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,3,5,,,,,,,4,,
260,1568/1438/1304,--/1465/--,,,,,20,5,,,,,,,,15,3,,,3,,2,2,,,,,,1,1,3,,3,,,1,,,4,,6,,,,,,3,,,38,,,4,,,,,1,2,,,,2,24,,2,,3,3,,,,,,,1,,,1,,3,18,,,1,,,,,7,,,,,1,,1,,1,,,,34,,,,,1,1,,,10,,,3,,3,1,,,103,9,4,,,1,,3,,,1,,,10,253,7,,,,,,,,,,,,7,,7,,,,,,,,,,,4,,1,,,,,5,1,,,,,,,3,2,10,,,,,,,1,,
280,1835/1703/1573,--/1825/--,2,,,,5,19,,,,,,,,21,1,1,,1,6,2,3,,,1,,,1,,,,6,3,,,1,,4,,11,1,1,,1,,6,,,29,,,7,,,,,,3,,,1,,11,,,1,1,2,,,,,,,4,,1,,,9,47,,,1,,2,,,2,1,1,,,,,3,,5,,2,,10,,1,,,,,1,,33,4,,19,,,2,7,1,145,43,67,,,,,3,,,,,,34,94,5,,,,1,,1,,,1,,1,19,,3,,,,,,,,,,,9,,,,,,,,,,,,,,,,,22,1,,,2,,2,9,,
300,2122/1990/1855,--/2186/--,,,,,3,20,,,,4,,,,30,1,,,1,2,1,,,,,,,1,1,,,10,,,,1,,8,,9,,,,,,5,,,21,,,5,,1,,,,1,,,,,7,1,,,2,3,,,,,,,1,,,,3,4,19,,,,,,,,5,,1,,,,,2,,8,,1,,23,,,,,,,,,10,,,5,,,,4,,88,5,36,,,,,2,,,,,,120,141,4,,,,,,,,,,,4,16,,,,,,,,,,,,,7,,,,,,,3,,,,,,,,1,1,7,,1,,,1,,2,1,
320,2431/2297/2156,--/2546/--,2,1,,,2,12,,1,,,3,,,17,4,,,,1,1,2,,2,,,,2,,3,,3,,,,,,,,11,,,,1,1,5,,,17,,,6,,,,1,,1,,,,1,23,,,2,1,2,,,,,,,2,,,1,1,8,15,,,,,,,,5,,,,,2,,,,6,2,,,27,,,,,,1,,,68,1,,9,,3,2,,1,72,18,17,,,2,,1,,,,,,47,190,12,,,,,1,1,,,,,,11,,1,,1,,,,,,,,,4,,,,,,,3,,1,,,,,1,,1,20,,,,,,,2,,
325,2511/2376/2234,--/2636/--,4,,,,3,8,,,,,,,,11,2,,,,3,1,,,,,,,,1,3,,,,,,,,2,,6,,,,1,,2,,,17,,,6,,,,1,,,,,,3,15,,,,1,,,,,,,,1,,,,,5,9,,,,,,,,4,,,,,,,,,4,,,,21,,1,,,,2,1,,104,2,,2,,2,,,,55,20,26,,,,,1,1,,,,,22,162,2,,1,1,,,,,,,,,5,,1,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,2,18,,,,,,,1,,
330,2592/2457/2313,--/2726/--,68,1,,1,8,6,6,,,2,,,,7,8,1,,,2,3,2,,,,,,,3,7,,7,,,,,,5,,15,,,,2,,6,,,30,,,7,,,,,,1,,,,2,37,1,1,1,,1,,,,,,,1,,,,1,3,17,,,,,,,,2,,,,,,,,,4,1,,1,39,,,,,,2,,,363,3,,3,,,2,6,1,76,33,25,,,,1,2,,,,5,,15,316,4,,,,,,,,1,,,2,4,,,,1,,,,1,,1,,,3,,,,,,,2,,,,2,,,,1,1,30,,,,,1,,3,,
335,2675/2539/2394,--/2816/--,124,,,,6,3,2,,,,,,,14,3,,,,,2,,,,,,,,,8,,3,,,,,,2,,11,,,1,1,1,7,,,33,,,3,,,1,,,2,,,,1,29,,,2,,1,,,,,,,,,,,,3,21,,,,1,,,,3,,,,,4,,,,2,1,,,38,,,,,1,,,3,361,1,,3,,,,,,83,17,19,,,4,,1,,,,5,,18,262,1,,,,,,1,,,,1,1,6,1,,,,,,,,,,,,,,,,,2,,1,,,1,1,,,,,2,24,1,,,,,,,,
340,2759/2622/2476,--/2907/--,173,,,,2,7,,,,,,,,4,,,,,2,2,1,,,,,1,,,2,,1,,,,,,2,,4,,,,1,,8,,,20,,,3,,,,1,,1,,,,,32,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,1,,1,,14,,,1,,1,,1,1,379,1,,,,,,2,,29,10,7,,,1,,1,,,,3,,15,95,2,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,1,,,,,1,7,,,,,,,,1,
360,3104/2963/2810,--/3267/--,19,,,,2,4,,,,1,,,,9,,,,,1,,,1,,,,,1,,3,,2,,,,,,1,,3,,1,,,,3,,,8,,1,1,,,,1,,1,1,,,1,13,,,1,4,,,,,,,,,,,,,,4,,,,,,,,,,1,,,1,,,,,,,,19,,,3,,,,,,207,1,,1,,1,,,,35,3,6,,,,,1,,,,6,,6,108,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,2,4,,,,,,,,,
380,3465/3319/3156,--/3627/--,46,1,,,10,6,,1,,1,,,,9,7,,,,1,2,,2,,1,,,,1,11,,8,,,,1,,4,,12,,,,,,3,,,12,,,9,1,,,,,5,,,1,2,50,,,1,7,1,,,,1,,,,,,,,,7,,,1,,,,,1,,,,,1,,,,,,,,66,,,,,,1,1,,598,3,,4,,,,,,65,20,25,1,,1,,1,,,,,,19,381,,,,,,,1,,,,,,2,1,1,,,,,,1,,,,,6,,,,,,,1,,,3,4,,,,,1,13,,,,,,,2,,
400,3842/3687/3490,--/3988/--,19,1,1,,3,4,,,,,,,,1,,,,,,2,,,,,,,1,,2,,2,,,,,,1,,4,,,,,,4,,,32,,,1,,,,,,2,,,,1,12,,,3,7,,,,,1,,,,,,,,,2,,,,,,,1,2,,,,,,,,,,,,1,27,,,,,,1,,,267,,,,,,,2,,28,2,3,,1,,,,,,,2,,7,187,2,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,1,,,,,1,3,,,,,1,8,,,,,,,,,
410,4033/3876/3662,--/4168/--,55,,,,1,4,,,1,,,1,,,1,,,,1,1,,,,,,,,,5,,2,,,,,,1,,1,,,,,,3,,,16,,,3,,,,,1,,,,,,16,,,1,4,,,,,,1,,1,,,,1,,11,,,,,,,,1,,,,,,,,,,,,,31,,,,,,,,,349,1,,2,,,1,,,51,5,2,,1,,,2,,,,4,,18,187,4,1,,,,,,1,,,,,3,,2,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,1,20,,,,,,,,,
440,4619/4455/4200,--/4708/--,62,,,,4,,,,,,,,,,,,1,,,,1,,,1,,,,,9,,1,,,,,,2,,,,1,,1,,3,,,15,,,7,,,,,,2,,,,,3,,,,1,,,,,,,,,,,,,,4,1,,1,,,,,2,,,,,1,,,,,,,,44,,,,,,,,,460,,,1,,,,1,1,23,,,,,,,,,,,4,2,4,231,1,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,1,4,4,,,,,,,,,
460,5019/4851/4555,--/5069/--,78,,,,5,2,,,,1,,,,2,1,,,,,3,,,,,,,,,27,,1,,,,,,2,,10,,,,,,9,,,55,,,10,,,,,,2,,,,,4,,,1,3,,,,,,,,1,,,1,,,15,1,,,,,,,1,,,,1,2,,,,2,,,,58,,,3,1,2,,1,,744,2,1,1,,1,,,,64,2,1,,,,,1,,,,8,,17,278,1,,,1,,,,,,,1,,2,,1,,1,,,,1,,1,,,1,,,,,2,2,1,,,,10,,,,1,10,26,,,,,,,,,
490,5629/5454/5207,--/5609/--,16,1,,,3,4,,,,,,,,3,1,,,,,,,,,,,,1,,7,,,,,,,,1,,,1,,,,,16,,,20,,,8,,,1,,,2,,,,,1,,,,2,1,,,,,,,,,,,,,3,,,,,,,,2,,,1,,1,,,,,,1,,30,,,1,1,,,,,299,,,,,2,,,,33,,1,,,,,,,,,,,8,173,,,,,,,,,,,,,2,,2,,,,,,,,,,,2,,,,,,2,1,,,,9,,,,1,6,12,,,,,,,,,
510,6045/5860/5591,--/5970/--,23,1,,1,9,3,,,,2,,,,8,,,,3,1,,,,,,,,,,8,,1,,,,,,2,,1,,,,,,16,,,26,1,,4,,,,1,,,,,1,,5,,,,6,,,,,1,,,,,,,,,16,,,,,,,,1,,,,,,,,,,,,,43,,,2,2,,1,,,289,1,,,,,,,,48,1,1,,,1,,1,,,,,,8,280,8,,,,,,,,1,,,,4,,1,,,,,,,16,3,,,4,,,,,,,,,3,,12,,,,,9,5,,,,,,,1,1,
