Biogeographic area,Country ,Site ,Site_name_machine_readable,Dated,Recalibrated,Calibration R package,Radiocarbon dates,Depths,Material dated,Dating method (Conventional/AMS),Calibration curve,Period,Hiatus,post-bomb curve,Reservour effect,Accumulation rate (yr/cm),Section thickness (cm),Comments #1,Comment #2
Sahara,Mauritania,"Baie de Saint Jean, Mauritania",Baie_Saint_Jean_Mauritania,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,"Bajondillo, Spain",Bajondillo_Spain,Yes,Yes,rbacon,Yes,Yes,"charcoal, flint and bulk sediment",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,500,5,,
Sub-sahara,Mali,Bemba Yanga,Bemba_Yanga_Mali,Yes,Yes,rbacon,Yes,Yes,bulk sediment,,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,3,,
Mediterranean,Tunisia,"Beni M'tir 1, Tunisia (BMTIRMAR)",Beni_Mtir_1_Tunisia,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Tunisia,"Beni M'tir 2, Tunisia (BMTIRBOG)",Beni_Mtir_2_Tunisia,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Turkey,"Bereket, Turkey",Bereket_Turkey,Yes,Yes,rbacon,Yes,Yes,terrestrial plant remains and wood,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,5,10,,
Mediterranean,Turkey,"Beysehir Gölü 1, Turkey",Beysehir_Golu_1_Turkey,Yes,Yes,rice,Yes,"Yes, 1 depth",clay,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Mediterranean,Turkey,"Beysehir Gölü 2, Turkey",Beysehir_Golu_2_Turkey,Yes,Yes,rbacon,Yes,Yes,organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahara,Chad,"Bilgoy, Chad",Bilgoy_Chad,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahara,Sudan,"Bir Atrun, Sudan",Bir_Atrun_Sudan,Yes,Yes,rbacon,Yes,Yes,sapropel,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Arabian Peninsula,Israel,"Birkat Ram, Israel",Birkat_Ram_Israel,Yes,Yes,rbacon,Yes,Yes,"Terrestrial wood, bulk sediment and water plamt remains (corrected 600 yr BP)",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Italy,"Biviere di Gela, Italy",Biviere_di_Gela_Italy,Yes,Yes,rbacon,Yes,Yes,"charcoal, seed, wood",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,"Botija bog, Spain",Botija_bog_Spain,Yes,Yes,rbacon,Yes,Yes,bulk peat samples,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,2,,
Arabian Peninsula,Syria,"Bouara, Syria",Bouara_Syria,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Mediterranean,Algeria,"Bourdim, Algeria",Bourdim_Algeria,Yes,Yes,rbacon,Yes,Yes,bulk sediments,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,1,5,,
Mediterranean,Turkey,"Bozova Lake, Turkey",Bozova_Lake_Turkey,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Malta,Burmarrad ria,Burmarrad_ria_Malta,Yes,Yes,rbacon,Yes,Yes,Charcoal and peat,,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Spain,"Cala Galdana, Spain",Cala_Galdana_Spain,Yes,Yes,rbacon,Yes,Yes,"marine shells, organic sediment and wood",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,1,10,,
Mediterranean,Spain,"Cala'n Porter, Spain",Calan_Porter_Spain,Yes,Yes,rbacon,Yes,Yes,organic sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,10,,
Mediterranean,Spain,"Cañada de la Cruz, Spain",Canada_Cruz_Spain,Yes,Yes,rbacon,Yes,Yes,bulk sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,50,5,,
Mediterranean,Spain,"Canaleja, Spain",Canaleja_Spain,Yes,Yes,rbacon,Yes,Yes,charcoal,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,200,1,,
Arabian Peninsula,Lebanon,"Chamsine, Lebanon",Chamsine_Lebanon,Yes,Yes,rbacon,Yes,Yes,"Argilla steatodes, turfa lignosa",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Portugal,Charca dos Cões,Charca_dos_Coes_Portugal,Yes,Yes,rbacon,Yes,Yes,bulk sediment,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Portugal,Charco da Candieira,Charco_da_Candieira_Portugal,Yes,Yes,rbacon,Yes,Yes,"Gyttja, Seeds + wood (no Betula) and Cytisus purgans and Betula branchlets",Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahara,Mauritania,"Chemchane, Mauritania",Chemchane_Mauritania,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sub-sahara,Ethiopia,Danka Valley,Danka_Valley_Ethiopia,Yes,Yes,rice,Yes,"Yes, 1 depth",Organic matter,,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,"Dated sample do not correspond to pollen sequence. Thus, we have not added the calibrated date to the pollen sequence."
Mediterranean,Tunisia,"Dar Fatma, Tunisia",Dar_Fatma_Tunisia,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,"Hiatus at 80cm, 125cm, 180cm",,,100,5,,
Mediterranean,Morocco,"Dayet M'Had, Morocco",Dayet_MHad_Morocco,Yes,Yes,rbacon,Yes,Yes,bulk sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sub-sahara,Ethiopia,Dega Sala,Dega_Sala_Ethiopia,Yes,Yes,rbacon,Yes,Yes,Organic sediment,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Turkey,Demiryurt Gölü,Demiryurt_Golu_Turkey,Yes,Yes,rice,Yes,"Yes, 1 depth",,,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Arabian Peninsula,Oman,"Dhofar, Oman",Dhofar_Oman,Yes,Yes,rice,Yes,No,Fecal pellets,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sub-sahara,Senegal,"Diogo 1, Senegal",Diogo_1_Senegal,Yes,Yes,rice,Yes,"Yes, 1 depth",Organic mater,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Sub-sahara,Senegal,"Diogo 2, Senegal",Diogo_2_Senegal,Yes,Yes,rbacon,Yes,Yes,Organic mater,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,10,,
Mediterranean,Tunisia,"Djebel El Ghorra 2, Tunisia (GHORRA01)",Djebel_Ghorra_2_Tunisia,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Arabian Peninsula,Israel,"Dor, Israel",Dor_Israel,Yes,Yes,rbacon,Yes,Yes,clay,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Greece,"Edessa, Greece",Edessa_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Arabian Peninsula,Israel,"Ein Gedi, Israel",Ein_Gedi_Israel,Yes,Yes,rbacon,Yes,Yes,organic relics,AMS,1: IntCal20 Northern Hemisphere calibration curve,,Hiatus at 16m (1600) at ~8ka cal BP,,,5,10,,
Sahara,Sudan,"El Atrun, Sudan",El_Atrun_Sudan,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Spain,"El Maíllo mire, Spain",El_Maillo_mire_Spain,Yes,Yes,rbacon,Yes,Yes,"terrestrial plant macrofossils, charcoal and peat",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,100,5,,
Mediterranean,Spain,"El Payo, Spain",El_Payo_Spain,Yes,Yes,rice,Yes,"Yes, 1 depth",peat,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Spain,"El Pirulejo, Spain",El_Pirulejo_Spain,Yes,Yes,rice,Yes,"Yes, 1 depth",charcoal,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,Radiocarbon date no corresponding to pollen sequence,
Mediterranean,Spain,"El Sabinar, Spain",El_Sabinar_Spain,Yes,Yes,rbacon,Yes,Yes,bulk sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Elx, Spain",Elx_Spain,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,10,,
Sahara,Chad,"Emi Koussi, Chad",Emi_Koussi_Chad,Yes,Yes,rbacon,Yes,Yes,"charred plant particles, tissues, pollen, limnic tissues, minerogenic particles and algae remains",Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Es Grau, Spain",Es_Grau_Spain,Yes,Yes,rbacon,Yes,Yes,"Sediment, palynological residue, coral and wood",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Egypt,"Fayium Oasis, Egypt",Fayium_Oasis_Egypt,Yes,Yes,rbacon,Yes,Yes,"terrestrial organic matter, clayey silt, organic clayey silt",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,10,,
Mediterranean,Greece,"Flambouro-Pieria mountains, Greece",Flambouro_Pieria_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Algeria,"Garaat El-Ouez, Algeria",Garaat_Ouez_Algeria,Yes,Yes,rbacon,Yes,Yes,bulk sediments,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,Hiatus at 65 cm,,,20,5,,
Arabian Peninsula,Syria,"Ghab 2, Syria",Ghab_2_Syria,Yes,Yes,rbacon,Yes,Yes,shells,Conventional,1: IntCal20 Northern Hemisphere calibration curve,Pre-Holocene,,,,50,5,,
Atlantic ocean,Greece,"Giannitsa B, Greece",Giannitsa_B_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Sahel,Niger,"Gobero 1 (burials), Niger",Gobero_1_Niger,Yes,Yes,rice,Yes,No,Bones,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Atlantic ocean,Turkey,"Gölbasi Lake, Turkey",Golbasi_Lake_Turkey,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Atlantic ocean,Turkey,"Gölhisar Gölü 1, Turkey (GOLHISA1)",Golhisar_Golu_1_Turkey,Yes,Yes,rbacon,Yes,Yes,bulk sediments,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Atlantic ocean,Turkey,"Gölhisar Gölü 3, Turkey (GHC)",Golhisar_Golu_3_Turkey,Yes,Yes,rbacon,Yes,Yes,bulk sediments,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Italy,Gorgo Basso (GBASSO),Gorgo_Basso_2_Italy,Yes,Yes,rbacon,Yes,Yes,"periderm, wood, leaves, twigs, charcoal",,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Atlantic ocean,Italy,"Gorgo Lungo, Italy",Gorgo_Lungo_Italy,Yes,Yes,rbacon,Yes,Yes,"bark, periderm, bud scale, twig, charcoal",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Atlantic ocean,Italy,"Gorgo Pollicino, Italy",Gorgo_Pollicino_Italy,Yes,Yes,rice,Yes,"Yes, 1 depth","twig, charcoal",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Atlantic ocean,Italy,"Gorgo Tondo, Italy",Gorgo_Tondo_Italy,Yes,Yes,rbacon,Yes,Yes,"Seed, wood, charcoal, twig, bud scale, periderm",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sub-sahara,Cameroon,"Groumoui, Cameroon",Groumoi_Cameroon,Yes,Yes,rice,Yes,No,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,Dated samples do not correspond to the sample with the pollen records,keep original calibrated date
Atlantic ocean,Greece,"Halos I, Greece",Halos_I_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahara,Algeria,"Hassi Meniet, Algeria",Hassi_Meniet_Algeria,Yes,Yes,rice,Yes,"Yes, 1 depth",organic soil,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sub-sahara,Somaliland,Hayla Cave,Hayla_Cave_Somaliland,Yes,Yes,rbacon,No - Uranium,Yes,speleothem,,1: IntCal20 Northern Hemisphere calibration curve,,,,,500,1.5,,
Atlantic ocean,Turkey,"Hoyran Gölü, Turkey",Hoyran_Golu_Turkey,Yes,Yes,rice,Yes,"Yes, 1 depth",organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Arabian Peninsula,Israel,"Huleh, Israel",Huleh_Israel,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahara,Algeria,"I-n Itinen, Algeria",I_n_Itinen_Algeria,Yes,Yes,rbacon,Yes,Yes,charcoal ,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Atlantic ocean,Morocco,"Ifri Oudadane, Morocco",Ifri_Oudadane_Morocco,Yes,Yes,rbacon,Yes,Yes,macrobotanical samples,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahara,Libya,"TH94, Libya",In_Taharin_TH94_Libya,Yes,Yes,rice,Yes,No,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Atlantic ocean,Greece,"Ioannina I, Greece",Ioannina_I_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,Pre-Holocene,,,,50,5,,
Atlantic ocean,Greece,"Ioannina II, Greece",Ioannina_II_Greece,Yes,Yes,rbacon,Yes,Yes,"Peat, peaty clay",Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,200,5,Radiocarbon - Chronology is based on pollen correlation with adjacent dated core using the authors zonation.,
Sahel,Nigeria,"Jikariya, Nigeria",Jikariya_Nigeria,Yes,Yes,rbacon,Yes,Yes,bulk organic material ,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahel,Nigeria,"Kaigama, Nigeria",Kaigama_Nigeria,Yes,Yes,rbacon,Yes,Yes,Organic lake mud,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahel,Nigeria,"Kajemarum Oasis, Nigeria",Kajemarum_Oasis_Nigeria,Yes,Yes,rbacon,Yes,Yes,Organic matter,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Sahel,Chad,"Kamala, Chad",Kamala_Chad,Yes,Yes,rice,Yes,No,Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,1 depth no corresponding to pollen sequence,keep original calibrated date
Atlantic ocean,Turkey,"Kararmik Batakligi, Turkey",Kararmik_Batakligi_Turkey,Yes,Yes,rbacon,Yes,Yes,organic fraction and calcareous fraction,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Turkey,Kaz Gölü,Kaz_Golu_Turkey,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Atlantic ocean,Greece,"Khimaditis Ib, Greece",Khimaditis_Ib_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Atlantic ocean,Greece,"Khimaditis III, Greece",Khimaditis_III_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,3,,
Arabian Peninsula,Qatar,"Khor FB, Qatar",Khor_FB_Qatar,Yes,Yes,rbacon,Yes,Yes,charcoal and shells,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,0.6,,
Arabian Peninsula,Israel,"Kinneret, Israel",Kinneret_Israel,Yes,Yes,rbacon,Yes,Yes,"macrofossil remains of terrestrial plants, humic acid & bulk organic material",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,"Yes - reservoir effec  at 358 cm is 835 years, at 794 cm it is 965 years, and at 944 cm 1,635 years",5,10,,
Sahel,Chad,"Kouka, Chad",Kouka_Chad,Yes,Yes,rice,Yes,"Yes, 1 depth",Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Atlantic ocean,Turkey,"Köycegiz Gölü, Turkey",Koycegiz_Golu_Turkey,Yes,Yes,rbacon,Yes,Yes,Organic fraction,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Atlantic ocean,Turkey,"Küçük Akgöl, Turkey",Kucuk_Akgol_Turkey,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahel,Nigeria,"Kuluwu Oasis, Nigeria",Kuluwu_Oasis_Nigeria,Yes,Yes,rbacon,Yes,Yes,Organic lake mud,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,La Calderilla,La_Calderilla_Spain,Yes,Yes,rbacon,Yes,Yes,bulk sediment and charcoal,,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Atlantic ocean,Spain,"La Cruz, Spain",La_Cruz_Spain,Yes,Yes,rice,Yes,"Yes, 1 depth",macrobotanical sample,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,1 depth no corresponding to pollen sequence. Calibrated date added to closer and deeper depth (80 cm),Set to closest depth
Atlantic ocean,Spain,"Labradillos mire, Spain",Labradillos_mire_Spain,Yes,Yes,rbacon,Yes,Yes,bulk peat samples,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
