"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Nuphar","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"6388","6884","5892"," 640","   0","   0","   3","  13","  11","  22","   1","   0"," 188","   0","   0","   0","   0","   0","   1","   0","   0","   3","  91","   0","   4","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   4","   0","   7","   5","   4","  14","   0","   0","   0","   0","   0","   0","   5","  14","   0","   1","   0","   0","   1","  19","   0","   2","   0","   1","   1","   6","   0","   0"
"6457","6945","5974"," 660","   0","   4","  12","  11","   2","  24","   1","   4"," 193","   0","   0","   0","   0","   0","   0","   0","   0","   6","  67","   5","   1","   2","   0","   3","   0","   0","   0","  10","   0","   0","   0","   0","   0","   8","   0","   9","   5","  11","  25","   0","   0","   0","   0","   5","   0","   4","  17","   0","   0","   0","   2","   0","  32","   0","   0","   1","   9","   0","   9","   0","   0"
"6527","7005","6053"," 680","   0","   0","   1","   5","   0","  36","   0","   1","   4","   0","   0","   4","   0","   1","   0","   0","   0","   4","   3","  10","   3","   2","   0","  13","   0","   0","   0","   1","   0","   1","   0","   0","   0","  21","   9","  17","   0"," 146","  33","  13","   1","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","  20","   0","   2"
"6596","7065","6132"," 700","   0","   0","  29","  55","   5","  39","   0","   8","   3","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","  28","   0","   4","   0","   8","   1","   0","   0","   2","   0","   0","   0","   0","   0","  92","  13","  13","   0","  30","  34","   3","   0","   0","   0","   0","   7","   0","  10","   0","   0","   0","   2","   0","   2","   4","   1","   0","   5","   0","   7","   0","   1"
"6666","7125","6208"," 720","   0","   1","   1","  27","   5","  24","   0","   1"," 209","   0","   0","   1","   0","   0","   0","   0","   0","  14","  52","   1","   8","   6","   0","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   5","   2","  10","   1","   9","  34","   0","   0","   0","   0","   0","   0","  15","  23","   0","   0","   0","   0","   0","  39","   0","   0","   1","   0","   0","   7","   0","   0"
"6736","7185","6285"," 740","   0","   4","   8","   8","   3","  13","   0","   5"," 155","   0","   0","   0","   0","   0","   0","   0","   0","  26","  61","   9","   4","   4","   0","   0","   0","   0","   0","  19","   0","   0","   0","   1","   0","   2","   0","  12","   3","   1","  72","   2","   0","   0","   0","   7","   0","  11","  13","   2","   0","   0","   1","   0","  45","   1","   3","   0","   0","   3","  10","   0","   0"
"6805","7246","6361"," 760","   0","   0","   4","  10","   4","  21","   1","   0"," 190","   2","   0","   0","   0","   0","   1","   0","   0","   7","  39","   2","   2","   1","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   3","   1","   7","   1","   0","  11","   0","   0","   0","   0","   1","   0","   8","  14","   0","   0","   0","   0","   0","  25","   0","   1","   1","   0","   1","  10","   0","   0"
"6875","7308","6438"," 780","   0","   4","   2","  10","   1","  23","   0","   1"," 116","   0","   0","   0","   0","   0","   0","   0","   0","  12","  53","   5","   0","   3","   0","   4","   0","   0","   0","   7","   0","   0","   0","   0","   0","   3","   1","  13","   0","   0","  30","   0","   0","   0","   0","   0","   0","  11","  13","   0","   0","   0","   0","   0","  21","   0","   1","   1","   0","   0","   4","   0","   0"
"6944","7371","6514"," 800","   0","  11","   6","  21","   6","  19","   0","   1"," 245","   0","   0","   0","   0","   0","   0","   0","   0","  25","  93","   3","   9","   9","   0","   2","   0","   0","   0","  11","   0","   0","   0","   0","   0","   8","   0","  12","   0","   3","  28","   2","   0","   0","   0","   3","   0","  24","  22","   2","   0","   0","   0","   0","  26","   0","   0","   1","   4","   0","  10","   0","   0"
"7066","7484","6647"," 835","   0","   5","   3","  11","   2","  17","   1","   1","  94","   0","   0","   0","   0","   1","   0","   0","   0","   8","  51","   3","   0","   4","   0","   1","   0","   0","   0","   3","   0","   0","   0","   4","   0","   5","   2","   9","   1","   5","  25","   0","   0","   0","   0","   1","   0","   8","  16","   1","   0","   0","   0","   0","  14","   0","   0","   1","   0","   0","   6","   0","   1"
"7188","7597","6774"," 870","   0","   5","   7","  12","   4","  26","   1","   1"," 157","   0","   0","   1","   0","   0","   0","   0","   0","   5","  43","   3","   4","   2","   1","   2","   0","   0","   1","  16","   0","   0","   0","   2","   0","   7","   1","  18","   2","   4","  34","   1","   0","   0","   0","   0","   0","   5","  16","   3","   0","   0","   0","   0","  19","   1","   0","   0","   2","   1","  13","   0","   0"
"7310","7718","6903"," 905","   0","   1","   3","   6","   2","  16","   1","   2"," 108","   1","   0","   0","   0","   0","   0","   0","   0","   3","  40","   3","   2","   1","   0","   1","   0","   0","   0","   6","   0","   0","   0","   0","   1","   9","   0","  12","   0","   2","  32","   0","   1","   0","   0","   0","   0","  10","   5","   2","   0","   0","   0","   0","   8","   0","   0","   1","   0","   1","  11","   0","   0"
"7431","7845","7033"," 940","   0","   0","   2","   7","   0","  11","   1","   0"," 133","   1","   0","   0","   0","   0","   1","   0","   0","  15","  19","   1","   3","   0","   0","   1","   0","   2","   0","   3","   0","   0","   0","   0","   0","   1","   0","  18","   5","   4","  19","   1","   0","   0","   0","   0","   0","   1","   9","   1","   0","   0","   0","   0","  31","   0","   0","   0","   1","   2","   4","   0","   0"
"7553","7976","7161"," 975","   0","   0","   1","  13","   0","  21","   0","   1"," 255","   2","   0","   0","   0","   0","   0","   0","   0","  18","  16","   2","   2","   1","   0","   1","   0","   0","   0","   5","   0","   0","   0","   1","   0","   1","   0","  18","   0","   2","  23","   0","   0","   0","   0","   0","   0","  11","  11","   2","   1","   0","   0","   0","  39","   0","   0","   1","   0","   0","  16","   0","   0"
"7675","8109","7285","1010","   0","   1","   2","  15","   8","  29","   1","   1"," 191","   1","   0","   0","   0","   0","   0","   0","   0","  27","  31","   5","   4","   4","   0","   1","   0","   0","   0","   5","   0","   0","   0","   2","   0","   0","   1","  19","   1","   3","  31","   0","   0","   0","   0","   0","   0","  14","   8","   0","   2","   0","   0","   0","  73","   0","   1","   1","   2","   3","  16","   0","   0"
"7797","8242","7402","1045","   0","   1","   1","  25","   4","  31","   1","   0"," 121","   0","   0","   0","   0","   0","   0","   0","   0","  33","   9","   5","   6","   3","   1","   1","   0","   0","   0","   4","   0","   0","   0","   1","   0","   3","   0","  18","   2","   7","  29","   3","   0","   0","   2","   0","   0","   9","  25","   2","   1","   0","   1","   0"," 105","   0","   0","   1","   2","   1","  25","   0","   0"
"7919","8372","7513","1080","   0","   0","   0","  18","   5","  16","   2","   0"," 116","   0","   0","   0","   0","   0","   0","   0","   0","  26","  10","   1","   7","   2","   0","   4","   0","   0","   0","   4","   0","   0","   0","   1","   0","   2","   0","   9","   2","   5","  15","   0","   0","   0","   0","   0","   0","   4","   9","   2","   1","   0","   0","   0","  72","   0","   0","   0","   0","   0","  10","   0","   0"
"7988","8445","7575","1100","   0","   1","   2","  19","   1","  24","   1","   2"," 222","   0","   0","   1","   0","   0","   0","   0","   0","  14","  14","   0","   9","   5","   0","   1","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","  23","   2","   0","  14","   0","   0","   0","   0","   1","   0","   3","  10","   2","   0","   0","   0","   0","  52","   1","   1","   2","   0","   1","  13","   0","   0"
"8214","8691","7779","1165","   0","   2","   2","  19","   4","  17","   1","   0"," 113","   1","   0","   0","   0","   0","   0","   0","   0","  41","   8","   5","   4","   4","   1","   3","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","  16","   0","   4","  20","   0","   0","   0","   0","   6","   0","   5","   7","   3","   0","   0","   0","   0","  75","   0","   1","   1","   3","   3","  15","   0","   0"
"8440","8945","7982","1230","   0","   1","   1","  49","   5","  48","   2","   0"," 227","   0","   0","   1","   0","   0","   0","   0","   0","  38","  26","   3","   3","   0","   0","   6","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","  21","   0","   4","  27","   0","   0","   0","   0","   0","   0","   7","   6","   2","   0","   0","   0","   0","  91","   2","   2","   1","   0","   3","   3","   0","   0"
"8667","9207","8179","1295","   0","   1","   5","  31","   3","  32","   3","   0"," 192","   0","   0","   2","   0","   1","   0","   0","   0","  35","  24","   3","   3","   8","   1","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   2","   1","  29","   0","   3","  29","   0","   0","   0","   0","   0","   0","   9","  12","   1","   0","   0","   0","   0","  71","   0","   1","   0","   0","   2","   4","   0","   0"
"8893","9477","8371","1360","   1","   0","   2","  20","   2","  29","   0","   0"," 275","   0","   0","   1","   0","   0","   1","   0","   0","  13","  16","   4","   9","   5","   1","   1","   0","   0","   0","   8","   0","   0","   0","   3","   1","   1","   0","  32","   0","   2","  43","   0","   0","   0","   0","   0","   0","   8","  16","   0","   0","   0","   1","   0","  86","   1","   0","   0","   0","   4","  11","   0","   0"
