"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Animalia","Animalia ","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Coniochaeta xylariispora (type 6, HdV)","Copepoda (type 179, HdV)","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Ficus","Filipendula t.","Fraxinus","Fungi","Fungi (cf. type 1107, UG)","Fungi (type 1109, UG)","Fungi (type 12, UAB)","Fungi (type 14, UAB)","Fungi (type 2, UAB)","Fungi (type 20, UAB)","Fungi (type 21, UAB)","Fungi (type 30A, UAB)","Fungi (type 30B, UAB)","Fungi (type 32, UAB)","Fungi (type 33, UAB)","Fungi (type 35, UAB)","Fungi (type 361, HdV)","Fungi (type 38, UAB)","Fungi (type 39, UAB)","Fungi (type 4, UAB)","Fungi (type 40, UAB)","Fungi (type 42, UAB)","Fungi (type 46, UAB)","Fungi (type 48, UAB)","Fungi (type 8, UAB)","Fungi (type 9, UAB)","Fungi (type1, UAB)","Galium t.","Indeterminable","Invertebrata (type 52, HdV)","IsoÃ«tes","IsoÃ«tes boryana","Lamiaceae undif.","Monoletes","Myriophyllum undif.","Olea t.","Oribatida (type 36B, HdV)","Oribatida (type 36C, HdV)","Oribatida (type 36D, HdV)","Paronychieae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primula","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sordariaceae/Sordaria (type 55B, HdV)","Spirogyra species (type 210, HdV )","Tamarix","Thymelaeaceae undif.","Tilia","Triletes","Triletes (>30 Âµm)","Typha","Ulmus t.","Unknown","Unknown (type 128, HdV)","Unknown (type 182, HdV)","Unknown (type 224, HdV)","Urtica t.","Verbena t.","Viburnum","Vitis"
"2838",NA,NA,"126","23","0","9","0","0","7","0","11","0","3","0","0","1","0","0","0","0","13","1","2","1","1","0","3","0","0","0","8","0","0","1","0","1","0","16","1","0","0","0","0","0","0","1","2","0","0","0","38","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","3","0","6","0","0","0","1","3","2","39","1","2","80","0","1","0","0","0","1","18","49","1","0","0","0","0","0","0","0","4","0","1","2","0","0","0","0","41","0","3","5","0","0","0","0","0","0"
"2894",NA,NA,"130","20","2","6","0","0","1","0","3","0","2","0","1","0","0","1","0","0","11","2","0","0","0","1","0","0","0","0","6","0","1","0","0","1","1","31","2","1","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","3","1","0","5","0","0","0","0","1","1","56","0","0","44","0","0","1","0","0","9","9","44","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","30","0","11","4","1","0","0","0","0","1"
"2948",NA,NA,"134","34","1","6","0","0","18","1","13","3","3","0","0","4","0","0","0","0","13","5","0","0","1","0","1","0","0","0","13","0","0","2","0","1","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","17","0","0","0","1","0","0","15","0","3","0","0","1","1","50","1","1","53","0","0","0","0","0","14","18","65","1","0","1","0","0","1","0","0","4","0","0","2","0","0","0","0","38","0","0","3","0","0","0","0","0","1"
"3001",NA,NA,"138","12","0","7","0","0","3","0","3","0","5","0","1","5","0","0","0","0","7","3","0","0","0","0","1","0","0","0","8","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","5","0","0","0","5","0","0","0","1","1","0","3","0","3","0","0","3","1","46","0","1","40","0","0","0","0","0","0","14","39","1","0","0","0","0","0","1","0","2","0","0","1","0","0","0","0","50","1","0","9","0","0","0","0","0","0"
"3054",NA,NA,"142","53","1","12","0","0","7","0","2","1","3","0","0","13","1","0","0","0","4","0","1","0","0","0","4","0","0","0","10","0","0","7","0","0","0","2","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","12","0","0","0","9","0","0","0","0","0","0","0","0","0","0","2","5","0","47","0","1","56","0","0","0","0","0","1","11","39","2","0","1","0","0","0","0","0","4","0","1","1","0","0","0","0","42","0","2","4","0","0","0","0","0","0"
"3107",NA,NA,"146","26","0","10","0","0","3","0","3","0","7","0","0","14","0","1","0","0","8","2","0","1","0","1","3","0","0","0","4","0","0","0","0","1","0","18","0","0","0","0","0","0","0","2","1","0","1","1","0","0","0","0","0","0","0","0","22","0","0","1","5","0","0","0","0","1","0","1","0","1","0","0","7","0","54","0","1","44","0","0","0","0","0","3","4","33","1","0","0","0","0","0","1","1","1","0","0","2","0","0","0","0","40","0","4","0","0","0","0","0","0","0"
"3159",NA,NA,"150","74","0","13","0","0","8","0","4","1","8","0","0","9","0","0","0","0","7","2","0","0","0","0","6","0","0","0","14","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","7","0","0","0","0","1","0","1","0","4","0","0","14","1","58","0","0","30","0","1","0","0","0","10","4","45","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","43","0","0","5","0","0","0","0","0","0"
"3212",NA,NA,"154","45","1","25","0","0","9","0","7","0","11","0","1","22","0","0","0","0","15","1","0","0","0","0","1","0","0","0","10","0","0","1","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","6","0","0","0","0","9","0","2","0","4","0","0","3","0","42","0","0","27","0","0","0","0","0","6","8","37","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","46","0","0","4","0","0","0","0","0","0"
"3266",NA,NA,"158","35","0","28","0","0","3","0","2","0","6","0","0","19","0","0","0","0","30","2","0","0","1","0","2","43","0","0","4","0","0","1","0","2","1","16","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","1","0","37","0","0","0","7","0","0","0","0","4","0","2","0","2","0","0","1","0","44","0","0","32","0","1","0","0","0","10","12","37","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","44","0","24","8","0","0","0","0","0","0"
"3320",NA,NA,"162","22","0","19","0","0","10","0","3","0","18","0","0","27","0","0","0","0","60","3","0","0","0","0","1","0","0","0","8","0","0","2","0","1","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","5","0","2","0","20","1","0","0","0","28","0","0","41","0","0","0","0","0","6","5","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","6","0","0","0","0","0","0","0"
"3377",NA,NA,"166","6","0","10","0","0","4","0","3","0","15","0","0","28","0","2","0","2","61","16","0","0","0","0","0","0","0","0","17","0","0","4","0","0","0","27","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","8","0","1","0","1","2","2","1","0","4","0","4","0","0","41","0","0","61","1","0","0","0","0","3","8","27","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","24","0","10","1","0","0","0","0","0","1"
"3437",NA,NA,"170","5","0","8","0","0","8","0","1","0","14","0","0","13","0","0","0","3","49","2","0","1","0","0","0","0","0","0","21","0","0","2","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","2","0","19","0","0","1","0","51","0","0","35","1","0","0","0","0","12","13","35","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","37","0","0","2","0","0","0","0","0","1"
"3501",NA,NA,"174","5","0","18","0","0","6","0","0","0","7","0","0","6","0","0","0","0","54","1","0","0","0","0","1","0","0","0","10","0","0","3","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","11","0","0","1","0","1","0","0","0","7","0","1","0","0","22","0","4","53","0","0","0","0","0","4","4","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","1"
"3646",NA,NA,"182","1","0","3","0","0","2","0","0","0","7","0","0","9","0","0","0","0","13","3","0","0","0","0","0","0","0","0","4","0","0","6","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2","0","1","0","7","0","0","0","0","45","0","0","11","3","1","0","0","0","13","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"3729",NA,NA,"186","1","0","6","0","0","21","0","0","0","9","0","0","9","0","0","0","0","37","1","0","1","1","0","0","0","0","0","7","0","0","9","0","1","0","9","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","10","0","0","0","0","11","0","0","0","14","1","0","0","0","31","0","0","18","0","0","0","0","0","20","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"3819",NA,NA,"190","9","0","4","0","0","1","0","0","0","2","0","0","1","0","1","0","0","13","0","0","0","0","0","0","0","0","0","1","0","0","10","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8","0","0","0","0","0","0","0","0","6","0","0","7","0","0","0","0","0","31","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"3917",NA,NA,"194","5","0","3","0","0","1","0","0","0","8","0","0","4","0","0","0","0","42","1","0","0","0","0","1","0","0","0","13","0","0","19","0","0","0","1","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","10","0","0","0","0","27","0","1","0","7","0","0","0","0","11","0","0","12","0","0","0","0","0","34","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"4021",NA,NA,"198","7","0","7","0","0","3","0","0","0","7","0","0","5","0","0","0","0","16","3","0","0","1","0","0","0","0","0","11","0","0","30","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","7","0","0","0","0","17","0","1","0","8","1","0","0","0","13","0","1","15","1","0","0","0","0","43","4","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0"
"4159",NA,NA,"213","5","0","5","0","0","4","0","2","0","5","0","0","6","0","0","0","0","29","2","0","0","0","0","1","0","0","0","5","0","0","23","0","0","0","9","0","9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","0","0","0","12","0","0","0","0","24","0","0","0","2","0","0","0","0","23","0","0","8","0","0","0","0","0","35","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","5","0","1","2","0","0","0","0","0","0"
"4274",NA,NA,"217","15","0","9","0","0","3","0","1","0","5","0","0","7","0","0","1","1","51","2","0","0","1","0","1","0","0","0","8","0","0","26","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","3","0","0","0","8","0","0","0","0","10","0","1","0","2","0","0","1","0","23","0","0","11","0","0","0","0","0","37","5","7","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","3","1","1","0","0","0","0","0","0","0","1"
"4391",NA,NA,"221","7","0","6","0","0","12","1","0","0","2","0","0","7","0","0","0","0","38","3","0","0","0","0","0","0","0","0","14","0","0","15","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","15","0","1","0","0","16","0","3","0","0","0","0","0","0","30","0","0","8","1","0","0","1","0","22","3","11","0","0","0","0","0","0","1","0","0","0","0","0","1","0","4","3","3","0","1","0","0","0","0","0","0","0"
"4509",NA,NA,"225","7","0","14","0","0","32","2","2","0","11","0","0","8","0","0","2","0","90","10","0","0","0","0","1","0","0","0","21","0","0","21","0","1","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","2","0","0","30","0","0","0","0","22","0","4","1","21","5","0","1","1","23","0","1","37","0","0","1","0","0","24","16","20","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","1"
"4628",NA,NA,"229","15","0","26","0","0","9","1","1","0","13","0","0","15","0","0","0","0","69","4","0","0","1","0","0","0","0","0","30","0","0","12","0","1","1","27","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","68","1","0","0","19","0","0","4","0","33","0","2","0","27","0","0","0","2","33","0","1","49","2","1","0","0","0","42","14","18","0","0","0","0","1","0","0","0","1","1","0","0","2","0","0","2","7","0","3","0","0","1","0","0","0","0"
"4861",NA,NA,"237","37","0","57","1","0","3","1","1","2","14","0","0","26","0","1","0","0","42","8","0","0","0","1","1","0","2","0","26","0","1","12","0","1","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","231","1","0","0","15","0","0","2","0","15","0","4","0","8","1","2","3","0","28","0","1","36","1","1","0","0","0","23","20","34","0","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","14","0","4","1","0","0","0","0","0","0"
"4973",NA,NA,"241","15","0","78","0","0","1","0","0","0","19","0","0","14","0","0","0","0","24","1","0","0","0","1","1","0","0","0","18","0","0","12","0","0","0","27","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","207","0","3","0","3","0","0","0","0","17","0","3","0","9","0","0","26","0","29","0","2","29","0","0","0","0","0","22","9","19","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5080",NA,NA,"245","20","0","42","1","0","1","0","3","0","5","0","1","18","0","0","0","0","9","1","0","0","2","1","0","7","0","0","12","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","3","0","0","1","0","14","0","1","0","3","0","0","34","0","56","0","2","16","0","0","0","0","0","11","15","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"5181",NA,NA,"249","31","0","20","0","0","1","0","0","0","1","1","0","3","0","0","0","0","12","2","0","0","0","0","0","0","0","0","3","0","0","7","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","170","0","2","0","14","0","0","0","0","4","0","0","0","2","0","0","0","0","20","0","0","22","1","0","0","0","0","4","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"5275",NA,NA,"253","30","1","5","0","0","3","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","1","0","2","0","0","0","9","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","2","0","2","0","0","0","0","2","0","4","0","0","0","0","0","0","20","0","2","15","1","0","0","0","0","1","12","18","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0"
"5361",NA,NA,"257","32","1","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","8","0","0","0","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","1","0","7","0","0","0","0","0","0","2","0","2","0","0","4","1","23","0","0","4","0","0","0","0","0","0","17","30","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"5439",NA,NA,"261","83","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","5","0","14","0","0","15","1","0","0","0","0","0","10","9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"5511",NA,NA,"265","54","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","5","0","0","9","0","0","0","0","1","0","12","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"5577",NA,NA,"269","39","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","5","0","0","0","0","1","0","0","0","1","0","0","0","0","6","0","0","10","0","0","0","0","0","0","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","0","1","0","0","0","0"
"5637",NA,NA,"273","36","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","2","2","0","1","1","1","2","0","0","10","0","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","2","0","0","0","0","2","0","1","0","1","0","0","0","0","31","0","0","9","0","0","0","0","2","0","12","19","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0"
"5693",NA,NA,"277","31","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","1","0","3","0","0","0","0","2","0","4","0","0","0","2","0","0","40","0","0","12","0","0","0","0","0","0","13","24","0","0","0","0","1","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"5745",NA,NA,"281","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","0","0","1","0","0","7","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","19","0","0","9","0","0","0","0","0","0","16","20","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5793",NA,NA,"285","6","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","8","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","6","0","0","0","0","0","0","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5883",NA,NA,"293","13","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","17","0","6","0","0","0","0","0","0","0","0","2","0","0","0","0","8","0","0","8","0","0","0","0","0","0","17","23","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5925",NA,NA,"297","6","1","1","0","0","1","0","2","0","3","0","2","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","3","0","0","0","0","2","1","8","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","4","0","0","0","0","2","0","2","0","0","0","0","0","0","10","0","1","7","1","0","0","0","0","1","21","22","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"5998",NA,NA,"314","23","1","7","0","0","16","0","2","1","7","0","1","6","0","0","0","0","30","5","0","0","0","1","0","0","0","1","30","0","0","19","0","1","0","13","0","0","0","0","0","0","0","0","2","0","0","0","3","1","0","0","0","0","2","0","40","2","0","0","31","0","0","0","1","18","0","3","1","19","0","1","0","1","29","0","0","24","5","0","0","0","0","33","14","21","0","1","0","0","0","0","1","0","1","0","0","0","0","0","4","6","9","0","0","6","0","0","0","0","0","0"
