"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Galium t.","Geranium","Haplophyllum","Heliotropium","HippophaÃ«","Hippuris","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lysimachia","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Ononis t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Prosopis t.","Prunus t.","Pseudopediastrum kawraiskyi","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown","Valerianella","Verbena t.","Vitis"
"3563","4017","3067"," 170","   1","   0","   0","   0","  91","   0","  74","   8","   0","  49","   0","   1","   0","   0","  23","   0","   0","  27","   5","   0"," 329"," 132","   0"," 107","   0","   0","   0","   3","  14","   6","   0","   1","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 136","   0","   2","   0","   0","  19","   1","   6","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","  94","   0","   0","   0","   1","   0","   2","   0","   2","   0","   1","   0","   0"
"3867","4378","3306"," 180","   1","   0","   0","   0"," 119","   0","  64","   3","   0","  72","   1","   2","   1","   0","  12","   0","   0","  30","   8","   0"," 116"," 129","   0"," 116","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   7","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 201","   0","   1","   0","   0","  15","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  68","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"4171","4740","3545"," 190","   0","   0","   0","   0"," 188","   0"," 101","   9","   0","  46","   3","   0","   0","   0","  19","   1","   0","  29","   6","   0"," 149"," 168","   1"," 133","   0","   0","   0","   1","  16","   5","   0","   0","   0","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 413","   0","   0","   0","   0","  12","   0","   3","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0"," 146","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"4476","5103","3785"," 200","   1","   0","   0","   0","  97","   0","  47","   5","   0","  47","   2","   0","   0","   0","   3","   0","   1","  24","   5","   0","  43","  88","   0","  57","   0","   0","   0","   1","  27","   3","   0","   1","   1","   0","   0","  10","   4","   0","   1","   0","   0","   1","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 665","   0","   0","   0","   0","  20","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 164","   0","   1","   1","   0","   0","   2","   0","   0","   0","   2","   0","   2"
"4780","5466","4023"," 210","   1","   0","   0","   0"," 146","   0"," 120","   4","   0","  63","   1","   1","   1","   0","  16","   0","   0","  61","  11","   0","  86"," 222","   0"," 157","   0","   0","   0","   2","  53","   7","   0","   2","   0","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 519","   0","   0","   0","   0","  17","   2","   6","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0"," 115","   0","   0","   0","   0","   0","   7","   0","   0","   0","   2","   0","   0"
"5084","5829","4261"," 220","   0","   0","   0","   0","  57","   0","  26","   3","   0","  58","   0","   0","   0","   0","   4","   0","   0","  15","   5","   0","  34","  44","   0","  33","   0","   0","   0","   0","  14","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 374","   0","   1","   0","   0","   8","   2","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"5388","6193","4499"," 230","   0","   0","   0","   0","  12","   0","  10","   0","   0","  10","   0","   1","   0","   0","   0","   0","   0","   8","   0","   0","  19","  20","   0","  19","   0","   0","   0","   1","   9","   6","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 238","   0","   1","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5692","6557","4738"," 240","   0","   0","   0","   1","   3","   0","   7","   0","   0","  10","   1","   0","   0","   0","   0","   0","   2","   5","   0","   0","  15","  12","   0","   7","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 161","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5997","6921","4976"," 250","   0","   0","   0","   3","  18","   0","  13","   1","   0","   9","   0","   2","   1","   0","   0","   0","   0","   3","   0","   0","  25","  16","   0","  11","   0","   1","   0","   0","   8","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 285","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6301","7285","5214"," 260","   0","   0","   0","   0","   5","   0","   4","   0","   0","   2","   0","   0","   1","   0","   0","   0","   1","   3","   0","   0","  25","   6","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 176","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
" 9343","10928"," 7590","  360","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   11","    0","    0","    2","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","  224","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
" 9647","11293"," 7828","  370","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  230","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
" 9951","11658"," 8066","  380","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  432","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14818","17490","11865","  540","    0","    0","    0","    0","   83","    0","   33","    0","    0","   46","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   23","    0","    9","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    4","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"15123","17854","12102","  550","    0","    0","    0","    0","  423","    0","  153","    0","    0","  209","    3","    0","    0","    0","    0","    1","    0","    2","    0","    0","   19","   75","    0","   87","    0","    0","    0","    1","    1","    0","    0","   12","    1","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   19","    0","    0","    0","   17","    4","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0"
"15427","18219","12340","  560","    1","    0","    0","    0","  505","    0","  109","    1","    0","  284","    3","    0","    0","    0","    0","    0","    0","    3","    0","    0","   20","  105","    0","   65","    0","    0","    0","    0","    2","    0","    0","    8","    2","    0","    0","    4","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    0","    1","    0","   10","    8","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"15731","18584","12578","  570","    0","    0","    0","    0","   81","    0","   60","    0","    0","  122","    2","    2","    0","    0","    1","    0","    0","    3","    0","    0","    5","   37","    0","   19","    0","    0","    0","    1","    2","    0","    0","    4","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    2","    1","    0","    2","    0","    0","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0"
"16035","18948","12815","  580","    0","    0","    0","    1","  468","    0","  464","    0","    0","  643","    9","    4","    0","    0","    0","    0","    0","   49","    1","    0","   17","  170","    0","  155","    0","    0","    0","    0","   16","    0","    0","   15","    4","    0","    0","    3","    1","    0","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   44","    0","    8","    0","    2","   24","    0","   20","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0"
"16339","19313","13053","  590","    0","    0","    0","    1","  207","    0","  361","    5","    0","  262","   18","    2","    1","    0","    0","    0","    0","   95","    0","    0","   12","  144","    0","  250","    0","    0","    0","    0","    3","    0","    0","    8","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   34","    0","    5","    0","    2","   11","    2","    7","    0","    0","    0","    0","    0","    2","   17","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"16644","19677","13290","  600","    0","    0","    0","    1","  100","    0","  312","    1","    0","   70","    5","    1","    0","    0","    0","    0","    0","   24","    0","    0","   11","   46","    0","  240","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","   21","    0","    1","    0","    0","   13","    0","    2","    0","    0","    0","    0","    0","    0","   12","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"16948","20042","13528","  610","    0","    0","    0","    2","  127","    0","  389","    0","    0","  118","    9","    0","    0","    0","    0","    0","    0","   15","    0","    0","   11","   41","    0","  301","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    1","    0","    1","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   32","    0","    6","    0","    0","   11","    0","    4","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"17252","20405","13764","  620","    0","    0","    0","    0","  245","    0","  304","    1","    0","  166","    9","    0","    0","    0","    2","    0","    0","    8","    1","    0","    9","   28","    0","  268","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   13","    0","    2","    0","    1","   12","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"17526","20734","13978","  629","    0","    0","    0","    1","  237","    0","  380","    1","    0","  218","    9","    1","    0","    0","    0","    0","    0","   14","    0","    0","    5","   80","    0","  329","    0","    0","    0","    0","    6","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    2","    0","    2","    4","    0","    3","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"17860","21136","14240","  640","    0","    0","    0","    1","  189","    0","  458","    1","    0","  314","   14","    2","    0","    0","    3","    0","    0","   10","    3","    0","    5","   57","    0","  276","    0","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    4","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    8","    0","    1","    0","    1","    8","    0","    9","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18165","21500","14477","  650","    0","    0","    0","    0","   96","    0","  190","    1","    0","   70","    8","    0","    0","    0","    0","    1","    0","    8","    0","    0","    9","   18","    0","  214","    0","    0","    0","    0","    7","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   33","    0","    9","    0","    0","    8","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18469","21865","14715","  660","    0","    0","    0","    0","  120","    0","  425","    3","    0","  134","    6","    2","    0","    0","    0","    0","    0","    5","    1","    0","    1","   53","    0","  182","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   11","    0","    2","    0","    0","    4","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18773","22229","14952","  670","    0","    0","    0","    0","   45","    0","  445","    1","    0","  126","    5","    2","    0","    0","    1","    1","    0","   10","    2","    0","    3","   46","    0","  363","    0","    0","    0","    0","   26","    0","    0","    1","    2","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","    8","    0","    1","   14","    0","    1","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    1","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"19382","22959","15427","  690","    0","    0","    0","    0","    5","    0","   62","    0","    0","    6","    3","    0","    0","    0","    0","    0","    0","    4","    0","    0","    2","   16","    0","  258","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    1","    0","    1","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
