"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cercis","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fagopyrum","Fern-Equisetophyta","Fraxinus","Fumaria","Galium t.","Humulus","Hydrocharitaceae","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Ligustrum","Malva undif.","Matthiola","Myriophyllum undif.","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Vitis"
"2049.416",NA,NA," 562.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   5.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","  17.000","   0.000","   4.000","   0.000","   1.000","   1.000","  42.000","   1.000","   0.000","   0.000","   2.000","   0.000","   5.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   2.000","   0.000","   0.000","  58.000","   0.000","  16.000","   0.000","  95.000","  15.000","   0.000","   8.000","   0.000","   0.000","   7.000","   5.000","  26.000","   0.000","   1.000","   2.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  36.000","   2.000","   0.000","   0.000","   4.000"
"2052.774",NA,NA," 564.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   6.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   0.000","   0.000","  15.000","   0.000","   4.000","   0.000","   2.000","   4.000","  38.000","   1.000","   0.000","   0.000","   4.000","   0.000","   8.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000","  70.000","   0.000","  18.000","   0.000","  79.000","  13.000","   0.000","   8.000","   0.000","   0.000","   8.000","   7.000","  32.000","   0.000","   1.000","   4.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  45.000","   3.000","   0.000","   0.000","   5.000"
"2057.81",NA,NA," 567.00","   0.00","   0.00","   1.00","   0.00","  16.00","   6.00","   0.00","  22.00","  12.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","  16.00","   0.00","   0.00","   0.00","  16.00","   0.00","   6.00","   5.00","   2.00","  23.00","   5.00","   0.00","   0.00","   1.00","   8.00","   0.00","   5.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","  20.00","   0.00","  13.00","   0.00"," 155.00","  13.00","   0.00","   3.00","   1.00","   0.00","  14.00","   4.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   1.00","   0.00","   0.00","   5.00"
"2061.168",NA,NA," 569.000","   0.000","   0.000","   1.000","   0.000","  20.000","   8.000","   0.000","  26.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  16.000","   0.000","   0.000","   0.000","  14.000","   0.000","   8.000","   7.000","   4.000","  22.000","   4.000","   0.000","   0.000","   1.000","   8.000","   0.000","   4.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","  29.000","   0.000","  14.000","   0.000"," 142.000","  12.000","   0.000","   4.000","   0.000","   0.000","  20.000","   5.000","   4.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000","   6.000"
"2064.526",NA,NA," 571.000","   0.000","   0.000","   6.000","   0.000","   3.000","   4.000","   0.000","   3.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   4.000","   0.000","   0.000","  27.000","   0.000","   3.000","   0.000","   7.000","   4.000","  37.000","   0.000","   0.000","   0.000","   0.000","   0.000","  21.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   2.000","   0.000","   7.000","  57.000","   0.000","  20.000","   0.000","  80.000","  16.000","   0.000","   5.000","   0.000","   0.000","   6.000","   6.000","  16.000","   0.000","   0.000","   0.000","   2.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","  28.000","   2.000","   0.000","   0.000","   5.000"
"2069.562",NA,NA," 574.000","   0.000","   0.000","   7.000","   1.000","   4.000","   4.000","   0.000","   3.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   5.000","   0.000","   0.000","  15.000","   0.000","   5.000","   0.000","   5.000","   5.000","  32.000","   0.000","   0.000","   0.000","   0.000","   0.000","  25.000","  14.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   8.000","  46.000","   0.000","  17.000","   0.000","  85.000","  14.000","   0.000","   5.000","   0.000","   0.000","   5.000","   7.000","  15.000","   0.000","   0.000","   1.000","   2.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","  32.000","   4.000","   2.000","   0.000","   6.000"
"2072.92",NA,NA," 576.00","   1.00","   0.00","   9.00","   3.00","   0.00","   3.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   5.00","   5.00","   0.00","   0.00","  17.00","   0.00","   2.00","   0.00","   2.00","   4.00","  72.00","   0.00","   0.00","   0.00","   0.00","   0.00","  26.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00"," 107.00","   0.00","  18.00","   0.00","  46.00","  18.00","   0.00","   9.00","   0.00","   0.00","   7.00","   6.00","  21.00","   0.00","   3.00","   2.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","  29.00","   6.00","   8.00","   0.00","   5.00"
"2076.277",NA,NA," 578.000","   1.000","   0.000","   4.000","   1.000","   0.000","   2.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   4.000","   4.000","   2.000","   0.000","  15.000","   0.000","   4.000","   0.000","   2.000","   6.000","  69.000","   0.000","   0.000","   0.000","   0.000","   0.000","  22.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   1.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","   0.000","   0.000"," 122.000","   0.000","  14.000","   0.000","  29.000","   9.000","   0.000","  11.000","   1.000","   0.000","   5.000","   7.000","  25.000","   0.000","   2.000","   4.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  32.000","   5.000","   5.000","   1.000","   5.000"
"2079.635",NA,NA," 580.000","   4.000","   0.000","   8.000","   1.000","   1.000","   3.000","   0.000","   2.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   4.000","   3.000","   0.000","  21.000","   0.000","   4.000","   0.000","   4.000","   5.000","  87.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","  13.000","   0.000","   0.000","   0.000","   4.000","   0.000","  16.000","   0.000","   2.000","   0.000","   0.000","   0.000","  10.000","  14.000","   0.000","   0.000","   3.000"," 102.000","   0.000","  15.000","   0.000","  31.000","  12.000","   0.000","   4.000","   1.000","   0.000","   4.000","   6.000","  11.000","   0.000","   0.000","   5.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  26.000","   5.000","   4.000","   4.000","   7.000"
"2081.314",NA,NA," 581.000","   6.000","   0.000","  12.000","   0.000","   1.000","   0.000","   0.000","   4.000","   5.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   8.000","   7.000","   0.000","  17.000","   0.000","   5.000","   2.000","   0.000","   4.000","  60.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","  17.000","   0.000","   2.000","   0.000","   8.000","   0.000","  15.000","   0.000","   5.000","   0.000","   0.000","   0.000","  11.000","  13.000","   0.000","   0.000","   5.000"," 125.000","   0.000","  20.000","   0.000","  35.000","  17.000","   0.000","   0.000","   1.000","   4.000","   1.000","   8.000","  10.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  52.000","   0.000","   0.000","   6.000","  15.000"
"2089.708",NA,NA," 586.000","   6.000","   0.000","  10.000","   0.000","   1.000","   0.000","   0.000","   6.000","   5.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   1.000","   6.000","   5.000","   0.000","  16.000","   0.000","   4.000","   0.000","   0.000","   5.000","  72.000","   0.000","   2.000","   1.000","   0.000","   0.000","  20.000","  16.000","   0.000","   2.000","   0.000","   5.000","   0.000","  15.000","   0.000","   5.000","   0.000","   0.000","   0.000","  10.000","  15.000","   0.000","   0.000","   1.000"," 120.000","   0.000","  16.000","   0.000","  35.000","  15.000","   0.000","   0.000","   2.000","   3.000","   4.000","  10.000","  15.000","   0.000","   0.000","  12.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  42.000","   0.000","   0.000","   5.000","   8.000"
"2096.423",NA,NA," 590.000","   5.000","   0.000","   8.000","   0.000","   4.000","   0.000","   0.000","   4.000","   2.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   1.000","   3.000","   0.000","   9.000","   0.000","   2.000","   1.000","   0.000","  10.000","  96.000","   0.000","   5.000","   1.000","   0.000","   0.000","  46.000","  16.000","   0.000","   1.000","   0.000","   6.000","   0.000","  12.000","   0.000","   6.000","   0.000","   0.000","   0.000","   3.000","  11.000","   0.000","   0.000","   3.000"," 103.000","   0.000","  18.000","   0.000","  49.000","  18.000","   0.000","   0.000","   4.000","   5.000","   3.000","  11.000","  33.000","   0.000","   0.000","  12.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   9.000","   2.000","   0.000","  10.000","   8.000"
"2103.139",NA,NA," 594.000","   3.000","   0.000","   0.000","   6.000","  12.000","   8.000","   0.000","  20.000","  10.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   4.000","   1.000","   1.000","   0.000","   8.000","   0.000","  12.000","   6.000","   0.000","  36.000","  55.000","   5.000","  14.000","   0.000","   0.000","   0.000","  38.000","   9.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   2.000","  32.000","   3.000","   9.000","   0.000","  78.000","   0.000","   0.000","   0.000","   7.000","   0.000","  14.000","  26.000","  42.000","   0.000","   0.000","   6.000","   6.000","   4.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   4.000","   3.000","   0.000","   5.000","   1.000"
"2109.854",NA,NA," 598.000","   3.000","   0.000","   0.000","  15.000","  25.000","   9.000","   0.000","  28.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   6.000","   0.000","   1.000","   0.000","   6.000","   0.000","  12.000","  12.000","   0.000","  75.000","  12.000","   8.000","  31.000","   0.000","   0.000","   0.000","   0.000","  30.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   9.000","   8.000","   3.000","   3.000","   0.000","  40.000","   1.000","   0.000","   0.000","  16.000","   0.000","  15.000","  30.000","   3.000","   3.000","   0.000","   6.000","  18.000","   8.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","  16.000","   0.000","   9.000","   0.000"
"2116.569",NA,NA," 602.000","   1.000","   0.000","   0.000","  12.000","  22.000","   6.000","   0.000","  18.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   8.000","   0.000","   0.000","   0.000","   5.000","   0.000","   8.000","   6.000","   0.000","  45.000","  20.000","   8.000","  26.000","   1.000","   0.000","   0.000","   6.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   7.000","  12.000","   2.000","   2.000","   0.000","  45.000","   0.000","   0.000","   0.000","  17.000","   0.000","  16.000","  31.000","  15.000","   1.000","   0.000","   4.000","  17.000","   8.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","  15.000","   0.000","   8.000","   0.000"
"2123.285",NA,NA," 606.000","   0.000","   0.000","   2.000","   9.000","   8.000","   3.000","   0.000","   6.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   5.000","   0.000","   1.000","   0.000","   9.000","   0.000","   7.000","   6.000","   0.000","  18.000"," 128.000","   5.000","  21.000","   2.000","   0.000","   0.000","  20.000","  22.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   3.000","   0.000","  12.000","  17.000","   0.000","  13.000","   0.000","  72.000","   0.000","   0.000","   0.000","  14.000","   0.000","   8.000","  25.000","  58.000","   1.000","   0.000","   8.000","   9.000","   6.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   5.000","   7.000","   0.000","   5.000","   0.000"
"2130",NA,NA," 610","   0","   0","   3","   8","   9","   0","   0","   9","  10","   0","   0","   0","   0","   0","   5","   6","   0","   1","   0","   9","   0","   5","   5","   0","  20"," 130","   6","  18","   3","   0","   0","  25","  24","   1","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   5","   3","   0","   0","  20","   1","  19","   0","  65","   2","   0","   0","  15","   1","  12","  26","  60","   0","   0","  15","  16","   2","   0","   0","   0","   0","   6","   0","   5","  12","   0","   2","   0"
"2134.393",NA,NA," 614.000","   0.000","   0.000","   2.000","   6.000","  11.000","   4.000","   0.000","   9.000","  15.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   4.000","   0.000","   0.000","   0.000","  22.000","   0.000","  12.000","   8.000","   0.000","  18.000","  88.000","   5.000","  11.000","   5.000","   0.000","   2.000","   7.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   1.000","  42.000","   4.000","  27.000","   0.000","  69.000","   2.000","   0.000","   0.000","   9.000","   1.000","   8.000","  19.000","  42.000","   1.000","   1.000","  14.000","  12.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","  10.000","   8.000","   0.000","   2.000","   0.000"
"2138.786",NA,NA," 618.000","   0.000","   0.000","   0.000","   9.000","  12.000","   6.000","   0.000","  20.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   5.000","   1.000","   0.000","   0.000","  12.000","   0.000","  11.000","  10.000","   0.000","  22.000","  99.000","   7.000","  18.000","   6.000","   0.000","   1.000","   5.000","  25.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","  15.000","   5.000","  22.000","   0.000","  74.000","   1.000","   0.000","   0.000","  16.000","   0.000","   9.000","  25.000","  59.000","   1.000","   1.000","  11.000","  15.000","   3.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","  15.000","   0.000","   5.000","   0.000"
"2143.179",NA,NA," 622.000","   1.000","   0.000","   4.000","   8.000","   6.000","   1.000","   0.000","   8.000","  15.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   5.000","   2.000","   0.000","   0.000","  16.000","   0.000","  12.000","   1.000","   0.000","  12.000"," 115.000","   7.000","  13.000","   5.000","   0.000","   0.000","  15.000","  26.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","   0.000","  37.000","   1.000","  27.000","   0.000","  75.000","   4.000","   0.000","   0.000","  11.000","   0.000","   5.000","  18.000","  68.000","   0.000","   1.000","  17.000","  10.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   9.000","   0.000","   0.000","   0.000"
"2147.572",NA,NA," 626.000","   5.000","   0.000","  13.000","   4.000","   2.000","   0.000","   0.000","   4.000","   7.000","   0.000","   0.000","   0.000","   8.000","   0.000","   1.000","   1.000","   6.000","   3.000","   0.000","  12.000","   0.000","   5.000","   0.000","   0.000","   5.000","  94.000","   5.000","   6.000","   3.000","   0.000","   0.000","   8.000","  14.000","   0.000","   0.000","   0.000","   8.000","   0.000","   8.000","   0.000","   9.000","   0.000","   0.000","   0.000","   5.000","   8.000","   1.000","   0.000","   0.000","  89.000","   0.000","  20.000","   0.000","  54.000","   7.000","   0.000","   0.000","   4.000","   5.000","   4.000","  12.000","  64.000","   0.000","   0.000","  13.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  30.000","   5.000","   0.000","   0.000","   1.000"
"2151.965",NA,NA," 630.000","   1.000","   0.000","   8.000","   8.000","   6.000","   0.000","   0.000","   7.000","  13.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   5.000","   2.000","   1.000","   0.000","  10.000","   0.000","  10.000","   2.000","   0.000","  12.000"," 122.000","   6.000","  13.000","   3.000","   0.000","   0.000","  16.000","  25.000","   0.000","   0.000","   0.000","   2.000","   0.000","   7.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   6.000","   3.000","   0.000","   0.000","  38.000","   2.000","  26.000","   0.000","  72.000","   5.000","   0.000","   0.000","   8.000","   0.000","   6.000","  19.000","  55.000","   0.000","   1.000","  15.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","  10.000","   8.000","   0.000","   0.000","   0.000"
"2155.26",NA,NA," 633.00","   2.00","   0.00","   9.00","   6.00","   6.00","   0.00","   0.00","   8.00","  12.00","   0.00","   0.00","   0.00","   5.00","   0.00","   3.00","   6.00","   5.00","   0.00","   0.00","  12.00","   0.00","   6.00","   2.00","   0.00","   8.00"," 120.00","   6.00","   6.00","   3.00","   0.00","   0.00","  15.00","  24.00","   0.00","   0.00","   0.00","   5.00","   0.00","   8.00","   0.00","   5.00","   0.00","   0.00","   0.00","   5.00","   6.00","   3.00","   0.00","   0.00","  42.00","   1.00","  25.00","   0.00","  70.00","   6.00","   0.00","   0.00","   6.00","   2.00","   4.00","  22.00","  42.00","   0.00","   1.00","  15.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","  16.00","   6.00","   0.00","   0.00","   1.00"
"2159.653",NA,NA," 637.000","   7.000","   0.000","  24.000","   4.000","   3.000","   0.000","   0.000","   4.000","  13.000","   0.000","   0.000","   0.000","  12.000","   0.000","   1.000","   2.000","   7.000","   6.000","   0.000","  16.000","   0.000","  10.000","   0.000","   0.000","   3.000","  80.000","   3.000","   3.000","   2.000","   0.000","   0.000","   9.000","  25.000","   0.000","   0.000","   0.000","  15.000","   0.000","  16.000","   0.000","  12.000","   0.000","   0.000","   0.000","  12.000","  18.000","   1.000","   0.000","   0.000"," 105.000","   0.000","  17.000","   0.000","  42.000","  16.000","   0.000","   0.000","   0.000","  12.000","   3.000","   8.000","   7.000","   0.000","   1.000","  13.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  55.000","   2.000","   0.000","   0.000","   2.000"
"2164.046",NA,NA," 641.000","   2.000","   0.000","  12.000","   6.000","   5.000","   0.000","   0.000","   5.000","   2.000","   0.000","   0.000","   0.000","   8.000","   0.000","   3.000","   1.000","   6.000","   2.000","   0.000","  15.000","   0.000","   4.000","   0.000","   0.000","   8.000"," 101.000","   2.000","   8.000","   2.000","   0.000","   0.000","  22.000","  32.000","   0.000","   0.000","   0.000","   5.000","   0.000","  15.000","   1.000","   5.000","   0.000","   0.000","   0.000","   7.000","   9.000","   4.000","   4.000","   0.000","  50.000","   0.000","  14.000","   0.000","  62.000","  17.000","   0.000","   0.000","   0.000","   5.000","   3.000","  10.000","  30.000","   0.000","   0.000","   8.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  25.000","   3.000","   0.000","   1.000","   6.000"
"2168.439",NA,NA," 645.000","   8.000","   0.000","  24.000","   4.000","   1.000","   0.000","   0.000","   4.000","   5.000","   0.000","   0.000","   0.000","  12.000","   0.000","   2.000","   0.000","   8.000","   7.000","   0.000","  13.000","   0.000","   5.000","   0.000","   0.000","   3.000","  80.000","   0.000","   2.000","   3.000","   0.000","   0.000","  10.000","  27.000","   0.000","   0.000","   0.000","  12.000","   0.000","  12.000","   0.000","  15.000","   0.000","   0.000","   0.000","  12.000","  16.000","   1.000","   0.000","   0.000"," 120.000","   0.000","  18.000","   0.000","  35.000","  15.000","   1.000","   0.000","   0.000","  10.000","   4.000","  11.000","   8.000","   0.000","   0.000","  10.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  42.000","   1.000","   0.000","   3.000","   8.000"
"2173.931",NA,NA," 650.000","   2.000","   0.000","  18.000","   5.000","   2.000","   0.000","   0.000","   5.000","   5.000","   0.000","   0.000","   0.000","  12.000","   0.000","   2.000","   3.000","   6.000","   5.000","   0.000","  16.000","   0.000","   4.000","   0.000","   0.000","   4.000","  99.000","   0.000","   5.000","   3.000","   0.000","   0.000","  16.000","  28.000","   0.000","   0.000","   0.000","   8.000","   0.000","  16.000","   0.000","   8.000","   0.000","   0.000","   0.000","   8.000","  16.000","   1.000","   0.000","   0.000","  41.000","   0.000","  15.000","   0.000","  30.000","  13.000","   1.000","   0.000","   0.000","   8.000","   4.000","  13.000","  15.000","   0.000","   1.000","  13.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  28.000","   3.000","   0.000","   0.000","  12.000"
"2179.971",NA,NA," 656.000","   4.000","   0.000","  23.000","  12.000","   1.000","   0.000","   1.000","   5.000","   7.000","   0.000","   0.000","   0.000","  10.000","   0.000","   1.000","   3.000","   6.000","   4.000","   0.000","  13.000","   0.000","   5.000","   0.000","   0.000","   3.000","  85.000","   0.000","   4.000","   1.000","   0.000","   0.000","  15.000","  30.000","   0.000","   0.000","   0.000","  10.000","   0.000","  15.000","   0.000","  12.000","   0.000","   0.000","   0.000","   9.000","  15.000","   1.000","   0.000","   0.000"," 115.000","   0.000","  17.000","   0.000","  41.000","  16.000","   0.000","   0.000","   0.000","   5.000","   5.000","  13.000","   6.000","   0.000","   1.000","  10.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  38.000","   4.000","   0.000","   0.000","   8.000"
"2184.364",NA,NA," 660.000","   8.000","   0.000","  18.000","   8.000","   2.000","   0.000","   0.000","   5.000","   9.000","   0.000","   0.000","   0.000","  12.000","   0.000","   1.000","   1.000","   5.000","   5.000","   0.000","  15.000","   0.000","  10.000","   0.000","   0.000","   5.000","  98.000","   0.000","   4.000","   3.000","   0.000","   0.000","  21.000","  23.000","   0.000","   0.000","   0.000","   6.000","   0.000","  12.000","   0.000","   8.000","   0.000","   0.000","   0.000","   9.000","  12.000","   2.000","   2.000","   0.000"," 102.000","   1.000","  21.000","   1.000","  58.000","  15.000","   0.000","   0.000","   0.000","   2.000","   4.000","  10.000","   6.000","   0.000","   2.000","   6.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  31.000","   4.000","   0.000","   2.000","   5.000"
"2189.306",NA,NA," 664.000","   4.000","   0.000","  12.000","   6.000","   5.000","   1.000","   0.000","   7.000","  10.000","   0.000","   0.000","   0.000","  10.000","   0.000","   2.000","   1.000","   6.000","   1.000","   0.000","  15.000","   0.000","  12.000","   0.000","   0.000","   5.000"," 112.000","   0.000","   7.000","   1.000","   0.000","   0.000","  25.000","  24.000","   0.000","   0.000","   0.000","   5.000","   0.000","   8.000","   0.000","   5.000","   0.000","   0.000","   0.000","   5.000","   7.000","   1.000","   0.000","   0.000","  81.000","   0.000","  22.000","   1.000","  56.000","  12.000","   0.000","   0.000","   1.000","   2.000","   5.000","   6.000","  10.000","   0.000","   0.000","  12.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   5.000","   0.000","   4.000","   4.000"
"2195.347",NA,NA," 670.000","   7.000","   0.000","  18.000","   5.000","   3.000","   0.000","   0.000","   4.000","   6.000","   0.000","   0.000","   0.000","  13.000","   0.000","   1.000","   0.000","   6.000","   2.000","   0.000","  13.000","   0.000","   7.000","   0.000","   0.000","   3.000","  85.000","   0.000","   3.000","   0.000","   0.000","   0.000","  10.000","  24.000","   0.000","   0.000","   0.000","   8.000","   0.000","  10.000","   0.000","   9.000","   0.000","   0.000","   0.000","   9.000","  12.000","   2.000","   0.000","   0.000"," 102.000","   0.000","  16.000","   0.000","  40.000","  16.000","   0.000","   0.000","   0.000","   5.000","   4.000","   6.000","   5.000","   0.000","   1.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  34.000","   4.000","   0.000","   1.000","   5.000"
"2200.838",NA,NA," 675.000","   5.000","   0.000","  14.000","   6.000","   2.000","   0.000","   0.000","   4.000","   5.000","   0.000","   0.000","   0.000","  12.000","   0.000","   2.000","   0.000","   7.000","   2.000","   0.000","  15.000","   0.000","   7.000","   0.000","   0.000","   3.000","  82.000","   0.000","   2.000","   0.000","   0.000","   0.000","  11.000","  19.000","   0.000","   0.000","   0.000","   8.000","   0.000","   7.000","   0.000","   8.000","   0.000","   0.000","   0.000","   9.000","  10.000","   2.000","   0.000","   0.000"," 112.000","   0.000","  20.000","   0.000","  39.000","  13.000","   0.000","   0.000","   0.000","   5.000","   4.000","   7.000","   5.000","   0.000","   0.000","  10.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  34.000","   4.000","   0.000","   0.000","   5.000"
"2206.33",NA,NA," 680.00","   4.00","   0.00","  12.00","   3.00","   4.00","   0.00","   0.00","   5.00","   6.00","   0.00","   0.00","   0.00","   6.00","   0.00","   2.00","   1.00","   5.00","   0.00","   0.00","   9.00","   0.00","   9.00","   0.00","   0.00","   4.00"," 102.00","   0.00","   6.00","   0.00","   0.00","   0.00","  18.00","  16.00","   0.00","   0.00","   0.00","   5.00","   0.00","   6.00","   0.00","   4.00","   0.00","   0.00","   0.00","   5.00","   6.00","   1.00","   0.00","   4.00","  88.00","   0.00","  15.00","   0.00","  88.00","   8.00","   0.00","   0.00","   4.00","   2.00","   6.00","   8.00","  13.00","   0.00","   0.00","   6.00","   2.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   6.00","   0.00","   0.00","   2.00"
