"depth","Age BP","Acacia t.","Acanthaceae undif.","Acer","Alchornea","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros","Antidesma t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boscia","Brassicaceae","Bridelia","Canthium","Capparis","Carpinus","Caryophyllaceae undif.","Cassia","Cedrus","Celastraceae undif.","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Cleome","Commiphora","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Euphorbia t.","Fagus","Fern","Galium t.","Indeterminable","Juglans","Ligustrum","Morella","Myrtaceae undif.","Olea t.","Onagraceae","Phillyrea","Phyllanthus undif.","Picconia","Picea","Pilea","Pinus undif.","Pistacia","Pityrogramma","Plantago","Poaceae","Polygonum t.","Portulacaceae t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Salix","Searsia","Sideroxylon t.","Thymelaeaceae undif.","Tilia","Tribulus","Ulmus t.","Vigna","Ziziphus/Paliurus","Zygophyllum t."
"202.75",NA,"  0.00","  0.00","  0.00","  0.00","  0.00"," 13.00","  0.00","  0.00","  0.00","  1.00"," 26.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  8.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  7.00","  8.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","500.00","  1.00","  0.00","  5.00"," 14.00","  0.00","  0.00","  5.00"," 11.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"
"212.75",NA,"  0.00","  0.00","  0.00","  0.00","  0.00"," 17.00","  0.00","  0.00","  0.00","  0.00"," 32.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 13.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  4.00","  0.00","  0.00","  0.00"," 15.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","666.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  7.00","  5.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00"
"232.75",NA,"  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  2.00","  0.00"," 16.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  0.00","  5.00","  0.00","  1.00","  2.00"," 14.00","  0.00","  0.00","  0.00"," 17.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","297.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  5.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00"
"252.75",NA,"  0.00","  0.00","  0.00","  0.00","  2.00"," 27.00","  0.00","  0.00","  0.00","  0.00"," 44.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  5.00"," 32.00","  0.00","  0.00","  0.00"," 15.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","460.00","  0.00","  0.00","  1.00","  4.00","  0.00","  0.00","  7.00","  4.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"
"272.75",NA,"  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  1.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  0.00"," 15.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","140.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"282.75",NA,"  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 32.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"292.75",NA,"  0.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 34.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"302.75",NA,"  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"," 12.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  5.00","  0.00","  0.00","  0.00","  9.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","466.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  4.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"312.25",NA,"  0.00","  0.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  0.00"," 47.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  1.00","  0.00","  0.00","  4.00","  0.00","  9.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","951.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"  322.25","65000.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  367.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
