"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Callitriche","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Hedera","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Lycopodium spike","Lythrum","Matthiola","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, indeterminable)","Polygonum t.","Primula","Protist","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Scrophulariaceae undif.","Secale","Sparganium","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis","Zea"
" 931",NA,NA,"148","1.8","0","0","0","419","91","9","0","0","1","0","13","0","6","0","9","13","0","1","0","1","2","0","0","2","0","0","5","0","1","31","0","1","13","0","0","4","25","1","24","0","0","1","9","3","0","0","0","0","0","0","0","0","0","0","0","0","28","1","28","39","6","31","0","149","1","5","2","0","0","276","30","0","2","0","0","2","0","7","27","0","0","2","1","0","1","0","0","0","0","13","6","0","0","15","0"
" 977",NA,NA,"164","2.1","0","0","0","64","69","8","0","3","4","0","9","0","6","2","4","10","0","0","1","1","3","0","0","6","1","0","8","0","0","10","0","0","19","0","0","3","25","0","13","0","0","0","5","4","1","0","0","0","0","3","0","1","3","0","0","0","21","1","21","29","9","33","0","84","0","1","2","0","0","203","12","0","1","0","0","0","0","6","27","0","0","1","0","0","0","0","0","0","0","8","5","0","0","14","0"
" 999",NA,NA,"172","1.6","0","0","0","29","45","5","0","0","0","0","1","0","3","0","1","1","0","1","1","0","3","1","0","7","0","0","0","0","0","3","0","0","14","0","0","1","52","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","12","0","11","18","4","15","0","79","0","1","0","0","0","102","3","0","0","1","0","1","0","1","5","0","0","0","0","3","0","0","0","0","0","0","4","0","0","10","0"
"1021",NA,NA,"180",NA,"0","0","0","400","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","6","0","1","0","1","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0"
"1044",NA,NA,"188","2.0","0","0","0","269","66","3","0","0","2","0","2","0","3","1","9","2","0","0","1","0","3","2","0","3","0","0","2","0","0","4","0","2","10","0","1","1","21","0","55","0","0","0","3","2","1","1","0","1","0","1","0","0","0","0","0","0","18","0","9","21","8","21","2","110","2","0","2","0","0","199","17","0","5","1","0","0","0","7","17","0","0","1","0","0","1","0","0","0","0","12","16","0","0","16","0"
"1069",NA,NA,"196","1.5","0","3","0","495","43","3","0","0","0","0","4","0","1","0","10","0","0","0","0","0","0","1","0","2","0","0","2","0","0","3","0","0","8","0","0","2","5","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","13","23","4","6","0","89","1","0","0","0","0","354","4","0","1","0","0","1","0","0","1","0","4","0","2","5","1","0","0","1","0","0","14","0","0","7","0"
"1096",NA,NA,"204","1.8","0","0","0","159","45","1","0","0","0","0","6","2","2","2","8","3","0","0","1","0","1","0","0","1","1","0","5","0","0","6","0","0","17","0","0","0","11","0","6","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","18","5","7","3","0","112","2","2","0","0","0","367","4","0","0","0","0","0","0","1","0","2","3","1","0","0","0","0","0","0","0","5","20","0","0","9","0"
"1126",NA,NA,"212","1.2","0","2","0","41","49","1","1","0","1","0","3","0","0","2","8","0","0","1","4","0","0","1","0","2","1","0","4","0","0","3","0","0","6","0","0","2","10","0","3","0","0","1","3","0","1","0","0","0","0","1","0","0","0","1","0","0","19","0","17","23","7","6","0","101","1","2","3","0","1","329","5","0","1","0","0","1","0","0","1","0","4","2","0","10","0","0","0","0","1","1","19","0","0","9","0"
"1159",NA,NA,"220","1.1","0","0","0","478","31","6","0","1","0","0","4","0","0","2","6","3","0","0","2","0","0","2","0","4","1","0","11","0","0","9","0","1","7","0","0","1","8","0","15","0","0","0","1","1","1","0","0","0","0","3","1","0","0","0","0","0","13","0","38","19","10","11","0","140","0","1","0","0","0","307","15","1","0","0","1","0","0","3","2","0","1","1","3","13","0","0","0","0","0","1","15","1","0","19","0"
"1195",NA,NA,"228","1.9","1","0","0","230","73","9","0","0","4","0","3","0","3","8","2","5","0","0","5","1","0","4","0","2","3","0","4","0","3","6","0","0","16","1","1","2","16","0","29","0","1","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","18","0","16","17","18","41","0","214","1","0","0","0","0","216","14","0","0","0","0","3","0","7","27","1","2","0","1","0","2","0","0","0","1","8","12","0","0","15","0"
"1235",NA,NA,"236","2.0","0","0","0","23","25","0","0","0","2","0","4","1","4","3","0","4","0","1","0","0","0","1","0","3","2","0","0","0","0","6","0","1","10","0","0","0","8","0","11","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","9","0","12","13","4","8","0","89","1","1","0","0","0","102","0","0","0","0","0","0","1","2","2","2","0","0","2","1","0","0","0","0","0","5","7","0","0","5","0"
"1280",NA,NA,"244","1.4","0","0","0","65","45","6","0","0","1","0","7","0","5","3","5","7","0","0","1","0","0","4","0","5","0","0","0","0","1","9","0","5","12","0","2","7","28","0","5","0","0","0","2","2","0","0","0","0","0","6","1","2","0","0","0","0","43","0","32","45","8","28","1","103","0","5","1","0","0","213","9","0","0","0","0","0","1","3","7","0","2","1","0","3","1","0","0","0","0","0","17","0","0","14","0"
"1317",NA,NA,"250","2.1","0","1","0","73","56","11","0","0","2","0","8","0","3","1","9","9","0","1","2","0","0","4","1","4","1","0","3","0","2","8","0","3","19","0","1","1","20","0","31","0","1","2","4","0","2","0","0","0","0","3","0","2","2","0","0","0","30","0","16","31","11","34","1","158","1","3","3","0","0","191","6","0","4","0","0","6","0","6","30","0","0","0","2","1","2","0","0","0","0","9","12","0","0","19","0"
"1370",NA,NA,"258","2.0","0","0","0","173","36","10","0","0","0","0","11","0","2","3","5","1","0","0","3","0","8","1","0","6","2","0","4","0","1","37","0","1","10","0","0","1","28","0","7","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","1","17","0","24","15","4","13","0","129","0","1","0","0","0","285","0","0","1","1","0","0","0","1","2","0","2","0","4","6","0","0","0","1","0","0","21","0","0","15","0"
"1428",NA,NA,"266","2.0","0","1","0","152","33","8","0","2","4","0","6","0","6","2","8","4","0","1","1","0","3","1","0","4","1","0","1","0","0","8","0","0","12","0","0","1","30","0","26","0","0","2","2","1","0","0","0","0","0","1","0","1","0","0","0","0","29","0","18","31","12","28","0","98","1","2","1","2","0","272","10","0","0","1","0","5","0","10","10","0","2","1","0","0","5","0","0","0","1","16","19","1","0","13","0"
"1509",NA,NA,"276","1.5","0","0","0","568","16","7","0","3","0","0","4","0","4","0","3","0","0","0","0","0","0","2","0","9","7","0","4","0","0","4","0","1","13","0","1","1","43","0","4","0","0","0","3","2","0","0","0","0","0","1","2","0","0","0","0","0","4","0","17","29","6","9","0","52","2","0","2","0","0","183","14","1","1","0","0","2","0","0","1","0","3","0","1","3","2","0","0","0","0","0","8","0","0","4","0"
"1580",NA,NA,"284","1.3","0","0","0","99","31","10","0","1","0","0","14","0","8","2","9","6","0","1","5","0","5","3","0","12","2","0","8","0","0","16","0","1","28","0","0","3","65","0","1","0","0","0","3","0","1","0","0","0","0","4","0","2","1","0","0","0","48","0","30","34","18","7","0","193","0","1","0","0","0","517","15","0","1","0","0","0","0","9","6","0","5","1","0","1","0","0","0","0","0","16","21","0","0","21","0"
"1658",NA,NA,"292","2.1","2","1","0","171","16","4","2","0","2","0","6","1","10","1","9","3","0","0","0","0","3","5","0","2","5","0","5","0","0","8","0","3","4","0","0","3","18","0","9","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","21","0","9","22","3","15","0","86","0","0","0","0","0","344","4","2","0","0","0","1","0","5","5","0","7","0","2","10","0","0","0","0","0","2","7","0","0","9","0"
"1742",NA,NA,"300","1.5","2","0","0","92","13","7","0","0","0","0","4","0","3","1","5","4","0","0","3","0","2","2","0","6","0","0","8","0","0","9","0","0","13","0","0","0","51","0","6","0","0","2","0","1","1","0","0","1","0","3","0","0","1","0","0","1","11","0","16","16","3","2","0","80","1","0","1","0","0","401","10","1","6","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","12","9","0","0","11","0"
"1931",NA,NA,"316","1.7","1","0","0","84","5","1","0","0","2","0","5","0","3","0","13","0","0","0","2","2","3","0","0","3","0","0","2","0","0","2","0","0","15","0","0","2","33","0","8","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","11","0","8","4","2","4","0","45","0","0","1","0","0","438","2","7","2","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","5","9","0","0","2","0"
"2119",NA,NA,"330","2.2","0","0","2","170","10","2","0","2","0","0","3","0","2","1","8","2","0","0","0","0","3","1","0","1","1","0","4","0","0","4","0","0","10","0","0","0","12","0","10","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","14","0","14","23","5","2","0","46","1","0","0","0","0","478","7","0","1","0","0","1","0","0","2","0","1","1","1","0","0","0","0","1","0","6","10","0","0","3","0"
"2236",NA,NA,"338","1.3","0","0","0","484","19","0","1","0","0","0","2","0","5","3","7","1","0","0","0","0","1","1","0","3","0","0","12","0","0","6","0","0","15","0","0","5","9","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","12","17","2","5","0","46","0","0","0","0","0","367","5","0","3","0","0","0","0","4","0","0","3","0","0","13","1","0","0","0","0","0","16","0","0","5","0"
"2357",NA,NA,"346","1.8","0","1","1","133","24","1","0","0","0","0","4","1","4","4","5","2","0","1","2","0","1","1","0","0","2","0","0","0","0","3","0","0","14","0","0","0","12","0","5","0","0","3","4","0","0","0","0","0","0","1","0","0","1","0","0","0","17","0","6","8","5","5","0","36","4","3","0","0","0","342","7","0","1","0","0","1","0","2","4","0","1","1","1","0","0","0","0","0","0","2","2","0","0","6","0"
"2616",NA,NA,"362","2.0","0","0","0","145","6","2","0","0","0","0","5","1","3","4","8","0","0","0","2","0","4","0","0","3","2","0","2","0","0","0","0","0","12","0","1","4","17","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","14","0","11","20","3","1","0","45","2","0","1","0","0","402","10","0","3","0","0","0","0","3","2","1","0","2","0","0","0","0","0","0","0","8","7","0","0","4","0"
"2683",NA,NA,"366","1.8","0","0","0","38","11","5","0","0","0","0","5","0","4","0","5","0","0","0","0","0","2","2","0","0","2","0","8","0","0","1","1","0","4","0","0","3","24","0","11","1","0","1","2","1","0","0","0","0","0","1","0","2","1","0","1","0","21","0","14","15","1","8","0","38","0","2","1","0","1","393","11","0","2","0","0","1","0","1","12","1","0","0","0","0","0","0","0","0","0","17","6","0","0","4","0"
"2821",NA,NA,"374","2.0","0","0","0","75","14","3","0","0","0","0","2","0","3","2","10","0","0","0","1","1","2","0","0","0","1","0","7","0","0","1","0","0","19","0","1","3","18","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","23","0","30","6","3","3","0","35","1","2","1","0","0","368","18","0","4","0","0","1","0","0","6","0","1","2","0","1","0","0","0","0","0","11","18","0","0","3","0"
"3108",NA,NA,"390","2.0","0","0","0","326","13","0","0","0","0","1","1","1","1","2","11","0","0","0","0","1","1","0","0","0","1","0","4","1","0","0","0","0","19","0","0","0","23","0","3","0","0","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","17","0","17","8","2","5","0","67","0","3","0","0","1","368","16","2","5","0","0","0","0","1","9","0","2","1","0","0","0","0","0","0","0","7","17","0","0","3","0"
"3256",NA,NA,"398","1.2","0","0","0","225","4","1","0","0","0","0","3","0","0","1","3","3","1","0","3","0","0","1","0","1","1","0","0","0","0","4","0","1","14","0","0","1","14","0","10","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","13","0","5","9","2","2","1","36","1","1","0","0","0","136","9","4","1","0","0","3","0","0","2","0","5","0","0","10","0","0","0","0","0","1","1","0","0","0","0"
"3405",NA,NA,"406","2.0","1","1","0","375","4","3","0","0","2","0","6","0","4","3","2","0","0","0","1","1","3","2","0","1","3","0","3","0","0","9","0","2","30","0","1","0","51","0","7","0","0","1","6","5","0","0","0","0","0","0","0","1","1","0","0","0","47","0","22","23","1","1","1","87","2","2","1","0","1","323","28","0","3","1","0","2","0","2","0","2","3","0","2","2","0","1","0","1","0","39","7","0","0","2","0"
"3557",NA,NA,"414","1.8","0","0","0","79","5","4","0","0","1","0","8","0","0","3","11","4","1","2","6","0","1","0","0","0","1","0","5","0","0","5","0","0","30","0","0","0","33","0","11","0","0","1","0","1","0","0","0","1","0","2","0","2","0","0","0","0","32","0","13","29","4","11","0","61","4","2","1","0","0","339","8","2","1","0","2","0","0","4","6","0","2","0","4","17","0","0","0","0","0","0","9","0","0","10","0"
"3711",NA,NA,"422","2.0","0","0","0","235","8","1","0","1","0","1","1","0","1","0","6","1","0","0","0","1","1","1","0","0","2","0","5","0","0","9","0","1","27","0","0","0","28","0","8","0","0","1","5","0","0","0","0","0","0","1","1","0","1","0","0","1","36","0","18","20","4","0","1","66","1","4","0","0","0","373","16","0","2","0","0","1","0","1","1","0","1","2","0","0","1","0","0","1","0","17","14","0","0","1","0"
"4019",NA,NA,"438","2.0","1","0","0","141","3","3","0","1","0","0","1","0","1","1","6","3","0","0","0","2","2","5","0","1","1","0","3","0","0","1","1","0","15","0","4","1","18","0","6","0","0","2","4","0","0","0","0","0","0","0","0","3","1","0","0","1","39","0","18","8","4","3","0","63","0","1","1","0","0","361","13","0","1","0","0","1","0","0","0","0","1","3","0","0","0","0","0","2","0","21","29","0","0","2","0"
"4329",NA,NA,"454","2.0","1","0","0","162","3","4","1","1","1","1","4","0","0","0","12","3","0","0","2","0","0","2","0","4","0","0","3","0","0","9","0","0","13","0","1","1","8","0","16","0","0","2","6","1","0","0","0","0","0","1","0","2","1","0","0","0","55","0","6","19","4","5","0","56","0","2","1","0","0","323","55","0","2","0","2","2","0","1","4","0","0","1","0","0","0","0","0","0","0","20","33","0","0","4","0"
"4635",NA,NA,"470","2.0","1","0","1","95","5","0","0","0","0","1","0","1","0","2","5","0","0","0","2","0","3","1","0","2","1","0","2","0","0","7","0","1","9","0","2","0","24","0","13","0","0","2","5","0","0","0","0","0","0","3","1","4","2","0","0","1","36","0","23","7","2","3","1","35","2","0","0","0","0","279","24","1","1","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","5","15","0","0","5","0"
