"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acanthus","Alnus","Amaranthaceae undif.","Animalia","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Cardueae undif.","Caryophyllaceae undif.","Celtis","Centaurea","Centranthus t.","Cichorieae","Convolvulaceae","Corylus","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Gentianaceae undif.","Geranium","Ilex","Indeterminable","Lamiaceae undif.","Linum t.","Littorella","Lotus t.","Lysimachia","Malva","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Ruta","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Theligonum","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Valerianella","Vitis","charcoal"
"6250",NA,NA,"1010","  7.2","0","0","0","3","0","3","0","0","0","2","20","0","1","0","3","0","10","0","0","0","0","17","0","0","0","2","3","0","5","1","1","0","1","1","0","1","0","20","0","3","0","0","0","0","18","0","0","0","0","0","1","0","0","5","0","5","190","44","0","7","1","0","30","0","4","4","10","1","0","3","0","0","0","0","6","0","0","2","0","0","0","0","2"
"6321",NA,NA,"1020","  8.1","0","0","0","6","0","2","0","0","0","5","19","0","0","0","2","0","6","1","0","1","0","26","0","0","0","9","1","1","10","1","1","0","0","0","1","0","0","34","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","3","0","2","190","43","0","14","2","0","27","1","4","1","5","1","0","1","0","0","0","0","4","0","0","2","0","0","0","0","8"
"6392",NA,NA,"1030"," 10.2","0","0","0","14","0","1","0","1","0","6","17","0","0","0","1","0","11","0","0","1","0","15","0","0","0","10","0","1","2","0","0","0","0","0","0","0","0","58","0","0","0","1","0","0","16","0","0","0","0","0","1","0","0","2","0","2","180","81","0","14","2","0","42","2","5","1","7","0","0","5","0","2","0","0","3","0","0","1","0","0","0","0","21"
"6464",NA,NA,"1040","  7.2","0","0","0","9","0","4","0","0","0","1","40","0","0","4","5","0","19","1","0","0","0","22","0","0","0","5","1","0","2","0","2","0","1","0","0","1","0","49","0","0","0","0","0","0","14","1","0","0","0","0","1","0","1","1","0","4","140","80","0","23","18","0","63","10","4","1","8","4","0","9","0","0","2","0","7","0","0","0","0","0","0","0","43"
"6535",NA,NA,"1050","  5.3","0","0","0","3","0","0","0","1","1","3","23","0","0","0","1","0","13","0","0","0","0","18","0","0","0","6","0","0","5","0","0","0","2","0","0","2","0","57","0","0","0","0","0","0","9","0","0","0","1","0","0","0","0","1","0","3","165","65","0","22","7","0","87","4","6","3","15","2","0","1","0","4","0","1","12","0","0","0","0","0","0","0","19"
"6606",NA,NA,"1060","  8.6","0","0","0","2","0","2","0","0","0","3","30","0","0","0","1","0","16","2","0","2","0","15","0","1","0","5","0","0","4","0","1","0","0","0","0","0","0","18","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","3","200","22","0","15","5","0","50","2","1","1","3","2","0","0","0","0","0","1","15","0","0","2","0","0","0","0","7"
"6677",NA,NA,"1070","  9.2","0","0","0","3","0","1","0","1","0","4","23","0","0","2","2","0","14","0","0","0","0","26","0","0","0","5","2","0","4","0","0","0","0","0","0","0","0","29","1","0","0","0","0","0","17","0","0","0","0","0","0","0","1","4","0","0","190","53","0","12","5","0","52","0","2","2","7","2","0","3","0","0","0","0","7","0","0","0","0","0","0","1","7"
"6748",NA,NA,"1080"," 10.6","0","0","0","8","0","1","0","0","1","3","25","0","0","0","0","0","10","0","0","0","0","26","0","0","0","7","0","0","4","0","3","0","0","0","0","1","0","33","0","0","0","0","0","0","14","0","0","0","0","0","0","0","2","2","0","2","170","65","0","11","2","0","43","0","6","1","10","0","1","4","0","1","0","0","3","0","0","11","0","0","0","0","3"
"6819",NA,NA,"1090","  8.0","0","0","0","33","0","2","0","2","0","5","25","0","0","0","2","0","6","1","0","2","0","17","0","0","0","6","2","0","9","0","1","0","1","0","0","0","0","56","0","1","0","0","0","0","20","0","0","0","0","0","0","0","2","2","0","2","139","84","1","14","8","0","84","2","3","0","7","3","0","0","0","0","0","0","2","0","0","2","0","0","0","0","27"
"6855",NA,NA,"1095",NA,"0","0","0","40","0","0","0","0","1","2","39","0","1","0","2","0","7","0","0","5","2","43","0","0","0","64","0","0","5","1","2","0","1","1","0","0","1","39","0","0","0","0","0","0","11","0","0","0","0","0","1","0","0","1","0","5","75","97","0","39","16","0","105","2","3","4","9","0","0","3","0","1","2","0","6","0","2","0","0","0","0","0","62"
"6926",NA,NA,"1105",NA,"0","0","0","32","1","1","0","1","0","3","33","1","0","0","1","0","14","0","0","3","1","19","2","0","0","55","0","0","3","0","1","0","0","0","0","0","0","72","1","0","2","0","0","0","21","1","0","0","0","3","0","0","0","1","0","3","95","123","0","29","6","0","43","0","7","6","15","3","1","5","1","0","2","0","4","0","0","3","0","0","0","0","59"
"6997",NA,NA,"1115",NA,"0","0","0","20","1","0","0","2","3","1","7","0","0","0","3","0","4","0","0","0","1","7","1","0","0","939","2","0","4","0","0","0","0","0","0","0","0","51","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","2","4","80","0","47","12","0","16","0","3","2","7","1","0","3","0","0","1","0","2","0","0","1","0","0","0","0","306"
"7025",NA,NA,"1120",NA,"0","0","0","18","1","4","0","2","1","2","41","2","1","0","1","0","13","1","0","2","0","46","1","3","0","882","1","0","11","0","0","0","0","0","0","0","4","79","1","0","0","0","0","0","23","0","1","0","0","0","1","0","0","0","0","7","40","79","0","78","25","0","47","3","5","1","9","3","0","6","0","2","1","2","6","0","0","1","0","0","0","0","171"
"7225",NA,NA,"1170",NA,"0","1","0","1","18","2","37","6","0","1","64","1","1","0","3","0","27","2","0","0","0","12","2","0","0","124","0","0","3","1","0","0","0","0","0","2","0","308","0","0","0","0","0","0","22","0","0","0","0","0","1","0","0","0","0","10","2","76","0","144","39","0","26","12","4","1","6","4","0","0","0","0","0","78","1","1","0","124","0","4","0","0","1003"
"7265",NA,NA,"1180",NA,"0","0","0","0","5","0","39","3","0","0","18","0","0","0","3","0","13","0","0","0","0","16","0","1","0","228","1","0","1","0","0","0","1","0","0","0","0","199","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","4","0","103","0","187","41","0","10","0","2","0","2","1","0","3","0","0","0","9","1","0","0","1","0","0","1","0","601"
"7305",NA,NA,"1190",NA,"0","0","0","8","2","2","10","0","1","0","43","1","0","0","0","0","11","1","0","0","1","39","3","1","0","183","0","1","2","0","0","0","0","0","0","0","0","72","0","0","0","0","0","0","11","0","0","0","0","0","3","0","0","0","0","0","6","57","1","58","16","0","35","6","1","1","2","1","0","1","0","0","1","1","8","0","0","30","0","0","0","0","340"
"7345",NA,NA,"1200","135.0","0","0","0","2","1","2","33","0","0","0","19","0","0","0","6","0","6","0","0","0","0","2","0","0","1","68","0","0","0","1","0","1","0","0","0","0","0","135","0","0","0","0","0","0","5","0","0","0","0","0","1","1","0","1","0","5","0","14","0","26","9","0","13","9","2","0","2","1","0","0","0","0","0","1","0","0","0","79","0","0","0","0","651"
