"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cathaya","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Hedera","HippophaÃ«","Humulus","Ilex","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Lythrum","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>37 Âµm)","Polemonium","Pollen concentration","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pteridium aquilinum-type","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rhododendron","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex subg. Emex","Rumex t.","Salix","Sambucus","Sanguisorba t.","Searsia","Secale","Solanaceae undif.","Solanum","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown (monolete, non-psilate)","Unknown (monolete, psilate)","Unknown (trilete, non-psilate)","Unknown (trilete, psilate)","Urtica t.","Viburnum","Vitis","Zea"
NA,NA,NA,"   11.12","    0.00","    0.00","   25.00","   16.00","    0.00","    0.00","    1.00","    9.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   10.00","    0.00","    8.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","   14.00","   20.00","    1.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","   17.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    2.00","    0.00","    0.00","    0.00","   67.00","    2.00","    1.00","    7.00","   46.00","    0.00","    0.00","35296.35","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   34.00","    5.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    3.00","    4.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    8.00","    2.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","    0.00"
NA,NA,NA,"    8.38","    0.00","    0.00","   16.00","   11.00","    0.00","    2.00","    4.00","    7.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","   12.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   21.00","   31.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","   18.00","    0.00","    0.00","    6.00","    5.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","   78.00","    2.00","    2.00","    6.00","   42.00","    2.00","    0.00","38956.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","   25.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    5.00","    0.00","   10.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00"
NA,NA,NA,"    9.88","    0.00","    0.00","   21.00","   11.00","    0.00","    3.00","    3.00","    9.00","    2.00","    1.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","   15.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","   13.00","   25.00","    2.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","   12.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","   71.00","    0.00","    5.00","    8.00","   49.00","    7.00","    0.00","29571.40","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   43.00","    6.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    3.00","   12.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    3.00","    0.00","   12.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00"
NA,NA,NA,"  35.12","   0.00","   0.00","  14.00","  10.00","   2.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   1.00","   3.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   4.00","   8.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  10.00","   6.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  26.00","   1.00","   4.00","   2.00","  10.00","   1.00","   0.00","4515.00","   1.00","   0.00","   0.00","   0.00","   3.00","   0.00","  11.00","   3.00","   1.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","  12.00","   0.00","  13.00","   0.00","   7.00","   1.00","   1.00","   0.00","   0.00"
NA,NA,NA,"   12.13","    0.00","    1.00","   31.00","   12.00","    0.00","    1.00","    3.00","   10.00","    3.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    8.00","    1.00","    8.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   32.00","   30.00","    6.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","   17.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    8.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","   74.00","    1.00","    6.00","    7.00","   59.00","    2.00","    0.00","27460.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   52.00","    9.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","   10.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   14.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00"
NA,NA,NA,"    2.13","    0.00","    0.00","   34.00","   10.00","    0.00","    1.00","    8.00","   19.00","    3.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","   25.00","    0.00","   14.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   34.00","   16.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","   14.00","    0.00","    0.00","    1.00","    7.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","   61.00","    3.00","    1.00","   10.00","   36.00","    3.00","    0.00","19849.27","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   51.00","   12.00","    1.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","   10.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    2.00","   22.00","    4.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00"
NA,NA,NA,"   13.13","    0.00","    0.00","   22.00","   13.00","    0.00","    0.00","    5.00","    6.00","    3.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","   19.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    9.00","   18.00","    3.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","   23.00","    0.00","    0.00","    0.00","    2.00","    1.00","    0.00","    0.00","    0.00","    5.00","    0.00","    7.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","  106.00","    2.00","   10.00","    4.00","   49.00","    4.00","    0.00","25073.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","   34.00","    8.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    6.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","   38.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    1.00","    0.00"
NA,NA,NA,"    1.38","    2.00","    0.00","   24.00","   10.00","    0.00","    0.00","    2.00","   12.00","    2.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   19.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","   18.00","    3.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","   10.00","    0.00","    0.00","    1.00","    6.00","    0.00","    1.00","    0.00","    0.00","    6.00","    0.00","   12.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","   75.00","    0.00","    4.00","    6.00","   48.00","    1.00","    0.00","23181.24","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   41.00","    4.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    5.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","   12.00","    0.00","    5.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00"
NA,NA,NA,"    7.38","    1.00","    0.00","   18.00","    8.00","    0.00","    3.00","    1.00","    7.00","    1.00","    1.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","   15.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   22.00","   19.00","    5.00","    1.00","    0.00","    0.00","    5.00","    0.00","    0.00","   18.00","    3.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    7.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","  128.00","    3.00","    5.00","    8.00","   69.00","    1.00","    0.00","26578.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","   49.00","    2.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    4.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    1.00","   20.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
NA,NA,NA,"   10.13","    1.00","    0.00","   27.00","   14.00","    0.00","    0.00","    6.00","    9.00","    1.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","   10.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   19.00","   16.00","    1.00","    0.00","    0.00","    1.00","    6.00","    0.00","    0.00","   13.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","   10.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.00","    0.00","    0.00","    0.00","    0.00","    0.00","  105.00","    2.00","    2.00","    8.00","   57.00","    5.00","    0.00","42419.00","    0.00","    0.00","    3.00","    0.00","    0.00","    1.00","   43.00","    2.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    5.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    4.00","    1.00","   30.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00"
NA,NA,NA,"    2.63","    1.00","    0.00","   28.00","   16.00","    0.00","    3.00","    6.00","    6.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","   17.00","    0.00","   17.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   17.00","   15.00","    3.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","   14.00","    1.00","    0.00","    0.00","   12.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","   86.00","    0.00","    3.00","    8.00","   29.00","    1.00","    0.00","23952.90","    0.00","    1.00","    2.00","    0.00","    0.00","    0.00","   18.00","    6.00","    0.00","    0.00","    1.00","    0.00","    3.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    4.00","   22.00","    3.00","    4.00","    0.00","    0.00","    5.00","    0.00","    1.00","    0.00"
