"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Genisteae","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lythrum","Matthiola","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primula","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Spergularia t.","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Valerianaceae undif.","Viburnum","Vitex","Vitis"
"12884",NA,NA,"  105","    1","    0","    0","    0","    0","    0","    5","    0","    8","    3","    2","    0","    0","   26","    0","    0","    0","    0","    0","    2","   10","    0","    0","    1","    0","    0","    0","    0","    0","    0","   63","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    5","    4","   22","    0","    1","    3","    0","    0","    0","    0","    0","    1","    0","    7","   12","    1","   33","   47","    0","    1","   95","    0","    0","   13","    0","    0","    0","    0","    6","   17","    1","   21","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","   16","    4","    0","    0","    0","    0","    0","    0"
"13069",NA,NA,"  115","    0","    0","    2","    0","    4","    0","    7","    0","   10","    5","    1","    0","    0","   32","    0","    0","    0","    0","    0","    2","    9","    0","    0","    3","    0","    0","    0","    0","    0","    0","  103","    1","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","   11","   34","    0","    3","   32","    0","    0","    0","    0","    0","    3","    0","    6","    8","    0","   40","   33","    0","   13","  143","    0","    0","   13","    0","    0","    0","    0","   11","   10","    0","   22","    4","    3","    0","    1","    0","    0","    1","    0","    0","    0","    8","    5","    0","    0","    0","    0","    0","    0"
"13254",NA,NA,"  125","    2","    0","    3","    0","    6","    0","   16","    0","   29","    2","    5","    0","    0","   18","    0","    0","    0","    0","    0","    3","   24","    0","    0","    8","    0","    0","    0","    0","    1","    0","  287","    0","    0","    6","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    3","   30","    0","    8","   39","    0","    0","    0","    0","    0","    4","    0","    5","    4","    0","  134","   41","    0","   18","  182","    0","    2","    7","    0","    0","    0","    0","   24","   20","    1","   23","    0","    0","    0","    6","    0","    0","    5","    0","    0","    0","   16","   17","    0","    0","    0","    0","    0","    0"
"13438",NA,NA,"  135","    2","    0","    0","    0","   15","    3","   10","    0","   28","    0","    3","    0","    0","    2","    0","    0","    0","    0","    0","    2","   20","    1","    0","    1","    0","    0","    0","    0","    0","    0","  647","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   17","    1","    0","    0","    0","    0","    0","    3","    3","    0","    0","  142","  148","    0","    2","  104","    2","    1","    0","    0","    1","    0","    7","    4","    3","    0","    7","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13623",NA,NA,"  145","    0","    0","    4","    0","    8","    0","    5","    0","   18","    5","    2","    0","    0","    1","    0","    0","    0","    0","    0","    2","   31","    1","    0","    4","    0","    0","    0","    0","    1","    0","  180","    0","    0","    3","    0","    0","    4","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   15","    0","    1","   11","    0","    0","    3","    0","    0","    0","    0","    2","    2","    0","   32","   21","    0","   12","  126","    0","    1","    4","    0","    0","    0","    0","    3","    6","    0","    6","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    3","    8","    0","    0","    0","    0","    0","    0"
"13807",NA,NA,"  155","    0","    0","    0","    2","    6","    0","    8","    0","   15","    1","    7","    1","    0","    7","    0","    0","    0","    1","    0","    1","   39","    0","    0","    1","    0","    0","    0","    0","    2","    0","   78","    0","    0","    2","    4","    0","    1","    0","    1","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","   20","    0","    1","    2","    0","    0","    1","    1","    0","    2","    0","    4","   25","    0","    4","   58","    0","    0","    0","    0","    0","    0","    0","   10","    2","    0","   12","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0"
"13992",NA,NA,"  165","    1","    0","    0","    1","    1","    0","   10","    0","   12","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    7","    0","    0","    1","    0","    0","    0","    0","    1","   10","   64","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   45","   34","    0","    2","   95","    0","    0","    0","    0","    0","    0","    0","    3","    2","    0","    3","    2","    0","    0","    1","    0","    0","    1","    0","    0","    0","   35","    0","    0","    0","    1","    0","    0","    0"
"14177",NA,NA,"  175","    0","    0","    0","    0","    0","    0","   14","    0","   10","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","  200","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   71","   11","    0","    2","  140","    0","    0","    0","    0","    0","    0","    0","    3","    2","    0","    8","    5","    0","    0","    0","    0","    0","    1","    0","    0","    0","   31","    0","    0","    0","    0","    0","    0","    0"
"14361",NA,NA,"  185","    0","    0","    1","    0","    0","    8","   28","    0","   11","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    1","    2","    0","    0","    0","    6","    0","   32","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  108","    2","    0","    1","    0","    1","    0","    4","    0","    0","    0","    0","    1","    1","    0","    1","  106","  146","    0","   30","  170","    6","    3","    1","    0","    0","    0","    8","   11","    6","    0","    3","   12","    3","    0","    0","    0","    0","    1","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0"
"14546",NA,NA,"  195","    4","    0","   11","    1","    1","    0","   20","    0","   12","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    3","    5","    0","    0","    0","    0","    0","   22","    1","    0","    1","    1","    0","    1","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    7","    1","    1","    3","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   75","  106","    0","   23","  159","    1","    0","    5","    0","    0","    0","   12","    0","    9","    0","    9","    6","    1","    1","    2","    0","    0","    0","    0","    0","    0","    0","   35","    0","    1","    0","    0","    0","    0"
"14731",NA,NA,"  205","    0","    0","    1","    1","    9","    0","   33","    0","   10","    4","    1","    0","    0","   17","    0","    0","    0","    0","    0","    2","    5","    2","    0","    8","    2","    0","    0","    0","    1","    0","   29","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   43","    2","    3","    0","    3","    3","    0","    2","    5","    0","    0","    0","    0","    5","    5","    0","  121","   15","    0","   13","  124","    0","    0","   12","    0","    0","    0","    0","    4","    6","    0","    3","    8","    0","    0","    2","   11","    0","    0","    0","    0","    0","    2","   44","    0","    0","    0","    0","    0","    0"
"14915",NA,NA,"  215","    0","    0","    0","    0","    6","    0","    7","    0","   21","   11","   11","    0","    0","    0","    0","    0","    0","    0","    0","    3","    9","    0","    0","    0","    3","    0","    0","    0","    0","    0","  277","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    7","    0","    3","    0","    0","    0","    4","    0","    3","    0","    0","  104","   33","    0","   12","  137","    0","    0","    7","    0","    0","    0","    0","    8","    9","    0","    0","    0","    3","    0","    7","    0","    0","    0","    0","    0","    0","    3","   22","    0","    0","    0","    0","    0","    0"
"15100",NA,NA,"  225","   12","    0","   15","    0","   12","    0","   21","    0","   24","    6","    7","    0","    0","   26","    0","    0","    0","    0","    0","    5","   26","   17","    0","   11","    3","    0","    0","    0","    3","    0","  245","    0","    0","   13","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","   30","    0","   11","   37","    0","    0","    0","    0","    0","    7","    0","    0","   11","    0","  102","   32","    0","   35","  161","    0","    0","    0","    0","    0","    0","    0","   11","   26","    0","   17","    0","    6","    0","    8","    0","    0","    0","    0","    0","    0","   29","   62","    0","    0","    0","    0","    0","    0"
"15284",NA,NA,"  235","    2","    0","    0","    0","    2","    1","   18","    0","   23","    0","    5","    0","    0","    1","    0","    0","    0","    1","    0","    2","    6","    0","    0","    0","    1","    0","    0","    0","    3","    0","  139","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","   21","    0","    1","    0","    0","    0","    0","   10","    0","    0","    0","  114","  156","    0","    3","  228","    0","    0","    0","    0","    0","    2","    3","    5","    5","    0","   18","    2","    2","    0","    2","    0","    0","    1","    0","    0","    0","   10","    0","    0","    4","    0","    0","    0","    0"
"15469",NA,NA,"  245","    1","    0","    0","    0","    6","    0","   11","    0","   20","    2","    9","    0","    0","    7","    0","    0","    0","    0","    0","    0","    6","    1","    0","    4","    1","    0","    0","    0","    2","    0","   93","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    9","    0","    1","   15","    0","    3","    1","    0","    0","    1","    0","    0","    3","    0","  125","   23","    0","   17","  113","    0","    0","    8","    1","    0","    0","    0","   17","    7","    0","   21","   10","    1","    0","    0","    3","    0","    0","    0","    0","    0","   10","   23","    0","    0","    0","    0","    1","    0"
"15654",NA,NA,"  255","    1","    0","    0","    0","    9","    0","   10","    0","   10","    0","    9","    0","    0","    1","    0","    0","    0","    0","    0","    7","    9","    2","    0","    4","    2","    0","    0","    0","    1","    1","   16","    1","    0","    0","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","   36","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","   33","   32","    0","   15","   51","    1","    2","    1","    0","    0","    0","    0","    7","    6","    0","    4","    9","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"15838",NA,NA,"  265","    0","    0","    0","    0","    4","    0","    9","    0","    9","    0","    2","    0","    0","    1","    0","    0","    0","    1","    0","    1","    9","    1","    0","    1","    4","    1","    0","    1","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    1","    0","    0","    0","    3","    0","    7","    0","    0","    0","    0","    1","    0","    2","    0","  125","   20","    0","    7","  100","    1","    0","    5","    0","    0","    0","    3","   11","    3","    0","    3","   12","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"16023",NA,NA,"  275","    0","    0","    0","    1","    5","    0","    3","    0","    9","    1","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    5","    0","    0","    2","    2","    0","    0","    0","    0","    0","   41","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    3","    1","    0","    4","    2","    0","    0","    0","    1","    0","    1","    0","  110","   41","    0","    3","  108","    0","    1","    7","    0","    0","    0","    0","   16","    5","    0","    2","    1","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","   10","    0","    1","    0","    0","    0","    0"
"16208",NA,NA,"  285","    0","    0","    0","    1","    7","    0","    6","    0","   28","    2","    5","    0","    0","    2","    0","    0","    0","    0","    0","    1","   31","    4","    0","   12","    2","    0","    0","    0","    2","    0","   30","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    1","    0","    6","    3","    0","    0","    0","    0","    2","    4","    0","  135","   29","    0","    7","  103","    0","    0","    3","    0","    0","    0","    1","   15","    8","    1","    3","    2","    4","    0","    3","    0","    0","    0","    0","    0","    0","    0","    7","    1","    2","    0","    0","    0","    0"
"16392",NA,NA,"  295","    1","    0","    0","    1","   11","    1","   10","    0","   26","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    1","   11","    3","    0","    6","    3","    0","    0","    0","    2","    0","   21","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","   15","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  176","  208","    0","   14","  104","    0","    0","    7","    1","    0","    1","    7","    5","    2","    0","    3","    6","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"16577",NA,NA,"  305","    0","    0","    1","    0","    3","    0","    9","    0","    5","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","   23","    2","    0","    7","    3","    0","    0","    0","    4","    0","   31","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    3","    3","    0","    3","    5","    0","    0","    1","    0","    0","    0","    0","    1","    1","    0","  115","   30","    0","    5","   56","    0","    0","    4","    0","    0","    0","    0","   13","    1","    0","    0","    1","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    7","    0","    1","    0","    0","    0","    0"
"16761",NA,NA,"  315","    2","    0","    4","    0","    1","    0","   11","    0","   17","    2","    5","    0","    0","    2","    0","    0","    0","    0","    0","    3","    5","    0","    0","   12","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    5","    1","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","  113","   22","    0","    6","   48","    0","    4","    5","    0","    0","    0","    2","    0","   15","    0","    4","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","   26","    2","    0","    0","    0","    0","    0"
"16946",NA,NA,"  325","    2","    0","    1","    1","    6","    0","    4","    0","   15","    2","    6","    0","    0","    2","    0","    0","    0","    2","    0","    4","   26","    0","    0","    6","    2","    0","    0","    0","    7","    0","   24","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    7","    1","    2","    0","    2","    2","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","  169","   39","    0","    6","  132","    0","    0","    6","    0","    0","    0","    0","   17","   10","    1","    1","    4","    9","    0","    5","    0","    0","    0","    1","    0","    0","    1","   15","    0","    1","    0","    0","    0","    0"
"17131",NA,NA,"  335","    3","    0","    2","    1","    5","    0","   15","    0","   23","    3","    6","    0","    0","   16","    0","    0","    0","    3","    0","    2","   23","    2","    0","    8","    2","    0","    0","    0","   11","    0","   16","    2","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    6","    4","    4","    0","    0","    3","    0","    0","    0","    0","    0","    0","    2","    8","    2","    0","  241","   32","    0","   23","  205","    0","    0","    6","    0","    0","    0","    0","   10","   13","    0","    6","   20","    7","    0","    7","    7","    0","    2","    0","    0","    0","    0","   16","    2","    0","    0","    0","    0","    0"
"17315",NA,NA,"  345","    1","    0","   10","    0","    4","    0","   17","    0","   21","    0","    5","    0","    0","    3","    0","    0","    0","    0","    0","    2","    9","    2","    0","   12","    1","    0","    0","    0","    4","    0","   17","    2","    0","    2","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   37","    3","    3","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    4","    2","    0","   93","   26","    0","   72","   77","    0","    0","    6","    0","    0","    0","    2","    0","   23","    1","    4","    8","    2","    0","    5","    0","    0","    0","    0","    0","    0","    0","   42","    0","    0","    0","    0","    0","    1"
"17500",NA,NA,"  355","    0","    0","    5","    2","   12","    0","   36","    0","   23","    9","   16","    0","    0","    9","    0","    0","    0","    3","    3","  130","   12","   10","    0","   22","    4","    0","    0","    0","    4","    0","   30","    0","    0","    2","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   57","    7","    8","    0","    9","    7","    0","    6","    2","    0","    0","    0","    0","    0","    2","    0","  120","   11","    0","   62","  197","    0","    3","    5","    0","    0","    0","    0","    8","   39","    3","   12","   13","    2","    0","   12","    0","    0","    6","    0","    0","    0","    4","   38","    1","    3","    0","    0","    0","    0"
"17684",NA,NA,"  365","    0","    0","    0","    2","    2","    4","   21","    0","   15","    0","   10","    0","    0","    0","    1","    0","    0","    0","    0","    4","    0","    6","    0","    1","    0","    0","    0","    0","    7","    1","   17","    0","    0","    1","    0","    0","    1","    0","    0","    0","    2","    0","    1","    0","    0","    0","    1","    0","   52","    0","    0","    0","    1","   10","    0","    1","    1","    0","    0","    2","    3","    1","    0","    2","  128","   70","    2","   54","  120","    4","    3","    2","    0","    0","    1","    0","    6","    2","    0","    6","   14","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0"
"17869",NA,NA,"  375","    1","    0","    4","    0","    5","    0","   16","    0","    8","    0","    8","    0","    0","    0","    0","    1","    0","    0","    0","    4","    6","    1","    0","    5","    2","    0","    0","    0","    8","    0","   18","    1","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","   21","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","   19","   17","    0","   13","   70","    0","    4","    0","    0","    0","    0","    0","    3","    7","    1","    3","   14","    0","    1","    0","    0","    0","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0"
"18054",NA,NA,"  385","    0","    0","    0","    0","    3","    0","   13","    0","   14","    1","   10","    0","    0","    0","    0","    0","    0","    0","    0","    3","   14","    2","    0","   15","    3","    0","    0","    0","   11","    0","   15","    1","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","    0","   15","   17","    0","   21","   90","    0","    1","    3","    0","    0","    0","    0","    5","    3","    1","    3","   33","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","   26","    0","    0","    0","    0"
"18238",NA,NA,"  395","    1","    0","    0","    0","    8","    0","   16","    0","   16","    0","    9","    0","    0","    1","    0","    0","    0","    0","    0","    2","   17","    4","    0","    2","    3","    0","    0","    0","    0","    0","   32","    1","    0","    1","    1","    1","    0","    0","    3","    0","    2","    0","    2","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","    1","    0","   11","    0","    0","    0","    0","    0","    1","    2","    0","   12","   20","    0","   36","  185","    0","    2","   23","    0","    0","    0","    3","    7","    8","    1","    6","   50","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0"
