"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Erica t.","Erodium","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 18, HdV)","Genisteae","Geranium","Ilex","Lamiaceae undif.","Olea t.","Petaloid monocot","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhytidospora cf. R. tetraspora (type 171, HdV)","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Saxifragaceae","Taxus","Thymelaeaceae undif.","Ulmus t.","Unknown (type 181, HdV)","Urtica t.","Viburnum"
"857",NA,NA," 55"," 12","  0","  1","  3","  0","  8","  0"," 13","  0","  1","  1","  0","  4","  7","  3","  0","  8","  3","  0","  4","  8","  1","  3","  0","  3","  7","  2"," 16","  0","  2","  0","  0","  1","  8","  0"," 28"," 21"," 18","278","  2","  0","  0"," 27","  3","  0","  0","  0","  0","  1"," 57","  3","  0","  0","  0","  0","  3","  0","  1","  0"
"900",NA,NA," 60"," 24","  1","  3","  3","  0","  5","  0"," 11","  3","  1","  0","  1","  0"," 10","  1","  0","  5","  1","  1","  1","  7","  0"," 11","  1","  5","  7","  3","  9","  0","  3","  0","  0","  0","  1","  2"," 69"," 11","  5","280","  0","  0","  0"," 52","  7","  0","  0","  0","  0","  0"," 66","  4","  0","  0","  0","  0","  2","  0","  2","  0"
"917",NA,NA," 62"," 16","  0","  0","  5","  0","  5","  2"," 14","  0","  3","  0","  1","  3","  5","  3","  1","  2","  0","  0","  0"," 15","  0","  4","  2","  1","  1","  0"," 14","  0","  5","  0","  0","  1","  0","  1"," 67","  7"," 19","256","  1","  0","  1"," 31","  8","  0","  0","  0","  0","  0"," 86","  0","  0","  0","  0","  2","  0","  0"," 11","  0"
"944",NA,NA," 65"," 29","  2","  3","  5","  0","  5","  0","  6","  1","  0","  0","  0","  3","  6","  1","  0","  7","  2","  0","  1"," 12","  0","  4","  1","  3","  5","  0","  6","  0","  3","  0","  0","  1","  2","  0"," 77","  6","  9","263","  1","  0","  0"," 34","  5","  0","  0","  0","  0","  0"," 60","  6","  0","  0","  1","  0","  1","  0","  4","  0"
"972",NA,NA," 68"," 17","  0","  4","  3","  0","  8","  1"," 16","  1","  4","  0","  0","  3"," 11","  0","  0","  2","  4","  1","  1"," 21","  0","  7","  0","  2","  6","  0","  3","  0","  5","  0","  0","  0","  1","  0"," 56"," 11"," 23","200","  2","  0","  0"," 43","  3","  1","  0","  0","  2","  3"," 59","  2","  1","  0","  2","  2","  1","  0","  1","  0"
"993",NA,NA," 70"," 28","  0","  2","  2","  0","  7","  0","  8","  2","  7","  0","  0","  2","  0","  3","  0","  0","  1","  0","  2"," 20","  0","  8","  0","  4","  6","  1"," 11","  0","  6","  0","  0","  1","  2","  0"," 43"," 22"," 31","213","  1","  0","  0"," 48"," 12","  0","  0","  0","  0","  3"," 84","  2","  0","  0","  0","  0","  3","  0"," 10","  0"
"1052",NA,NA,"  75","  21","   0","   3","   7","   0","   5","   0","   9","   6","   0","   0","   0","   4","  10","   2","   0","   5","   1","   1","   0","  46","   0","   5","   0","   2","   6","   0","   8","   0","   1","   0","   0","   1","   0","   1","  55","   7","  22"," 265","   0","   0","   0","  38","   7","   0","   2","   0","   0","   2","  55","   2","   0","   0","   0","   0","   0","   0","   4","   0"
"1079",NA,NA,"  77","  11","   0","   4","   2","   0","   4","   1","  32","   1","   2","   0","   0","   1","   8","   7","   0","   3","   1","   0","   2","  11","   0","   7","   1","   2","   3","   3","   4","   0","   2","   0","   0","   2","   0","   1","  46","   6","  16"," 185","   2","   0","   2","  45","   8","   0","   0","   0","   0","   1","  61","   3","   0","   0","   5","   0","   1","   0","  23","   1"
"1125",NA,NA,"  80","  18","   0","   5","  11","   0","   4","   0","   0","   1","   0","   0","   0","   3","  16","   0","   0","   2","   1","   0","   0","  18","   0","   4","   6","   4","   7","   1","   2","   0","   5","   0","   0","   2","   0","   3","  41","   2","  18"," 272","   0","   0","   0","  33","   4","   0","   0","   0","   0","   1","  33","   0","   0","   0","   1","   0","   1","   0","   6","   0"
"1178",NA,NA,"  83","  28","   0","   2","   5","   0","   4","   0","  10","   1","   3","   0","   0","   2","  11","   1","   0","   3","   0","   0","   2","  13","   0","   5","   0","   5","   7","   0","  12","   0","   1","   0","   0","   0","   0","   0","   3","  36","  12"," 300","   1","   0","   0","  25","   6","   0","   4","   0","   0","   0","  53","   2","   0","   0","   1","   1","   0","   0","   1","   1"
"1218",NA,NA,"  85","  24","   1","   0","   4","   0","   1","   0","  17","   2","   3","   0","   0","   2","   7","   1","   0","   1","   2","   0","   2","  16","   0","   4","   0","   3","   2","   0","  10","   0","   1","   1","   0","   2","   0","   0","  63","   2","  18"," 251","   0","   0","   0","  38","   9","   1","   0","   0","   0","   0","  70","   3","   0","   0","   0","   0","   1","   0","   4","   0"
"1285",NA,NA,"  88","  92","   1","   4","   2","   0","   6","   0","   7","   4","   3","   0","   0","   5","  13","   0","   0","   8","   0","   0","   2","  22","   0","  10","   1","   2","   8","   2","   5","   0","   2","   0","   0","   2","   0","   0","  52","   3","   5"," 256","   1","   0","   0","  49","   6","   0","   4","   0","   0","   0","  42","   0","   0","   0","   0","   0","   0","   0","   2","   1"
"1335",NA,NA,"  90"," 150","   0","   2","   6","   0","   1","   0","   5","   1","   4","   0","   0","   2","   8","   3","   0","  11","   3","   1","   1","  13","   0","   7","   0","   3","  39","   2","  18","   3","   0","   0","   0","   2","   2","   0","  40","   3","  13"," 250","   0","   0","   0","  33","   2","   0","   0","   0","   0","   0","  42","   1","   0","   1","   0","   0","   0","   0","   0","   0"
"1390",NA,NA,"  92","  83","   0","   1","   3","   0","   3","   0","  12","   2","   9","   0","   2","   0","  10","   5","   0","   5","   5","   2","   3","  55","   0","  13","   0","   1","  15","   3","  11","  11","   2","   0","   0","   1","   0","   1","  59","   1","  22"," 120","   1","   0","   1","  71","  11","   1","   0","   0","   0","   2","  46","   6","   1","   0","   1","   2","   4","   0","   6","   0"
"1481",NA,NA,"  95","  56","   0","   2","  11","   0","   1","   0","  12","  10","   5","   0","   0","   1","  14","   2","   0","   5","   6","   1","   2","  30","   0","  10","   0","   1","   4","   1","   6","   3","   5","   0","   0","   0","   0","   0","  27","   1","  21"," 181","   0","   3","   0","  71","  15","   1","   0","   0","   0","   1","  60","   3","   1","   0","   0","   0","   3","   0","   9","   0"
