"Depth (cm)","Acacia t.","Acanthaceae undif.","Alchornea","Allophylus t.","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Antidesma t.","Apiaceae undif.","Arecaceae undif.","Artemisia","Asteroideae undif.","Betula","Borreria t.","Brassicaceae","Burseraceae","Caesalpinioideae","Calligonum","Campylostemon","Canthium","Cassia","Celastraceae undif.","Celtis","Centaurea","Combretaceae","Corylus","Crudia","Cyperaceae","Echium t.","Elaeis","Ephedra","Eugenia","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Flacourtiaceae","Gaertnera","Galium t.","Gentianaceae undif.","Haloragaceae","Hygrophila","Hymenocardia","Hypericaceae","Hyphaene t.","Ilex","Indeterminable","Indigofera","Iodes","Isoberlinia","Lannea","Linum t.","Macaranga","Maerua","Manilkara","Meliaceae undif.","Mendocia","Mitracarpus","Moltkia","Morelia","Morella","Myrtaceae undif.","Nymphaea","Nypa","Ochnaceae","Olea t.","Ouratea","Paramacrolobium","Periploca","Petaloid monocot","Phyllanthus undif.","Picconia-type","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Proteaceae","Ranunculaceae undif.","Rhizophora","Rosaceae undif.","Rubiaceae undif.","Rutaceae undif.","Santalaceae undif.","Sapindaceae undif.","Sapotaceae undif.","Sebacea","Sideroxylon t.","Sterculia","Sterculia undif.","Symphonia","Syzygium t.","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Vigna","Vitaceae undif."
"197","  0","  0"," 24","  5","  2"," 13","  0","  0","  0","  1","  2","  0","  0","  0","  0","  1","  5","  0","  0","  0","  1","  0","  7","  0"," 21","  0","  0"," 19","  0","  1"," 12","  6","  0"," 15"," 41","  3","  0","  0"," 23","  0","  0","  0","  0","  0","  0"," 41","  5","  3","  2","  7","  2"," 24","  0","  0"," 29","  0","  0","  0","  0","  1","  3","  0","  0"," 10","  0","  0","  0","  0","  0","  0"," 21","  0","  0","  1"," 50","  0","  0","  0","  0"," 68","  0"," 20","  4","  2","  0"," 32","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"
"227","  1","  0"," 14","  0","  0","  4","  4","  3","  0","  1","  0","  1","  0","  0"," 12","  3","  2","  0","  0","  2","  0","  2","  1","  0"," 37","  2","  0"," 16","  0","  1","  3","  3","  0"," 14"," 42"," 10","  2","  0","  8","  0","  0","  1","  0","  0","  0"," 43"," 13","  0","  1","  0","  9","  4","  0","  6","  9","  2","  0","  0","  0","  0","  3","  0","  0","  4","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0"," 28","  0","  0","  0","  0","107","  0"," 14","  3","  0"," 12"," 16"," 15","  8","  1","  4","  0","  0","  0","  0","  1","  2","  1","  0","  3"
"244","  4","  0"," 13","  0","  1","  1","  8","  1","  0","  3","  2","  0","  0","  0","  5","  2","  6","  0","  0","  0","  0","  1","  2","  0"," 20","  0","  0","  5","  0","  3","  0","  1","  2"," 15"," 34","  2","  1","  0","  5","  0","  0","  3","  0","  0","  0"," 40","  3","  0","  0","  0"," 12","  8","  0","  0","  7","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  9","  1","  0","  0"," 27","  0","  0","  0","  0","211","  0"," 12","  0","  0","  2"," 19","  9"," 12","  9"," 11","  0","  1","  0","  0","  2","  1","  0","  0","  0"
"265","  2","  0"," 23","  0","  0","  4","  0","  0","  0","  2","  0","  2","  0","  0","  6","  3","  6","  0","  0","  0","  0","  2","  0","  0"," 17","  0","  0"," 15","  0","  6","  3","  0","  3"," 21"," 24","  3","  1","  0","  5","  0","  0","  5","  0","  1","  1"," 50","  0","  0","  0","  0"," 18","  2","  0","  0"," 10","  3","  0","  0","  0","  0","  4","  1","  0","  5","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0"," 69","  0","  0","  2","  0","174","  1","  7","  3","  0","  0"," 19","  5"," 11","  3","  6","  0","  1","  0","  0","  3","  2","  3","  0","  0"
"285","  2","  0"," 15","  0","  0","  3","  2","  0","  0","  0","  2","  0","  0","  0","  2","  3","  4","  0","  0","  0","  0","  2","  3","  0","  7","  0","  0"," 34","  0","  4","  4","  4","  2"," 15"," 25","  3","  0","  0","  2","  0","  0","  3","  0","  0","  1"," 30","  0","  0","  0","  0"," 13","  6","  0","  3","  5","  0","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 61","  0","  0","  0","  0","177","  0","  7","  3","  0","  2","  9","  6"," 10","  1","  4","  2","  1","  0","  0","  3","  0","  0","  0","  0"
"304.5","  0.0","  0.0"," 24.0","  0.0","  0.0","  6.0","  1.0","  1.0","  1.0","  2.0","  0.0","  3.0","  0.0","  0.0","  1.0","  2.0","  9.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0"," 28.0","  0.0","  0.0"," 56.0","  0.0","  3.0","  5.0","  4.0","  0.0","  8.0"," 20.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0"," 38.0","  0.0","  0.0","  2.0","  2.0"," 17.0","  0.0","  1.0","  1.0","  8.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  2.0","  0.0","  3.0","  6.0","  0.0","  0.0","  0.0"," 95.0","  0.0","  0.0","  2.0","  3.0","148.0","  0.0"," 14.0","  0.0","  0.0","  2.0"," 14.0","  8.0"," 10.0"," 12.0","  1.0","  2.0","  2.0","  0.0","  0.0","  6.0","  1.0","  4.0","  1.0","  0.0"
"320","  2","  0"," 33","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  3","  0","  1","  1","  8","  0","  2","  0"," 27","  0","  0"," 29","  0"," 11","  2","  1","  1"," 16"," 28","  0","  0","  0","  4","  0","  0","  2","  0","  0","  0"," 43","  0","  0","  0","  0"," 13","  2","  0","  0","  9","  1","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  2","  4","  0","  0","  0"," 38","  0","  0","  0","  0","177","  0"," 18","  2","  0","  1"," 26","  0"," 11","  2","  3","  3","  1","  0","  0","  2","  0","  7","  0","  0"
"350","  4","  0"," 21","  0","  0","  4","  0","  0","  0","  0","  3","  2","  0","  0","  0","  4","  8","  0","  0","  2","  0","  0","  3","  1"," 27","  0","  0"," 26","  0","  4","  2","  0","  0","  7"," 34","  4","  1","  0","  0","  0","  1","  2","  0","  0","  0"," 49","  0","  0","  1","  2","  9","  6","  0","  0","  5","  5","  0","  0","  2","  0","  2","  0","  0","  3","  0","  0","  0","  0","  0","  3"," 12","  1","  0","  0"," 44","  0","  0","  0","  0","216","  0"," 15","  3","  1","  2"," 13","  5","  0","  5","  0","  5","  0","  0","  0","  0","  0","  3","  0","  0"
"367","  2","  0"," 45","  0","  0","  1","  3","  0","  0","  0","  2","  1","  0","  0"," 17","  4","  5","  0","  0","  1","  0","  0","  1","  1"," 23","  0","  0"," 18","  0","  1","  2","  0","  1"," 11"," 33","  4","  0","  0","  9","  0","  1","  3","  0","  0","  0"," 40","  0","  0","  0","  1"," 14","  3","  0","  2","  6","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 40","  0","  0","  2","  0","174","  1","  4","  3","  2","  2"," 12"," 12"," 10","  6","  7","  4","  2","  0","  0","  0","  5","  5","  0","  0"
"367.5","  0.0","  0.0"," 42.0","  1.0","  0.0","  0.0","  1.0","  1.0","  1.0","  4.0","  0.0","  1.0","  0.0","  0.0","  9.0","  1.0","  5.0","  0.0","  0.0","  1.0","  2.0","  0.0","  2.0","  1.0"," 43.0","  0.0","  0.0"," 26.0","  0.0","  6.0","  3.0","  1.0","  0.0"," 17.0"," 23.0","  4.0","  1.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0"," 38.0","  0.0","  0.0","  0.0","  1.0"," 10.0","  2.0","  0.0","  1.0","  5.0","  2.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 42.0","  0.0","  0.0","  0.0","  0.0","173.0","  0.0"," 15.0","  5.0","  0.0","  0.0"," 16.0","  6.0"," 23.0","  5.0","  7.0","  7.0","  2.0","  0.0","  0.0","  1.0","  1.0","  2.0","  0.0","  0.0"
"404.5","  2.0","  0.0"," 23.0","  0.0","  0.0","  5.0","  4.0","  3.0","  0.0","  4.0","  1.0","  3.0","  0.0","  1.0"," 11.0","  5.0","  9.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0"," 36.0","  0.0","  0.0"," 18.0","  0.0"," 12.0","  3.0","  1.0","  5.0"," 12.0"," 42.0","  0.0","  1.0","  0.0","  5.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 38.0","  0.0","  0.0","  0.0","  2.0","  2.0","  5.0","  1.0","  2.0","  7.0","  4.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 53.0","  0.0","  0.0","  0.0","  1.0","108.0","  2.0"," 15.0","  0.0","  1.0","  3.0"," 19.0","  1.0"," 49.0","  2.0","  7.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  4.0"
"433","  0","  0"," 43","  0","  0","  0","  6","  3","  0","  0","  2","  2","  0","  0","  2","  1","  8","  0","  0","  1","  2","  0","  0","  0"," 29","  0","  1"," 34","  0","  2","  2","  0","  4","  7"," 48","  0","  0","  0","  6","  0","  0","  4","  0","  0","  0"," 36","  0","  0","  1","  1","  6","  5","  0","  0","  4","  2","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 42","  0","  0","  0","  3","119","  0","  8","  2","  4","  3"," 23","  2"," 32","  2","  3","  6","  0","  0","  0","  0","  1","  2","  0","  0"
"463","  0","  0"," 43","  0","  0","  2","  1","  0","  0","  0","  1","  1","  0","  0","  6","  1","  0","  0","  0","  1","  0","  0","  1","  0"," 17","  0","  0","  6","  0","  5","  2","  0","  0"," 13"," 39","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0"," 28","  0","  0","  2","  0","  5","  2","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  2","280","  1","  7","  6","  1","  5"," 13","  0"," 11","  3","  4","  5","  1","  0","  0","  7","  0","  0","  0","  0"
"485.5","  0.0","  0.0"," 25.0","  1.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  1.0","  1.0","  2.0","  4.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 35.0","  0.0","  0.0"," 23.0","  0.0"," 10.0","  7.0","  1.0","  0.0"," 16.0"," 23.0","  2.0","  0.0","  0.0","  3.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0"," 26.0","  0.0","  0.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 37.0","  0.0","  0.0","  0.0","  2.0","224.0","  0.0","  8.0","  1.0","  1.0","  1.0"," 14.0","  0.0"," 20.0","  5.0","  7.0","  4.0","  0.0","  0.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0"
"515","  4","  0"," 39","  0","  1"," 13","  4","  2","  0","  5","  3","  1","  0","  0","  4","  1","  6","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0"," 28","  0","  6"," 10","  1","  0","  5"," 43","  4","  0","  0","  4","  0","  0","  4","  0","  0","  0"," 37","  0","  0","  0","  0","  4","  2","  1","  0","  1","  2","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 38","  0","  0","  0","  0","142","  0","  8","  3","  0","  0","  7","  0"," 22","  3","  2"," 10","  0","  0","  0","  3","  4","  0","  1","  0"
"545","  2","  0"," 44","  0","  0","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  4","  4","  0","  0","  0","  5","  0","  0","  0"," 14","  0","  0"," 13","  0","  8","  9","  0","  0"," 19"," 55","  1","  0","  0"," 11","  0","  0","  3","  0","  0","  0"," 39","  0","  0","  0","  0","  3","  1","  0","  0","  5","  1","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 20","  0","  0","  0","  1","154","  0"," 19","  0","  0","  1"," 15","  3"," 17","  2","  1"," 12","  0","  0","  0","  1","  0","  2","  0","  0"
"578","  3","  0"," 31","  0","  0","  6","  0","  0","  0","  0","  2","  3","  0","  0","  0","  3","  5","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0"," 14","  0","  8","  0","  3","  0","  5"," 49","  9","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 57","  0","  0","  0","  2","  5","  2","  3","  0"," 19","  3","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1"," 18","  0","  0","  1","  0","117","  2"," 11","  5","  8","  0"," 20","  3","  0","  0","  5"," 12","  0","  0","  0","  3","  0","  3","  0","  0"
"610","  1","  0"," 20","  0","  0","  2","  1","  0","  0","  2","  1","  0","  0","  0","  5","  0"," 12","  0","  0","  1","  5","  0","  2","  0"," 40","  0","  0","  6","  0"," 13","  1","  0","  0"," 21"," 45","  0","  0","  0","  0","  0","  0","  6","  0","  1","  0"," 39","  0","  0","  2","  0","  1","  4","  0","  0","  2","  3","  0","  0","  0","  0","  3","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","202","  0"," 10","  4","  0","  2"," 15","  1"," 39","  8","  4","  5","  0","  0","  0","  1","  2","  3","  0","  1"
"637.5","  0.0","  0.0"," 39.0","  0.0","  1.0","  4.0","  3.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 10.0","  3.0","  5.0","  0.0","  0.0","  1.0","  3.0","  0.0","  1.0","  0.0"," 12.0","  0.0","  0.0"," 16.0","  0.0","  6.0","  0.0","  0.0","  0.0"," 37.0"," 25.0","  4.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 27.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 31.0","  0.0","  0.0","  0.0","  0.0","261.0","  0.0","  3.0","  7.0","  0.0","  1.0","  6.0","  0.0","  3.0","  4.0","  2.0","  1.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0"
"670","  2","  0"," 36","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  1","  1","  0","  5","  0"," 54","  0","  0"," 18","  0","  6","  0","  0","  0"," 24"," 51","  0","  0","  0","  5","  0","  0","  4","  0","  0","  0"," 37","  0","  0","  0","  0","  3","  4","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 31","  0","  0","  0","  0","135","  0","  7","  1","  0","  0"," 10","  0","  0","  2","  4","  0","  0","  0","  0","  3","  0","  5","  0","  0"
"693","  0","  0"," 40","  0","  1","  3","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  5","  0","  0","  0","  4","  0"," 13","  1"," 34","  0","  0"," 42","  0","  5","  0","  3","  0"," 17"," 55","  0","  0","  0","  6","  0","  0","  4","  0","  0","  0"," 30","  0","  0","  0","  0","  6","  3","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 68","  0","  0","  0","  0","139","  0"," 10","  0","  0","  0","  4","  0"," 14","  1","  6","  1","  1","  0","  0","  0","  0","  0","  0","  0"
