"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Ficus","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Lonicera","Malva undif.","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Primulaceae undif.","Protist","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"1060.476",NA,NA,"  97.000","   0.000","   2.000","  52.000","   3.000","   0.000","  31.000","  27.000","   2.000","   6.000","   3.000","  15.000","  12.000","   0.000","  36.000","   4.000","   8.000","  26.000","   0.000","   6.000","   1.000","   5.000","   7.000","   4.000","   4.000","   0.000","   0.000","   6.000","   2.000","   0.000","   2.000","  11.000","   3.000","   4.000","   0.000","  35.000","   3.000","   5.000","   8.000","   2.000","  25.000","  11.000","   0.000","   3.000","   5.000","  23.000","   1.000","   5.000","   0.000","   1.000","   0.000","  15.000","   0.000","  22.000","   0.000","   0.000","   0.000","  22.000","   8.000","   4.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","  13.000","   2.000","   3.000","   0.000","   1.000","   7.000","   5.000","   4.000"
"1165.238",NA,NA,"  99.000","   0.000","   2.000","  48.000","   3.000","   0.000","  28.000","  25.000","   2.000","   7.000","   3.000","  11.000","  13.000","   0.000","  34.000","   5.000","   8.000","  21.000","   0.000","   5.000","   4.000","   4.000","   8.000","   6.000","   6.000","   0.000","   0.000","   7.000","   7.000","   0.000","   2.000","  18.000","   3.000","   8.000","   0.000","  36.000","   3.000","   8.000","  12.000","   3.000","  28.000","  13.000","   0.000","   3.000","   7.000","  24.000","   1.000","   6.000","   0.000","   1.000","   0.000","  12.000","   0.000","  25.000","   0.000","   1.000","   0.000","  20.000","  10.000","   5.000","   0.000","   4.000","   0.000","   1.000","   0.000","   0.000","  10.000","   2.000","   3.000","   0.000","   1.000","   8.000","   4.000","   3.000"
"1270",NA,NA," 101","   1","   4","  38","   4","   1","  25","  22","   4","   6","   5","   7","  12","   1","  27","   9","  10","  15","   0","   2","   6","   2","   7","   5","   6","   1","   1","   6","  11","   1","   4","  20","   4","  12","   1","  35","   4","  11","  20","   5","  38","  12","   0","   4","   8","  23","   3","   5","   0","   3","   0","  10","   0","  35","   1","   2","   1","  16","  13","   4","   0","   6","   0","   2","   1","   0","   7","   4","   5","   0","   2","   7","   2","   1"
"1369.375",NA,NA," 103.000","   0.000","   5.000","  48.000","   5.000","   0.000","  35.000","  32.000","   6.000","  14.000","   6.000","  11.000","  22.000","   0.000","  32.000","   7.000","  11.000","  22.000","   0.000","   2.000","   0.000","   4.000","  15.000","  14.000","  10.000","   0.000","   0.000","  14.000","   0.000","   0.000","   5.000","  18.000","   6.000","   8.000","   0.000","  52.000","   6.000","   8.000","  12.000","   3.000","  28.000","  21.000","   0.000","   6.000","  11.000","  45.000","   5.000","  11.000","   0.000","   6.000","   0.000","  12.000","   0.000","  25.000","   0.000","   0.000","   0.000","  20.000","  10.000","  10.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","  10.000","   6.000","   6.000","   0.000","   5.000","  15.000","   3.000","   2.000"
"1468.75",NA,NA," 105.00","   6.00","   0.00","  58.00","   0.00","   6.00","  45.00","  42.00","   0.00","  14.00","   0.00","  21.00","  22.00","   6.00","  42.00","  15.00","   2.00","  34.00","   0.00","   4.00","   0.00","   4.00","  15.00","  14.00","  16.00","   6.00","   6.00","  14.00","   0.00","   6.00","   0.00","  18.00","   0.00","   8.00","   6.00","  52.00","   0.00","   8.00","  12.00","  16.00","  28.00","  21.00","   0.00","   0.00","   6.00","  45.00","   0.00","  11.00","   0.00","   0.00","   0.00","  16.00","   0.00","  25.00","  11.00","  10.00","   6.00","  30.00","  10.00","  10.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","  20.00","   0.00","   0.00","   0.00","   0.00","  15.00","   4.00","   4.00"
"1568.125",NA,NA," 107.000","   0.000","   1.000","  55.000","   0.000","   0.000","  42.000","  38.000","   0.000","  14.000","   0.000","  19.000","  22.000","   0.000","  38.000","   7.000","   3.000","  32.000","   0.000","   5.000","   0.000","   7.000","  15.000","  14.000","  10.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","  28.000","   0.000","  18.000","   0.000","  52.000","   0.000","  18.000","  22.000","   3.000","  38.000","  21.000","   0.000","   0.000","   8.000","  45.000","   0.000","  11.000","   0.000","   0.000","   0.000","  15.000","   0.000","  35.000","   0.000","   0.000","   0.000","  28.000","  20.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   1.000","   0.000","   0.000","  15.000","   7.000","   7.000"
"1667.5",NA,NA," 109.0","   2.0","   2.0","  52.0","   2.0","   0.0","  39.0","  35.0","   0.0","  13.0","   0.0","  17.0","  21.0","   0.0","  42.0","   8.0","   4.0","  29.0","   0.0","   4.0","   7.0","   6.0","  14.0","  13.0","   9.0","   0.0","   0.0","  13.0","  18.0","   0.0","   0.0","  38.0","   0.0","  28.0","   0.0","  50.0","   0.0","  28.0","  32.0","   4.0","  48.0","  20.0","   0.0","   0.0","  14.0","  43.0","   0.0","  10.0","   0.0","   0.0","   0.0","  14.0","   0.0","  45.0","   0.0","   0.0","   0.0","  25.0","  30.0","   9.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   2.0","   0.0","   0.0","  13.0","   6.0","   6.0"
"1766.875",NA,NA," 111.000","   6.000","   4.000","  48.000","   4.000","   0.000","  35.000","  32.000","   2.000","  13.000","   1.000","  15.000","  21.000","   0.000","  43.000","  11.000","   8.000","  26.000","   0.000","   3.000","  11.000","   5.000","  14.000","  13.000","  11.000","   0.000","   0.000","  13.000","  26.000","   0.000","   0.000","  48.000","   1.000","  38.000","   0.000","  50.000","   0.000","  40.000","  45.000","   8.000","  58.000","  20.000","   0.000","   2.000","  18.000","  43.000","   0.000","  10.000","   0.000","   0.000","   0.000","  12.000","   0.000","  58.000","   0.000","   1.000","   0.000","  23.000","  40.000","   9.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   4.000","   0.000","   0.000","  13.000","   5.000","   5.000"
"1866.25",NA,NA," 113.00","  12.00","   8.00","  42.00","   5.00","   1.00","  33.00","  29.00","   3.00","  11.00","   2.00","  12.00","  20.00","   1.00","  31.00","  14.00","  15.00","  20.00","   1.00","   0.00","   7.00","   0.00","  12.00","  11.00","  12.00","   1.00","   1.00","  11.00","  18.00","   1.00","   4.00","  55.00","   3.00","  45.00","   1.00","  45.00","   2.00","  48.00","  58.00","  12.00","  70.00","  19.00","   1.00","   3.00","  22.00","  41.00","   1.00","   9.00","   1.00","   1.00","   0.00","  10.00","   2.00","  72.00","   1.00","   2.00","   2.00","  22.00","  50.00","   8.00","   0.00","  11.00","   0.00","   2.00","   1.00","   0.00","  12.00","   1.00","   8.00","   1.00","   3.00","  11.00","   0.00","   0.00"
"1965.625",NA,NA," 115.000","  15.000","  15.000","  42.000","   8.000","   3.000","  33.000","  29.000","   5.000","  15.000","   5.000","  12.000","  26.000","   3.000","  25.000","  18.000","  26.000","  20.000","   2.000","   0.000","   0.000","   0.000","  17.000","  14.000","  20.000","   3.000","   3.000","  15.000","   0.000","   3.000","   9.000","  55.000","   8.000","  45.000","   3.000","  55.000","   5.000","  48.000","  58.000","  14.000","  72.000","  25.000","   3.000","   6.000","  37.000","  55.000","   3.000","  15.000","   4.000","   4.000","   0.000","  10.000","   8.000","  72.000","   4.000","   4.000","   4.000","  22.000","  50.000","  12.000","   2.000","   0.000","   1.000","   5.000","   3.000","   1.000","  12.000","   4.000","  16.000","   3.000","   6.000","  15.000","   0.000","   0.000"
"2065",NA,NA," 117","  21","  15","  36","   8","   6","  31","  26","   5","  14","   5","   8","  25","   5","  21","  22","  26","  18","   6","   0","   0","   0","  16","  13","  22","   6","   6","  12","   0","   7","   9","  51","   8","  41","   6","  52","   5","  45","  55","  16","  71","  24","   6","   6","  37","  53","   3","  14","   8","   4","   0","   8","  14","  65","   9","   8","   6","  20","  45","  11","   7","   0","   4","   5","   6","   4","   9","   4","  16","   6","   6","  14","   0","   0"
"2164.375",NA,NA," 119.000","  18.000","  14.000","  33.000","   8.000","   4.000","  28.000","  21.000","   5.000","  11.000","   5.000","   6.000","  22.000","   3.000","  16.000","  20.000","  25.000","  15.000","   2.000","   0.000","   0.000","   0.000","  14.000","  11.000","  19.000","   4.000","   4.000","  10.000","   0.000","   5.000","   8.000","  50.000","   8.000","  40.000","   4.000","  49.000","   5.000","  40.000","  50.000","  14.000","  62.000","  22.000","   3.000","   6.000","  37.000","  49.000","   3.000","  11.000","   5.000","   4.000","   0.000","   6.000","  11.000","  60.000","   6.000","   5.000","   4.000","  15.000","  40.000","   9.000","   4.000","   0.000","   1.000","   5.000","   4.000","   2.000","   7.000","   4.000","  15.000","   4.000","   6.000","  11.000","   0.000","   0.000"
"2263.75",NA,NA," 121.00","  15.00","  14.00","   9.00","   7.00","   4.00","  26.00","  19.00","   4.00","  11.00","   4.00","   3.00","  25.00","   3.00","  15.00","  20.00","  25.00","  11.00","   2.00","   0.00","   0.00","   0.00","  14.00","  11.00","  18.00","   4.00","   4.00","  10.00","   0.00","   4.00","   8.00","  45.00","   7.00","  35.00","   4.00","  49.00","   4.00","  35.00","  45.00","  14.00","  57.00","  26.00","   1.00","   5.00","  33.00","  49.00","   2.00","  15.00","   2.00","   3.00","   0.00","   3.00","  11.00","  55.00","   6.00","   5.00","   4.00","  12.00","  35.00","  14.00","   2.00","   0.00","   1.00","   4.00","   4.00","   2.00","   4.00","   3.00","  15.00","   1.00","   5.00","  11.00","   0.00","   0.00"
"2363.125",NA,NA," 123.000","  13.000","  12.000","  36.000","   5.000","   6.000","  22.000","  16.000","   3.000","  10.000","   3.000","   8.000","  23.000","   5.000","  13.000","  24.000","  23.000","   8.000","   4.000","   0.000","   0.000","   0.000","  13.000","   9.000","  22.000","   9.000","   6.000","   9.000","   0.000","   7.000","   7.000","  48.000","   5.000","  38.000","   6.000","  43.000","   3.000","  38.000","  48.000","  16.000","  63.000","  24.000","   3.000","   4.000","  31.000","  44.000","   1.000","  13.000","   4.000","   2.000","   0.000","   8.000","  15.000","  58.000","  11.000","   7.000","   6.000","   9.000","  38.000","  12.000","   4.000","   0.000","   3.000","   3.000","   7.000","   4.000","   9.000","   2.000","  13.000","   3.000","   4.000","  10.000","   0.000","   0.000"
"2462.5",NA,NA," 125.0","   9.0","  11.0","  33.0","   5.0","   5.0","  18.0","  14.0","   3.0","   9.0","   3.0","   6.0","  22.0","   4.0","   9.0","  21.0","  22.0","   5.0","   3.0","   0.0","   0.0","   0.0","  12.0","   6.0","  17.0","   8.0","   4.0","   8.0","   0.0","   6.0","   5.0","  31.0","   5.0","  21.0","   5.0","  38.0","   3.0","  31.0","  31.0","  15.0","  45.0","  23.0","   3.0","   4.0","  31.0","  42.0","   1.0","  12.0","   4.0","   2.0","   0.0","   6.0","  11.0","  41.0","  11.0","   6.0","   4.0","   6.0","  31.0","  11.0","   4.0","   0.0","   2.0","   3.0","   6.0","   3.0","   7.0","   2.0","  12.0","   3.0","   4.0","   9.0","   0.0","   0.0"
"2561.875",NA,NA," 127.000","   4.000","   8.000","  33.000","   4.000","   3.000","  18.000","  14.000","   1.000","   8.000","   1.000","   6.000","  21.000","   2.000","  11.000","  18.000","  14.000","   6.000","   1.000","   2.000","   3.000","   1.000","  11.000","   8.000","  11.000","   5.000","   3.000","   4.000","   3.000","   4.000","   1.000","  38.000","   2.000","  28.000","   4.000","  34.000","   2.000","  28.000","  38.000","  13.000","  50.000","  21.000","   2.000","   2.000","  31.000","  39.000","   1.000","  10.000","   1.000","   1.000","   0.000","   6.000","   8.000","  48.000","   8.000","   5.000","   4.000","   6.000","  28.000","  10.000","   1.000","   2.000","   1.000","   0.000","   4.000","   1.000","   7.000","   0.000","   8.000","   1.000","   1.000","   8.000","   1.000","   1.000"
"2661.25",NA,NA," 129.00","  10.00","  15.00","  36.00","   7.00","   6.00","  20.00","  16.00","   4.00","   4.00","   4.00","   8.00","  14.00","   5.00","  13.00","  23.00","  32.00","   8.00","   4.00","   0.00","   0.00","   0.00","   4.00","   8.00","  15.00","   9.00","   6.00","   4.00","   0.00","   7.00","  11.00","  43.00","   6.00","  34.00","   6.00","  13.00","   6.00","  31.00","  41.00","  16.00","  56.00","  14.00","   4.00","   5.00","  42.00","  14.00","   3.00","   5.00","   5.00","   3.00","   0.00","   8.00","  13.00","  51.00","  14.00","   7.00","   7.00","   8.00","  31.00","   4.00","   5.00","   0.00","   3.00","   4.00","   7.00","   4.00","   9.00","   3.00","  15.00","   4.00","   6.00","   4.00","   0.00","   0.00"
"2760.625",NA,NA," 131.000","   9.000","  11.000","  33.000","   5.000","   5.000","  18.000","  14.000","   3.000","   6.000","   3.000","   6.000","  15.000","   4.000","   9.000","  21.000","  22.000","   5.000","   3.000","   1.000","   0.000","   0.000","   6.000","   6.000","  13.000","   8.000","   4.000","   2.000","   0.000","   6.000","   5.000","  32.000","   5.000","  24.000","   5.000","  26.000","   3.000","  21.000","  31.000","  15.000","  45.000","  15.000","   3.000","   4.000","  31.000","  28.000","   1.000","   8.000","   4.000","   2.000","   0.000","   6.000","  11.000","  41.000","  11.000","   6.000","   4.000","   6.000","  21.000","   7.000","   4.000","   0.000","   2.000","   3.000","   6.000","   3.000","   7.000","   2.000","  12.000","   3.000","   4.000","   6.000","   0.000","   0.000"
"2860",NA,NA," 133","   2","   0","  30","   1","   0","  16","  12","   0","   2","   0","   5","  11","   1","  10","   8","   2","   8","   0","   9","   3","   5","   1","   3","   4","   2","   0","   0","   5","   1","   0","  17","   0","  19","   1","  14","   0","  12","  23","   5","  26","   8","   0","   2","  11","   8","   0","   3","   0","   0","   0","   4","   4","  25","   2","  11","   1","   4","  21","   4","   0","   5","   0","   0","   1","   0","   4","   0","   3","   0","   0","   0","   3","   3"
"2960",NA,NA," 135","   4","   0","   8","   3","   2","   6","   6","   0","  10","   1","   3","  22","   4","   6","  11","   0","   6","   2","   8","   1","   2","  10","   8","   8","   5","   4","   0","   6","   4","   0","  15","   0","  15","   4","  30","   0","  13","  21","  10","  33","  22","   1","   3","  19","  32","   0","  10","   1","   0","   1","   3","   9","  30","   4","  15","   4","   3","  13","  11","   1","   3","   0","   0","   4","   2","   2","   0","   0","   1","   0","   4","   1","   2"
"3060",NA,NA," 137","   3","   1","  21","   2","   0","  14","   8","   1","   4","   1","   5","  13","   2","   7","   9","   4","   4","   0","   6","   1","   4","   4","   6","   5","   3","   1","   0","   5","   2","   0","  19","   1","  25","   2","  18","   1","  19","  28","   6","  33","  11","   0","   3","  12","  14","   1","   7","   0","   1","   2","   4","   4","  32","   4","  12","   2","   4","  25","   6","   0","   4","   0","   1","   2","   0","   4","   1","   5","   0","   1","   3","   1","   1"
"3160",NA,NA," 139","   2","   0","  30","   1","   0","  16","  12","   0","   2","   0","   5","  11","   1","  10","   8","   2","   8","   0","   8","   3","   5","   1","   3","   4","   2","   0","   0","   5","   1","   0","  17","   0","  29","   1","  14","   0","  12","  23","   5","  36","   8","   0","   2","  11","   8","   0","   3","   0","   0","   4","   4","   4","  35","   2","  11","   1","   4","  21","   4","   0","   5","   0","   0","   1","   0","   4","   0","   3","   0","   0","   0","   3","   3"
"3260",NA,NA," 141","   2","   0","  32","   1","   0","  16","  12","   0","   5","   0","   6","  18","   1","  12","   8","   0","  15","   0","   4","   4","   6","   4","   6","   4","   2","   0","   0","   9","   1","   0","  15","   0","  25","   1","  22","   0","  14","  21","   5","  31","  12","   0","   2","  11","  21","   0","   5","   0","   0","  12","   5","   4","  30","   2","  11","   1","   5","  13","   7","   0","   8","   0","   0","   1","   0","   5","   0","   0","   0","   0","   2","   5","   6"
"3360",NA,NA," 143","   4","   0","   8","   3","   2","   6","   6","   0","  10","   1","   3","  22","   4","   6","  15","   0","   6","   2","   2","   1","   2","  10","   8","   8","   5","   4","   0","   6","   4","   0","  15","   0","  25","   4","  30","   0","  13","  21","  11","  33","  22","   1","   3","  19","  32","   0","  10","   1","   0","  30","   3","   9","  30","   4","  15","   4","   3","  13","  11","   1","   3","   0","   0","   4","   2","   2","   0","   0","   1","   0","   4","   1","   2"
"3460",NA,NA," 145","   9","   0","   0","   5","   8","   0","   0","   3","   9","   3","   0","  20","   7","   0","  21","   0","   0","   6","   0","   0","   0","   9","   6","  13","  10","   8","   0","   0","  11","   0","   8","   5","  13","   9","  28","   3","   9","  13","  15","  29","  20","   6","   4","  31","  30","   1","   9","   4","   2","  48","   0","  16","  21","  11","  26","   9","   0","   8","   9","   5","   0","   5","   3","   9","   6","   0","   2","   0","   5","   4","   2","   0","   0"
