"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Erica t.","Erodium","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Frangula","Fraxinus","Fungi","Genisteae","Gentianaceae undif.","Ilex","Lamiaceae undif.","Lotus t.","Lycopodium for charcoal","Lycopodium tablets","Musci","Olea t.","Paronychieae","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valeriana","Viscum","Vitis","charcoal"
" 237",NA,NA," 44","0.60","0","2","0","1","1","0","1","0","0","0","1","0","0","0","0","1","0","0","19","1","20","0","0","1","0","0","0","1","4","2","0","1","6","0","0","0","0","0","8","0","0","1","0","0","0","1","13","0","1844595","0","0","0","0","0","2","0","1","0","0","0","0","3","0","0","0","0","0","2","0","2","0","0","0","0","0"
" 278",NA,NA," 50","0.40","0","1","0","0","1","0","2","0","0","2","1","0","0","2","0","4","0","0","1","2","24","0","0","3","0","0","0","1","23","0","0","0","0","0","0","0","0","1","52","0","0","1","0","0","0","0","13","0","442324.56","0","0","0","0","0","8","1","0","0","0","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","0"
" 319",NA,NA," 56","0.40","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","8","1","55","0","0","2","0","0","0","0","39","0","0","1","3","1","0","0","0","2","33","0","0","0","0","0","0","1","20","0","343316.34","0","0","0","0","0","8","2","1","0","1","0","1","5","0","0","0","1","1","0","0","1","0","0","0","0","0"
" 360",NA,NA," 62","0.80","0","0","0","1","1","0","0","1","0","0","0","0","0","3","0","0","0","0","3","0","20","0","0","0","0","1","0","1","22","0","0","0","0","4","0","0","0","0","74","0","0","1","0","0","0","3","20","0","316159.09","1","0","0","0","0","5","1","1","1","0","1","1","2","1","0","0","0","0","0","1","1","1","0","0","0","0"
" 416",NA,NA," 64","0.50","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","2","1","26","0","0","0","0","0","0","1","53","0","0","1","2","2","0","0","0","0","114","0","0","2","0","0","0","1","8","0","220476.22","0","0","1","0","0","4","1","0","0","0","0","1","2","0","0","0","1","0","1","0","6","0","0","0","0","0"
" 558",NA,NA," 68","0.40","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","0","17","0","0","0","0","0","0","0","58","0","0","1","2","0","0","0","0","0","79","0","0","0","0","0","0","2","12","0","235647.55","0","2","1","0","0","8","1","2","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 700",NA,NA," 72","0.50","0","0","1","0","1","0","0","1","0","1","1","0","0","0","0","3","0","1","16","4","16","0","0","3","0","0","0","22","62","1","0","1","9","2","0","0","0","1","80","0","0","1","0","0","0","0","34","1","192061.55","0","1","2","0","0","3","1","1","0","0","0","1","1","1","0","0","0","0","2","0","11","0","1","0","0","0"
" 842",NA,NA," 76","0.50","0","0","0","2","3","1","1","1","0","0","0","2","0","0","1","2","0","0","15","0","14","0","0","0","0","0","0","18","57","0","0","1","11","4","0","0","0","2","114","0","0","0","0","0","372","1","29","0","220623.58","0","0","0","0","0","8","0","1","0","0","0","0","3","3","0","0","0","0","1","0","12","0","0","0","0","0"
" 984",NA,NA," 80","0.45","0","0","2","2","0","0","1","0","0","0","0","1","0","0","0","5","3","0","17","0","11","0","0","4","0","0","0","15","68","0","0","1","8","4","0","0","1","1","74","0","0","0","0","0","0","0","23","0","192753.72","0","0","0","0","0","15","0","1","0","0","0","1","2","0","0","0","2","0","1","0","10","0","0","0","0","0"
"1126",NA,NA," 84","0.50","0","0","0","4","1","0","0","1","1","1","0","1","2","0","1","4","0","0","10","0","8","0","0","0","0","2","0","15","45","0","0","2","5","5","0","0","0","2","31","0","0","0","1","0","394","1","22","0","294294.94","0","0","0","0","0","9","0","4","0","2","0","0","2","5","0","0","0","0","3","0","6","0","0","0","0","0"
"1197",NA,NA," 86","1.00","0","1","2","2","1","0","0","0","0","0","0","1","0","2","0","5","0","0","6","5","14","0","0","1","0","0","1","4","27","0","1","1","4","0","0","1","0","1","82","0","1","0","0","1","0","0","27","1","204543.22","1","1","3","0","0","6","1","1","0","0","0","0","1","3","0","0","0","0","0","0","7","1","0","0","0","0"
"1268",NA,NA," 88","0.50","0","0","0","1","1","0","0","0","0","2","0","0","0","3","0","0","0","0","0","2","41","0","0","1","0","0","0","5","76","0","0","0","0","1","0","0","0","1","81","0","0","0","0","0","0","0","26","0","155583.55","0","0","0","0","0","12","3","1","0","0","0","4","4","0","0","0","0","2","1","0","7","0","0","0","0","0"
"1409",NA,NA," 92","0.50","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","17","0","1","2","0","0","0","5","25","1","0","2","1","3","0","0","0","2","55","0","0","1","1","0","0","0","27","0","432910.31","0","0","0","0","0","14","1","1","0","0","0","5","1","1","0","0","0","1","2","1","6","0","0","1","1","0"
"1551",NA,NA," 96","0.60","0","0","0","0","5","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","9","0","1","1","0","0","0","5","41","1","0","1","2","2","0","0","0","2","78","0","0","1","0","0","0","0","26","0","209230.48","0","1","0","0","0","8","1","1","0","0","0","1","4","2","0","0","1","0","2","0","1","0","0","0","0","0"
"1693",NA,NA,"100","0.50","0","0","0","2","4","0","0","0","0","1","0","0","0","1","0","0","4","0","0","0","13","0","1","1","0","0","0","2","45","0","0","2","0","4","0","0","0","1","65","0","0","0","0","1","0","0","22","0","243597.06","0","0","1","0","0","12","1","3","0","0","0","2","3","4","0","1","0","1","3","0","3","0","0","0","0","0"
"1779",NA,NA,"104","0.40","0","0","2","1","1","0","1","0","0","1","0","0","0","0","0","0","3","2","1","1","18","0","0","2","0","0","0","5","104","0","0","1","0","1","0","0","0","1","85","0","0","0","0","0","0","0","20","0","134094.02","0","0","0","0","0","16","2","3","0","0","0","0","5","1","0","0","1","0","3","0","4","0","0","0","0","0"
"1808",NA,NA,"108","0.60","0","0","1","1","3","0","0","0","0","2","0","0","0","0","0","1","1","1","0","0","21","0","0","3","0","0","0","6","53","0","0","0","0","3","0","0","0","2","42","0","0","0","0","0","0","1","21","0","128576.04","0","0","1","0","0","14","2","4","0","0","0","2","3","2","2","0","1","0","2","0","6","0","0","0","0","0"
"1823",NA,NA,"110","0.80","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","2","4","14","0","0","2","0","0","0","5","69","0","0","0","3","1","0","0","0","0","70","0","0","2","0","0","0","0","28","0","97780.22","0","1","3","0","0","23","3","3","0","0","1","2","2","0","0","0","2","0","0","0","6","0","0","0","0","0"
"1851",NA,NA,"112","0.50","0","0","1","1","3","0","0","0","0","1","0","0","0","1","0","2","1","1","3","2","18","0","0","2","0","0","0","3","61","0","0","0","0","1","0","0","0","2","45","0","0","1","0","1","0","1","26","0","138176.27","0","0","1","0","0","18","3","2","0","0","0","0","4","3","0","1","1","0","2","0","3","0","0","0","0","0"
"1909",NA,NA,"116","0.40","0","0","0","1","3","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","19","0","0","0","0","0","0","3","48","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","2","25","0","174692.81","0","0","0","0","0","9","1","0","0","0","0","1","3","1","0","0","0","0","1","0","5","0","0","0","0","0"
"1952",NA,NA,"119","0.70","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0","0","1","2","5","0","0","1","0","0","0","4","53","0","0","0","1","1","0","0","0","0","44","0","0","0","1","0","0","0","9","0","90146.52","0","0","0","0","0","6","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0"
"2024",NA,NA,"124","0.60","0","0","1","2","5","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","10","0","0","3","0","1","0","0","32","1","0","0","0","1","0","0","0","0","27","0","0","0","0","0","0","0","34","0","187278.75","0","0","1","0","0","8","0","3","0","0","0","0","2","2","0","0","0","0","2","0","5","0","0","0","0","0"
"2082",NA,NA,"128","0.50","1","0","1","0","3","0","0","0","0","0","0","0","0","3","0","2","0","0","1","2","9","0","0","0","0","0","0","4","54","0","0","0","0","1","0","0","0","0","34","0","0","0","0","0","0","0","24","0","133176","0","0","0","0","0","9","1","1","0","0","0","1","1","3","0","0","0","0","2","0","3","0","0","0","0","0"
"2140",NA,NA,"132","0.60","0","0","0","3","2","0","0","1","0","1","0","1","0","0","0","3","1","0","6","2","6","0","0","1","0","0","0","2","51","0","0","0","1","4","0","0","0","0","21","0","0","0","0","1","288","1","18","0","110874.7","0","0","0","0","0","10","1","0","0","3","0","1","1","2","0","0","0","0","0","0","2","0","0","0","0","0"
"2197",NA,NA,"136","0.50","0","0","0","1","2","0","2","1","0","0","1","0","0","0","0","2","0","0","2","0","7","0","0","2","0","0","0","1","51","1","0","0","0","2","0","0","0","0","38","0","0","0","0","0","303","1","23","0","137219.3","0","0","0","0","0","12","1","0","0","0","0","0","2","0","0","0","1","0","3","0","0","0","0","0","0","0"
"2226",NA,NA,"138","0.50","0","1","0","4","3","0","0","1","0","0","0","0","0","0","0","4","0","0","2","1","1","0","0","1","0","0","0","2","52","1","0","0","0","1","0","0","0","0","31","0","0","0","0","1","286","0","20","0","128260.38","1","0","0","0","0","10","4","2","0","0","0","2","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"2255",NA,NA,"140","0.60","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","8","0","0","2","0","1","0","3","49","2","0","1","0","0","0","0","0","0","49","0","0","0","0","0","269","0","15","0","102577.96","0","0","0","0","0","15","1","0","0","1","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
"2284",NA,NA,"142","0.50","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","6","0","0","2","0","0","0","5","43","0","0","0","0","2","1","0","0","0","47","0","0","0","0","0","273","1","14","0","144765.2","0","0","0","0","0","12","2","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2313",NA,NA,"144","0.60","0","1","0","1","2","0","0","0","0","1","0","0","0","0","0","1","0","0","1","2","8","0","0","1","0","0","0","2","46","0","0","0","0","0","0","0","0","1","43","0","0","0","0","0","263","0","32","0","112419.78","0","0","0","0","0","11","0","0","0","0","0","3","1","0","0","0","0","0","0","0","3","0","0","0","0","0"
"2334",NA,NA,"146","0.90","0","0","0","3","7","0","0","1","0","0","0","0","0","3","0","6","1","0","6","4","13","0","0","3","0","0","0","1","49","3","0","0","2","0","1","0","0","0","29","0","0","0","1","0","226","0","48","0","105042.24","0","1","0","0","0","15","0","0","0","0","0","1","0","0","0","0","2","0","0","0","6","0","1","0","0","0"
