"Depth (cm) [cm]","Sample Age (cal yr BP) [cal yr BP]","Acacia t.","Acalypha","Adansonia digitata","Aerva type","Aeschynomene","Alchornea","Algae","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Anacardiaceae undiff.","Anthostema","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Asteroideae undif.","Bridelia","Capparis","Caryophyllaceae undif.","Casuarina","Celastraceae undif.","Celosia type","Celtis","Centaurea","Cichorieae","Cissampelos","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cyperaceae","Detarium","Dictyandra","Diospyros/Euclea t.","Dombeya","Elaeis","Ephedra","Erythrococca/Micrococca","Fern","Ficus","Fungi","Gomphrena t.","Grewioideae","Hibiscus","Hygrophila","Hymenocardia","Hymenodictyon","Indeterminable","Ipomoea","Ixora","Justicia t.","Lannea","Lophira","Macaranga","Mallotus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","MonolÃ¨tes Ã  Ã©pines et non lisses autres","Morelia","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Ocimum","Onagraceae","Pavetta","Periploca","Phoenix t.","Poaceae","Polygala","Polygonum t.","Potamogeton","Prosopis t.","Rubiaceae undif.","Salvadora","Sapindaceae undif.","Sapotaceae undif.","Sideroxylon t.","Solanum","Spergularia t.","Spermacoce","Syzygium t.","Tabernaemontana","Tamarix","Tapinanthus","Tetracera alnifolia","Tinospora","Tribulus","Triletes","Typha","Uapaca","Zanthoxylum"
"  60.5"," 225.0","   0.0","   0.0","   0.0","  12.0","   0.0","  28.0","1018.0","   1.0","   3.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","  86.0","   1.0","   0.0","   0.0","   1.0","  24.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   4.0","   4.0","  34.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 317.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  10.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 319.0","   1.0","   4.0"
" 65.5","274.0","  0.0","  0.0","  0.0","  8.0","  0.0"," 51.0","496.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  1.0","  1.0","  2.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","101.0","  3.0","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  2.0","  1.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  7.0","  1.0"," 38.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","288.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","457.0","  5.0","  0.0"
"  70.5"," 322.0","   0.0","   0.0","   0.0","   8.0","   0.0","  47.0","2039.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","  67.0","   4.0","   0.0","   1.0","   0.0","  32.0","   0.0","   0.0","   0.0","   2.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0","   0.0","   8.0","   0.0","  37.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 205.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"," 150.0","   1.0","   1.0"
" 75.5","370.0","  0.0","  0.0","  0.0","  8.0","  1.0"," 64.0","885.0","  1.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  3.0","  2.0","  0.0","135.0","  2.0","  0.0","  0.0","  0.0"," 42.0","  0.0","  0.0","  7.0","  0.0"," 13.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0"," 11.0","  1.0"," 68.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","299.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 16.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","227.0","  7.0","  0.0"
"  80.5"," 418.0","   0.0","   0.0","   0.0","   4.0","   0.0","  40.0","1275.0","   0.0","   1.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   3.0","   0.0","   0.0","  81.0","   2.0","   0.0","   1.0","   0.0","  34.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","  18.0","   1.0","  40.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0"," 201.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","  10.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   3.0"," 215.0","   0.0","   2.0"
" 85.5","461.0","  0.0","  0.0","  0.0","  6.0","  0.0"," 51.0","544.0","  1.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0"," 47.0","  1.0","  0.0","  0.0","  0.0"," 22.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  4.0","  1.0","  0.0","  2.0","  0.0"," 33.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","201.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","129.0","  2.0","  0.0"
" 90.5","505.0","  0.0","  0.0","  0.0","  8.0","  0.0"," 60.0","513.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  8.0","  2.0","  1.0","  2.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","120.0","  2.0","  1.0","  0.0","  0.0"," 34.0","  0.0","  0.0","  5.0","  0.0"," 14.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0"," 14.0","  0.0"," 55.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","279.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 17.0"," 12.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 90.0","  4.0","  0.0"
"  95.5"," 542.0","   0.0","   0.0","   0.0","   7.0","   0.0","  41.0","1720.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","  66.0","   3.0","   0.0","   0.0","   0.0","  43.0","   0.0","   0.0","   0.0","   1.0","   8.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","  12.0","   1.0","  25.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 199.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  21.0","   2.0","   4.0"
"100.5","589.0","  0.0","  0.0","  0.0"," 14.0","  0.0"," 73.0","355.0","  4.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  2.0","  0.0"," 80.0","  3.0","  0.0","  0.0","  0.0"," 33.0","  0.0","  0.0","  3.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  1.0","  9.0","  4.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","281.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 87.0","  0.0","  0.0"
"105.5","647.0","  0.0","  0.0","  0.0","  6.0","  0.0","101.0","348.0","  0.0","  1.0"," 16.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0"," 71.0"," 12.0","  0.0","  0.0","  0.0"," 51.0","  0.0","  0.0","  0.0","  1.0","  6.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  2.0","  0.0","  7.0","  0.0","  0.0"," 19.0","  2.0"," 32.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","436.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 50.0","  3.0","  0.0"
" 110.5"," 689.0","   0.0","   0.0","   0.0","   4.0","   0.0","  44.0","1047.0","   0.0","   1.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","   1.0","   0.0","  28.0","   2.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   4.0","   4.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 139.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  17.0","   1.0","   2.0"
" 115.5"," 766.0","   0.0","   1.0","   0.0","   8.0","   0.0","  88.0","1110.0","   0.0","   1.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   3.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","  11.0","   2.0","   0.0","   0.0","  78.0","   7.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   8.0","   0.0","   0.0","  11.0","   3.0","  15.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 272.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  25.0","   2.0","   0.0"
" 120.5"," 830.0","   0.0","   0.0","   1.0","   9.0","   0.0","  92.0","4060.0","   4.0","   1.0","  11.0","   1.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   9.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","   0.0","  83.0","   6.0","   0.0","   1.0","   0.0","   6.0","   0.0","   0.0","   0.0","   1.0","  28.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","  14.0","   3.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 294.0","   1.0","   1.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  36.0","   2.0","   1.0"
"125.5","912.0","  0.0","  0.0","  0.0","  7.0","  0.0"," 63.0","720.0","  0.0","  2.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  2.0","  2.0","  0.0"," 89.0","  9.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  9.0","  7.0"," 28.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","266.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  9.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 38.0","  0.0","  0.0"
