"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus"
"2566",NA,NA," 135","   0","   0","   0","   4","  31","   0","  59","  18","   2","   0","   2","   8","   4","  11","   0","   0","  10","   4","   3","   0","   0","   5","   0","   5","   1","   0","   0","   1","   0","  19","   1","   0","  14","   4","   0","   1","  51","   8","   0","   0","   1","  24","  93","   5","   3","   0","   8","   0","   0","   0","   0","   3","   0","   3","   0","   0","   1","   0","   4","   0"
"2582",NA,NA," 150","   0","   0","   0","   3","  35","   0","  48","  20","   1","   0","   1","   9","   5","   8","   0","   0","  15","   4","   3","   0","   0","   5","   0","   5","   2","   0","   0","   1","   0","  18","   1","   0","  17","   5","   0","   1","  48","   8","   0","   0","   2","  23","  92","   1","   5","   0","   7","   0","   0","   0","   0","   3","   0","   6","   0","   0","   2","   0","   3","   0"
"2593",NA,NA," 160","   2","   0","   0","   0","  23","   0","  49","  23","   0","   0","   8","  13","   3","   8","   0","   0","  22","   2","   3","   8","   0","   3","   0","   0","   0","   0","   0","   0","   0","  39","   0","   0","  13","   5","   1","   1","  45","   7","   0","   0","   0","  11","  81","   4","   7","   0","  12","   0","   0","   0","   0","   4","   0","   7","   0","   0","   0","   0","   4","   0"
"2604",NA,NA," 170","   2","   0","   0","   1","  21","   0","  44","  13","   0","   0","   8","  10","   3","  11","   0","   0","  25","   6","   3","   4","   0","   3","   0","   0","   0","   0","   0","   0","   0","  45","   0","   0","  17","  10","   1","   0","  49","  10","   0","   0","   0","  16","  75","   6","  10","   0","  11","   0","   0","   0","   0","   3","   0","   9","   0","   0","   3","   0","   3","   0"
"2615",NA,NA," 180","   1","   0","   0","   1","  20","   0","  51","  22","   3","   0","  10","   8","   1","   5","   0","   0","  14","   5","   0","   5","   6","   3","   0","   0","   0","   0","   0","   0","   0","  33","   0","   0","  10","  11","   0","   0","  51","  11","   0","   5","   0","  14","  87","   4","   5","   0","  12","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   5","   0"
"2631",NA,NA," 195","   1","   0","   0","   2","  17","   0","  51","  21","   1","   0","   7","   8","   2","   9","   0","   0","  12","   2","   0","   5","   7","   3","   0","   0","   0","   0","   0","   0","   0","  28","   0","   0","  14","   9","   0","   0","  55","  13","   0","   8","   0","  12","  89","   4","   4","   0","  17","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   5","   0"
"2642",NA,NA," 205","   0","   3","   0","   2","  41","   0","  42","  29","   3","   0","   3","   0","   0","  13","   0","  16","  16","   2","   5","  11","   7","   4","   0","   1","   0","   0","   0","   0","   0","  56","   0","   2","  12","  11","   0","   0","  31","   8","   0","   1","   0","   7","  21","   5","  16","   0","  17","   3","   0","   0","   0","   6","   5","   9","   0","   0","   0","   0","   5","   0"
"2653",NA,NA," 215","   0","   4","   0","   8","  50","   0","  35","  26","   6","   0","   1","   0","   0","  16","   0","  12","  11","   3","   6","  13","   6","   8","   0","   2","   0","   0","   0","   0","   0","  59","   0","   1","  10","  11","   0","   0","  27","   9","   0","   1","   0","   6","  21","  11","  16","   0","  17","   6","   0","   0","   0","   6","   3","   8","   0","   0","   0","   0","   5","   0"
"2664",NA,NA," 225","   2","   0","   0","   0","  53","   0","  42","  16","   0","   0","   5","   7","   2","  35","   0","  11","  17","   0","   0","   7","  20","   5","   0","   0","   0","   0","   0","   0","   0","  48","   0","   0","  11","   6","   4","   0","  35","   9","   0","   2","   0","   6","  15","   3","   7","   0","   7","   0","   0","   0","   0","   0","   6","   8","   0","   0","   0","   0","   2","   0"
"2675",NA,NA," 235","   4","   0","   0","   0","  39","   0","  39","  19","   0","   0","   1","   9","   3","  23","   0","  16","  12","   0","   0","  10","  24","   7","   0","   0","   0","   0","   0","   0","   0","  47","   0","   0","  25","   7","   6","   0","  39","   4","   0","   2","   0","   4","  18","   5","   3","   0","   7","   0","   0","   0","   0","   0","   7","   3","   0","   0","   0","   0","   3","   0"
