"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Afraegle","Alchornea","Alnus","Amaranthaceae undif.","Antidesma t.","Apocynaceae undif.","Araliaceae undif.","Artemisia","Asteraceae","Balanites","Betula","Bombax","Borreria t.","Caesalpinioideae","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Chrozophora","Cichorieae","Cissampelos","Clematis-type","Combretaceae","Commelina","Connaraceae","Corylus","Cucurbitaceae undif.","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Erica t.","Euphorbiaceae undif.","Faboideae Undif.","Fern-Lycopodiaceae","Ficus","Hymenocardia","Hyphaene t.","Ilex","Indeterminable","Indigofera","Ipomoea","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Menispermaceae undif.","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nymphaea","Oldenlandia","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Poaceae","Podocarpus","Polygala","Polygonum t.","Quercus undif.","Rubiaceae undif.","Salvadora","Securinega  t.","Sesbania","Solanum","Spergularia t.","Syzygium t.","Tephrosia","Triletes","Typha","Uapaca","Vitex","Ziziphus/Paliurus"
"1709.151","  80.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  72.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 393.000","   0.000","   0.000"," 101.000","   0.000","  23.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  92.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2547.25"," 110.00","   0.00","   0.00","   0.00","   6.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00"," 107.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 199.00","   0.00","   0.00","   9.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 187.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  28.00","   0.00","   0.00","   0.00"
"2826.616"," 120.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 108.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 361.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000"," 238.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   0.000","   0.000"
"2966.299"," 125.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 135.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 325.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000"," 164.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000"
"3105.982"," 130.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 118.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 125.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 386.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"
"3245.666"," 135.000","   0.000","   0.000","   2.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 147.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 128.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 398.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000"
"3385.349"," 140.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 132.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 115.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 364.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3583.376"," 147.000","   0.000","   0.000","  77.000","   0.000","   5.000","   0.000","   8.000","   0.000","   1.000","   2.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   4.000","   1.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 138.000","  11.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000"," 169.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 282.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   1.000","   8.000","   0.000","   1.000","   0.000"
"3731.297"," 152.000","   1.000","   0.000","  47.000","   0.000","   1.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000"," 118.000","  13.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 281.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","  70.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 230.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","  15.000","   0.000","   0.000","   1.000","   1.000","   2.000","   0.000"
"3879.217"," 157.000","   0.000","   0.000","  51.000","   0.000","   2.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000"," 131.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 234.000","   0.000","   0.000","   1.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   2.000","   0.000","  57.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 220.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","   2.000","   0.000","   3.000","   0.000"
"4027.138"," 162.000","   0.000","   0.000","  32.000","   0.000","   8.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000"," 148.000","   5.000","   0.000","   0.000","   0.000","   0.000","   5.000","   2.000"," 135.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 269.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000"
"4175.059"," 167.000","   1.000","   0.000","  36.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   1.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000"," 117.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 153.000","   0.000","   1.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 321.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000"
"4470.899"," 177.000","   0.000","   0.000","  11.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000"," 151.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 146.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 344.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   2.000","   1.000","   0.000"
"4766.741"," 187.000","   0.000","   0.000","  19.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000"," 120.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000"," 161.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 324.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000"
"5062.582"," 197.000","   0.000","   0.000","  19.000","   0.000","   7.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","  13.000","   0.000","   1.000","   0.000","   0.000"," 103.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 196.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 347.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   2.000","   1.000","   2.000"
"5358.423"," 207.000","   0.000","   0.000","  20.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","  79.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 236.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   9.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 363.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   2.000","   2.000","   0.000","   0.000"
"5654.264"," 217.000","   0.000","   1.000","  22.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   2.000","   0.000","   0.000"," 103.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 158.000","   0.000","   2.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 361.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","  11.000","   0.000","   0.000","   2.000","   6.000","   0.000","   2.000"
"5950.105"," 227.000","   0.000","   0.000","  14.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   1.000","   0.000","   0.000","  57.000","  12.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 190.000","   0.000","   3.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 357.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  10.000","   0.000","   1.000","   0.000","   9.000","   1.000","   3.000"
"6305.114"," 239.000","   0.000","   0.000","   5.000","   1.000","   1.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   0.000","   2.000","   0.000","  17.000","   0.000","   2.000","   1.000","   0.000","  59.000","   3.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000"," 132.000","   0.000","   4.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   8.000","   0.000","  25.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 350.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   0.000","   0.000","  19.000","   0.000","   0.000"
"6600.956"," 249.000","   0.000","   0.000","   6.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","  59.000","  11.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000"," 145.000","   0.000","   4.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","  22.000","   0.000","   5.000","   0.000","   0.000","   2.000","   0.000","   0.000"," 351.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  35.000","   0.000","   0.000","   2.000","  13.000","   0.000","   0.000"
