"depth","age CAL BP","Sample","Acacia t.","Aizoaceae t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Betula","Betulaceae undif.","Blepharis","Boraginaceae undif.","Boscia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Cardueae undif.","Caryophyllaceae undif.","Celtis","Centaurea","Chrozophora","Cichorieae","Cissus t.","Cistaceae","Cocculus","Combretaceae","Commiphora","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Delonix","Dipsacaceae","Dodonaea","Drymaria-type","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Fern","Fern-Equisetophyta","Ficus","Frankenia","Fraxinus","Fumaria","Fungi","Geranium","Haplophyllum","Heliotropium","Indeterminable","Indigofera","Lamiaceae undif.","Lannea","Leonotis-type","Linum t.","Lotus t.","Maerua","Malva","Matthiola","Mikania-type","Moltkiopsis","Monsonia","Moraceae/Urticaceae (Mikrom)_17.5","Moraceae/Urticaceae (Mikrom)_20.0","Moraceae/Urticaceae (Mikrom)_22.5","Moraceae/Urticaceae (Mikrom)_25.0","Moraceae/Urticaceae (Mikrom)_27.5","Morella","Neurada","Ochradenus-type","Ocimum","Olea t.","Onagraceae","Papaver t.","Persicaria t.","Petaloid monocot","Piliostigma","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polemonium","Polygala","Polygonum t.","Populus","Potamogeton","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Ricinus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salvadora","Saxifragaceae","Scrophulariaceae undif.","Searsia","Secale","Senna-type","Sesbania","Solanum","Spergularia t.","Spermacoce","Spores","Syzygium t.","Tamarix","Tetraena","Thymelaeaceae undif.","Tilia","Tribulus","Trichodesma","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Verbenaceae undif.","Viola","Vitis","Ziziphus/Paliurus","charcoal","marker spores counted"
" 303","6271","TAY22_N032","1","0","141","0","0","930","4","0","7","37","0","15","0","1","1","0","0","0","19","3","11","7","0","1","0","2","15","0","10","1","0","0","6","0","0","0","0","48","0","0","1","0","0","0","13","0","4","0","1","0","0","0","0","9","0","0","0","5","0","0","0","25","0","0","0","0","0","0","0","0","0","0","4","0","4","1","0","0","0","0","0","0","0","3","0","1","0","0","0","1","0","51","242","145","0","0","0","0","0","3","0","6","0","0","0","7","0","1","0","1","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","1","0","5","0","0","9","0","1025","65"
" 311","6394","TAY22_0336","1","0","42","0","0","790","13","0","12","26","1","29","0","0","0","1","0","0","24","3","5","5","0","0","1","3","14","0","12","0","0","0","0","0","0","0","0","104","0","0","0","0","0","2","10","2","0","0","3","0","0","0","0","4","1","0","0","14","0","0","0","15","0","0","0","0","0","0","0","0","0","0","3","0","6","8","4","0","0","1","0","0","0","12","0","0","0","0","0","0","2","55","317","247","0","1","0","0","0","2","0","1","0","0","2","8","0","0","0","4","0","0","0","0","5","2","0","0","0","5","1","0","0","0","0","0","1","31","0","18","0","0","0","0","2838","136"
" 314","6438","TAY22_N039","1","0","276","0","0","1429","13","0","5","72","0","22","0","0","0","0","0","0","25","2","8","12","3","1","0","1","21","0","30","0","0","1","2","0","0","1","0","63","0","0","1","0","0","1","7","4","1","0","4","0","0","0","0","6","0","0","0","22","1","0","0","6","0","0","0","0","0","0","1","0","0","0","2","0","1","10","3","0","0","0","1","0","0","11","0","0","0","0","1","0","2","96","262","206","0","0","1","0","0","5","2","1","0","0","0","19","0","4","0","0","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","2","5","0","14","0","0","0","0","1179","93"
" 317","6486","TAY22_N041","2","0","140","0","0","794","16","0","5","147","0","20","0","0","0","1","0","0","15","0","6","2","2","0","2","3","38","0","22","0","0","0","0","0","0","0","0","47","0","1","3","1","0","0","11","4","0","0","4","0","0","0","0","0","0","0","0","10","0","0","1","7","1","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","28","0","0","0","0","0","3","3","102","295","350","0","0","0","0","0","5","0","0","0","1","0","18","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","9","7","0","1","0","0","1","1","720","149"
" 321","6550","TAY22_N044","2","0","125","1","0","811","6","0","7","38","0","20","0","0","0","0","0","0","21","0","5","22","24","0","3","2","13","0","7","0","0","0","0","0","0","0","0","55","0","0","1","0","0","0","13","0","0","0","1","0","0","0","0","6","0","0","0","0","1","0","3","35","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","1","5","56","217","173","0","0","0","0","1","3","0","3","1","0","0","7","1","4","0","1","1","0","0","0","0","2","0","0","0","2","0","0","0","0","0","1","0","17","0","1","0","0","1","0","1032","172"
" 322","6565","TAY22_0345","1","0","111","0","0","1089","24","0","2","168","0","36","0","0","0","1","0","0","17","0","19","0","2","0","1","2","38","0","39","0","0","0","0","1","0","0","0","84","0","0","3","0","0","0","17","0","0","1","2","1","0","0","0","0","2","0","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","33","0","0","0","0","0","2","9","115","452","445","0","0","0","0","0","3","0","1","0","0","0","11","0","0","0","3","1","0","0","0","1","0","0","0","0","3","1","0","0","1","0","1","8","5","1","0","0","0","0","1","708","207"
" 330","6666","TAY22_0356","3","0","336","0","0","1053","9","0","13","85","1","24","0","0","0","1","0","0","26","0","6","12","12","0","0","1","8","0","3","0","0","0","0","0","1","0","0","100","0","0","0","0","0","2","8","0","0","0","2","0","5","0","0","2","0","0","0","0","0","0","2","31","0","1","0","0","0","0","0","0","0","1","1","0","0","0","12","0","0","1","0","0","0","12","0","0","0","1","0","1","1","98","317","235","0","0","0","0","1","3","0","7","0","1","0","18","1","2","0","1","0","0","0","1","0","0","0","1","0","2","1","0","0","0","0","1","1","2","0","13","0","0","0","0","1290","86"
" 332","6683","TAY22_N053","1","0","108","1","0","1303","20","0","18","105","0","28","0","1","0","3","0","0","19","0","15","15","2","1","0","1","15","0","22","1","0","0","3","0","0","0","0","99","0","0","1","0","0","0","15","1","1","0","3","0","1","0","0","2","0","0","0","26","1","0","1","23","1","0","0","0","0","0","0","0","0","0","1","0","0","1","2","4","0","0","0","0","0","10","0","3","0","0","0","1","3","116","347","316","0","0","0","1","0","5","0","5","0","0","6","11","0","1","0","1","0","0","0","1","1","1","0","0","0","13","1","0","0","0","0","0","2","3","0","7","0","0","0","0","2270","100"
" 343","6758","TAY22_N063","5","0","83","1","1","1377","10","0","10","152","1","14","0","0","0","1","0","0","19","0","11","10","5","0","13","6","12","0","12","1","0","0","0","0","0","0","0","122","0","0","1","0","0","3","8","0","0","0","1","1","1","0","0","2","1","1","0","0","2","0","0","24","1","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","2","46","364","302","0","0","0","0","0","3","0","2","0","0","1","5","2","2","0","3","0","0","1","0","0","2","0","1","0","2","2","0","0","0","0","1","9","3","0","8","0","1","1","2","3874","197"
" 346","6774","TAY22_N066","1","0","280","0","0","1208","15","0","17","111","0","31","0","1","0","3","0","0","22","0","15","8","1","0","4","1","14","0","18","1","2","0","0","0","0","0","0","90","0","0","4","0","0","0","13","0","0","0","2","0","3","0","0","2","0","0","0","65","0","0","1","18","1","0","0","0","0","0","0","0","0","0","3","0","0","0","3","3","2","2","0","0","0","11","0","0","0","0","0","0","2","82","344","301","0","0","0","0","0","5","0","2","0","0","7","9","0","2","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0","2","4","0","8","0","0","0","2","3259","111"
" 347","6780","TAY22_N068","0","0","25","1","1","632","17","0","4","76","0","29","0","0","2","1","1","0","13","0","11","1","1","1","1","1","22","0","23","1","0","0","3","0","0","0","0","25","0","0","4","0","1","0","25","1","0","0","1","0","2","0","0","0","0","0","0","306","2","0","0","14","0","0","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","8","0","0","0","0","0","2","3","98","222","237","0","0","0","0","0","10","0","0","0","0","0","6","0","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","15","2","0","1","0","0","0","0","6492","389"
" 350","6798","TAY22_0399","1","0","33","0","0","699","11","0","13","47","1","12","0","0","0","1","1","0","19","0","8","4","1","0","1","3","6","0","10","0","0","0","0","0","0","0","0","34","0","0","2","0","0","0","7","1","0","0","1","0","2","0","0","0","0","0","0","0","2","0","3","9","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","1","2","122","178","125","0","0","1","0","0","9","0","4","0","0","1","7","0","1","0","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","4","2","0","1","0","0","0","1","2383","161"
" 356","6849","TAY22_0405","0","0","1","0","0","253","9","0","2","35","0","10","0","0","0","0","0","0","10","0","4","0","0","0","1","1","16","0","9","0","0","0","2","1","1","0","0","23","0","0","6","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","2","60","256","275","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1200","91"
"3645","6925","TAY22_0414","4","0","0","0","0","551","9","0","4","67","0","11","1","0","0","1","0","0","17","0","14","1","3","4","4","2","22","0","4","0","0","0","1","0","0","0","0","33","0","0","8","0","0","1","14","2","3","0","0","0","0","0","0","0","0","0","0","48","0","0","0","8","0","1","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","1","0","0","0","7","0","0","0","0","0","1","2","94","298","252","0","0","0","0","0","2","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","2","0","4","0","0","0","0","288","103"
"3695","6975","TAY22_0419","4","0","0","0","0","448","5","0","11","50","1","16","0","0","0","0","0","0","22","0","7","3","1","0","2","1","10","0","6","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","4","1","0","0","0","0","1","0","0","0","0","0","0","80","0","0","0","6","0","2","0","0","0","0","0","0","0","1","0","0","0","5","7","0","0","0","0","0","0","8","0","0","0","0","0","3","0","70","115","92","0","0","0","0","0","6","0","2","0","1","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","6","0","0","0","0","0","0","0","3","0","12","0","0","1","0","632","41"
"3745","7030","TAY22_0424","1","0","131","2","0","1224","11","0","16","92","0","29","0","0","0","0","0","0","26","4","13","6","0","0","1","2","7","0","21","1","2","0","0","0","0","0","0","38","0","0","3","0","0","0","13","2","0","0","1","0","0","0","0","1","3","0","0","430","0","0","0","18","0","2","0","0","0","0","0","0","0","0","2","0","0","5","8","1","0","1","0","0","0","5","0","7","0","0","0","1","3","104","277","194","0","0","0","0","0","6","0","10","0","0","2","15","0","0","0","0","0","0","0","0","0","2","0","0","0","4","1","0","0","0","0","0","0","9","0","14","0","0","0","2","2065","118"
"3775","7063","TAY22_0427","1","0","285","0","0","532","4","0","8","30","0","19","0","1","0","0","1","0","17","0","6","0","4","0","0","1","21","0","8","0","0","0","0","0","0","0","0","28","0","0","1","0","0","0","12","1","2","0","0","0","0","0","0","0","0","0","0","43","0","0","0","6","0","1","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","1","0","41","143","115","0","0","0","0","0","2","0","3","0","0","1","6","0","3","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","2","7","0","2","0","0","0","0","502","111"
"3805","7094","TAY22_0430","2","0","166","0","0","646","12","0","16","86","1","13","0","0","1","0","0","0","22","0","14","0","1","0","0","0","21","0","11","0","0","0","4","0","2","0","0","31","0","0","2","0","0","0","10","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","1","0","0","1","1","0","0","9","18","5","0","1","0","0","0","2","0","1","0","0","0","2","1","72","214","179","0","0","0","0","0","5","0","1","0","0","1","10","0","1","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","5","0","32","0","0","0","1","611","74"
"3875","7167","TAY22_0437","1","0","1743","0","0","1660","34","0","21","132","1","39","0","0","0","2","0","0","50","0","13","13","3","3","2","6","28","0","34","1","0","0","2","0","0","0","0","83","0","0","15","0","0","0","16","1","2","0","2","0","0","0","0","0","0","0","0","177","0","0","0","34","1","0","0","0","0","0","0","0","2","0","3","0","0","4","4","2","0","1","0","0","0","19","0","4","0","0","0","4","3","171","492","348","0","0","0","0","0","2","1","6","0","0","1","37","1","6","0","2","3","0","0","0","0","1","0","0","0","10","0","0","0","0","0","0","0","9","0","10","0","0","0","0","376","113"
"3925","7252","TAY22_0442","5","0","163","0","1","1054","15","0","12","97","5","24","0","0","0","0","0","0","21","0","16","10","3","0","0","1","19","0","19","0","0","0","0","0","0","1","0","76","0","0","19","0","0","0","17","2","0","1","0","0","3","0","0","0","0","0","0","21","3","1","1","15","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","25","0","0","0","0","0","3","1","97","408","237","0","0","0","0","0","11","0","1","0","0","0","10","0","1","0","0","1","0","0","0","0","1","0","0","0","5","1","0","0","1","0","0","3","14","0","1","0","0","0","2","548","196"
"3955","7310","TAY22_0445","3","0","24","0","0","758","14","0","17","49","0","21","0","0","0","0","0","0","19","0","9","5","1","1","2","3","33","0","10","0","0","0","1","0","0","0","0","27","0","0","17","0","0","0","27","1","1","1","2","0","0","0","0","0","0","0","0","58","2","0","0","10","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","3","0","0","0","12","0","0","0","0","0","2","0","55","240","183","0","0","0","0","0","5","0","3","0","0","1","12","0","0","0","1","0","0","0","0","0","2","0","0","1","3","1","0","0","1","0","0","1","12","0","1","0","0","0","1","279","94"
