"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Berberis t.","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Galium t.","Geranium","HippophaÃ«","Humulus","Hypericum undif.","Juglans","Lamiaceae undif.","Linum t.","Malva","Myrtus","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Primula","Quercus deciduous","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Rutaceae undif.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Spergularia t.","Thymelaeaceae undif.","Tilia","Ulmus t.","Urtica t.","Valeriana t.","Viola"
"1373","1842","1076","  40","   1","   0","   0","   0","   3","   0","   8","   0","   1","   0","   4","   0","  13","  65","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0"," 145","   0","   1","  14","   5","   0","   0","   2","   0","   0","   1","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1486.0","1976.0","1168.0","  43.0","   1.5","   0.0","   1.0","   0.0","   2.0","   0.0","   2.0","   0.0","   1.0","   2.0","   0.0","   0.0","   6.0"," 148.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","  56.0","   0.0","   1.0","  27.0","   8.0","   0.0","  12.0","   2.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0"
"1600","2109","1262","  46","   1","   0","   0","   0","  12","   0","   4","   1","   0","   0","   4","   0","  12","  31","   1","   1","   0","   0","   2","   0","   1","   0","   1","   0","   1","   3","   0","   0","   0","   0","   0","   1","   0","   9","   2","   0","   0","   0","   1","   0"," 101","   0","   0","  68","  13","   0","   8","   2","   0","   0","   0","   0","   1","   0","   4","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0"
"1716","2242","1360","  49","   3","   0","   0","   0","   5","   1","   8","   0","   3","   0","   2","   0","   5","  17","   0","   3","   1","   1","   0","   0","   1","   1","   2","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","  16","   3","   0","   0","   0","   0","   0","  78","   1","   1"," 112","   8","   0","   5","   3","   1","   0","   2","   0","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1834","2374","1461","  52","   4","   0","   0","   0","   8","   0","   8","   0","   1","   0","   0","   1","   6","  62","   1","   0","   0","   1","   1","   0","   2","   0","   1","   0","   2","   1","   0","   0","   1","   2","   0","   0","   1","  10","   0","   0","   1","   0","   0","   0","  98","   1","   3","  47","   5","   0","   6","   5","   0","   0","  11","   0","   1","   0","   6","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0"
"1953","2505","1574","  55","   4","   1","   0","   0","   5","   1","   5","   0","   0","   0","   1","   0","   4","  47","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  16","   0","   0","   0","   1","   0","   0","   1","   5","   1","   1","   0","   0","   0","   0","  86","   0","   1","  67","  16","   0","  17","   1","   0","   0","   4","   0","   1","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2116","2679","1731","  59","   1","   0","   0","   0","   4","   1","   3","   0","   6","   0","   3","   0","   7","  10","   0","   0","   1","   1","   3","   0","   0","   0","   0","   0","   0","  37","   0","   0","   0","   0","   0","   0","   0","  19","   1","   0","   0","   0","   0","   0","  83","   0","   1","  79","  13","   0","   7","   2","   0","   0","   4","   0","   0","   0","   2","   2","   0","   3","   0","   0","   0","   1","   0","   0","   0"
"2282","2850","1885","  63","   0","   0","   0","   0","   5","   0","   0","   0","   1","   0","   9","   0","   8","   4","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   1","   8","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   1","   0","   0","   9","   0","   0"," 168","   9","   4","  58","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2452","3019","2042","  67","   1","   0","   0","   2","   2","   0","   2","   0","   8","   0","   0","   0","   1","   7","   0","   0","   1","   1","   0","   0","   1","   0","   1","   0","   1","  17","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","   0","   3","   1","  41","   1","   1"," 133","  15","   0","  30","   1","   0","   1","   2","   1","   1","   0","  11","   0","   0","   0","   1","   1","   1","   2","   1","   1","   0"
"2626","3187","2204","  71","   2","   0","   0","   0","   7","   0","   4","   0","   1","   0","   0","   0","   8","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   8","   1","   0","   4","   0","   1","   0","  22","   0","   0"," 169","  17","   0","  37","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"2804","3360","2373","  75","   3","   0","   0","   0","   1","   0","   7","   0","   5","   0","   2","   1","   5","   9","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","  25","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  58","   0","   1"," 152","   7","   0","   9","   2","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0"
"3033","3573","2599","  80","   0","   0","   0","   0","   2","   0","   8","   0","   1","   0","   2","   0","   1","   2","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   1","  19","   1","   0","   0","   2","   0","   2","   0","   2","   1","   0","   0","   0","   2","   0","  17","   0","   1"," 189","   6","   0","  31","   1","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"3219","3741","2777","  84","   1","   0","   0","   0","   2","   0","  11","   0","   7","   0","   1","   1","   5","   9","   0","   0","   0","   1","   0","   0","   1","   0","   0","   3","   0","  24","   0","   0","   0","   1","   0","   0","   0","   4","   2","   0","   0","   0","   0","   1","  41","   0","   1"," 140","  13","   0","  27","   2","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"3596","4066","3147","  92","   4","   0","   0","   1","   0","   1","  11","   0","   7","   0","   4","   0","   0","   0","   2","   1","   0","   1","   0","   1","   1","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   2","   0","   3","   3","   0","   0","   0","   1","   0","  31","   0","   1"," 155","  22","   0","  37","   0","   0","   1","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"3876","4302","3425","  98","   0","   0","   0","   0","   4","   0","   2","   0","   8","   0","   1","   0","   2","   5","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","  32","   0","   1"," 170","   7","   0","  31","   4","   3","   1","   1","   0","   0","   0","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0"
"4193","4569","3737"," 105","   7","   1","   0","   0","   2","   2","   3","   0","  11","   0","   6","   0","   2","   3","   0","   0","   1","   2","   2","   3","   0","   0","   1","   0","   0","  41","   0","   1","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","  81","   0","   0","  27","   8","   1","  82","   3","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0"
"4494","4829","4045"," 112","   7","   0","   0","   1","   3","   0","   3","   0","   8","   0","   1","   0","   3","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   0","   1","   1","   0","   1","   0","   1","   1","   0","   0","   0","  74","   0","   0","  35","  10","   2"," 109","   0","   0","   1","   6","   0","   0","   0","   3","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"
"4736","5043","4287"," 118","   8","   0","   0","   2","   1","   0","  13","   0","  11","   0","   2","   0","   1","   5","   0","   0","   0","   1","   0","   1","   0","   0","   2","   0","   0","  26","   0","   1","   0","   0","   1","   0","   0","   0","   2","   0","   2","   0","   0","   0","  71","   0","   0","  25","   9","   1"," 105","   2","   0","   1","   5","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"4998.0","5281.0","4548.0"," 125.0","   9.0","   0.0","   0.0","   2.0","   1.0","   0.0","   9.0","   0.0","   9.0","   0.0","   1.0","   0.0","   4.0","   4.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","  44.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","  89.5","   0.0","   1.0","  20.0","   7.0","   3.0"," 108.0","   3.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0"
"5208.0","5474.0","4758.0"," 131.0","   7.5","   0.0","   0.0","   2.0","   2.0","   0.0","   7.0","   0.0","  14.0","   0.0","   1.0","   0.0","   1.0","   2.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  27.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  62.0","   0.0","   1.0","  25.0","   9.0","   0.0"," 124.0","   2.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0"
"5404","5656","4961"," 137","   1","   0","   0","   0","   0","   0","   9","   1","  13","   0","   0","   0","   0","   3","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  19","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   4","   0","   0","   0","  71","   0","   1","  42","  18","   0"," 101","   7","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5558","5805","5127"," 142","   1","   0","   0","   0","   1","   0","   4","   2","   4","   0","   1","   0","   2","   9","   0","   0","   1","   2","   0","   0","   1","   0","   0","   0","   1","  22","   0","   0","   0","   0","   2","   0","   0","   4","   7","   0","   3","   0","   0","   0","  61","   0","   0","  66","   7","   0","  90","   5","   0","   1","   6","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5731","5983","5315"," 148","   3","   0","   0","   0","   0","   0","  16","   0","   5","   0","   0","   0","   2","   7","   4","   0","   1","   1","   1","   1","   0","   0","   0","   0","   1","  18","   0","   1","   0","   0","   1","   0","   0","   2","   0","   0","   1","   0","   1","   1","  71","   0","   0","  64","  16","   0","  65","   4","   0","   1","   2","   0","   1","   0","   3","   0","   0","   0","   4","   0","   1","   1","   0","   0","   0"
"5919","6173","5521"," 155","   0","   0","   2","   2","   1","   0","   7","   0","   5","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  17","   0","   0","   2","   0","   0","   1","   0","   5","   2","   0","   2","   0","   0","   0","  61","   0","   0","  77","  38","   1","  53","   7","   0","   0","   5","   0","   0","   0","   3","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0"
"6069.0","6331.0","5681.0"," 161.0","   2.0","   0.0","   1.0","   0.0","   2.0","   1.0","   6.0","   0.0","   8.0","   0.0","   0.0","   0.0","   2.0","   6.0","   1.0","   0.0","   1.0","   0.0","   5.0","   0.0","   1.0","   0.0","   1.0","   0.0","   1.0","  31.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   6.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","  80.5","   0.0","   0.0","  50.0","  11.0","   0.0","  63.0","   4.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"6209","6485","5833"," 167","   2","   0","   0","   0","   2","   0","   8","   0","   8","   0","   3","   0","   2","   6","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   1","   0","   0","   0","  77","   0","   1","  38","  13","   0","  68","   5","   0","   1","   2","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0"
"6318.0","6607.0","5950.0"," 172.0","   5.5","   2.0","   0.0","   3.0","   1.0","   0.0","   6.0","   0.0","  27.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   5.0","   1.0","   3.0","   0.0","   0.0","   3.0","   0.0","   0.0","  39.0","   0.0","   0.0","   0.0","   1.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 300.0","   0.0","   0.0","  33.0","   6.0","   0.0"," 164.0","   2.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","   1.0","   0.0"
"6402.0","6700.0","6037.0"," 176.0","   1.0","   2.0","   0.0","   8.0","   0.0","   1.0","   1.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","  28.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  75.5","   0.0","   0.0","  42.0","   7.0","   6.0"," 107.0","   2.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0"
"6442.0","6746.0","6081.0"," 178.0","   2.5","   1.0","   0.0","   1.0","   0.0","   0.0","   7.0","   0.0","   7.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   4.0","   1.0","   0.0","   0.0","   0.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   8.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  78.0","   1.0","   3.0","  39.0","  13.0","   1.0","  68.0","   5.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   5.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"6540","6852","6182"," 183","   8","   0","   0","   1","   0","   0","   5","   0","   4","   0","  10","   0","   0","  11","   0","   0","   2","   0","   4","   3","   0","   0","   0","   0","   3","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  34","   0","   1"," 128","  12","   0","  56","   1","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6650.0","6974.0","6302.0"," 189.0","   4.0","   0.0","   0.0","   0.0","   2.0","   0.0","   5.0","   0.0","   9.0","   0.0","   0.0","   0.0","   3.0","   6.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","  27.0","   0.0","   0.0","   0.0","   0.0","   1.0","   4.0","   0.0","   9.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","  33.5","   0.0","   0.0"," 103.0","   5.0","   0.0","  68.0","   9.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"6770","7094","6425"," 196","   4","   0","   0","   0","   0","   0","  12","   0","   2","   0","   9","   0","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","  13","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   3","   0","   1","   0","  44","   0","   1","  83","  17","   0","  91","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   1","   0"
"6867.0","7206.0","6536.0"," 202.0","   4.5","   0.0","   0.0","   1.0","   1.0","   0.0","  13.0","   0.0","  16.0","   0.0","   1.0","   0.0","   4.0","  11.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","  28.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  65.5","   0.0","   3.0","  61.0","   8.0","   0.0"," 123.0","   2.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   1.0","   0.0"
"6960","7315","6624"," 208","  13","   0","   0","   0","   1","   0","  10","   0","  19","   0","   9","   0","   3","   3","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   3","   0","   3","   1","   0","   1","   0","   0","   0","  41","   0","   2","  39","  10","   0"," 101","   9","   0","   3","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"7063","7426","6722"," 215","   5","   0","   1","   1","   0","   0","   5","   0","  10","   0","   1","   0","   1","   8","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   7","   2","   0","   0","   0","   0","   0","  66","   0","   0","  38","   7","   0"," 116","   5","   0","   1","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7161","7526","6818"," 222","   6","   0","   0","   0","   0","   0","   5","   0","   5","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   3","   0","   0","   3","   0","   1","  27","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 101","   0","   1","  32","   2","   0"," 107","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"7229","7588","6883"," 227","   2","   0","   0","   1","   1","   0","   5","   0","   8","   0","   0","   0","   2","   6","   0","   0","   4","   2","   0","   0","   0","   0","   2","   0","   3","  13","   0","   0","   0","   0","   2","   2","   0","   3","   3","   0","   0","   0","   0","   0","  62","   0","   2","  62","   6","   1","  91","   4","   0","   0","   6","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0"
"7336","7694","6978"," 235","   7","   0","   0","   0","  13","   0","  18","   0","   6","   0","   6","   0","   5","  12","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   6","  24","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  57","   0","   1","  59","   0","   0","  65","  13","   0","   0","   5","   0","   0","   0","   4","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"7441","7812","7076"," 243","   0","   0","   0","   1","   2","   3","  10","   0","  28","   0","   2","   0","   8","   9","   0","   0","   1","   2","   0","   3","   0","   0","   0","   0","   1","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  40","   0","   2","  56","   3","   0","  76","  14","   0","   0","   1","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"7493.0","7885.0","7123.0"," 247.0","   6.0","   3.0","   0.0","  10.0","   2.0","   1.0","   9.0","   0.0","  25.0","   0.0","   8.0","   0.0","   1.0","   3.0","   4.0","   0.0","   0.0","   7.0","   2.0","   5.0","   1.0","   0.0","   0.0","   1.0","   0.0","  26.0","   1.0","   2.0","   0.0","   0.0","   0.0","   9.0","   0.0","   7.0","   4.0","   0.0","   0.0","   0.0","   2.0","   0.0","  91.5","   0.0","  12.0"," 121.0","  12.0","   4.0"," 139.0","  10.0","   0.0","   5.0","   9.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"7533","7937","7152"," 250","   1","   0","   0","   4","   2","   0","   8","   0","  12","   0","   0","   0","   0","   9","   1","   0","   0","   1","   0","   0","   0","   0","   4","   0","   0","  13","   1","   0","   0","   0","   0","   0","   0","   4","   1","   1","   0","   0","   0","   0","  72","   0","   2","  37","   3","   0"," 100","   5","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7572","7987","7180"," 253","   4","   0","   0","   1","   0","   0","   9","   0","   8","   0","   0","   0","   0","   2","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   1","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  85","   2","   0","  41","   1","   2"," 107","   4","   0","   0","   2","   0","   0","   1","   3","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"7611","8039","7211"," 256","   0","   0","   0","   3","   3","   0","   2","   0","  23","   0","   5","   0","   0","   1","   2","   0","   5","   0","   8","   2","   0","   0","   0","   0","   1","  13","   0","   0","   0","   0","   1","   2","   0","   1","   1","   0","   0","   0","   0","   0","  66","   0","   1","  29","   1","   0"," 108","   6","   0","   0","   5","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   2","   0","   1","   0"
"7664","8111","7250"," 260","   1","   3","   0","   1","   1","   0","   3","   0","  31","   0","   1","   0","   0","   1","   2","   0","   0","   0","   2","   1","   0","   0","   2","   0","   0","  43","   0","   0","   1","   0","   0","   5","   0","   3","   2","   0","   0","   0","   0","   0","  79","   0","   0","  45","   7","   2"," 172","   3","   0","   1","   1","   0","   0","   0","   3","   6","   0","   0","   0","   0","   0","   2","   0","   0","   0"
