"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Hedera","Hypericum undif.","Juglans","Lamiaceae undif.","Malva undif.","Morus","Musci","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>40 Âµm)","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Sarcopoterium","Scrophulariaceae undif.","Typha","Ulmus t.","Unknown","Unknown (monolete) undiff.","Urtica t."
"391",NA,NA,"135","  0","  0","  0","  1","  6","  8","  0"," 11","  0","  0","  6","  0","  0","  2","  0"," 16","  9","  0","  0","240","  0","  0","151","  0"," 11","  0","612","  0","  1","  0","  1","  0","  1","  8","  6","  2","  0","  1","  4","  1","  5","  8"," 47","  0","  0","  0"," 23"," 10","  0","  0","  0","  2","  0","  3","  0","  0","  2","  0","  0","  1","  0"," 20","  0"
"406",NA,NA,"140","  0","  0","  0","  2"," 13","  6","  1"," 10","  0","  0","  1","  0","  0","  0","  0","  3","  9","  0","  0","293","  0","  0"," 89","  0","  5","  0","417","  0","  1","  0","  2","  0","  0","  1","  2","  0","  1","  1","  3","  0","  3"," 15"," 41","  1","  0","  0"," 23","  9","  0","  0","  0","  1","  0","  2","  0","  0","  3","  1","  0","  2","  0"," 37","  0"
"422",NA,NA,"145","  0","  0","  4","  3","  4","  6","  0","  6","  1","  0","  6","  0","  0","  4","  0","  1"," 13","  0","  0","221","  1","  0","157","  2","  6","  0","379","  0","  0","  1","  2","  0","  0","  5","  6","  0","  2","  1","  6","  2","  4"," 15"," 52","  2","  0","  0"," 29","  3","  1","  0","  0","  1","  0","  3","  0","  0","  2","  0","  0","  0","  0"," 31","  0"
"438",NA,NA,"150","  0","  0","  0","  3","  4","  2","  0"," 12","  0","  0","  3","  0","  0","  0","  0"," 10","  9","  0","  0","155","  0","  0","126","  0"," 11","  0","302","  0","  0","  0","  1","  0","  1","  6","  7","  1","  0","  4","  4","  4","  7","  7","148","  0","  0","  0"," 31"," 10","  6","  0","  0","  2","  0","  7","  0","  0","  6","  0","  0","  0","  0"," 57","  0"
"454",NA,NA,"155","  0","  0","  6","  6","  1","  9","  0"," 22","  0","  0","  2","  0","  0","  2","  0"," 10"," 13","  0","  1","223","  0","  0","120","  0"," 18","  0","514","  0","  1","  0","  0","  0","  0","  6","  5","  2","  2","  1","  7","  4","  1"," 16"," 89","  0","  1","  0"," 39"," 12","  0","  0","  0","  1","  0","  0","  0","  0"," 10","  0","  0","  0","  0","105","  0"
"470",NA,NA,"160","  0","  0","  2","  0"," 10"," 12","  0"," 14","  0","  0","  8","  0","  0","  4","  0"," 14"," 19","  0","  0","156","  2","  0","141","  1","  8","  0","359","  0","  0","  0","  0","  0","  0","  4","  4","  0","  0","  0","  3","  0","  5"," 23"," 65","  0","  1","  0"," 45"," 12","  1","  0","  0","  0","  0","  4","  0","  0","  3","  0","  0","  0","  0"," 67","  0"
"486",NA,NA,"165","  0","  0","  3","  0","  2"," 10","  0","  9","  0","  0","  4","  0","  0","  0","  1","  4"," 18","  0","  0","239","  0","  0","101","  0"," 11","  0","532","  0","  0","  0","  0","  0","  0","  8","  5","  0","  3","  0"," 11","  1","  0","  8"," 77","  0","  0","  0"," 37"," 13","  0","  0","  0","  1","  0","  6","  0","  0","  9","  0","  0","  0","  0"," 85","  0"
"518",NA,NA,"175","  0","  0","  2","  0","  2","  5","  2","  9","  0","  0","  2","  0","  0","  0","  0","  7","  0","  0","  1","234","  0","  1","125","  0","  5","  0","413","  0","  1","  0","  2","  0","  0"," 21"," 11","  1","  0","  0","  1","  0","  7"," 10"," 67","  0","  0","  0"," 24"," 12","  1","  0","  0","  0","  0","  5","  0","  0","  6","  0","  0","  0","  0","118","  0"
"534",NA,NA,"180","  0","  0","  1","  0","  9","  2","  0"," 10","  0","  0","  1","  0","  0","  0","  0","  2"," 19","  0","  1","254","  0","  0","105","  0","  9","  0","421","  0","  0","  0","  2","  0","  0","  4","  4","  1","  0","  3","  5","  0","  3","  5"," 60","  0","  0","  0"," 36","  2","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0"," 89","  0"
"550",NA,NA,"185","  0","  0","  1","  3","  3","  0","  2","  7","  0","  0","  8","  0","  0","  2","  0","  5"," 23","  1","  0","241","  0","  0","103","  0","  4","  0","409","  0","  1","  0","  3","  0","  0","  7","  0","  0","  0","  0","  7","  0","  0","  4"," 62","  0","  0","  0"," 27","  6","  0","  0","  0","  0","  0","  2","  0","  0"," 16","  0","  0","  0","  0"," 67","  0"
