"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Berula erecta","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Frangula","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hepaticae","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Lemnaceae","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Menyanthes","Musci","Myriophyllum alterniflorum t.","Myrtus","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Sparganium","Spergularia t.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Ulmus t.","Viburnum","Viola","Vitis"
"2175.87",NA,NA," 90","0.282","0","1","13","1","0","2","3","8","0","1","0","7","0","27","1","0","0","4","9","0","0","0","5","0","4","1","0","182","0","1","13","1","1","1","0","1","22","1","0","0","0","0","1","0","0","0","253","0","0","0","4","4","0","0","0","3","0","1","5","0","3","12","4","8","0","315","8","0","1","0","205","22","32","0","0","0","29","2","0","1","0","0","1","0","0","0","0","0","0","0","0","4"
"2292.25",NA,NA,"100","0.282","0","0","9","0","0","1","1","5","0","0","0","2","0","14","0","0","0","0","0","0","0","0","3","3","7","0","0","99","0","0","11","0","0","1","0","1","4","0","0","0","0","0","0","0","0","0","189","0","0","0","6","3","0","0","0","3","1","0","2","0","2","7","1","7","0","288","6","0","0","0","120","21","12","0","0","0","23","0","0","1","0","0","2","0","0","0","0","0","1","0","0","0"
"2408.64",NA,NA,"110","0.282","0","0","2","3","0","0","4","8","0","0","0","6","0","14","3","0","0","0","0","0","2","2","6","4","4","0","1","174","0","0","21","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","370","0","0","0","22","2","0","0","0","7","0","3","5","0","4","11","0","11","0","524","0","0","0","0","142","7","14","0","0","0","72","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"2479.90",NA,NA,"120","0.282","0","0","2","1","0","0","1","3","1","0","1","10","0","8","1","0","0","0","0","0","0","0","4","2","11","0","0","152","0","0","17","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","168","0","0","0","2","2","0","0","0","0","0","0","4","0","2","12","1","2","0","872","4","0","0","1","124","18","9","0","0","0","34","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"2551.17",NA,NA,"130","0.282","0","0","6","1","0","0","2","3","0","0","0","11","0","4","0","0","0","0","0","0","0","4","1","0","5","0","0","142","0","0","4","0","0","0","0","1","9","0","0","0","0","2","0","0","0","0","220","0","0","0","6","3","0","0","1","3","0","0","3","0","6","18","0","6","0","250","1","0","0","0","157","9","6","0","0","0","29","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"2622.43",NA,NA,"140","0.282","0","0","4","2","0","0","4","0","0","7","0","8","0","11","1","0","0","0","0","0","0","4","0","1","62","0","0","126","0","0","22","0","0","0","0","1","12","0","0","0","0","3","0","0","0","0","469","0","0","0","18","7","0","0","0","1","0","0","7","0","2","13","2","5","0","185","4","0","0","0","181","14","7","0","0","0","22","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"2693.69",NA,NA,"150","0.282","0","0","2","1","0","0","0","2","0","0","0","18","0","3","0","0","0","1","0","0","0","4","2","2","33","2","0","120","0","0","36","1","2","0","0","0","14","0","0","0","0","0","0","0","0","0","421","0","0","0","0","4","0","0","0","2","0","1","11","0","0","9","1","1","0","544","5","0","2","0","212","12","13","0","0","0","27","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1"
"2764.96",NA,NA,"160","0.282","0","0","13","2","0","3","4","7","1","0","0","34","0","9","0","0","0","1","0","0","0","1","2","0","20","0","0","116","0","0","15","0","0","0","0","2","10","1","1","0","0","0","0","0","0","0","218","0","0","0","0","10","0","0","0","1","0","0","4","0","7","12","1","3","1","441","6","0","0","2","197","15","25","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"2830.33",NA,NA,"165","0.282","0","0","14","0","0","1","3","1","1","0","0","23","0","4","0","0","0","1","0","1","0","4","1","0","20","1","0","59","0","0","8","0","0","1","0","1","6","0","1","0","0","0","0","0","0","0","67","0","1","1","0","15","0","0","0","0","2","1","5","0","3","13","0","1","0","314","0","1","1","3","159","10","2","0","2","0","18","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2895.71",NA,NA,"170","0.282","0","0","24","0","0","0","2","1","0","0","0","108","0","3","1","0","0","0","0","0","0","6","2","0","13","1","0","54","0","0","11","0","2","0","0","0","14","1","0","0","0","0","0","0","0","0","226","0","0","0","0","12","0","0","2","1","0","2","10","0","4","18","2","0","1","446","0","0","3","0","217","17","6","0","0","0","16","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0"
"3026.46",NA,NA,"180","0.282","0","0","13","1","0","0","4","5","0","0","0","165","0","7","1","0","0","0","0","0","0","2","5","0","8","0","0","41","0","0","8","0","1","0","0","0","9","2","0","0","0","0","0","0","0","0","76","0","1","0","1","2","0","0","0","2","0","0","9","0","7","28","0","0","0","220","2","0","15","0","177","13","0","0","0","0","11","8","0","2","0","0","7","0","0","0","0","0","0","0","0","0"
"3157.21",NA,NA,"190","0.282","0","0","12","0","0","1","10","3","1","1","0","183","0","19","2","0","0","0","0","0","0","0","5","0","18","0","0","49","0","0","8","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","111","0","1","0","0","4","0","0","0","0","0","1","9","0","0","38","1","2","0","307","3","0","15","0","180","14","10","0","0","0","14","0","0","0","1","0","18","0","0","0","1","0","0","0","0","1"
"3261.81",NA,NA,"198","0.282","0","0","11","1","0","0","2","0","2","1","0","205","0","8","0","0","0","1","0","0","0","1","2","0","7","1","0","56","0","0","15","0","0","0","0","1","9","1","0","0","0","0","0","0","0","0","137","0","0","0","0","1","0","0","0","3","0","1","8","0","5","18","0","2","0","208","0","0","49","0","156","12","3","0","0","0","10","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"3287.96",NA,NA,"200","0.282","0","0","20","1","0","0","3","1","0","0","0","266","0","12","0","0","0","1","0","0","0","1","2","0","9","0","0","59","0","0","6","0","2","0","0","0","10","3","0","0","0","0","0","0","0","0","87","0","0","0","0","1","0","0","0","1","0","1","9","0","0","30","0","3","0","306","1","0","0","0","184","12","2","0","0","0","11","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0"
"3418.71",NA,NA,"210","0.282","0","0","13","2","0","2","8","2","1","2","0","182","0","9","3","2","0","0","0","0","0","1","2","1","11","0","0","38","0","0","6","0","4","0","0","0","13","2","1","0","0","1","0","1","0","0","62","0","0","0","0","4","0","0","0","0","0","0","2","0","2","18","1","2","0","251","2","0","0","0","191","8","4","0","0","0","7","3","0","0","0","0","4","0","0","0","1","0","3","0","0","0"
"3558.35",NA,NA,"220","0.282","0","0","16","1","0","0","4","1","1","1","0","281","0","17","2","0","0","0","0","0","0","1","2","0","5","0","0","56","0","0","5","0","3","0","0","0","9","1","0","0","0","0","0","0","0","0","77","0","2","0","0","2","0","0","0","0","0","1","5","0","0","30","2","2","1","314","0","0","0","0","279","11","5","0","1","0","19","3","0","0","0","0","12","0","0","0","1","0","1","0","0","0"
"3697.99",NA,NA,"230","0.282","0","0","17","0","0","0","9","1","0","1","0","224","0","14","3","1","0","1","0","0","0","8","3","0","1","0","0","59","0","0","16","0","1","0","0","0","12","1","0","0","0","0","0","0","0","0","72","0","0","0","0","2","0","1","0","0","0","0","7","0","3","39","0","1","0","255","0","0","0","0","237","4","5","0","0","0","13","7","0","1","1","0","7","0","0","2","0","0","1","0","0","0"
"3837.63",NA,NA,"240","0.282","0","0","17","0","0","0","1","2","0","1","0","195","0","4","1","0","0","1","0","0","0","5","0","0","2","0","0","33","0","0","3","0","4","0","0","1","9","1","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","1","0","0","8","0","3","24","2","1","0","294","0","0","0","0","255","11","2","0","0","0","11","5","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"3977.27",NA,NA,"250","0.282","0","0","32","1","0","0","9","4","2","0","1","319","0","17","0","0","0","1","0","0","0","8","9","0","5","0","0","98","0","1","12","0","4","1","0","0","12","1","0","0","0","0","0","0","0","0","110","0","0","0","0","2","0","0","0","4","0","0","9","0","7","38","3","1","0","280","0","0","0","0","311","19","3","0","0","0","16","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4110.89",NA,NA,"260","0.282","0","0","9","1","0","0","4","3","0","1","0","266","0","11","2","0","0","0","0","0","0","7","6","0","1","0","0","52","0","0","7","0","4","1","1","0","2","0","0","0","0","0","0","0","0","0","81","0","0","0","0","2","0","0","0","0","0","2","11","0","2","18","1","2","0","310","0","0","0","0","303","15","1","0","0","0","18","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"4244.52",NA,NA,"270","0.282","0","0","11","0","0","1","4","6","0","1","0","184","0","6","1","1","0","0","0","0","0","2","3","0","1","0","0","29","0","0","8","0","1","0","0","1","5","0","0","0","0","0","0","0","0","0","75","0","0","0","0","1","0","0","0","0","0","0","6","0","4","20","0","1","0","231","0","0","0","0","212","21","1","0","0","1","16","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4378.14",NA,NA,"280","0.282","0","0","19","1","0","0","6","2","1","1","0","229","0","12","1","0","0","0","0","0","0","3","1","2","1","0","0","45","0","0","5","0","2","0","0","0","7","1","0","0","0","1","0","0","0","0","95","0","0","0","0","5","0","0","0","1","0","1","4","0","4","26","2","0","0","314","0","0","0","0","227","8","5","0","0","2","20","8","0","0","1","0","3","0","1","0","0","0","1","0","0","0"
"4511.76",NA,NA,"290","0.282","0","0","17","0","0","0","6","4","0","1","0","231","0","11","0","1","0","1","0","0","0","5","4","0","3","0","0","53","0","0","11","0","2","0","1","2","14","1","0","0","0","0","0","0","0","0","64","0","0","0","0","0","0","2","0","0","0","1","4","0","5","22","1","1","0","250","0","0","0","0","245","10","5","0","0","0","17","8","0","0","1","0","6","0","0","0","0","0","0","0","0","0"
"4645.38",NA,NA,"300","0.282","0","0","15","0","1","0","5","1","1","1","0","195","0","2","2","0","0","0","0","0","1","5","4","1","3","1","0","62","0","0","12","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","66","0","0","0","0","0","0","0","0","1","0","0","7","0","5","21","0","6","0","296","0","0","0","1","248","5","1","0","0","4","13","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0"
