"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fagus","Fraxinus","Lamiaceae undif.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Taxus","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis","cf. Hottonia"
"9061","9508","8704"," 331","   0","   0","   0","   1","  26","  18","  33","   5","   1","   0","   2","   0","   1","   0","   0","   9","   0","   0","  42","  23","   0","   0","   0","   0","   0","   1","   0","   2","   0","   1","   0","   0","  20","  56","   4","   0"," 202","   0","   0","   0","   0","  11"," 198","   1","   0","   2","   3","   0","   1","   1","   0","   2","  25","   0","   0","   3","   0","   6","   0","   0","   0","   4"
"9220","9692","8841"," 337","   0","   0","   0","   0","   2","   1","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   6","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   2","   3","   4","   1","   0","  35","   0","   0","   0","   0","  10"," 138","   0","   0","   0","   2","   2","   0","   1","   0","   0","   7","   0","   0","   2","   0","   3","   0","   0","   0","   0"
"9379","9877","8977"," 343","   0","   0","   0","   0","   6","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  20","   8","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   5","   0","   0","  28","   0","   0","   0","   0","   1"," 133","   0","   0","   0","   0","   1","   0","   2","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0"
" 9565","10092"," 9134","  350","    0","    0","    0","    1","    3","    1","   17","    0","    1","    0","    0","    0","    0","    0","    1","    2","    0","    0","   36","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","   14","    0","    0","   51","    0","    0","    0","    0","    3","   98","    1","    0","    0","    0","    0","    0","    1","    0","    0","    6","    0","    0","    2","    0","    1","    0","    0","    0","    0"
" 9724","10277"," 9269","  356","    0","    0","    0","    0","    7","    4","    3","    0","    1","    0","    0","    0","    0","    1","    1","    2","    0","    0","   39","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","   25","    0","    0","   41","    0","    0","    0","    0","   31","   40","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0"
" 9883","10462"," 9403","  362","    0","    1","    0","    0","    4","    1","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   76","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    8","    0","    0","   31","    0","    0","    0","    0","    0","   65","    0","    0","    0","    1","    1","    1","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"10043","10647"," 9536","  368","    0","    0","    0","    0","   10","    0","    5","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","   51","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    6","    0","    0","   38","    0","    0","    0","    0","    5","   83","    1","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    1","    0","    0","    4","    0","    0","    0","    0"
"10255","10895"," 9715","  376","    0","    0","    0","    0","   11","    5","    6","    2","    4","    0","    0","    0","    0","    0","    0","    1","    0","    1","   42","    9","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    2","    4","    0","    0","   57","    0","    0","    0","    0","    2","   64","    2","    1","    0","    5","    1","    1","    1","    0","    0","   18","    0","    1","    0","    1","    0","    0","    0","    0","    0"
"10361","11019"," 9803","  380","    0","    1","    0","    1","   12","    7","    5","    4","    0","    0","    0","    0","    3","    0","    0","    4","    0","    0","    1","    8","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    8","    3","    0","    0","   65","    0","    0","    0","    0","    7","   68","    0","    0","    0","    6","    1","    0","    0","    0","    0","   47","    0","    0","    1","    1","    0","    0","    0","    0","    0"
"10574","11267"," 9981","  388","    0","    0","    0","    1","    4","   10","    4","    2","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","   12","    0","    0","    0","    0","    0","    5","    0","    3","    0","    0","    0","    0","    7","    2","    1","    0","  104","    0","    0","    0","    0","    2","   51","    0","    0","    0","    2","    3","    0","    0","    0","    0","   31","    0","    1","    0","    1","    0","    0","    0","    0","    0"
"10680","11391","10069","  392","    0","    0","    0","    2","    2","    4","    4","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   28","    9","    0","    0","    0","    0","    0","    2","    0","    4","    0","    0","    0","    0","    2","    0","    0","    0","  126","    0","    0","    0","    0","    2","   34","    1","    0","    0","    3","    0","    0","    0","    0","    0","   46","    0","    4","    0","    0","    0","    0","    0","    0","    0"
"10786","11515","10157","  396","    0","    0","    3","    0","   10","    4","    2","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    4","    0","    0","    0","    0","    0","    4","    0","    3","    0","    0","    0","    0","    1","    1","    0","    0","   33","    0","    0","    0","    0","    1","   20","    2","    0","    0","    0","    0","    0","    0","    0","    0","   18","    0","    0","    0","    1","    3","    0","    0","    0","    0"
"10892","11640","10246","  400","    0","    1","    0","    0","   21","    6","   14","    1","    4","    0","    0","    0","    0","    0","    3","    1","    0","    0","    9","    6","    0","    0","    0","    0","    0","    2","    0","    1","    0","    2","    0","    0","   12","    2","    0","    0","   70","    0","    0","    0","    0","   37","   42","    0","    0","    0","    3","    0","    1","    0","    0","    0","   15","    1","    3","    0","    0","    0","    0","    0","    0","    0"
"11051","11827","10379","  406","    0","    0","    8","    0","   32","   11","   16","    0","    5","    0","    0","    0","    0","    0","    2","    6","    0","    1","   63","   10","    0","    1","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","   17","    3","    1","    0","   85","    0","    0","    0","    0","    0","  102","    2","    0","    1","    4","    0","    0","    0","    0","    0","    2","    1","    0","    0","    1","    0","    0","    0","    0","    1"
"11211","12013","10511","  412","    0","    0","    0","    0","   14","   11","   17","    0","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","   36","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    1","    0","    0","   37","    0","    0","    0","    0","    1","   48","    0","    0","    0","    3","    0","    1","    1","    0","    0","    6","    0","    7","    0","    0","    1","    0","    0","    0","    0"
"11370","12200","10643","  418","    0","    0","    4","    0","   44","   27","   18","    1","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","   61","   12","    0","    1","    0","    0","    0","    2","    0","    0","    0","    3","    0","    0","   18","    0","    2","    0","  108","    0","    0","    0","    0","    3","   67","    0","    0","    1","    7","    1","    0","    1","    0","    0","   14","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"11556","12419","10798","  425","    0","    0","    0","    0","   24","   16","    5","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","   17","   13","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","   69","    0","    0","    0","    0","    0","   33","    0","    0","    0","    7","    0","    1","    0","    0","    0","   20","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"11715","12606","10931","  431","    0","    0","    0","    2","   17","   10","   12","    2","    3","    0","    0","    0","    0","    0","    3","    4","    0","    0","    0","    5","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   19","    0","    0","    0","   88","    0","    0","    0","    0","   23","    8","    0","    0","    0","    4","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11874","12794","11063","  437","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12379","13387","11481","  456","    0","    0","    0","    0","   44","    0","    1","    1","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    3","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","   85","    1","    0","    9","    0","    3","    9","    6","    1","    0","    2","    0","    0","    0","    0","    0","  295","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"13042","14169","12032","  481","    0","    1","    0","    0","   67","   35","    7","    1","    4","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   12","    0","    1","    0","   72","    0","    0","    0","    0","    1","    5","    1","    0","    0","    7","    0","    0","    1","    0","    0","   88","    0","    1","    0","    1","    0","    1","    0","    0","    0"
"13971","15265","12802","  516","    1","    0","    0","    0","   25","   22","   14","    1","    2","    0","    0","    0","    0","    0","    2","    3","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   52","    0","    0","    0","   62","    0","    0","    0","    0","    3","   11","    1","    0","    0","    6","    0","    1","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"15086","16582","13726","  558","    0","    1","    0","    0","   16","   14","   14","    1","    9","    0","    0","    0","    0","    0","    2","    3","    0","    0","   21","   12","    0","    0","    0","    0","    0","    1","    1","    2","    0","    0","    0","    0","   22","    0","    0","    0","   39","   18","    0","    2","    0","    0","   11","    0","    0","    0","    5","    1","    5","    1","    0","    0","    8","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"15750","17366","14276","  583","    0","    0","    0","    0","   30","    8","   16","    0","    4","    0","    0","    0","    0","    0","    4","    2","    0","    0","    6","    6","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","   28","    0","    0","    0","   78","    0","    0","    0","    0","    0","    4","    1","    1","    0","   13","    0","    2","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"17077","18935","15376","  633","    0","    1","    0","    0","   34","   14","    2","    1","    1","    2","    0","    0","    2","    0","    2","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","   51","    0","    0","    0","   78","    0","    1","    0","    0","    1","    6","    4","    0","    0","    5","    1","    2","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18351","20443","16433","  681","    0","    0","    0","    0","   25","   18","    7","    1","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    1","    0","   27","    0","    0","    0","    0","    2","    3","    0","    0","    0","    3","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"19068","21290","17026","  708","    0","    1","    0","    0","   17","   18","    6","    0","    4","    0","    0","    0","    0","    0","    1","    1","    0","    0","   20","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    1","    2","    0","   41","    7","    0","    3","    0","    1","    3","    1","    2","    0","    4","    0","    3","    2","    1","    0","    9","    1","    0","    0","    1","    0","    0","    0","    0","    0"
"19944","22326","17752","  741","    0","    0","    0","    1","   39","   14","   13","    0","    3","    0","    0","    0","    0","    0","    3","    1","    0","    0","    4","    4","    0","    1","    0","    0","    0","    3","    3","    0","    0","    0","    0","    0","    9","    0","    0","    1","   64","    1","    0","    0","    0","    1","   13","    2","    0","    1","    4","    0","    1","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"21059","23645","18676","  783","    0","    0","    0","    0","   27","   24","    8","    2","    3","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","   37","    0","    0","    0","   53","    0","    0","    0","    0","    1","    9","    2","    0","    0","    6","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"22386","25215","19776","  833","    1","    0","    0","    0","   36","   16","    4","    3","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","   21","    0","    2","    0","   79","    0","    0","    0","    0","    0","    3","    1","    0","    0","   11","    0","    1","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"25040","28356","21975","  933","    0","    0","    0","    0","   42","   16","    9","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","  110","    0","    0","    0","    0","    5","    1","    0","    0","    0","    4","    0","    0","    0","    0","    0","   15","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"27695","31496","24174"," 1033","    0","    0","    0","    0","   40","   36","   11","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","   27","    0","    1","    0","   86","    1","    0","    0","    0","    1","   19","    0","    0","    0","    5","    0","    1","    0","    0","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"29022","33065","25272"," 1083","    2","    0","    0","    0","   28","   23","    7","    0","    8","    0","    0","    0","    0","    0","    8","    4","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","    0","   48","    0","    0","    0","    3","   10","    0","    2","    2","    0","   10","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0"
