"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Gentiana t.","Geranium","Gossypium","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Liquidambar","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Oxalis","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pterocarya","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Viscum","Vitis"
" 698"," 724"," 671","115","1","0","26","11","0","2","0","6","12","0","4","0","0","0","0","2","0","0","0","0","0","0","1","5","26","0","0","0","0","1","0","1","163","0","0","0","2","10","0","3","0","2","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","11","0","0","0","0","0","0","23","0","95","2","0","0","0","0","0","0","474","0","4","0","1","270","0","0","0","0","0","0","0","58","2","0","0","0","0","1","0","2","1","0","0","206","0","0","0","0","0","1","6","0","0","0","0","0","3"
" 836"," 864"," 807","130","0","1","8","6","0","0","0","2","3","0","2","1","2","1","0","0","0","0","0","0","0","0","1","5","11","0","0","0","0","0","0","0","53","1","0","0","0","1","0","2","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","5","0","28","0","0","0","0","0","0","0","216","0","1","0","0","99","2","0","1","0","0","0","1","29","5","0","0","0","0","6","0","1","0","0","0","41","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 928"," 958"," 896","140","2","0","11","32","0","3","0","1","7","0","2","1","1","0","0","0","0","0","1","0","2","0","12","3","1","0","0","0","0","0","0","0","551","2","0","0","1","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","158","0","1","0","0","54","11","2","0","0","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","90","0","0","0","0","0","0","0","2","0","0","0","0","0"
"1112","1148","1073","160","0","0","2","615","0","0","0","1","3","0","5","0","0","2","0","0","0","0","0","0","0","0","0","25","6","0","0","0","0","0","0","0","4","0","0","0","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","31","0","0","0","0","8","3","2","0","0","0","0","0","9","0","0","0","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","2","0","0","0","0","0"
"1296","1338","1248","180","0","0","1","336","0","1","0","2","2","0","13","1","0","7","0","0","0","0","0","0","1","0","1","13","4","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","57","0","0","1","0","1","1","0","0","0","0","0","0","3","3","0","1","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","1","0","0"
"1489","1538","1432","201","2","0","1","4","0","2","0","1","3","0","7","0","0","0","0","0","0","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"1664","1720","1597","220","0","0","8","38","0","4","0","3","17","0","9","0","2","0","0","0","0","2","0","0","0","0","1","3","160","0","0","0","0","1","0","0","6","0","3","0","0","1","0","0","1","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","107","0","1","0","0","12","0","0","0","0","0","0","0","3","0","0","0","1","0","0","1","0","0","0","0","3","0","0","0","0","1","0","2","0","0","0","0","0","0"
"1894","1961","1816","245","3","0","10","40","0","10","0","1","71","0","13","0","0","0","0","0","0","3","1","0","2","0","82","6","13","0","0","1","0","0","0","1","2","0","0","0","0","0","2","13","0","12","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","382","0","3","0","0","37","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","1","1","0","0","0","0","0","0"
"2033","2105","1947","260","1","0","4","22","0","1","0","0","29","0","5","0","1","0","0","0","0","0","0","0","1","0","0","0","6","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","301","0","0","0","0","12","2","0","0","0","0","0","0","15","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","1","0","10","0","0","0","0","0"
"2217","2297","2120","280","0","0","9","51","0","12","0","1","11","0","28","2","4","1","0","0","0","6","0","0","4","0","2","4","35","0","0","0","0","1","0","0","4","1","0","0","0","0","1","0","0","12","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","87","0","0","0","0","31","4","1","0","0","0","0","0","23","1","0","0","0","0","1","0","0","1","0","0","4","0","0","0","0","0","0","1","2","0","0","0","0","0"
"2447","2538","2333","305","2","0","11","17","0","1","0","1","43","0","6","0","1","0","0","0","0","1","0","0","1","0","1","1","7","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","123","0","1","0","0","7","4","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","116","0","0","0","0","0"
"2585","2682","2461","320","1","0","9","31","0","8","0","3","100","0","8","0","1","1","0","0","0","2","0","0","1","0","5","8","14","0","0","0","0","0","0","0","3","0","1","0","2","1","0","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","200","0","0","0","0","8","2","2","0","0","0","0","0","8","1","0","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0"
"2677","2778","2547","330","1","0","21","860","0","10","0","3","35","0","11","1","0","1","0","0","0","3","0","0","1","0","16","9","34","0","0","1","0","1","0","0","3","2","0","0","1","3","0","1","0","37","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","202","0","0","0","0","11","3","0","0","0","0","0","0","9","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","2","0","1","0"
"2769","2874","2634","340","0","0","26","113","0","23","0","8","338","0","39","0","6","2","0","0","1","7","0","1","12","0","1","20","63","0","0","0","0","0","0","0","8","2","0","0","2","0","0","0","0","54","0","0","0","0","1","5","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","322","0","3","0","0","95","30","7","0","1","0","0","0","17","6","0","0","0","0","0","0","0","3","0","0","12","0","1","0","0","0","0","4","64","0","1","0","0","0"
"2861","2971","2720","350","2","0","14","66","0","14","0","7","126","0","38","1","1","0","0","0","0","3","1","0","2","0","2","10","23","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","19","0","0","0","0","0","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","271","0","0","1","0","31","8","7","0","0","0","0","0","34","5","0","0","0","0","0","0","2","2","0","0","18","0","0","0","1","0","1","5","4","0","0","0","0","5"
"2953","3067","2807","360","0","0","4","151","0","9","0","4","55","0","14","0","0","1","0","0","0","3","0","0","0","0","1","8","16","0","0","0","0","0","0","0","8","0","0","0","0","1","0","1","0","11","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108","0","0","0","0","137","6","2","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","1","1","0","0","0","0","0","0"
"3045","3163","2893","370","0","0","16","124","0","16","0","7","64","0","19","1","1","1","0","0","0","5","0","0","3","0","5","12","18","0","0","1","0","1","0","0","20","1","0","0","1","4","1","4","0","7","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2","145","0","5","1","0","90","7","6","0","0","1","0","0","42","3","1","1","0","0","0","0","3","0","0","0","6","0","0","1","0","1","2","1","16","0","0","0","0","0"
"3137","3259","2980","380","0","0","1","115","0","2","0","2","12","0","1","0","3","2","0","0","0","1","1","0","0","0","2","2","1","0","0","0","0","0","0","0","433","0","0","0","0","3","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","113","2","4","0","0","280","1","2","0","0","0","0","0","94","0","1","0","0","0","0","0","10","0","0","0","5","0","0","1","0","0","0","3","4","0","0","0","0","4"
"3229","3357","3068","390","0","0","5","229","0","3","0","6","1","0","6","0","4","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","218","0","0","0","0","4","1","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","5","0","0","0","0","0","1","110","1","2","0","0","163","3","2","0","0","0","0","0","103","3","1","0","1","3","0","0","9","0","0","0","9","0","0","1","0","0","0","1","0","0","0","0","0","1"
"3321","3453","3155","400","2","0","2","237","0","1","0","3","5","2","4","0","1","3","0","0","0","1","0","0","1","0","2","2","2","1","1","0","0","0","0","0","333","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","15","0","0","0","0","0","1","193","0","10","0","0","239","2","1","0","0","1","0","0","120","0","0","0","3","14","0","0","10","0","0","0","11","0","0","0","0","4","0","1","0","0","0","0","0","2"
"3460","3597","3286","415","1","0","4","243","0","0","0","4","1","0","2","0","1","0","0","0","0","0","0","0","0","0","1","3","2","0","0","0","0","2","0","0","177","3","0","0","1","1","0","0","0","2","0","0","1","3","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","6","1","0","0","0","0","0","196","1","4","0","1","160","1","0","0","0","0","0","0","86","0","0","0","0","1","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3598","3742","3418","430","0","0","3","127","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","3","1","12","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","169","0","0","0","0","17","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","10","0","0","0","0","0"
"3690","3838","3507","440","2","0","6","3","0","4","0","1","20","0","7","0","0","1","0","0","0","4","0","0","4","0","5","1","27","0","0","0","0","0","0","0","6","3","1","0","1","1","0","0","0","14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","598","0","0","0","2","21","1","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","40","1","0","0","0","0"
"3874","4031","3680","460","0","0","4","419","0","5","0","0","5","0","5","0","0","0","0","0","0","1","1","2","1","0","7","4","21","0","0","0","0","1","0","0","10","0","0","0","0","1","0","2","0","30","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","183","0","0","0","7","15","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","1","0","3","0","0","0","0","0","0","2","0","1","0","0","0","0"
"3966","4128","3767","470","0","0","1","285","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","5","1","26","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","10","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","1","0","12","32","2","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0"
"4058","4224","3854","480","0","0","4","285","0","8","0","0","3","0","12","1","0","0","0","0","0","2","0","0","0","0","6","2","33","0","0","0","0","0","0","0","7","0","0","0","0","3","0","1","0","15","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","0","1","0","3","31","2","0","0","0","1","0","0","4","0","0","0","1","0","0","0","0","0","3","0","2","0","0","0","0","0","0","1","4","0","0","0","0","0"
"4334","4514","4114","510","0","0","2","25","0","8","0","0","4","0","11","1","1","3","1","0","0","1","0","1","8","0","20","3","27","0","0","0","0","1","0","0","14","1","1","0","0","0","1","0","0","19","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","30","4","0","0","0","0","0","0","34","1","0","0","0","0","0","0","0","0","0","0","6","0","1","0","0","1","0","0","0","0","0","0","0","0"
"4426","4611","4201","520","0","0","4","2300","0","2","0","0","1","0","11","0","0","0","0","0","0","4","0","1","1","0","1","1","35","2","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","35","0","0","0","0","4","2","0","0","0","0","0","0","14","0","0","0","0","0","0","1","0","0","2","0","2","0","0","0","0","0","1","0","10","0","0","0","0","1"
"4610","4804","4375","540","1","0","17","90","0","1","0","1","13","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","3","6","1","0","0","0","0","1","0","18","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","210","0","0","0","1","14","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","14","0","0","0","0","1"
"4748","4948","4504","555","12","0","3","55","0","3","1","2","3","2","11","0","0","0","0","0","0","0","0","0","1","0","20","16","33","3","0","0","0","0","0","0","21","0","1","0","1","0","0","2","0","101","1","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","55","0","0","0","1","30","5","1","0","0","0","1","0","18","0","0","0","0","0","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"4886","5093","4634","570","0","0","96","5","0","0","0","5","4","0","8","0","0","0","0","0","0","1","0","0","1","0","2","9","17","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","166","0","0","0","0","9","0","0","0","0","0","1","0","24","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","10","0","0","0","0","0"
"4979","5189","4720","580","1","0","3","830","0","4","0","1","8","0","11","0","0","10","0","0","0","2","0","0","2","0","3","6","24","0","0","1","0","0","0","0","26","4","0","0","0","0","0","0","0","15","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","340","0","0","0","0","25","8","1","0","0","0","0","0","100","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","1","0","0","1","0","0","0"
"5071","5286","4807","590","0","0","3","6","0","1","0","1","1","0","2","0","1","0","0","0","0","0","0","0","0","0","8","5","6","1","0","0","0","0","1","0","9","0","0","0","0","0","0","1","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","1","0","201","0","1","0","0","17","6","0","0","0","0","0","0","16","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5163","5383","4894","600","1","0","1","20","0","2","0","2","13","0","16","0","0","2","0","1","0","2","0","0","7","0","51","9","11","0","0","0","0","2","0","8","11","0","2","0","0","0","0","1","0","4","0","0","0","1","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","284","0","2","0","0","45","21","0","0","1","0","0","0","61","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5255","5479","4980","610","0","0","8","6","0","0","0","2","15","1","5","0","0","0","0","0","0","5","0","0","2","0","3","4","22","0","0","0","0","0","0","0","9","0","0","0","0","1","1","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","200","0","0","0","0","15","1","3","0","0","0","0","0","18","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","58","1","5","0","0","0"
"5347","5575","5066","620","1","0","3","158","0","4","0","2","71","0","8","0","0","1","0","0","0","3","1","0","1","0","1","2","12","0","0","0","0","0","0","0","11","1","0","0","0","0","0","6","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0","0","140","1","1","0","0","47","2","1","0","0","0","0","0","86","2","0","0","2","0","2","1","1","4","0","1","5","0","0","0","0","0","0","2","50","2","0","0","0","2"
"5439","5672","5153","630","0","0","2","43","0","4","0","5","21","0","26","0","1","2","0","1","0","3","1","0","2","0","14","6","19","0","0","0","0","1","5","1","8","1","0","0","0","0","1","10","0","2","0","0","1","0","0","4","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","3","2","1","0","0","0","0","0","135","1","2","0","0","33","10","3","0","0","0","0","0","114","2","0","0","2","0","1","1","0","1","0","2","5","1","0","1","0","0","0","1","76","0","0","0","0","2"
