"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juncaginaceae","Lamiaceae undif.","Lemnaceae","Ligustrum","Lotus t.","Lythrum","Malva undif.","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Pediastrum longicorne","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Valeriana t.","Viburnum","Vitis"
"7417","7618","7199"," 620","   9","   0","   1","   0","   9","   6","   0","   0","   4","   6","   0","   1","   1","  40","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   2","  28","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  66","   3","   0","   0","   0"," 373","   1","   0","   0","   0","   0","   0","   0","  87","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   6","   0","   6","   4","  16","   0","   0","   6"
"7453","7644","7249"," 640","  14","   0","   1","   0","  11","  27","   0","   0","   4","   8","   0","   0","   1","  43","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   2","   0","   0","   0","   0","  25","  10","   7","   0","   0","   1","   0","   0","   1","   1","   2","   0","   0","  16","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"," 108","   2","   6","   0","   0","1350","   1","   0","   0","   0","   0","   0","   0"," 221","   1","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  14","  18","   0","   0","   4"
"7473","7658","7275"," 651","  32","   0","   0","   0","  27"," 273","   0","   0","   2","  25","   0","  22","   2","  39","   0","   0","   0","   0","   0","   1","   0","   5","   1","   0","   0","   0","   1","   0","   0","   0","   0"," 114","   5","  18","   0","   0","   2","   0","   0","   3","   0","  47","   0","   0","  32","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0"," 223","   2","   5","   0","  15","2000","   2","   1","   0","   0","   0","   0","   0"," 276","   0","   1","   0","   2","   5","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","  11","   0","   1","  38","  30","   0","   0","  14"
"7489","7670","7297"," 660","  11","   1","   0","   0","  33"," 331","   0","   1","   2","  22","   0","  20","   3","  12","   0","   3","   0","   0","   0","   0","   0","   3","   2","   0","   0","   1","   0","   0","   0","   0","   0","  77","   3","  69","   0","   0","   1","   1","   0","   2","   4","  17","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  99","   3","   2","   0","   4","1900","   2","   4","   0","   1","   0","   0","   0"," 165","   1","   1","   0","   0","   4","   3","   0","   1","   0","   0","  16","   0","   0","   0","   0","   7","   0","   4","  13","  26","   0","   0","   7"
"7525","7695","7344"," 680","  27","   0","  11","   1","   1","   9","   0","   0","   0","   4","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   8","   0","   0","   0","   0","   5","   0","   2","   0","   1","   0","   0","   0","   0","   2","  86","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 141","   0","   0","   0","   0","   2","   0","   3","   0","   0","   0","   1","   1","   9","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   8","   0","   0","   1","  20","   0","   0","   1"
"7587","7737","7423"," 715","  41","   0","   6","   0","   2","   3","   0","   1","   7","  19","   1","   1","   2","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","   0","  10","   2","   1","   0","   0","   0","   0","   0","   0","  10","  51","   0","   0","   3","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1"," 249","   0","   0","   0","   0","  12","   0","  14","   0","   0","   0","   1","   0","  24","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   1","  26","   0","   0","   3"
"7637","7773","7485"," 743","  29","   2","  30","   0","   4","   7","   0","   0","   4","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   1","   4","   0","   0","   0","   0","  22","   0","   6","   0","   0","   0","   0","   1","   0","  26","  28","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 173","   0","   0","   0","   0","  18","   0","   3","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   1","  18","   0","   0","   0"
"7668","7795","7521"," 760","   5","   0","   4","   0","  16","  12","   0","   3","   8","  34","   0","  11","   1","   1","   0","   0","   0","   0","   0","   1","   0","   1","   2","   0","   0","   1","   6","   0","   2","   0","   0","  35","   5","  21","   0","   0","   0","   1","   0","   0","  36","  47","   0","   0","   2","   2","   2","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 215","   5","   3","   0","   0","  59","   0","  26","   0","   1","   0","   0","   0"," 205","   0","   0","   0","   3","  15","  16","   0","   2","   2","   0","  58","   0","   0","   0","   1","   4","   0","   0","   9","  74","   0","   0","  28"
"7703","7824","7565"," 780","  20","   0","  76","   1","  11","   9","   0","   2","   8","  88","   0","   6","   1","  18","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","  13","   0","   0","   0","   0","  47","   1","   7","   0","   2","   0","   0","   0","   1"," 112","  92","   0","   0","   3","   3","   0","   0","   2","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1"," 164","   1","   5","   0","   0","  58","   6","  46","   0","   1","   0","   0","   0","  69","   0","   1","   0","   3","  29","   3","   0","   2","   3","   0","  14","   0","   0","   0","   0","  14","   4","   0","   4","  82","   0","   0","  12"
"7748","7866","7621"," 805","   5","   0","   9","   0","  23","  14","   0","   1","   3","  32","   0","   2","   1","  41","   2","   3","   0","   1","   0","   0","   0","   4","   3","   0","   0","   3","  13","   0","   0","   0","   0"," 121","   6","   9","   1","   0","   1","   0","   1","   1","  33","  47","   1","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0"," 127","   2","   2","   0","   0","  58","   1","  34","   1","   0","   0","   0","   0","  73","   4","   0","   0","   2","   4","  22","   0","   0","   0","   0","  11","   0","   0","   0","   0","   8","   0","   2","  10","  46","   0","   0","   3"
"7775","7892","7654"," 820","  10","   0","   3","   0","  34","   7","   0","   0","   2","  22","   0","   4","   2","  39","   0","   0","   0","   0","   0","   0","   0","   2","   6","   0","   0","   5","   6","   2","   0","   1","   1"," 100","   2","  13","   0","   0","   0","   0","   0","   1","  17","  50","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 121","   2","   0","   0","   0","  24","   4","  16","   0","   0","   0","   0","   0","  55","   0","   0","   0","   1","   5","   6","   0","   1","   1","   0","   3","   0","   0","   0","   0","   4","   0","   0","  18","  32","   0","   0","   2"
"7811","7926","7695"," 840","  13","   0","   9","   0"," 108","   8","   0","   0","   4","  23","   0","   2","   0","   4","   0","   3","   0","   0","   0","   0","   1","   2","   0","   0","   0","   1","   2","   0","   1","   0","   0"," 253","   1","   9","   0","   0","   0","   0","   0","   0","  25","  34","   0","   0","   8","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 146","   0","   1","   0","   0","  35","   6","  14","   0","   1","   0","   2","   0","  50","   0","   0","   0","   0","   4","   3","   0","   2","   0","   0","   7","   0","   0","   0","   0","   2","   0","   0","  29","  30","   0","   0","   1"
"7847","7961","7733"," 860","   2","   0","   9","   0","  36","  16","   0","   0","   1","  26","   0","   1","   1","  13","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  48","   2","  15","   0","   1","   0","   1","   0","   1","  13","  28","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  43","   1","   1","   0","   0","  43","   0","   5","   0","   0","   0","   0","   0","  85","   1","   0","   0","   0","   1","   2","   0","   0","   0","   0","  13","   0","   0","   0","   0","   1","   0","   0","   9","   8","   0","   0","   6"
"7882","7996","7768"," 880","   9","   1","   3","   0","  41","  28","   0","   0","   6","  32","   0","   2","   0","   8","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   7","   0","   0","   0","   0","  63","   3","  18","   0","   0","   0","   0","   0","   0","  17","  33","   0","   0","   9","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 123","   2","   1","   0","   0","  58","   3","  15","   0","   0","   0","   0","   0","  91","   0","   0","   0","   0","   7","   6","   0","   1","   0","   0","   9","   0","   0","   0","   0","   8","   0","   1","   5","  38","   0","   0","   9"
"7927","8044","7813"," 905","   0","   0","   0","   0","  69","  17","   0","   0","   4","   8","   0","   5","   1","   7","   2","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","  58","   0","  11","   0","   1","   0","   0","   0","   1","  12","  11","   0","   0","   4","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   9","   0","   1","   0","   0","  54","   0","   4","   0","   0","   0","   0","   0","  46","   0","   0","   0","   0","   4","   2","   0","   1","   0","   0","  12","   0","   0","   0","   0","   3","   0","   2","  12","  24","   0","   0","  19"
"7954","8075","7838"," 920","   3","   0","   5","   0","  37","  10","   0","   0","   1","  26","   0","   1","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","  59","   3","  14","   0","   0","   0","   0","   0","   0","  14","  19","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  66","   4","   0","   1","   0","  57","   0","   9","   0","   0","   0","   0","   0","  76","   1","   0","   0","   0","   0","   5","   0","   1","   0","   0","   4","   0","   0","   0","   0","   2","   0","   2","  11","  36","   0","   0","  17"
"7990","8115","7867"," 940","   7","   2","   0","   0","  49","  68","   0","   0","   5","  26","   0","   2","   2","  31","   1","   1","   1","   0","   0","   0","   1","   3","   0","   0","   0","   1","   3","   0","   0","   0","   0"," 116","   4","  30","   0","   0","   0","   0","   1","   1","  15","  35","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0"," 145","   4","   1","   0","   0"," 106","   1","   5","   0","   0","   0","   0","   0"," 226","   2","   1","   0","   2","   5","   6","   0","   2","   0","   0","  24","   0","   0","   0","   0","  10","   0","   0","  15","  30","   0","   0","  16"
"8026","8160","7897"," 960","  17","   0","   0","   0","  22","  49","   0","   2","   6","  10","   0","   1","   0","  18","   0","   2","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   1","   0","   0","  56","   2","  14","   0","   1","   0","   0","   0","   2","   7","  17","   0","   0","   5","   3","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 193","   2","   2","   0","   0","  66","   0","   7","   1","   0","   0","   0","   0"," 181","   1","   0","   0","   0","   2","   2","   0","   1","   1","   0","   6","   0","   0","   1","   0","   9","   0","   2","   9","   0","   0","   0","   5"
"8070","8259","7932"," 985","   5","   1","   0","   0","  13"," 243","   0","   2","   2","  35","   0","   2","   1","   5","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   5","   0","   0","   0","   0","  53","   3","  14","   0","   0","   0","   0","   0","   0","   4","  11","   0","   0","  11","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","  32","   3","   3","   1","   0"," 960","   3","  29","   0","   0","   0","   0","   0","  89","   0","   0","   0","   1","   6","   4","   0","   0","   0","   0","  17","   0","   0","   0","   0","   6","   1","  23","   5","   4","   0","   0","   5"
"8105","8306","7957","1005","   8","   2","   0","   0","  12","  17","   0","   0","   2","   6","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","  12","   0","   0","   0","   0","  21","   1"," 258","   1","   0","   0","   0","   0","   0","  50","  28","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  72","   1","   0","   0","   0","  48","   4","  46","   0","   0","   0","   0","   0","  95","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   6","   0","   0","   1","   0","  12","   0","   1","   5","  40","   0","   0","   1"
"8132","8339","7976","1020","   7","   1","   4","   0","  14","  16","   0","   0","   5","  24","   1","   2","   1","   4","   0","   3","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  20","   1","   0","   1","   0","  25","   2","  45","   0","   1","   0","   0","   0","   0","  62","  43","   0","   0","   5","   0","   0","   0","   2","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 116","   3","   0","   0","   0","  90","   8","  62","   1","   1","   0","   0","   0"," 155","   0","   1","   0","   0","   1","   5","   0","   3","   0","   0","   9","   0","   0","   1","   0","  10","   1","   1","   8","  26","   0","   0","  14"
"8177","8400","8006","1045","   5","   1","   3","   0","  34","  17","   0","   0","   2","  36","   0","   4","   1","   7","   0","   3","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","  14","   0","   0","   1","   0","  44","   6","  37","   0","   1","   0","   0","   0","   1","  54","  45","   0","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  61","   5","   0","   0","   0","  99","   5","  52","   1","   0","   0","   0","   0","  93","   0","   0","   0","   3","   4","   9","   0","   1","   0","   0","   3","   0","   0","   0","   0","  17","   0","   0","   4","  72","   0","   1","  11"
"8204","8437","8023","1060","  17","   0","   1","   0","  24","  11","   0","   0","   4","  14","   0","   5","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  18","   0","   0","   0","   0","  29","   1","  13","   0","   0","   0","   0","   0","   0","  27","  18","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  91","   3","   1","   0","   0","  72","   0","  42","   0","   0","   0","   0","   0","  81","   0","   1","   0","   0","   4","   9","   1","   0","   0","   0","   4","   0","   0","   0","   0","  14","   2","   0","   6","  30","   0","   0","  14"
"8239","8485","8045","1080","  13","   3","   6","   0","  30","  29","   0","   1","   1","  38","   1","   6","   1","   5","   0","   1","   0","   0","   0","   0","   1","   0","   4","   0","   0","   1","  16","   0","   0","   0","   0","  43","   3","  33","   0","   0","   0","   0","   0","   0","  42","  31","   0","   1","   6","   2","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  90","   5","   0","   0","   0"," 159","   4","  54","   0","   0","   1","   0","   0"," 146","   0","   0","   0","   0","   4","  27","   0","   1","   2","   0","   6","   0","   0","   0","   0","  12","   0","   1","   3","  24","   0","   0","   7"
"8311","8577","8090","1120","  14","   0","   1","   0","  32","  15","   0","   0","   1","   8","   0","   5","   2","   7","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0","   1","   7","   0","   0","   0","   0","  22","   1","  27","   0","   0","   0","   0","   0","   2","  32"," 119","   0","   0","   4","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  69","   2","   0","   0","   0","  85","   1","  17","   0","   0","   0","   0","   0","  54","   0","   0","   0","   1","   2","   2","   0","   2","   4","   0","   7","   0","   1","   1","   0","   7","   0","   3","   7","  12","   0","   0","   4"
"8347","8621","8112","1140","  34","   2","   1","   0","  72","  54","   0","   0","   0","   5","   0","   1","   1","   4","   0","   1","   0","   0","   0","   0","   2","   0","   1","   0","   0","   2","   6","   0","   0","   0","   0"," 136","   2","  53","   0","   1","   0","   0","   0","   0","  14","  45","   0","   0","   7","   0","   0","   0","   1","   0","   0","  11","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  70","   3","   1","   0","   0"," 103","   1","  20","   1","   0","   1","   0","   0","  75","   0","   0","   0","   0","   1","  15","   2","   1","   0","   1","   7","   0","   0","   0","   0","   9","   0","   0","   8","  22","   0","   0","   2"
