"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","Heliotropium","Hymenophyllum","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lobelia","Loranthus","Lotus t.","Lysimachia","Malva","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Nymphaea","Nymphoides","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex subg. Emex","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis","Zea"
NA,NA,NA,"480","  1","  0","  0"," 26","  3","  0","  1","  0","  3","  0","  8","  0","  0","  0"," 20","  1","  0","  1","  2","  0","  4","  0","  2","  2","  1","  2","  0","  0","  0","  3"," 10"," 17","  0","  0","  0"," 28","  0","  0","  0"," 10","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  3","  0","  4","  1"," 21","  4"," 61","  2","  3","  0","  1"," 75","127","  1","  0","  0","  1","  2","  8","  0","  4","  0","  1","  6","  0","  0","  0","  1","  1","  0","  0","  0"," 46","  0","  1","  3","  0"
NA,NA,NA,"180","  0","  0","  0","  9","  5","  0","  0","  1","  1","  0"," 12","  1","  4","  0"," 46","  5","  0","  0","  4","  0","  7","  4","  0","  5","  0","  1","  0","  1","  0","  4"," 16","  8","  0","  0","  1"," 23","  0","  1","  0"," 20"," 17","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  2","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0"," 13","  0","  0","  0","  0","  0","  1"," 25","  2"," 18","  9"," 69"," 11","  4","  0","  0"," 61","117","  2","  0","  0","  0","  8","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  2"," 24","  1","  0","  0","  0"
NA,NA,NA,"200","  1","  0","  0"," 24"," 10","  3","  0","  0","  2","  0"," 22","  0","  0","  2"," 58","  2","  1","  0","  9","  1","  9","  2","  0","  0","  2","  0","  0","  0","  0","  6","  5"," 33","  0","  0","  0"," 37","  0","  0","  0"," 42"," 23","  0","  0","  4","  2","  0","  0","  0","  0","  0","  0","  2","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  1","  2"," 90","  0"," 17"," 19"," 99"," 16","  6","  0","  0"," 51","228","  2","  0","  2","  0","  5","  0","  0","  1","  1","  0"," 10","  0","  0","  0","  1","  1","  0","  0","  3"," 20","  0","  0","  2","  0"
NA,NA,NA,"340","  3","  0","  0"," 15"," 11","  1","  0","  1","  0","  0","  7","  0","  2","  0"," 56","  1","  0","  0","  2","  0","  4","  4","  1","  2","  4","  1","  0","  0","  0","  4","  1"," 24","  0","  0","  0"," 42","  1","  0","  0"," 70"," 22","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  2","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  1","  1","  1"," 59","  0"," 12"," 15","158"," 17","  2","  0","  0"," 62","239","  1","  0","  1","  0","  7","  2","  0","  1","  0","  0","  4","  0","  0","  0","  0","  1","  0","  2","  3"," 14","  0","  0","  1","  0"
NA,NA,NA,"160","  0","  0","  0"," 11"," 18","  1","  0","  1","  4","  0"," 14","  0","  1","  0"," 53","  0","  0","  0","  8","  0","  3","  1","  1","  1","  4","  0","  0","  0","  0"," 13"," 32"," 23","  1","  0","  1"," 35","  0","  3","  0"," 41"," 11","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  3","  3","  3","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  6","  0","  0","  0","  0","  2","  0"," 31","  3"," 41"," 19","108"," 19","  4","  0","  1","101","166","  2","  2","  0","  0","  8","  2","  0","  0","  0","  1"," 11","  0","  0","  0","  0","  0","  0","  0","  2"," 30","  0","  1","  2","  0"
NA,NA,NA,"120","  2","  0","  0","  5"," 20","  2","  0","  3","  1","  0","  8","  0","  1","  0"," 23","  2","  0","  0","  5","  0","  1","  1","  0","  2","  4","  1","  0","  1","  0","  4"," 25"," 19","  0","  0","  0"," 15","  0","  2","  0"," 19"," 12","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  2","  3","  2","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0"," 11","  0","  0","  0","  0","  0","  0"," 27","  2"," 22"," 12","103"," 10","  8","  0","  0"," 46"," 73","  2","  0","  1","  0","  6","  3","  0","  1","  0","  0","  6","  0","  1","  0","  0","  1","  0","  0","  3"," 14","  0","  0","  0","  1"
NA,NA,NA,"580","  0","  0","  0"," 39","  4","  1","  0","  1","  2","  0"," 10","  0","  1","  4"," 47","  1","  0","  0","  1","  0","  5","  0","  0","  2","  2","  1","  0","  0","  0"," 10"," 16","  7","  0","  0","  0"," 16","  0","  0","  0"," 22"," 26","  0","  0","  7","  1","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  6","  0","  0","  0","  0","  1","  1","  9","  1"," 12","  3"," 57","  9"," 10","  0","  0"," 74","220","  0","  2","  0","  0"," 11","  1","  0","  4","  3","  0"," 17","  0","  0","  0","  0","  1","  0","  0","  6","  4","  0","  1","  5","  0"
NA,NA,NA,"220","  0","  0","  0"," 34","  2","  0","  0","  1","  0","  0"," 26","  0","  1","  1"," 68","  0","  0","  0","  3","  0"," 14","  4","  0","  2","  3","  2","  1","  0","  0"," 12","  1"," 25","  0","  0","  0"," 19","  0","  0","  0"," 38","  9","  0","  1","  2","  1","  0","  0","  1","  0","  0","  0","  3","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  2","119","  1"," 18"," 19","125"," 10","  2","  1","  0"," 39","379","  2","  1","  0","  0","  7","  1","  0","  6","  1","  0","  7","  0","  0","  0","  1","  0","  0","  2","  2"," 28","  0","  0","  2","  0"
NA,NA,NA,"420","  3","  0","  0"," 70","  7","  0","  0","  0","  1","  0"," 18","  0","  0","  2","223","  1","  0","  0","  1","  1"," 26","  1","  1","  1","  2","  2","  0","  0","  0"," 15","  4"," 13","  0","  0","  2"," 45","  0","  0","  0"," 73","  9","  0","  1","  8","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  1","  4","164","  1"," 12","  6","142","  1","  2","  0","  0"," 81","809","  1","  0","  1","  0","  7","  2","  0","  1","  0","  0"," 16","  0","  0","  0","  0","  3","  1","  4"," 28","  4","  0","  0","  9","  0"
NA,NA,NA,"320","  0","  0","  0"," 11"," 12","  1","  0","  2","  2","  0"," 15","  0","  5","  0"," 63","  2","  0","  0","  4","  2","  4","  4","  1","  5","  6","  2","  0","  1","  0"," 18"," 12"," 20","  0","  0","  0"," 41","  0","  0","  0"," 34"," 10","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  4","  5","  5","  0","  0","  1","  0","  0","  0","  0","  0","  8","  0","  0","  8","  0","  0","  0","  2","  1","  0"," 72","  2"," 36"," 10","131"," 30","  5","  0","  0"," 92","196","  0","  0","  0","  0","  7","  0","  0","  2","  1","  0","  6","  0","  0","  0","  0","  0","  0","  0","  6"," 22","  0","  0","  3","  0"
NA,NA,NA,"258","  1","  0","  0","  6","  4","  1","  0","  3","  2","  0"," 23","  0","  1","  1"," 49","  3","  0","  0","  1","  0","  2","  3","  1","  2","  5","  1","  0","  1","  1","  5","  7"," 23","  0","  0","  0"," 18","  1","  1","  0"," 20"," 24","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  2","  7","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  8","  0","  0","  0","  0","  2","  1"," 48","  1"," 26"," 10"," 89"," 11","  8","  0","  0"," 44","114","  5","  0","  3","  0","  5","  0","  0","  1","  2","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  3","  0"
NA,NA,NA,"300","  0","  0","  0"," 11","  8","  0","  0","  2","  1","  1"," 23","  0","  0","  2"," 40","  5","  1","  0","  4","  1","  2","  2","  1","  2","  5","  2","  0","  0","  0","  6","  6"," 21","  0","  0","  0"," 29","  0","  0","  0"," 32","  3","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  2","  0","  0","  7","  1","  1","  0","  1","  2","  2"," 21","  4"," 25"," 12","127"," 12","  2","  0","  0"," 78","119","  0","  0","  1","  0","  6","  2","  0","  3","  0","  0","  8","  1","  0","  0","  1","  0","  0","  0","  5","  6","  1","  0","  1","  0"
NA,NA,NA,"100","  1","  0","  1","  5"," 10","  3","  0","  4","  3","  0"," 13","  0","  3","  0"," 30","  1","  0","  0"," 12","  2","  1","  3","  1","  5"," 17","  2","  0","  0","  0","  5"," 46"," 36","  0","  1","  0"," 35","  1","  2","  0"," 26"," 18","  4","  0","  3","  1","  0","  0","  0","  2","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0"," 13","  0","  0","  0","  0","  4","  1"," 49","  3"," 23"," 27","168"," 20"," 18","  0","  0"," 93"," 40","  2","  2","  0","  0"," 16","  3","  1","  3","  0","  0"," 10","  0","  0","  0","  0","  0","  1","  0","  4"," 32","  2","  0","  1","  0"
