"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Geraniaceae undif.","Hypericum undif.","Lamiaceae undif.","Linum t.","Lythrum","Musci","Myriophyllum undif.","Myrtus","Olea t.","Petaloid monocot","Pinus mediterranea","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygala","Quercus deciduous","Quercus subgen. Cerris","Salix","Sambucus","Thymelaeaceae undif.","Typha","Unknown","Viburnum"
"701",NA,NA," 50","  0","  0","  0","  3","  0","  0"," 15","  0","  0","  3","  0","  0","  0"," 64","  0","  0","  0","  4","  2","  0","  0","  2","  6","  0","  6","  0","  0","  6"," 50","  1","  0"," 63"," 30","  0","  0","  0","  4"," 30","  0"
"761",NA,NA," 55","  0","  0","  0","  2","  2","  0","  8","  0","  0","  0","  0","  2","  0"," 50","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  2","  0"," 45","  0","  0"," 70"," 35","  0","  0","  2","  2"," 29","  0"
"821",NA,NA," 60","  0","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  0"," 49","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  8","  0","  0","  0"," 35","  0","  0"," 69"," 35","  0","  0","  3","  0"," 30","  0"
"881",NA,NA," 65","  0","  0","  0","  5","  0","  0","  4","  0","  1","  2","  0","  0","  0"," 70","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  4","  0","  0","  1"," 20","  0","  0"," 75"," 28","  0","  0","  0","  0"," 27","  0"
"1124",NA,NA,"  70","   0","   0","   0","   4","   0","   0","   6","   0","   1","   0","   0","   0","   0","  69","   0","   0","   1","   3","   0","   0","   0","   0","   1","   1","   5","   0","   2","   0","  25","   0","   0","  96","  40","   0","   0","   4","   1","  30","   0"
"1367",NA,NA,"  75","   0","   0","   0","   6","   1","   0","   7","   0","   0","   2","   0","   1","   0","  43","   0","   1","   0","   0","   0","   2","   0","   2","   1","   0","   8","   0","   0","   0","  30","   0","   0","  75","  30","   0","   0","   4","   1","  40","   0"
"1610",NA,NA,"  80","   0","   0","   6","   4","   0","   0","   8","   0","   0","   4","   1","   2","   0","  45","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   7","   0","   2","   1","  50","   0","   0","  50","  40","   0","   0","   0","   4","  55","   0"
"1854",NA,NA,"  85","   0","   0","   7","  14","   0","   0","  10","   0","   0","   5","   2","   0","   4","  25","   3","   5","   0","  12","   0","   0","   0","   5","   0","   0","   0","   0","   0","   2"," 126","   0","   0","  60","  40","   0","   0","   3","   0","  22","   0"
"2097",NA,NA,"  90","   0","   1","   2","  12","   0","   0","  18","   0","   1","   4","   3","   0","   5","  19","   4","   2","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1"," 115","   0","   0","  43","  23","   0","   0","   4","   0","   9","   0"
"2340",NA,NA,"  95","   0","   1","   2","  25","   1","   0","  10","   0","   2","  12","   2","   0","   7","  20","   2","   0","   0","   4","   0","   1","   2","   0","   0","   4","   0","   0","   0","   3"," 103","   0","   0","  66","  35","   3","   0","   0","   0","  25","   0"
"2583",NA,NA," 100","   0","   1","   8","  33","   0","   0","  15","   0","   5","  10","   3","   1","  14","  25","   1","   2","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   2","  82","   0","   0","  40","  43","   2","   0","   2","   0","  22","   1"
"2728",NA,NA," 105","   1","   1","   2","  18","   0","   0","  18","   0","   4","  14","   0","   2","   8","  19","   2","   3","   0","   5","   0","   2","   0","   0","   0","   2","   0","   0","   0","   2","  62","   0","   0","  31","  20","   0","   0","   2","   0","  20","   0"
"2873",NA,NA," 110","   0","   2","   0","  15","   1","   2","  23","   0","   3","  13","   3","   0","  13","  30","   1","   1","   0","  12","   1","   0","   1","   0","   0","   3","   0","   2","   2","   0"," 105","   0","   0","  30","  33","   5","   0","   0","   0","  16","   1"
"3018",NA,NA," 115","   0","   3","   3","  24","   0","   0","  10","   0","   4","   1","   1","   0","   5","  15","   5","   2","   0","  10","   0","   0","   0","   0","   0","   1","   4","   1","   3","   0"," 155","   0","   0","  40","  45","   3","   0","   0","   1","  23","   0"
"3164",NA,NA," 120","   0","   0","   2","  20","   0","   0","  20","   0","   0","   5","   0","   0","   4","  10","   1","   1","   0","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 115","   0","   0","  30","  22","   3","   0","   0","   0","  13","   0"
"3309",NA,NA," 125","   0","   0","   2","  11","   0","   0","  15","   0","   8","   6","   0","   1","   3","  21","   2","   0","   0","   2","   0","   0","   1","   2","   0","   4","   0","   0","   1","   0"," 120","   0","   0","  40","  23","   1","   0","   0","   1","  41","   1"
"3454",NA,NA," 130","   0","   1","   1","  28","   0","   0","  16","   0","   9","   0","   0","   1","   2","  20","   1","   1","   0","   4","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0"," 105","   0","   0","  29","  20","   0","   0","   0","   0","  45","   0"
"3599",NA,NA," 135","   1","   0","   0","  28","   0","   0","  14","   0","   0","   0","   0","   1","   2","  15","   0","   2","   0","   7","   0","   0","   2","   0","   0","   0","   2","   1","   1","   0","  95","   0","   0","  39","  20","   1","   0","   0","   0","  23","   0"
"3744",NA,NA," 140","   0","   3","   2","  17","   1","   1","   3","   0","   0","   1","   0","   1","   0","  47","   1","   1","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   1","   0","  41","   0","   0","  53","  45","   3","   0","   0","   0","  71","   1"
"3889",NA,NA," 145","   0","   2","   3","  17","   0","   1","   2","   0","   0","   6","   0","   0","   0","  60","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  33","   0","   2","  63","  52","   4","   0","   0","   0","  79","   1"
"4034",NA,NA," 150","   0","   0","   2","  12","   0","   0","   5","   0","   0","   0","   0","   1","   0","  57","   1","   1","   0","   5","   0","   0","   0","   0","   0","   4","   0","   0","   1","   1","  27","   0","   0","  73","  64","   5","   0","   0","   0","  60","   0"
"4179",NA,NA," 155","   0","   0","   6","   8","   1","   0","   3","   5","   2","   0","   2","   1","   0","  45","   0","   1","   0","   5","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","  40","   0","   0","  90","  21","   5","   0","   0","   0","  25","   0"
"4325",NA,NA," 160","   0","   2","   7","  18","   0","   0","   9","   0","   2","   2","   0","   0","   0","  42","   1","   0","   0","   4","   1","   0","   2","  15","   3","   2","   0","   0","   1","   0","  38","   0","   0"," 100","  22","   8","   0","   0","   1","  22","   0"
"4470",NA,NA," 165","   0","   0","   2","  14","   0","   0","   4","   0","   0","   0","   0","   0","   0","  46","   1","   1","   0","   0","   0","   0","   1","  10","   2","   4","   0","   0","   0","   0","  35","   0","   0","  89","  20","   4","   0","   0","   0","  36","   0"
"4615",NA,NA," 170","   0","   0","   4","   8","   0","   0","   4","   0","   0","   0","   0","   0","   0","  30","   0","   0","   0","   6","   0","   0","   0","   0","   4","   4","   2","   0","   0","   0","  30","   0","   0","  79","  26","  20","   4","   0","   0","  44","   0"
"4760",NA,NA," 175","   0","   0","   2","  20","   0","   0","   0","   2","   0","   0","   0","   0","   0","  18","   0","   0","   0","   2","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","  24","   0","   0","  90","  22","   0","   0","   0","   0","  38","   0"
"4905",NA,NA," 180","   2","   0","   0","  42","   0","   0","   4","   0","   0","   4","   0","   0","   0","  18","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  24","   0","   0","  70","  19","   0","   0","   0","   3","  35","   0"
"5050",NA,NA," 185","   0","   1","   1","  14","   0","   0","   0","   0","   0","   1","   0","   6","   0","  15","   1","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  30","   0","   2","  90","  10","   0","   0","   0","   0","  50","   0"
"5195",NA,NA," 190","   0","   0","   1","  32","   0","   0","   5","   2","   0","   2","   0","   2","   0","  12","   0","   1","   0","   7","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  39","   0","   0","  70","   6","   0","   0","   0","   6","  44","   0"
"5340",NA,NA," 195","   1","   0","   4","  27","   0","   3","   3","   0","   0","   3","   0","   1","   0","  15","   0","   3","   0","   5","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  29","   0","   0","  75","  13","   0","   0","   0","   4","  65","   0"
"5486",NA,NA," 200","   0","   1","   0","  21","   1","   0","   2","   0","   0","   3","   0","   3","   0","  10","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","  31","   0","   0","  60","   8","   0","   0","   0","   2","  75","   0"
"5631",NA,NA," 205","   2","   0","   1","  10","   0","   0","   1","   0","   0","   1","   0","   1","   0","  15","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  30","   0","   0"," 100","   8","   0","   0","   0","   3","  65","   0"
"6022",NA,NA," 210","   2","   0","   1","  26","   0","   0","   1","   0","   0","   1","   0","   3","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  27","   0","   0","  96","   7","   0","   0","   0","   4","  59","   0"
"6413",NA,NA," 215","   8","   0","   4","  44","   0","   0","   6","   0","   2","   4","   0","   4","   0","  13","   4","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","  36","   0","   0"," 100","   6","   0","   0","   0","   5","  42","   0"
"6805",NA,NA," 220","   4","   0","   0","  20","   0","   0","   3","   1","   0","   0","   0","   2","   0","  10","   1","   0","   0","   0","   2","   0","   0","   5","   0","   0","   0","   0","   2","   0","  16","   0","   1","  87","   5","   1","   0","   0","   0","  50","   0"
"7196",NA,NA," 225","   0","   0","   6","  20","   0","   2","   2","   4","   0","   0","   0","   2","   0","   6","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  24","   0","   0"," 102","   5","   0","   0","   0","   0","  52","   0"
"7978",NA,NA," 235","   0","   0","   6","  10","   0","   3","   6","   4","   0","   3","   0","   3","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","  21","   0","   0"," 103","   9","   0","   0","   0","   0","  62","   0"
"8370",NA,NA," 240","   0","   0","   9","  19","   0","   0","   4","   4","   0","  10","   0","   6","   0","  12","   4","   0","   0","   1","   0","   0","   4","   0","   1","   0","   0","   4","   6","   0","  25","   0","   0"," 100","   5","   0","   0","   0","   0","  60","   0"
"8761",NA,NA," 245","   0","   0","   0","  11","   1","   1","   2","   1","   0","   0","   0","   1","   0","   9","   1","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   7","   1","   0","  18","   0","   0","  78","   4","   0","   0","   0","   0","  85","   0"
"9152",NA,NA," 250","   0","   0","   2","   8","   0","   0","   3","   1","   0","   4","   0","   5","   0","  10","   1","   3","   0","   2","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","  15","   0","   0","  80","   5","   0","   0","   0","   0","  65","   0"
"9235",NA,NA," 255","   2","   0","   0","   8","   0","   0","   4","   0","   0","   0","   0","   4","   0","   6","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","  24","   0","   0","  95","   8","   0","   0","   0","   0","  63","   0"
"9401",NA,NA," 265","   1","   1","   1","  14","   0","   0","   4","   3","   0","   4","   0","   0","   0","  10","   1","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   2","   1","   0","  15","   0","   0","  96","   9","   0","   0","   0","   0","  55","   0"
"9484",NA,NA," 270","   1","   1","   2","  14","   0","   0","   1","   1","   1","   5","   0","   0","   0","   8","   5","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","  20","   0","   0","  74","   1","   0","   0","   0","   3","  64","   0"
"9566",NA,NA," 275","   0","   0","   1","   9","   1","   0","   5","   0","   0","   2","   0","   1","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","  40","   0","   1","  96","   5","   0","   0","   0","   1","  66","   0"
"9649",NA,NA," 280","   0","   1","   1","   7","   0","   0","   3","   1","   0","   2","   0","   3","   1","   8","   2","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   2","   4","   0","  23","   0","   0","  90","   3","   0","   0","   0","   0","  65","   0"
"9732",NA,NA," 285","   0","   0","   2","  15","   0","   3","   3","   4","   0","   5","   1","   4","   2","   9","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   3","   0","  23","   0","   2","  92","   0","   0","   0","   0","   3","  62","   0"
"9815",NA,NA," 290","   0","   0","   0","  14","   0","   1","   2","   0","   0","   6","   2","   0","   0","   8","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","  45","   0","   0"," 108","   2","   0","   0","   0","   0","  56","   0"
"9898",NA,NA," 295","   0","   0","   1","  20","   0","   0","   0","   0","   0","   1","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","  40","   0","   2","  86","   0","   0","   0","   0","  10","  60","   0"
"9981",NA,NA," 300","   0","   1","   3","  12","   0","   0","   2","   2","   1","   2","   0","   3","   0","   7","   6","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   5","   0","  53","   0","   3","  87","   2","   0","   0","   0","   0","  52","   0"
"10064",NA,NA,"  305","    0","    0","    1","   11","    0","    0","    0","    1","    1","    0","    2","    0","    0","    6","    5","    1","    0","    1","    0","    0","    0","    0","    1","    0","    0","    1","    2","    0","   44","    0","    4","   87","    2","    0","    0","    0","    0","   53","    0"
"10147",NA,NA,"  310","    0","    0","    0","   10","    1","    0","    0","    0","    0","    0","    0","    0","    0","   12","    2","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    6","    0","   33","    0","    0","   90","    5","    0","    0","    0","    8","   54","    0"
"10229",NA,NA,"  315","    0","    0","    0","   22","    0","    0","    0","    0","    0","    1","    0","    2","    0","    9","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","   32","    0","    3","   80","    0","    0","    0","    0","    0","   55","    0"
"10478",NA,NA,"  330","    2","    0","    1","   23","    0","    2","    0","    0","    0","    0","    0","    0","    0","    6","    2","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    5","    0","   45","    0","    0","   78","    5","    1","    0","    0","    3","   49","    0"
"10561",NA,NA,"  335","    0","    0","    0","   40","    0","    1","    3","    0","    0","    0","    3","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    1","   40","    0","    2","   65","    2","    0","    1","    0","    7","   52","    0"
"10644",NA,NA,"  340","    0","    0","    1","   26","    0","    0","    1","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","   60","    0","    1","   55","    0","    1","    0","    0","    0","   60","    0"
"10727",NA,NA,"  345","    0","    1","    9","   26","    0","    1","    2","    0","    0","    1","    0","    1","    0","    8","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","   92","    0","    0","   30","    0","    0","    0","    0","    9","   36","    0"
"10809",NA,NA,"  350","    2","    0","    1","   14","    0","    0","    0","    0","    0","    3","    0","    3","    0","    9","    3","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","   18","    0","   81","    0","    0","   30","    0","    3","    0","    0","   35","   24","    0"
"10892",NA,NA,"  355","    0","    0","    0","    8","    0","    0","    3","    0","    3","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","   19","    0","   90","    0","    0","   45","    0","    4","    2","    0","   32","   28","    0"
"10975",NA,NA,"  360","    0","    0","    0","    3","    3","    0","    1","    0","    1","    4","    0","    0","    0","    5","    1","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","   16","    0","  135","    0","    1","   40","    0","    1","    0","    0","   24","   18","    0"
"11058",NA,NA,"  365","    0","    0","    0","   16","    0","    0","    6","    0","    0","   10","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","  100","    0","    0","   23","    0","    2","    0","    0","   24","   30","    0"
"11141",NA,NA,"  370","    0","    0","    3","   20","    0","    0","    8","    0","    0","   15","    0","    0","    0","    8","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   21","    0","   90","    0","    0","   20","    0","    0","    0","    0","   20","   24","    0"
"11224",NA,NA,"  375","    0","    0","    0","   22","    0","    1","   13","    0","    0","   34","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   25","    0","   59","    0","    0","   16","    0","    0","    0","    0","   20","   30","    0"
"11307",NA,NA,"  380","    0","    1","    3","   19","    0","    3","   10","    0","    2","   25","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   43","    0","   60","    0","    0","   15","    0","    0","    0","    0","   37","   40","    0"
"11389",NA,NA,"  385","    0","    0","    3","   19","    0","    3","   10","    0","    5","   30","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","   30","    0","   65","    0","    0","   19","    0","    0","    0","    0","   26","   40","    0"
"11555",NA,NA,"  395","    0","    0","    5","   22","    0","    0","    8","    0","    0","   18","    0","    5","    0","    7","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   43","    0","   75","    0","    0","   20","    0","    0","    0","    0","   25","   30","    0"
"11638",NA,NA,"  400","    0","    0","    0","   27","    0","    3","    9","    0","    4","   24","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","   40","    0","   56","    0","    0","   15","    0","    0","    0","    0","   45","   36","    0"
