"depth","Abutilon t.","Acacia t.","Acanthaceae undif.","Alchornea","Allophylus t.","Amaranthaceae undif.","Apiaceae undif.","Asteroideae undif.","Bignoniaceae undif.","CRETACEOUS FOSSIL","Cadaba","Canthium","Cassia","Celastraceae undif.","Cichorieae","Combretaceae","Convolvulaceae","Cyperaceae","Dodonaea","Dracaena","Euphorbia t.","Fagonia","Fern","Ficus","Heliotropium","Hypoestes t.","Ilex","Indeterminable","Indigofera","Jatropha/Croton","Justicia t.","LYCOPODIUM tablets","Loranthaceae undif.","MIOCENE POLLEN GRAIN","Maerua","Mallotus","Malva undif.","Meliaceae undif.","Ocimum","Olea t.","Pinus","Plumbaginaceae","Poaceae","Podocarpus","Polygonum t.","Protist","Rutaceae undif.","Salvadora","Scrophulariaceae undif.","TERTIARY POLLEN GRAIN","Tamarix","Tintinnid","Tribulus","Typha","Ziziphus/Paliurus","cluster tamarix","diatoms"
" 73","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","167","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
" 87","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","125","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"104.25","  0.00","  0.00","  0.00","  0.00","  0.00"," 50.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  5.00","  0.00","  6.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  2.00","  1.00"," 81.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00","201.00","  1.00","  2.00","  5.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00"
"106.75","  1.00","  1.00","  0.00","  0.00","  0.00"," 49.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  7.00","  0.00","184.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","114.00","  0.00","  1.00","  0.00","  0.00","  4.00","  0.00","  0.00","  1.00","  1.00","  0.00"," 53.00","  0.00","  0.00","  0.00"
"110.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 54.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  1.0","  0.0"," 74.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 57.0","  0.0","  0.0","  6.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 41.0","  0.0","  0.0","  0.0"
"116.5","  0.0","  0.0","  1.0","  0.0","  0.0"," 60.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  1.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  7.0","  0.0","115.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  1.0","  0.0","  1.0","  6.0","117.0","  0.0","  0.0","  4.0","  1.0","  2.0","  0.0","  1.0","  1.0","  2.0","  1.0"," 92.0","  0.0","  0.0","  0.0"
"130","  0","  0","  0","  0","  0"," 34","  0","  4","  0","  0","  1","  1","  0","  0","  2","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  2","  0","141","  0","  1","  0","  1","  4","  0","  0","  0","  0","  5","140","  0","  1","  2","  4","  1","  0","  0","  1","  1","  0"," 41","  0","  0","  0"
"137.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  2.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 59.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 57.0","  1.0","  0.0","  6.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0"
"147.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  9.0","  0.0","  7.0","  0.0"," 84.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","107.0","  0.0","  2.0","  0.0","  0.0","  3.0","  0.0","  0.0","  4.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0"
"165","  0","  0","  0","  0","  0"," 60","  0","  1","  0","  2","  0","  4","  0","  0","  1","  0","  0"," 16","  0","  0","  1","  0","  2","  0","  1","  0","  2","  4","  1","  6","  0","172","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","223","  0","  4","  1","  0","  3","  0","  0","  1","  1","  0"," 27","  0","  1","  0"
"230","  0","  0","  0","  0","  1"," 48","  0","  2","  0","  0","  0","  3","  0","  0","  4","  4","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  1","  0","  7","  0","  1","  0","321","  0","  0","  0","  0","  3","  1","  0","  2","  0","  5","130","  0","  3","  6","  0","  3","  0","  1","  4","  0","  0"," 10","  0","  0","  0"
