"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fraxinus","Hedera","Hypecoum","Lamiaceae undif.","Monoletes","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Sanguisorba t.","Secale","Sparganium","Tamarix","Thymelaeaceae undif.","Ulmus t.","Urtica t.","Vitis"
"621.6939",NA,NA," 70.0000","  0.0000","  0.0000","  3.0000","  1.0000","  6.0000","  2.0000","  3.0000","  3.0000","  3.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 13.0000","  9.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  2.0000","196.0000","  0.0000","  0.0000"," 34.0000","  1.0000","  5.0000"," 61.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"
"695.1633",NA,NA," 80.0000","  0.0000","  1.0000","  3.0000","  2.0000"," 14.0000","  2.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000"," 30.0000","  8.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  3.0000","  0.0000","  6.0000","  1.0000","121.0000","  0.0000","  1.0000"," 51.0000","  0.0000","  4.0000"," 66.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"768.6327",NA,NA," 90.0000","  0.0000","  0.0000","  0.0000","  1.0000","  6.0000","  1.0000","  2.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  7.0000","  2.0000","  1.0000","  3.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000"," 39.0000","  1.0000","  0.0000"," 29.0000","  1.0000","  0.0000"," 15.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  1.0000"
"805.3673",NA,NA," 95.0000","  0.0000","  1.0000","  1.0000","  1.0000"," 13.0000","  6.0000","  4.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  2.0000"," 64.0000"," 13.0000","  1.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 21.0000","  4.0000"," 71.0000","  0.0000","  1.0000"," 70.0000","  3.0000","  2.0000"," 57.0000","  0.0000","  0.0000","  0.0000","  4.0000","  1.0000","  0.0000","  6.0000","  0.0000","  1.0000","  1.0000"
"842.102",NA,NA,"100.000","  0.000","  0.000","  1.000","  1.000","  5.000","  3.000","  1.000","  1.000","  1.000","  2.000","  0.000","  0.000","  0.000","  2.000","  2.000","  0.000"," 26.000"," 16.000","  0.000","  4.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  6.000","  3.000","104.000","  0.000","  1.000"," 43.000","  1.000","  0.000"," 22.000","  0.000","  0.000","  0.000","  8.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000"
"878.8367",NA,NA,"105.0000","  0.0000","  1.0000","  1.0000","  0.0000"," 10.0000","  2.0000","  4.0000","  2.0000","  7.0000","  2.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  1.0000"," 23.0000","  3.0000","  1.0000","  9.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 18.0000","  1.0000","123.0000","  0.0000","  3.0000"," 69.0000","  1.0000","  1.0000"," 44.0000","  0.0000","  0.0000","  0.0000","  3.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"
"915.5714",NA,NA,"110.0000","  0.0000","  0.0000","  2.0000","  0.0000","  6.0000","  2.0000","  0.0000","  0.0000","  2.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 23.0000","  5.0000","  0.0000","  7.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000"," 12.0000","  1.0000"," 45.0000","  0.0000","  0.0000"," 22.0000","  0.0000","  2.0000"," 26.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"
"989.0408",NA,NA,"120.0000","  0.0000","  1.0000","  2.0000","  2.0000"," 17.0000","  1.0000","  0.0000","  3.0000","  1.0000","  1.0000","  0.0000","  2.0000","  0.0000","  1.0000","  1.0000","  1.0000"," 29.0000"," 11.0000","  0.0000","  7.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  3.0000","  2.0000"," 16.0000","  4.0000","166.0000","  0.0000","  5.0000"," 54.0000","  0.0000","  5.0000"," 42.0000","  0.0000","  1.0000","  1.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000"
"1062.51",NA,NA," 130.00","   0.00","   3.00","   0.00","   0.00","  10.00","  13.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   1.00","   1.00","  32.00","  12.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","  27.00","   6.00"," 154.00","   0.00","   3.00","  59.00","   0.00","   1.00","  52.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"1135.98",NA,NA," 140.00","   0.00","   5.00","   2.00","   0.00","  16.00","   0.00","   2.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","  30.00","  14.00","   0.00","   7.00","   1.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","  38.00","   5.00"," 115.00","   0.00","   6.00","  66.00","   0.00","  13.00","  74.00","   0.00","   1.00","   2.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"1209.449",NA,NA," 150.000","   0.000","   1.000","   1.000","   1.000","   6.000","   1.000","   1.000","   0.000","   2.000","   2.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","  10.000","   2.000","   0.000","  10.000","   0.000","   1.000","   2.000","   0.000","   0.000","   5.000","   0.000","   8.000","   0.000"," 138.000","   0.000","   1.000","  66.000","   0.000","   3.000","  93.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1282.918",NA,NA," 160.000","   0.000","   0.000","   1.000","   1.000","  10.000","   4.000","   1.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   3.000","   1.000","  16.000","  12.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000"," 112.000","   1.000","   3.000","  57.000","   0.000","   5.000","  84.000","   0.000","   2.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1341.694",NA,NA," 168.000","   0.000","   0.000","   2.000","   1.000","  15.000","   4.000","   0.000","   1.000","   3.000","   0.000","   0.000","   1.000","   1.000","   0.000","   4.000","   2.000","  16.000","  11.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   9.000","   2.000"," 130.000","   2.000","   2.000","  57.000","   0.000","   3.000","  50.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000"
