"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Aerva type","Amaranthaceae undif.","Ambrosia t.","Artemisia","Asteraceae","Balanites","Blepharis","Borreria t.","Boscia","Brassicaceae","Burkea","Cadaba","Capparis","Cassia","Celtis","Chrozophora","Cichorieae","Cleome","Combretaceae","Commiphora","Cucumis","Cyperaceae","Dalechampia","Ephedra","Erica t.","Grewioideae","Hyphaene t.","Hypoestes t.","Indigofera","Jacquemontia t.","Jatropha/Croton","Justicia t.","Lannea","Maerua","Mitracarpus","Mitragyna/Hallea","Myriophyllum alterniflorum t.","Nyctaginaceae","Oldenlandia","Pavonia","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Ruellia","Salvadora","Tamarix","Tephrosia","Tribulus","Typha","Vernonieae","Ziziphus/Paliurus"
"6040.65"," 230.00","   0.00","   5.00","   0.00","  56.00","   0.00","   0.00","   5.00","   0.00","  14.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   4.00","   0.00","   0.00","   9.00","   0.00","1161.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","1205.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   3.00","   0.00","   0.00"
"6111.8"," 235.0","   0.0","  11.0","   0.0","  65.0","   0.0","   0.0","  15.0","   9.0","  29.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   8.0","   0.0","1300.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","1061.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0"
"6182.95"," 240.00","   0.00","   4.00","   0.00","  66.00","   3.00","   0.00","   6.00","   4.00","  18.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   6.00","   0.00","1516.00","   0.00","   2.00","   2.00","   1.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","  21.00","   0.00","   0.00","   0.00","   3.00","   0.00","   2.00","   0.00","   0.00","1358.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   0.00","   3.00"
"6239.87"," 244.00","   0.00","   5.00","   0.00","  67.00","   2.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   7.00","   5.00","   0.00","1415.00","   0.00","   2.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  17.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 743.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00"
"6254.1"," 245.0","   6.0","  18.0","  44.0"," 196.0","   0.0","   0.0","  24.0","   5.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   6.0","   5.0","   0.0","2634.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","1687.0","   0.0","   0.0","   8.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"6439.09"," 258.00","   0.00","   3.00","   0.00","  70.00","   2.00","   0.00","   9.00","   4.00","  13.00","   3.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00"," 809.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 644.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00"
"6481.78"," 261.00","   0.00","   1.00","   0.00","  21.00","   1.00","   0.00","   1.00","   1.00","   5.00","   0.00","   0.00","   7.00","   0.00","   0.00","   6.00","   0.00","   3.00","   0.00","   1.00","   4.00","   0.00","   4.00","   0.00","1007.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00"," 771.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00"
"6609.85"," 270.00","   0.00","   0.00","   0.00","  35.00","   0.00","   0.00","   4.00","   7.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","1075.00","   0.00","   2.00","   1.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00"," 379.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  14.00","   0.00","   1.00"
"6681"," 275","   0","   0","   0","  62","   0","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   0","   4","   0","   3","   0","   1","   0","   0"," 779","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0"," 296","   0","   0","   0","   0","   0","   0","   9","   0","   0"
"6765.5"," 285.0","   0.0","   4.0","   0.0","  10.0","   1.0","   0.0","   5.0","   0.0","   3.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   4.0","   3.0","   0.0"," 874.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0"," 173.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0"
"6807.75"," 290.00","   0.00","   7.00","   0.00","  18.00","   3.00","   0.00","   7.00","   0.00","   3.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 590.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00"," 358.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00"
"6892.25"," 300.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   5.00","   6.00","   3.00"," 804.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   3.00","   0.00","   0.00","   0.00","   3.00","   0.00","   2.00","   0.00"," 338.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00"
"6934.5"," 305.0","   0.0","   1.0","   0.0","  10.0","   0.0","   0.0","   6.0","   3.0","   5.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   3.0","   5.0","   0.0"," 691.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0"," 290.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   2.0"
"6976.75"," 310.00","   0.00","   0.00","   2.00","  44.00","   0.00","   0.00","   2.00","   0.00","  10.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   3.00","   1.00","   1.00","   3.00","   0.00"," 833.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00"," 434.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","  12.00","   0.00","   0.00"
"6993.65"," 312.00","   0.00","   0.00","   0.00","  58.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   8.00","   8.00","   0.00","1329.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 633.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00"
"7019"," 315","   0","   2","   3","  40","   1","   3","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0"," 266","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 130","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7081.6"," 320.0","   0.0","   3.0","   3.0"," 122.0","   1.0","   0.0","   6.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","  12.0","   0.0","   6.0","   0.0","  21.0","   1.0","   1.0"," 733.0","   0.0","   2.0","   4.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   4.0","   0.0"," 433.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0"
"7106.64"," 322.00","   0.00","   0.00","   0.00","  55.00","   5.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   7.00","   7.00","   0.00"," 667.00","   0.00","   3.00","   4.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00"," 558.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00"
"7144.2"," 325.0","   0.0","   2.0","   0.0","  30.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0"," 492.0","   0.0","   2.0","   1.0","   3.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0"," 386.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   2.0"
"7169.24"," 327.00","   3.00","   2.00","   0.00","  15.00","   0.00","   0.00","   3.00","   0.00","   3.00","   0.00","  10.00","   0.00","   0.00","  10.00","   0.00","   0.00","   8.00","   0.00","  10.00","   0.00","  18.00","  10.00","   0.00"," 157.00","   0.00","   2.00","   3.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00"," 243.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00"
"7206.8"," 330.0","   0.0","   8.0","   0.0","  55.0","   0.0","   0.0","   2.0","   0.0","   2.0","   2.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   5.0","   0.0","   2.0","  10.0","   2.0","   0.0"," 743.0","   0.0","   0.0","   3.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   4.0","   0.0","   7.0","   0.0"," 396.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   9.0","   0.0","   0.0"
"7269.4"," 335.0","   0.0","   7.0","   0.0","  55.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   2.0","   0.0","   0.0","  16.0","   7.0","   0.0"," 536.0","   0.0","   6.0","   4.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0"," 342.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0"
"7306.96"," 338.00","   0.00","   2.00","   0.00","  44.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   4.00","   1.00","   0.00"," 248.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00"," 132.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00"
"7332"," 340","   0","   0","   0","  32","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   1","   0","   1","   0","   0","   0","   8","   0","   0"," 115","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0"," 128","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7394.6"," 345.0","   0.0","   1.0","   0.0"," 117.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   3.0","   0.0","   0.0","   2.0","  20.0","   1.0","   0.0","1971.0","   0.0","   1.0","   1.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 943.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  97.0","   0.0","   0.0"
"7457.2"," 350.0","   0.0","   1.0","   0.0","  19.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0"," 777.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0"," 668.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0"
"7494.76"," 353.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","   6.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00"," 136.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00"," 238.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00"
"7519.8"," 355.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   3.0","   0.0","   3.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","  98.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0"," 531.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0","   0.0"
"7582.4"," 360.0","   0.0","   2.0","   0.0","  15.0","   0.0","   0.0","   6.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0"," 107.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0"," 441.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  51.0","   0.0","   0.0"
"7832.8"," 380.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0"," 253.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0"," 521.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0"
"7870.36"," 383.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00"," 217.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   9.00","1036.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  43.00","   2.00","   0.00"
"7907.92"," 386.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","  39.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00"," 214.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  17.00","   0.00","   0.00"
"7958"," 390","   0","   1","   0","  22","   0","   0","   0","   0","   3","   0","   0","   0","   2","   0","   0","   0","   7","   0","   0","   0","   3","   0","   0"," 263","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   9"," 749","   0","   0","   0","   0","   0","   0","  58","   0","   0"
"8020.6"," 395.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   4.0","   0.0","   0.0"," 117.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","   4.0"," 512.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0"
"8058.16"," 398.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00"," 175.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   5.00"," 443.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  84.00","   0.00","   0.00"
"8108.24"," 402.00","   0.00","   2.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","  60.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   1.00","   0.00","   3.00","   0.00","   1.00","   4.00"," 335.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  51.00","   0.00","   0.00"
"8546.84"," 427.00","   0.00","   1.00","   0.00","  53.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00","  13.00","   2.00","   0.00"," 125.00","   0.00","   3.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   5.00"," 695.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   4.00","   0.00","   0.00"
