"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Adina","Aerva type","Aizoaceae t.","Alchornea","Alismataceae","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Balanites","Bauhinia","Betula","Blepharis","Borreria t.","Boscia","Brassicaceae","Bridelia","Cadaba","Campanulaceae","Capparis","Cardiospermum","Caryophyllaceae undif.","Cassia","Celosia type","Celtis","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Cucurbitaceae undif.","Cyperaceae","Desmodium","Dombeya","Echinules","Elaeis","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fagonia","Faidherbia albida","Fern","Ficus","Fraxinus","Galium t.","Grewioideae","Heliotropium","Hibiscus","Hygrophila","Hymenocardia","Hyphaene thebaÃ¯ca","Hypoestes t.","Indeterminable","Indigofera","Ipomoea","Justicia t.","Lannea","Lemnaceae","Maerua","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Morelia","Myriophyllum alterniflorum t.","Nauclea","Neptunia","Nyctaginaceae","Nymphaea","Ocimum","Oldenlandia","Olea t.","Onagraceae","Pentodon","Petaloid monocot","Phyllanthus maderaspatensis","Piliostigma","Pinus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Riccia","Ricinus","Salix","Salvadora","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Securinega  t.","Sesbania","Spergularia t.","Sterculia","Syzygium t.","Tamarix","Tephrosia","Thymelaeaceae undif.","Tilia","Tinospora","Tribulus","Trichodesma","Triletes","Typha","Uapaca","Ulmus t.","Utricularia","Verbena t.","Vernonieae","Xeromphis nilotica","Ziziphus/Paliurus","Zygophyllum t."
"5047.9"," 260.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0"," 965.0","   2.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 221.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"," 433.0","   6.0","  38.0","   1.0","   0.0","   0.0","   0.0","   0.0","  20.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  27.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","5337.0","   1.0","   0.0","  36.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 167.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"," 598.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"5252.3"," 270.0","   0.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   1.0","  14.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   1.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","   0.0","   1.0","   0.0","1383.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0"," 332.0","   3.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","  15.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","4033.0","   2.0","   0.0","   4.0","   1.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0"," 445.0","  41.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"5456.7"," 280.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   6.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   1.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   3.0","  10.0","   0.0","   0.0","   0.0","   0.0","   1.0","  17.0","   1.0","   0.0","   0.0"," 372.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   3.0","   0.0"," 422.0","   4.0","   1.0","   1.0","   1.0","   0.0","   0.0","   0.0","  12.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","2120.0","   1.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  22.0","   2.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0"," 314.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"5661.1"," 290.0","   2.0","   0.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  32.0","   0.0","   0.0","   0.0"," 295.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 228.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","1937.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 123.0","  13.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"5865.5"," 300.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","  14.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  23.0","   0.0","   1.0","   0.0"," 877.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   2.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0"," 259.0","   4.0","   3.0","   1.0","   1.0","   0.0","   0.0","   0.0","  19.0","   1.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","2375.0","   0.0","   0.0","   1.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0"," 241.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"6069.9"," 310.0","   0.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   3.0","  17.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  22.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","  17.0","   0.0","   1.0","   0.0"," 592.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0"," 136.0","  11.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","2008.0","   0.0","   0.0","   1.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 246.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"6478.7"," 330.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   4.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0"," 120.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0"," 128.0","   0.0","   3.0","   0.0","   0.0","   0.0","   2.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","3428.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0"," 233.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"6887.5"," 350.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   0.0","   3.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","  34.0","   1.0","   0.0","   0.0"," 202.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  25.0","   0.0","   0.0","  46.0","   3.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","1842.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 156.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"7091.9"," 360.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","  14.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   1.0","   1.0","   0.0","  57.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","  99.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","1568.0","   1.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 258.0","   2.0","   0.0","   0.0","   9.0","   0.0","   1.0","   0.0","   0.0"
"7296.3"," 370.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","  37.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 957.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  53.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
