"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Anthemideae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Cardueae undif.","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Cupressaceae","Erica t.","Erodium","Fabaceae Undif.","Fraxinus","Fumaria","Fungi","Genisteae","Geranium","Ilex","Lamiaceae undif.","Malva","Myrtus","Olea t.","Periploca","Petaloid monocot","Phillyrea","Pinus mediterranea","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Portulacaceae t.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Rhamnus","Rosa t.","Rubiaceae undif.","Salix","Smilax","Solanum","Tamarix","Taxus","Withania","Ziziphus/Paliurus"
"8278",NA,NA,"  90","   0","  13","   4","   2","   3","  13","   4","  13","   7","   5","   3","  30","   4","  12","   1","   2","   1","   2","   1","  74","   0","   1","   0","   2","   4","   0","  19","   0","   4","   0","   5","   9","  18","  17","  12","   5","   2","   2","   0","  23","   4","   1","   0","   0","   6","   0","   3","   4","   0","   0","   3"
"8622",NA,NA," 100","   0","   9","   5","   3","   0","   8","   5","  13","   7","   4","   1","  15","   5","   9","   3","   0","   0","   6","   1","  50","   0","   1","   0","   0","   4","   0","  17","   1","   1","   1","   4","  10","  24","  16","  15","   5","   3","   0","   1","  24","   5","   2","   5","   1","   2","   0","   4","   0","   2","   2","   1"
"8967",NA,NA," 110","   0","  13","   3","   1","   0","   7","   5","   9","   8","   5","   0","  23","   4","  11","   4","   0","   1","   4","   1","  70","   1","   2","   0","   1","   3","   2","  26","   1","   5","   1","   7","   7","  20","   4","   9","   4","   4","   1","   2","  19","   5","   0","   4","   2","   7","   0","   3","   0","   0","   1","   0"
"9139",NA,NA," 115","   2","  11","   4","   0","   1","  13","   3","   9","  11","   5","   1","  28","   6","  13","   4","   0","   2","   4","   0","  79","   0","   0","   0","   0","   0","   1","  18","   0","   4","   2","   9","   8","  20","   5","  14","   5","   3","   1","   0","  21","   3","   0","   6","   2","   8","   0","   2","   2","   3","   0","   0"
"9311",NA,NA," 120","   3","  21","   5","   0","   1","   0","   1","   0","   9","   1","   2","   1","   7","   9","   0","   0","   0","  13","   0","   2","   0","   0","   2","   1","   0","   1","  28","   0","   4","   1","  11","   6","   0","   4","   0","   0","   5","   0","   0","  33","   4","   1","   9","   1","  21","   0","   0","   0","   3","   2","   1"
"9483",NA,NA," 125","   0","  33","   4","   0","   0","   2","   0","   1","  13","   0","   1","   3","   4","   8","   0","   0","   1","  16","   0","   0","   2","   0","   3","   3","   0","   0","  29","   2","   4","   3","   7","   8","   0","   7","   0","   0","   4","   0","   1","  45","  11","   0","   9","   3","  13","   0","   0","   4","   2","   0","   2"
"9655",NA,NA," 130","   4","  28","   3","   0","   0","   1","   0","   2","  17","   0","   1","   0","   3","   9","   0","   0","   1","   9","   0","   0","   2","   0","   0","   3","   0","   2","  31","   0","   3","   0","   8","   8","   1","   7","   0","   0","   6","   0","   2","  39","   9","   0","   8","   0","  13","   0","   0","   4","   4","   3","   0"
"9999",NA,NA," 140","   0","  44","   6","   0","   0","   1","   1","   2","  18","   1","   2","   2","   5","   7","   1","   0","   2","  13","   0","   6","   1","   0","   5","   0","   0","   0","  32","   0","   4","   0","   5","  11","   0","   8","   0","   0","   5","   0","   3","  49","   9","   2","   5","   0","  18","   0","   0","   0","   5","   2","   0"
"10171",NA,NA,"  145","    0","   36","    2","    1","    2","    2","    0","    3","   20","    0","    2","    3","    5","    6","    2","    0","    0","   12","    0","    0","    0","    0","    5","    0","    0","    0","   18","    0","    3","    2","    6","    9","    0","    9","    0","    1","    4","    0","    3","   38","   13","    0","    4","    1","   17","    0","    0","    5","    5","    1","    0"
"10344",NA,NA,"  150","    5","   38","    3","    0","    0","    3","    2","    0","   17","    0","    3","    2","    2","    8","    0","    0","    0","    9","    0","    0","    0","    0","    4","    2","    0","    0","   17","    0","    3","    2","    7","    9","    1","    5","    0","    0","    6","    0","    2","   45","   11","    0","    9","    1","   22","    0","    0","    0","    6","    0","    1"
"10516",NA,NA,"  155","    6","   39","    2","    0","    1","    1","    0","    0","   13","    0","    0","    2","    3","   11","    0","    0","    1","    8","    0","    1","    1","    0","    2","    1","    0","    0","   23","    0","    6","    3","    6","   13","    0","    4","    0","    0","    6","    0","    1","   36","    9","    0","    9","    1","   14","    0","    0","    1","    3","    0","    0"
"10688",NA,NA,"  160","    7","   43","    3","    1","    1","    2","    0","    0","   15","    0","    1","    1","    2","   12","    1","    0","    2","   15","    0","    0","    1","    0","    3","    0","    0","    0","   24","    0","    4","    2","    7","   10","    1","    6","    0","    0","    7","    0","    2","   35","    9","    0","   10","    2","   23","    0","    0","    0","    2","    0","    0"
"10860",NA,NA,"  165","    5","   45","    1","    0","    0","    1","    0","    2","   17","    0","    3","    3","    4","    9","    1","    0","    1","   16","    0","    0","    0","    0","    4","    0","    0","    0","   33","    0","    4","    4","    8","   13","    0","    5","    0","    0","    5","    0","    1","   44","   10","    0","    8","    0","   19","    0","    0","    0","    4","    0","    0"
