"Pollen Samples (PS)","Acacia t.","Acalypha","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Boscia","Brassicaceae","Calligonum","Campanulaceae","Capparis","Capparis/Labiatae","Carex/Cyperus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cleome","Commelina","Concentration (N° grains/g)","Cornus","Corylus","Cotinus coggygria","Cyperaceae","Delphinium/Scrophulariaceae","Echium t.","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Ficus","Genisteae","Grewioideae","Heliotropium","Hyphaene t.","Indeterminable","Indigofera","Juncaceae","Lamiaceae undif.","Lemnaceae","Leonotis-type","Licopods contati","Licopods messi","Lotus t.","Maerua","Malva undif.","Mercurialis","Morella","Olea t.","Onobrichis/Hediasarum (Onobrichis type)","Ononis t.","Ostrya","POLLEN SUM","Paronychieae","Petaloid monocot","Phoenix t.","Pistacia","Plantago","Poaceae","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Rhamnus","Rumex t.","Salvadora","Saxifragaceae","Schinus-type","Searsia","Solanaceae undif.","Sparganium","Spergularia t.","Tamarix","Tilia","Tribulus","Tricolporato striato","Trifolium t.","Typha","Urtica t.","Ziziphus/Paliurus","Zygophyllum t.","grammi","location/depht (cm)","similar to Lonicera"
"    11.00","     2.00","     0.00","    16.00","     5.00","     0.00","     0.00","     0.00","    27.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     3.00","     0.00","     3.00","     0.00","     0.00","     0.00","106453.12","     0.00","     0.00","     0.00","    11.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     5.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   316.00","     0.00","     2.00","     0.00","     0.00","     0.00","   229.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     9.00","     0.00","     2.00","     1.00","     6.34","    53.50","     0.00"
"    12.00","     1.00","     0.00","     8.00","     3.00","     0.00","     1.00","     0.00","    33.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.00","     0.00","     0.00","     0.00","106623.40","     0.00","     0.00","     0.00","    16.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00","     0.00","     5.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   320.00","     0.00","     3.00","     0.00","     0.00","     0.00","   236.00","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     7.00","     0.00","     0.00","     0.00","     0.00","     2.00","     0.00","     1.00","     0.00","     6.41","    58.50","     0.00"
"    13.00","     0.00","     0.00","     0.00","     1.00","     0.00","     2.00","     0.00","    16.00","     0.00","     2.00","     2.00","     0.00","     0.00","     0.00","     0.00","     1.00","     1.00","     0.00","     2.00","     1.00","     0.00","     2.00","422407.91","     0.00","     0.00","     0.00","    17.00","     0.00","     1.00","     0.00","     1.00","     0.00","     0.00","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   320.00","     0.00","     1.00","     0.00","     0.00","     0.00","   258.00","     1.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     4.00","     0.00","     0.00","     0.00","     0.00","     1.00","     1.00","     0.00","     0.00","     8.09","    61.50","     0.00"
"    14.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     3.00","     1.00","     1.00","     4.00","     0.00","     0.00","     3.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","231932.27","     0.00","     0.00","     0.00","     8.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     4.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     3.00","     0.00","     0.00","     2.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     1.00","   321.00","     0.00","     1.00","     1.00","     0.00","     0.00","   265.00","     4.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","    12.00","     4.00","     1.00","     0.00","     7.39","    66.00","     0.00"
"   15.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","42473.30","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","10679.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   28.00","    0.00","    0.00","    0.00","    0.00","    0.00","   27.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    7.04","   71.50","    0.00"
"   16.000","    0.000","    0.000","    0.000","    0.000","    1.000","    1.000","    0.000","    7.000","    0.000","    2.000","    4.000","    0.000","    0.000","    1.000","    0.000","    0.000","    2.000","    0.000","    0.000","    0.000","    0.000","    0.000"," 6232.063","    0.000","    0.000","    0.000","    4.000","    0.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    2.000","    0.000","    0.000","   71.000","10679.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","  312.000","    0.000","    0.000","    0.000","    0.000","    0.000","  269.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","   13.000","    1.000","    0.000","    0.000","    7.530","   75.000","    0.000"
"   17.00","    0.00","    0.00","   11.00","    3.00","    0.00","    3.00","    0.00","    9.00","    0.00","    1.00","    7.00","    0.00","    0.00","    1.00","    0.00","    1.00","    3.00","    0.00","    3.00","    0.00","    1.00","    0.00","67468.10","    0.00","    0.00","    0.00","   12.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","   10.00","10679.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  326.00","    0.00","    2.00","    0.00","    0.00","    0.00","  253.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    3.00","    0.00","    0.00","    0.00","    1.00","    3.00","    2.00","    1.00","    0.00","    5.16","   81.00","    0.00"
"    18.00","     0.00","     0.00","    17.00","     5.00","     0.00","     8.00","     0.00","     6.00","     0.00","     2.00","     3.00","     0.00","     0.00","     4.00","     0.00","     0.00","     0.00","     0.00","     6.00","     0.00","     0.00","     2.00","158695.70","     0.00","     0.00","     0.00","     6.00","     0.00","     0.00","     2.00","     1.00","     0.00","     1.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     5.00","     0.00","     0.00","     3.00"," 10679.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","   325.00","     0.00","     0.00","     0.00","     1.00","     0.00","   239.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     4.00","     0.00","     1.00","     0.00","     0.00","     1.00","     3.00","     2.00","     1.00","     7.29","    84.00","     0.00"
"   19.00","    0.00","    0.00","   36.00","    5.00","    3.00","    3.00","    0.00","   14.00","    1.00","    0.00","    7.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","   13.00","    0.00","    1.00","    3.00","55936.05","    0.00","    0.00","    0.00","    6.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    8.00","10679.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","  339.00","    0.00","    0.00","    0.00","    0.00","    0.00","  215.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    3.00","    3.00","    1.00","    2.00","    8.09","   87.50","    0.00"
"   20.00","    0.00","    0.00","   10.00","    3.00","    0.00","   57.00","    0.00","   17.00","    0.00","    6.00","    5.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    5.00","    0.00","    1.00","    2.00","90937.09","    0.00","    0.00","    0.00","   27.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    7.00","10679.00","    0.00","    9.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","  335.00","    0.00","    3.00","    0.00","    0.00","    0.00","  165.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    6.00","    3.00","    1.00","    5.62","   91.50","    0.00"
"   21.00","    1.00","    0.00","    8.00","    0.00","    0.00","  122.00","    0.00","    6.00","    0.00","   24.00","    2.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    4.00","    0.00","    0.00","    5.00","54741.34","    0.00","    0.00","    0.00","   16.00","    0.00","    1.00","    1.00","    2.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    9.00","10679.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  370.00","    0.00","    2.00","    3.00","    0.00","    0.00","  140.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.00","    0.00","    0.00","    0.00","    0.00","    5.00","    5.00","    0.00","    0.00","    8.02","   97.00","    0.00"
"   22.00","    0.00","    0.00","    2.00","   30.00","    0.00","   37.00","    0.00","    9.00","    0.00","    0.00","    3.00","    0.00","    2.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    1.00","   13.00","25497.32","    0.00","    0.00","    0.00","   40.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    3.00","    0.00","    0.00","   19.00","10679.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  367.00","    0.00","    0.00","    0.00","    0.00","    0.00","  191.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   16.00","    0.00","    0.00","    0.00","    0.00","    1.00","    9.00","    1.00","    1.00","    8.09","  101.00","    0.00"
"   23.00","    1.00","    0.00","   18.00","    3.00","    1.00","   48.00","    0.00","   18.00","    0.00","    0.00","    7.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","   14.00","    0.00","    3.00","    3.00","47875.97","    0.00","    0.00","    0.00","    6.00","    0.00","    1.00","    1.00","    0.00","    0.00","    2.00","    0.00","   10.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    9.00","10679.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","  324.00","    0.00","    0.00","    0.00","    0.00","    0.00","  145.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   17.00","    0.00","    0.00","    0.00","    0.00","    6.00","    6.00","    2.00","    0.00","    8.03","  105.00","    0.00"
"   24.00","    1.00","    0.00","   13.00","    4.00","    2.00","   52.00","    0.00","   11.00","    1.00","   11.00","    2.00","    0.00","    1.00","    2.00","    0.00","    0.00","    3.00","    1.00","   10.00","    0.00","    2.00","    5.00","21621.77","    0.00","    0.00","    0.00","    9.00","    0.00","    2.00","    0.00","    2.00","    0.00","    0.00","    0.00","    6.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","   21.00","10679.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","  341.00","    0.00","    0.00","    0.00","    0.00","    0.00","  140.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   36.00","    0.00","    0.00","    0.00","    0.00","    6.00","    7.00","    0.00","    1.00","    8.02","  110.00","    0.00"
"   25.000","    0.000","    0.000","   10.000","    0.000","    0.000","    7.000","    0.000","   21.000","    0.000","    4.000","    2.000","    0.000","    1.000","    2.000","    0.000","    0.000","    0.000","    1.000","    7.000","    0.000","    2.000","    0.000"," 7896.057","    0.000","    0.000","    1.000","    3.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    3.000","    0.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    1.000","    0.000","    0.000","   54.000","10679.000","    0.000","    4.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","  331.000","    0.000","    0.000","    1.000","    0.000","    0.000","  237.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","   17.000","    4.000","    0.000","    0.000","    8.290","  115.000","    0.000"
"   26.00","    0.00","    0.00","    2.00","    5.00","    0.00","   26.00","    0.00","   29.00","    0.00","    2.00","    9.00","    0.00","    0.00","   50.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    4.00","11600.03","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","   11.00","    0.00","    0.00","   34.00","10679.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","  366.00","    0.00","    0.00","    1.00","    0.00","    0.00","  161.00","    0.00","    2.00","    0.00","    0.00","    1.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","   19.00","    0.00","    2.00","    0.00","    0.00","    8.00","    5.00","    0.00","    3.00","    9.91","  120.00","    0.00"
"   28.000","    0.000","    0.000","    1.000","   20.000","    0.000","    8.000","    0.000","   10.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    2.000","    0.000","    0.000","    1.000"," 9888.662","    1.000","    0.000","    0.000","    7.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    8.000","    0.000","    0.000","   43.000","10679.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","  393.000","    0.000","    1.000","    0.000","    0.000","    0.000","  314.000","    0.000","    2.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    8.000","    0.000","    0.000","    0.000","    0.000","    6.000","    2.000","    0.000","    0.000","    9.870","  121.000","    0.000"
"   29.00","    0.00","    0.00","    3.00","    4.00","    0.00","   12.00","    0.00","    9.00","    1.00","    0.00","    5.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    1.00","    2.00","    0.00","    0.00","    0.00","29497.16","    0.00","    0.00","    0.00","    3.00","    0.00","    1.00","    1.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   16.00","    0.00","    0.00","   13.00","10679.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  344.00","    0.00","    1.00","    0.00","    0.00","    0.00","  258.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.00","    0.00","    0.00","    1.00","    0.00","    4.00","    3.00","    1.00","    0.00","    9.58","  122.50","    0.00"
