"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Amaranthaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Caryophyllaceae undif.","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Desmidiaceae","Ephedra","Erica t.","Fraxinus","Fungi","Genisteae","Hedera","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Pseudoschizaea","Puccinia","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Riccia lamellosa-type","Salix","Taxus","Transeauina","Trichuris","Typha","Ulmus t.","Unknown (type 128, HdV)","Vitis","charcoal"
" 1157.5",NA,NA," 22","0","122","5","0","29","2","1","1","0","0","0","4","0","21","12","0","0","12","12","43","3","0","0","2","1","0","149","0","1","11","8","99","41","6","8","132","0","7","11","7","3","3","28","7","1","11","0","1","1","1","5","0","0","0","51.57"
" 1252.4",NA,NA," 24","0","89","1","0","6","2","1","0","0","0","0","1","3","6","9","0","0","7","2","63","3","0","0","1","0","0","158","0","1","12","5","268","19","6","9","42","0","10","12","9","2","11","11","8","0","20","0","0","1","1","0","0","0","0","326.53"
" 1342.4",NA,NA," 26","0","29","2","0","9","1","1","0","0","0","0","3","0","11","4","0","0","9","5","71","4","0","0","5","0","0","171","0","0","5","8","197","36","2","6","71","0","11","0","8","1","2","29","0","0","15","2","0","2","0","0","0","0","0","180.12"
" 1427.3",NA,NA," 28","0","19","2","0","8","1","2","5","0","0","0","1","1","9","11","0","0","8","3","29","3","0","0","7","0","2","158","0","0","3","3","276","28","4","4","45","0","11","0","12","0","3","16","0","0","13","0","0","0","0","5","1","0","0","187.49"
" 1513.3",NA,NA," 30","0","10","8","0","10","21","2","3","0","0","2","2","4","7","9","0","1","3","0","41","0","0","0","12","1","1","154","0","0","0","5","322","18","2","2","39","0","1","0","23","0","14","12","0","0","1","1","0","0","0","0","0","0","0","44.28"
" 1560.3",NA,NA," 32","0","10","11","0","24","12","1","1","0","0","1","2","0","11","14","0","5","2","0","10","0","0","0","11","0","3","154","0","0","1","0","258","10","6","1","61","0","1","1","13","0","8","9","0","0","4","0","0","0","0","6","0","0","0","56.36"
" 1608.0",NA,NA," 34","3","8","5","0","32","9","0","0","1","0","1","1","0","27","33","0","3","1","1","16","0","0","0","10","0","4","150","0","0","2","0","231","5","8","2","99","0","1","2","12","0","11","7","0","0","3","0","1","0","0","10","0","0","0","348"
" 1670.5",NA,NA," 36","2","67","12","0","29","2","0","0","2","0","1","3","5","23","16","0","2","0","2","19","0","0","0","4","0","0","150","0","0","1","5","178","22","1","2","145","0","2","5","8","0","10","11","2","0","6","0","0","0","0","0","0","0","0","24"
" 1749.8",NA,NA," 38","1","49","10","0","29","2","1","0","1","0","1","4","0","18","5","0","8","1","5","52","0","0","0","3","0","0","150","0","0","1","1","152","7","2","1","177","0","3","2","4","0","6","8","1","0","10","0","0","0","0","2","1","0","0","116"
" 1829.0",NA,NA," 40","0","22","0","0","25","1","0","0","0","0","0","2","0","15","9","0","5","1","13","81","0","0","0","8","0","0","139","0","0","7","4","63","29","4","0","213","0","9","3","12","0","4","17","0","0","12","0","0","0","2","0","0","0","0","205.72"
" 1961.1",NA,NA," 42","0","11","1","1","19","1","0","0","0","0","0","1","1","13","9","0","3","2","12","64","1","0","0","9","0","0","145","0","0","1","1","87","6","9","0","69","0","12","8","12","0","0","9","0","0","13","1","0","0","1","3","0","0","0","23.2"
" 2093.3",NA,NA," 44","0","21","1","0","8","1","1","4","0","0","0","4","0","11","3","0","2","4","10","58","0","0","0","12","0","0","156","0","0","1","5","199","21","5","1","58","0","13","6","4","0","2","12","0","1","25","0","0","0","0","0","0","0","0","70.72"
" 2233.7",NA,NA," 46","0","77","2","1","8","1","0","4","0","0","0","2","0","8","6","0","0","7","5","19","0","0","0","13","0","0","157","0","0","2","2","380","17","6","2","34","0","3","4","6","0","7","15","0","0","9","0","0","0","0","0","0","0","0","43.96"
" 2382.2",NA,NA," 48","0","69","3","0","7","1","0","1","0","0","0","1","0","9","4","0","0","2","4","14","0","0","0","10","0","0","147","0","1","7","0","346","13","6","1","31","0","1","12","8","0","4","12","1","0","3","0","0","1","0","0","0","0","0","183.05"
" 2529.7",NA,NA," 50","0","80","10","0","3","1","0","0","0","0","2","1","1","11","8","0","0","3","1","22","0","0","0","1","1","0","150","0","0","5","3","300","13","9","0","36","0","1","14","6","0","9","14","2","1","1","3","0","2","0","10","0","0","0","113.46"
" 2668.3",NA,NA," 52","1","14","4","0","25","5","0","3","0","0","0","1","3","31","25","0","1","1","6","62","0","0","0","7","0","0","151","0","0","2","0","331","10","7","0","34","0","0","2","12","0","9","9","3","0","3","0","0","0","0","12","0","0","0","168.42"
" 2807.7",NA,NA," 54","0","11","8","0","35","12","1","2","1","0","2","1","0","33","12","0","0","2","0","54","0","0","0","9","0","2","151","0","0","0","0","308","12","6","0","28","0","0","3","39","0","8","10","0","0","0","0","0","0","0","7","0","0","0","305.94"
" 2943.4",NA,NA," 56","0","13","6","0","11","11","0","0","2","0","1","4","0","12","3","0","2","7","5","38","0","0","0","3","0","3","153","0","0","1","4","322","18","8","1","41","0","0","4","41","0","3","16","0","0","0","0","0","0","0","0","0","0","0","206"
" 3075.3",NA,NA," 58","1","15","8","1","31","2","0","0","2","0","1","4","3","29","14","0","0","3","0","29","2","0","0","5","0","0","144","0","0","1","2","293","12","7","0","39","0","2","7","19","0","4","11","0","0","5","0","0","0","0","0","0","0","0","142.08"
" 3207.6",NA,NA," 60","0","46","11","0","24","0","0","0","1","0","1","2","2","25","23","0","3","6","2","11","0","0","0","3","0","0","170","0","0","4","5","301","14","4","0","44","0","1","12","6","0","7","15","5","0","2","1","0","0","0","7","0","0","0","258.74"
" 3376.2",NA,NA," 62","0","72","12","0","19","0","0","0","0","0","1","1","0","16","5","0","5","5","1","12","0","0","0","9","0","0","155","0","0","5","11","361","8","3","0","42","0","0","9","5","0","8","11","2","0","0","0","0","1","0","0","0","0","0","181.86"
" 3545.0",NA,NA," 64","0","35","9","0","17","0","0","0","0","0","1","0","0","18","3","0","14","12","0","16","0","0","0","6","1","0","160","0","0","7","7","101","26","5","1","34","0","0","5","8","0","8","27","1","0","0","1","0","0","0","0","0","0","0","32"
" 3710.5",NA,NA," 66","1","13","8","0","13","0","1","2","0","0","0","0","1","11","39","0","11","8","5","31","0","0","0","7","0","0","161","0","0","4","9","86","32","7","2","38","0","0","1","21","0","4","38","0","1","1","0","0","0","0","8","1","0","0","51.52"
" 3871.3",NA,NA," 68","0","18","7","1","28","13","0","1","1","0","1","0","0","37","13","0","6","2","3","88","0","0","0","5","0","1","166","0","0","3","3","142","28","2","0","40","0","0","0","45","0","7","18","0","0","1","0","0","0","0","2","0","0","0","75.25"
" 4029.7",NA,NA," 70","0","19","7","0","13","11","1","0","2","0","1","0","4","19","8","0","10","1","0","43","0","0","0","3","0","2","146","0","0","1","0","321","9","0","0","41","0","0","1","89","0","5","3","0","0","0","0","0","0","0","0","0","0","0","381.54"
" 4210.7",NA,NA," 72","0","18","9","0","28","11","0","0","2","0","1","3","0","22","12","0","4","2","0","27","0","0","0","9","0","5","167","0","0","2","0","163","12","0","0","34","0","0","6","25","0","2","8","0","0","3","2","0","0","0","2","0","0","0","28.94"
" 4393.5",NA,NA," 74","1","64","3","0","4","5","0","2","3","0","0","2","0","7","23","0","2","9","1","11","0","0","0","7","0","0","150","0","0","7","12","70","44","8","0","38","0","0","13","2","0","9","29","3","0","0","0","0","0","0","4","0","0","0","24"
" 4571.5",NA,NA," 76","0","104","8","0","23","8","0","1","3","1","1","1","3","11","12","0","1","2","2","10","0","0","0","8","1","0","163","0","1","1","2","87","31","1","1","30","0","0","13","8","0","3","14","1","0","0","0","1","1","0","0","1","0","0","286.88"
" 4745.9",NA,NA," 78","0","34","2","0","7","2","0","0","3","0","1","2","2","2","15","0","1","2","1","21","1","0","0","11","0","0","139","0","0","1","0","254","13","0","2","43","0","1","2","3","0","8","3","0","0","1","0","0","3","0","0","0","0","0","50.04"
" 4920.2",NA,NA," 80","1","15","8","0","16","2","0","0","0","0","2","1","1","12","22","0","1","1","0","35","0","0","0","1","0","0","150","0","0","0","0","179","20","1","0","28","0","0","3","22","0","9","6","0","0","0","1","0","0","0","5","0","0","0","118"
" 5105.5",NA,NA," 82","2","19","8","0","18","25","0","1","0","0","0","1","0","21","13","0","0","2","0","13","0","0","0","10","0","0","150","0","0","2","2","107","51","7","0","27","0","0","6","59","0","7","11","0","0","2","1","0","0","0","0","0","0","0","296"
" 5292.3",NA,NA," 84","1","32","1","0","7","12","0","4","0","0","0","0","3","5","12","0","0","2","0","12","0","1","0","3","0","1","150","0","0","0","4","99","44","8","0","30","0","0","8","23","0","21","11","0","0","0","3","0","0","0","4","1","0","0","208"
" 5457.9",NA,NA," 86","1","54","2","1","3","3","1","9","0","0","0","1","0","2","31","0","1","5","2","10","1","2","0","4","0","0","150","0","0","2","3","114","39","5","0","33","0","1","16","6","0","18","13","0","0","2","1","0","0","0","4","2","0","0","23.52"
" 5600.0",NA,NA," 88","2","66","1","2","5","2","0","8","0","0","0","0","2","0","12","0","1","5","5","12","0","1","2","7","0","0","162","0","0","9","7","95","38","11","1","41","0","1","14","0","0","20","20","0","1","0","2","1","0","0","0","2","0","0","4.32"
" 5741.0",NA,NA," 90","6","72","0","2","3","3","0","4","0","1","0","0","3","2","9","0","1","7","2","0","0","1","2","5","0","0","166","0","0","8","4","103","32","12","0","39","0","0","11","0","0","22","28","4","1","0","2","1","0","0","0","4","0","0","4.42"
" 5891.6",NA,NA," 92","1","75","0","2","1","2","0","8","0","1","0","0","7","1","6","0","1","15","3","0","0","1","1","8","0","0","163","0","0","2","10","89","27","8","0","36","0","0","12","0","0","19","49","3","1","1","2","1","1","0","0","1","0","0","43.46"
" 6042.5",NA,NA," 94","3","39","0","3","2","1","0","9","0","1","0","0","11","0","1","0","1","12","8","3","0","1","1","9","1","0","160","0","0","1","9","80","21","3","2","44","0","1","23","2","0","31","29","0","1","0","6","0","2","0","0","1","0","0","12.8"
" 6213.4",NA,NA," 96","4","41","0","2","3","2","0","12","0","2","0","1","10","0","0","0","0","7","14","5","0","1","0","10","1","0","148","0","1","8","8","102","8","10","0","34","0","0","29","1","0","40","28","3","1","0","1","1","1","0","0","1","0","0","23.68"
" 6400.7",NA,NA," 98","5","42","1","0","0","2","1","2","0","2","0","1","12","2","2","0","0","9","15","4","0","2","0","12","1","0","155","0","2","12","1","90","10","0","0","20","0","0","25","0","0","32","21","5","2","1","2","2","0","0","0","3","0","0","13.91"
" 6587.3",NA,NA,"100","5","46","0","1","1","2","0","5","0","2","0","1","9","0","1","0","1","13","2","3","0","3","2","13","2","0","150","0","2","4","3","79","15","3","0","28","0","0","14","0","0","29","18","2","1","0","4","0","0","0","0","1","0","0","5.66"
" 6774.6",NA,NA,"102","4","48","0","2","0","0","0","10","0","1","0","0","8","0","4","0","0","5","3","10","0","0","4","10","1","0","150","0","2","1","2","87","11","2","2","51","0","0","26","1","0","23","12","9","0","0","2","1","0","0","0","2","0","0","15.38"
" 6962.8",NA,NA,"104","3","52","0","0","2","0","0","12","0","0","0","0","3","1","9","0","0","2","1","12","0","1","0","12","1","0","150","0","2","1","0","96","12","5","0","33","0","0","26","0","0","38","8","3","0","0","5","1","1","0","0","0","0","0","11.76"
" 7153.8",NA,NA,"106","1","41","0","0","6","0","0","15","0","1","0","1","6","1","8","0","1","0","7","8","0","0","0","11","0","0","153","0","3","1","2","88","8","0","0","32","0","0","22","0","0","50","3","2","0","0","2","0","0","0","1","0","0","0","14.28"
" 7347.4",NA,NA,"108","2","44","1","1","11","0","0","7","0","0","0","0","2","5","7","0","0","0","8","11","0","0","0","9","0","0","150","0","1","3","0","115","22","2","0","49","0","0","23","1","0","9","1","1","0","0","0","0","1","0","0","0","0","0","20.4"
" 7541.0",NA,NA,"110","0","65","2","0","7","0","0","3","0","1","0","0","0","6","12","0","0","1","3","23","0","0","0","9","0","0","149","0","0","1","0","101","30","1","0","55","0","0","15","2","0","8","0","8","0","1","3","0","0","0","8","0","0","0","23.84"
" 7745.2",NA,NA,"112","0","71","3","0","11","1","0","8","0","0","0","0","8","8","29","0","0","1","2","34","1","0","0","7","0","0","150","0","0","2","0","138","28","6","0","41","0","1","14","12","0","5","2","4","0","3","1","0","0","0","13","0","2","0","42"
" 7945.7",NA,NA,"114","0","70","4","0","29","2","0","7","0","0","1","1","0","12","19","0","0","2","1","65","0","1","0","12","0","0","157","0","0","0","2","170","31","0","2","38","0","0","21","28","0","6","3","1","0","0","1","0","0","0","7","0","0","0","138.16"
" 8144.5",NA,NA,"116","2","45","4","0","14","12","1","5","0","1","1","0","2","27","8","0","4","4","0","59","0","0","0","3","0","0","153","0","0","0","0","165","41","4","2","29","0","0","12","51","0","1","0","2","0","0","0","1","1","0","9","0","0","0","256.04"
" 8346.1",NA,NA,"118","0","32","10","0","28","20","0","4","2","1","1","0","1","36","15","0","7","3","0","23","0","0","0","0","0","2","137","0","0","5","0","193","42","0","1","50","0","0","1","99","0","5","0","0","1","1","0","0","0","0","14","0","1","0","192.18"
" 8543.5",NA,NA,"120","0","26","6","1","11","21","0","4","1","0","2","4","1","11","17","0","2","2","8","44","0","0","0","16","0","4","141","0","0","8","4","221","37","5","0","39","0","0","0","38","0","0","4","0","0","0","0","0","0","0","6","1","2","0","147.71"
" 8751.5",NA,NA,"122","3","37","10","0","25","12","0","0","2","0","3","3","4","31","32","0","9","0","5","39","0","0","0","12","0","2","144","0","0","1","3","202","33","0","0","20","0","0","9","8","0","2","0","0","0","0","4","0","0","0","8","0","1","0","40.32"
" 8958.6",NA,NA,"124","0","37","11","1","12","11","0","3","1","0","1","1","0","17","21","0","7","2","0","51","0","0","0","11","0","3","150","0","0","11","0","253","28","3","1","48","0","0","7","12","0","6","3","0","0","0","2","0","0","0","7","0","1","0","44"
" 9159.9",NA,NA,"126","0","37","8","0","37","8","0","0","2","0","1","1","3","39","8","0","5","3","0","43","1","0","0","8","0","0","150","0","0","2","0","276","40","8","2","41","0","0","4","52","0","0","0","0","0","0","0","0","0","0","4","1","3","0","150"
" 9358.3",NA,NA,"128","1","23","7","0","21","9","0","1","1","0","1","1","5","12","11","0","2","0","1","56","0","1","0","9","0","0","150","0","0","8","0","290","31","0","1","34","0","0","3","31","0","6","3","0","0","2","2","1","1","0","6","0","2","0","75.51"
" 9555.9",NA,NA,"130","0","29","12","0","35","12","0","0","0","0","0","0","0","24","35","0","3","1","1","49","0","0","0","5","0","0","150","0","0","2","2","286","26","12","0","59","0","0","12","28","0","8","1","0","0","0","1","0","0","0","15","0","0","0","58.33"
" 9784.4",NA,NA,"132","0","45","1","1","17","15","0","0","0","0","2","0","2","26","12","0","0","0","1","38","0","0","0","9","0","1","150","0","0","1","1","301","30","0","0","66","0","1","1","12","0","0","2","0","1","0","0","0","0","0","8","0","3","0","143.75"
"10014.4",NA,NA,"134","2","62","0","1","21","8","0","1","0","0","0","1","0","12","18","0","0","1","0","24","0","0","0","3","0","0","144","0","1","0","0","287","39","2","1","45","0","0","11","8","0","5","8","0","0","0","0","0","1","0","7","2","2","0","47.02"
"10235.1",NA,NA,"136","0","71","0","0","10","6","0","6","0","0","0","1","4","10","13","0","0","4","2","3","0","1","0","3","0","0","143","0","1","1","0","351","27","1","2","25","0","0","14","3","0","0","14","7","0","0","2","1","1","0","2","1","1","0","117.18"
"10451.4",NA,NA,"138","0","75","0","0","12","5","0","5","0","0","0","1","1","13","3","0","0","9","2","4","0","0","0","5","0","0","148","0","3","4","5","288","24","7","0","48","0","0","15","5","0","4","29","6","4","1","3","0","5","0","2","0","2","0","96.65"
"10671.1",NA,NA,"140","1","67","0","0","13","5","0","0","0","2","0","0","5","12","1","2","1","12","3","5","0","0","0","1","0","0","158","0","2","10","7","237","19","3","0","59","0","0","18","2","0","7","21","4","3","0","1","0","3","0","1","0","5","0","54.77"
"11072.7",NA,NA,"142","0","77","1","1","11","4","1","0","0","0","0","0","0","15","6","3","2","13","5","4","1","0","0","9","0","0","150","0","4","2","9","198","22","0","0","70","0","0","13","3","0","5","18","8","1","1","0","0","1","0","0","0","9","0","10"
"11477.9",NA,NA,"144","1","39","2","0","35","3","0","4","0","1","0","1","8","45","2","3","3","11","2","2","0","0","0","5","0","0","146","0","3","5","4","91","31","3","0","123","0","0","11","0","0","3","15","5","2","0","0","0","8","0","0","1","13","0","9.73"
"11931.1",NA,NA,"146","0","40","3","0","31","3","0","8","1","2","0","0","6","38","1","1","3","1","2","0","0","0","0","7","0","0","150","0","2","4","3","135","16","0","0","100","0","1","10","0","0","5","8","1","0","0","1","1","12","0","0","1","21","0","18"
"12439.1",NA,NA,"148","0","45","7","0","58","1","0","0","1","0","1","0","5","29","0","2","5","2","3","0","0","0","0","8","0","0","169","0","0","3","1","90","10","0","1","141","0","0","11","0","0","7","2","3","0","1","1","0","5","0","0","0","39","0","69.85"
"12946.3",NA,NA,"150","2","54","4","0","54","4","0","1","3","0","1","4","1","31","0","1","5","8","11","12","0","0","0","2","0","0","178","0","0","3","0","120","11","3","0","96","0","0","2","0","0","2","3","4","0","0","1","0","4","0","0","0","43","0","13.96"
"13572.4",NA,NA,"152","0","34","11","1","69","5","0","2","0","1","0","1","0","27","0","1","9","5","2","0","0","0","0","7","0","0","170","0","0","0","0","91","9","0","0","131","0","0","8","0","0","10","2","1","2","2","0","1","2","0","0","1","72","0","6.8"
"14193.9",NA,NA,"154","0","24","6","0","63","11","0","8","1","1","1","1","5","16","0","4","7","3","3","3","0","0","0","4","0","0","170","0","0","2","0","99","20","0","1","109","0","0","1","0","0","4","10","0","0","0","1","1","1","0","0","0","91","0","8.88"
"14818.7",NA,NA,"156","2","47","13","0","79","1","0","10","2","0","0","1","5","21","0","1","10","1","4","12","0","0","0","9","0","0","170","0","0","1","2","100","13","5","0","98","0","1","2","0","0","14","6","0","0","0","1","0","2","0","0","0","89","0","21.79"
"15441.2",NA,NA,"158","0","29","8","0","75","1","0","7","2","0","1","3","8","21","1","1","4","3","1","8","0","0","0","11","0","0","190","0","0","0","0","93","11","2","0","105","0","0","1","0","0","0","5","0","0","1","2","0","1","0","0","0","102","0","89.41"
"16060.7",NA,NA,"160","0","35","16","0","88","4","0","6","2","4","3","3","6","18","0","5","9","10","0","1","0","0","0","12","0","0","190","0","0","1","1","103","9","0","0","99","0","0","6","0","0","6","0","0","0","1","0","0","2","0","1","2","131","0","52.15"
"16728.7",NA,NA,"162","1","22","9","1","81","3","0","2","1","0","1","1","4","15","0","6","6","8","7","2","0","0","0","1","0","0","213","0","0","2","0","85","9","0","1","131","0","0","0","0","0","12","6","0","1","0","0","1","1","0","0","0","120","0","33.41"
"17395.2",NA,NA,"164","0","10","19","0","95","15","0","0","1","0","0","5","3","12","1","11","7","2","6","1","0","0","0","1","0","0","222","0","0","2","3","101","21","1","2","102","0","0","0","0","0","0","11","0","0","3","1","0","1","0","0","0","158","0","17.41"
"18068.0",NA,NA,"166","0","3","11","0","87","10","0","0","1","0","1","0","6","9","2","12","10","3","0","3","0","0","0","0","0","0","226","0","0","0","3","79","8","0","1","134","0","1","2","0","0","8","3","0","0","0","2","0","0","0","1","2","143","0","22.74"
"18747.9",NA,NA,"168","1","5","22","0","113","0","0","8","1","2","0","0","2","7","0","13","9","6","0","1","0","0","0","8","0","0","238","0","0","1","0","112","11","0","1","93","0","0","0","0","0","9","9","0","0","1","2","0","0","0","0","1","154","0","34.22"
"19427.1",NA,NA,"170","2","8","12","1","99","0","0","6","1","2","2","4","3","7","1","4","12","8","2","2","0","0","0","5","0","0","247","0","0","2","1","89","10","1","0","115","0","0","0","0","0","8","5","0","2","0","1","0","0","0","0","0","165","0","13.17"
"20033.3",NA,NA,"172","0","2","23","0","102","1","0","13","2","0","1","5","8","10","0","5","14","3","5","1","0","0","0","4","0","0","299","0","0","2","2","90","15","2","0","121","0","0","1","0","0","6","10","0","1","0","3","0","0","0","0","0","174","0","11.28"
