"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calluna","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Hedera","HippophaÃ«","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Lobelia","Loranthus","Lotus t.","Lysimachia","Lythrum","Menyanthes","Mercurialis","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Orchidaceae","Papaver t.","Parnassia","Pedicularis","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Vitis","Zygophyllum t."
" 5205"," 5628"," 4784"," 830","39","0","0","0","1","1","1","0","7","0","0","0","0","1","0","0","0","0","6","0","0","1","0","0","0","0","0","4","17","397","0","1","0","0","19","0","95","1","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","158","0","0","0","31","0","0","0","0","0","0","0","0","58","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","3","1","34","0","0","0","0","0"
" 5324"," 5729"," 4924"," 850","24","0","0","2","1","1","2","0","8","2","0","0","0","3","0","0","0","0","30","0","0","0","0","0","1","0","0","11","7","878","0","1","1","0","42","0","35","2","0","0","1","9","0","0","0","0","0","0","1","1","0","0","0","0","3","0","0","0","0","1","1","1","0","0","2","18","0","0","119","0","1","0","25","4","3","0","0","0","0","0","0","86","0","0","0","0","1","0","1","0","4","0","3","7","0","0","0","1","4","1","0","0","0","0","0","1"
" 5532"," 5903"," 5166"," 885","71","0","0","0","1","0","1","0","4","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","0","4","4","277","0","1","0","0","16","1","70","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","129","0","0","0","18","2","3","0","0","0","0","0","0","42","1","0","0","0","8","0","0","0","0","1","1","0","0","0","0","0","1","3","22","1","0","0","0","0"
" 5799"," 6128"," 5477"," 930","53","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","1","3","240","0","0","0","1","14","0","117","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131","0","0","0","34","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","1","22","0","0","0","0","0"
" 6007"," 6304"," 5718"," 965","47","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","5","357","0","0","0","0","37","0","53","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","137","0","0","0","9","0","0","0","0","0","0","0","0","68","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","2","2","0","0","0","0","0","0"
" 6096"," 6379"," 5820"," 980","47","0","0","1","0","0","0","0","5","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","2","0","0","1","19","217","0","0","1","0","6","0","69","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","86","0","2","0","61","1","0","0","0","0","0","0","0","19","2","0","0","0","4","0","0","0","2","0","2","0","0","0","0","0","2","2","28","0","0","0","0","0"
" 6394"," 6634"," 6163","1030","39","1","0","1","1","0","0","0","4","1","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","6","4","268","0","0","0","0","26","0","963","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","221","0","0","0","26","0","0","0","0","0","0","0","0","64","0","0","0","1","4","0","0","0","0","0","3","1","1","0","1","0","3","4","30","0","0","0","1","0"
" 6512"," 6736"," 6299","1050","32","0","0","0","2","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","5","11","270","0","0","0","0","3","0","268","0","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","3","0","35","0","0","0","0","0","0","0","0","16","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","3","1","2","0","0","0","0","0"
" 6780"," 6974"," 6606","1095","71","0","0","2","0","1","0","0","2","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0","18","1","586","0","0","0","0","37","0","555","0","1","0","7","15","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","191","0","0","0","26","0","0","0","0","0","0","0","2","71","0","0","0","0","3","0","0","0","1","0","2","0","2","0","0","0","2","3","22","1","0","0","0","0"
" 6988"," 7158"," 6834","1130","49","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","3","2","74","0","0","0","0","7","0","323","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158","0","0","0","28","0","0","0","0","0","0","0","0","26","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0"
" 7107"," 7266"," 6962","1150","63","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","0","1","18","9","516","0","0","0","0","47","0","913","0","0","0","5","3","0","0","0","0","0","1","1","38","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","207","0","2","0","28","1","0","0","0","0","0","0","0","98","0","0","0","0","7","0","0","0","0","0","1","0","1","0","0","1","1","2","0","1","0","0","1","0"
" 7226"," 7378"," 7089","1170","44","1","0","0","1","0","1","0","5","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","8","2","114","0","0","0","0","17","0","231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","26","1","0","0","0","0","0","0","0","48","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","9","2","46","0","0","0","0","0"
" 7285"," 7436"," 7152","1180","64","0","0","1","1","1","1","0","5","0","0","0","1","1","0","0","0","0","22","0","0","0","0","0","1","0","0","18","9","247","0","0","0","0","25","0","113","0","0","1","0","3","0","1","0","0","0","0","1","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","194","0","0","0","19","0","0","0","0","1","1","0","0","85","0","0","0","1","3","0","1","0","0","0","1","0","2","0","1","0","0","4","0","1","0","0","2","0"
" 7374"," 7525"," 7246","1195","12","0","0","0","4","0","1","0","5","0","0","0","0","2","0","0","0","2","8","0","0","0","0","0","1","0","0","11","6","115","0","0","0","0","1","0","217","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128","0","0","2","21","2","0","0","0","0","0","0","0","8","0","0","0","0","2","0","0","0","0","0","0","0","3","0","1","0","2","0","22","0","0","0","0","0"
" 7612"," 7768"," 7485","1235","25","0","0","0","5","0","0","0","2","0","0","3","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","4","0","30","0","2","0","0","2","0","272","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121","0","0","1","22","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","1","12","0","0","0","0","0"
" 7731"," 7893"," 7600","1255","47","1","35","0","1","0","1","0","4","0","0","0","0","0","0","0","0","0","19","0","0","0","1","0","0","0","0","21","7","189","0","0","0","0","24","0","372","2","0","1","2","5","0","0","0","0","0","0","1","7","0","0","0","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","64","0","3","0","186","3","0","0","7","0","0","0","0","52","2","0","0","2","7","0","1","0","0","0","1","0","1","0","0","0","8","3","0","0","0","0","0","0"
" 7803"," 7945"," 7682","1270","30","0","0","0","0","0","1","0","8","1","0","0","0","7","0","0","0","0","32","0","2","0","0","0","2","0","0","27","2","137","0","0","0","0","19","0","304","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","77","0","0","0","338","0","0","0","0","0","0","0","0","63","0","0","0","1","17","0","0","0","1","0","45","0","0","1","0","0","15","4","4","0","0","0","0","0"
" 7845"," 7969"," 7732","1280","36","0","0","3","1","1","3","0","2","0","4","0","0","4","0","0","0","0","28","0","0","0","0","0","0","0","0","58","8","75","0","0","0","0","28","0","38","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","42","0","0","2","375","1","0","0","0","0","0","0","2","72","1","0","0","2","5","0","3","0","2","0","23","0","4","0","0","0","14","2","4","15","0","0","0","0"
" 7950"," 8064"," 7845","1305","47","0","0","3","3","1","0","0","5","1","0","0","0","7","0","0","0","0","23","0","0","0","0","0","1","0","0","29","6","171","0","0","0","0","18","0","17","2","0","2","1","1","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","51","1","0","1","379","1","0","0","0","0","0","0","0","79","2","0","0","1","1","0","3","0","3","0","12","0","3","0","1","2","11","3","4","1","0","0","0","0"
" 8055"," 8215"," 7928","1330","50","0","0","1","4","1","1","0","2","0","0","0","0","15","0","0","0","0","30","0","0","0","0","0","0","0","2","44","4","383","0","0","2","2","39","0","34","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0","64","0","2","0","297","0","1","0","0","1","0","0","0","101","0","0","1","2","1","0","0","0","0","0","8","0","25","0","0","1","14","2","38","0","0","0","0","0"
" 8388"," 8539"," 8254","1355","110","0","0","0","2","1","0","0","7","3","2","0","0","3","1","0","0","0","4","0","0","0","0","0","0","0","0","6","29","682","0","0","0","0","2","0","4","0","0","1","3","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","87","0","4","1","142","0","0","0","0","0","0","0","0","25","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","12","0","0","0","0","0"
" 8874"," 9034"," 8723","1380","96","0","0","1","2","0","3","0","2","2","1","0","0","2","0","0","0","0","5","0","0","0","0","2","0","0","0","9","12","250","0","0","0","0","10","0","5","4","0","0","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","129","0","0","0","131","1","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","3","2","28","0","0","0","0","0"
" 9068"," 9240"," 8901","1390","65","0","0","0","3","1","6","0","2","0","0","0","0","7","0","0","0","0","2","0","1","0","0","0","1","0","0","4","11","311","0","0","0","0","3","0","369","3","0","1","1","4","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","113","0","0","0","193","0","0","0","0","0","0","0","0","42","3","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","6","0","22","0","0","0","0","0"
" 9457"," 9661"," 9248","1410","50","1","0","0","3","1","3","0","2","1","0","3","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","4","9","133","0","0","0","0","2","0","22","1","0","1","3","6","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","77","0","0","0","101","0","0","0","0","0","0","0","0","17","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","8","0","0","0","1","0"
" 9845","10091"," 9589","1430","55","0","0","0","2","0","2","0","6","2","0","2","0","9","0","0","0","0","5","0","0","0","0","1","1","0","0","0","6","87","0","0","0","0","0","0","23","94","1","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81","0","0","0","97","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","8","0","2","0","0","1","0","0","0","0","0","0","0","0"
"10137","10420"," 9846","1445","52","0","0","2","3","1","14","1","7","1","0","0","0","17","0","0","0","0","0","0","0","0","0","0","2","0","0","6","9","901","0","0","0","1","3","0","19","1","0","0","3","12","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","75","0","0","0","183","0","0","0","0","1","0","0","0","46","1","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","0","2","0","0","0","0","0","0"
"10428","10751","10102","1460","36","0","0","1","3","0","15","0","3","1","0","0","0","4","0","0","0","1","4","0","1","0","0","0","2","0","0","9","11","1877","0","0","0","0","11","0","16","4","0","1","0","8","0","0","0","0","0","0","2","0","0","0","0","0","3","0","0","1","0","0","0","2","0","0","0","0","0","0","91","0","0","0","221","0","0","0","0","0","0","0","0","116","4","0","1","0","2","0","2","2","2","0","0","0","0","0","1","0","1","3","0","0","0","0","0","0"
"10816","11193","10440","1480","61","1","0","0","5","0","67","0","2","1","1","0","0","11","1","0","0","0","6","0","1","0","0","0","4","0","0","3","4","166","0","0","0","0","0","0","8","81","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","122","0","0","0","361","0","0","0","0","0","0","0","0","69","0","0","0","0","0","0","0","0","0","0","28","0","1","0","2","0","0","0","0","0","0","0","0","0"
"11205","11636","10777","1500","41","1","0","0","7","0","10","8","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","3","5","146","0","0","0","0","0","0","6","328","0","0","1","3","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","47","0","0","0","171","0","0","0","3","0","0","0","0","28","0","0","0","0","1","0","0","0","0","0","3","0","0","0","2","0","1","1","0","0","0","0","0","0"
"11496","11967","11027","1515","29","0","0","0","2","1","1","13","3","1","3","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","3","2","106","0","0","0","0","1","0","0","314","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","105","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","18","0","1","0","1","0","0","1","0","0","0","0","0","0"
"11788","12299","11278","1530","25","0","0","1","11","0","9","0","9","0","0","0","0","3","5","0","1","0","0","1","0","0","0","0","2","0","0","2","4","257","0","0","0","0","2","0","0","1283","0","3","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","22","0","0","0","237","0","1","0","0","0","0","0","0","25","1","1","0","0","2","0","0","0","1","0","39","0","0","0","3","0","0","2","0","0","0","0","0","0"
"12294","12725","11852","1545","17","0","0","0","13","3","11","0","47","3","0","0","0","15","2","0","0","0","1","0","0","0","0","2","1","0","0","0","13","611","4","0","1","0","2","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","14","0","0","0","209","1","1","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","46","0","4","0","0","0","1","0","0","0","0","0","0","0"
"12660","13037","12264","1555","19","0","0","0","11","4","2","0","69","1","3","0","0","0","1","0","0","3","0","0","1","0","0","2","0","0","0","2","2","429","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","0","0","0","98","2","1","0","0","0","0","2","0","23","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0"
"13209","13575","12849","1570","4","0","0","1","19","1","2","0","105","0","7","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","322","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","723","1","1","0","0","0","0","0","0","15","0","0","2","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"13392","13772","13034","1575","15","1","0","2","25","0","1","0","100","5","2","0","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","2","6","1690","1","0","1","0","1","0","0","1","0","0","0","13","3","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","1","105","0","1","0","0","0","0","0","0","31","1","0","0","2","1","0","0","0","1","0","2","0","8","0","0","2","0","0","0","1","0","0","0","0"
"13575","13981","13217","1580","17","0","0","0","12","2","3","0","31","0","1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","1","9","774","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","1","0","74","0","1","0","0","0","0","0","0","11","0","0","0","0","1","0","0","0","0","0","1","0","5","0","1","0","0","0","0","0","0","0","0","0"
"13941","14406","13564","1590","14","1","0","1","7","2","4","0","43","3","5","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","2","10","889","1","0","1","0","0","1","0","0","0","1","0","11","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","1","13","0","1","0","88","3","1","0","0","0","0","0","0","54","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","3","1","0","0","0","0","0","0"
"14307","14842","13880","1600","21","1","0","0","22","6","5","0","54","5","10","0","0","12","2","0","0","0","0","0","1","0","0","0","5","2","0","2","35","865","2","0","0","0","1","0","2","0","0","2","0","16","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","30","0","1","0","88","2","2","0","0","0","0","0","0","64","1","0","0","0","0","0","0","0","0","0","3","0","2","0","1","0","0","2","12","0","0","0","0","0"
"14654","15265","14159","1610","5","0","0","3","14","3","6","0","47","6","4","0","0","4","1","0","0","0","0","0","0","0","0","1","1","0","0","0","30","302","0","0","1","0","1","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","79","1","1","0","0","1","0","0","0","37","0","0","0","0","6","0","0","0","0","0","7","0","7","0","0","0","0","0","48","0","0","0","0","0"
"15020","15716","14440","1620","7","0","0","0","28","8","30","0","61","8","14","0","0","15","1","0","0","0","0","0","1","0","0","2","11","0","0","0","25","1079","1","0","0","0","0","0","4","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","92","0","0","0","99","3","0","0","0","0","0","0","0","37","3","0","0","0","1","0","0","0","0","0","56","0","24","0","0","1","44","0","26","0","0","0","0","0"
"15935","16874","15129","1645","1","0","0","0","40","0","1","0","184","37","1","0","0","32","0","0","0","0","0","0","0","0","0","0","75","0","0","0","11","336","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","116","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16484","17578","15541","1660","0","0","0","0","8","2","4","0","15","29","2","0","0","1","0","0","0","4","0","0","1","0","0","2","93","0","0","0","1","323","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"17216","18519","16088","1680","0","0","0","1","66","0","0","0","99","65","4","0","0","4","0","2","0","0","0","0","1","0","0","0","147","0","0","0","0","542","3","0","1","0","0","0","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","0","77","0","9","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
