"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Atraphaxis","Berberis t.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Buxus","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Frankenia","Galium t.","Geranium","HippophaÃ«","Lamiaceae undif.","Leontice","Linum t.","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Musci","Myriophyllum spicatum/verticillatum t.","Nitraria","Nuphar","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex subg. Emex","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianella","Viola","Vitis"
"9338","9723","8990"," 230","   0","   2","   0","   0","   1"," 222","  23","   7","   0"," 118","  10","   0","   0","   9","   2","   4","   0","   0","   7","   0","   3","   0","   2","   6","   4","   0","   0","   0","   0","   5","   5","   0","   0","   0","   0","   4","   0","   0","   0","   1","  14","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  20","   0","   0","   1","   0","   3","   1","   0","   0","   8","   0","   1","   4"," 108","   1","   0","   0","   3"," 142","   3","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","   1","   0","   0","   0","   4","   0","  12","   0","   0","   0","   0","   1"
" 9715","10057"," 9399","  240","    0","    1","    0","    0","    8","  333","   34","   19","    0","  232","   28","    0","    0","   30","    5","    3","    0","    0","   15","    1","    8","    0","    0","    4","    6","    0","    0","    2","    5","    5","   11","    0","    0","    0","    0","    2","    0","    0","    0","    0","   18","    0","    1","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    7","    0","    0","    0","    0","    0","   11","    0","    2","    3","   96","    1","    0","    0","    7","  247","    0","    0","    0","    1","    0","    0","    2","    0","    0","   47","    0","    0","    3","    1","    0","    0","    0","    2","   24","    0","    0","    2","    0","    2"
"10093","10397"," 9809","  250","    0","    0","    0","    0","    2","  172","   14","    2","    0","   71","    4","    0","    1","    7","    1","    2","    0","    0","    6","    1","    0","    0","    2","    2","    0","    0","    0","    0","    1","    7","    5","    0","    0","    0","    0","    4","    0","    0","    0","    0","   14","    1","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","    2","    0","    6","    0","    0","    0","    2","    0","    1","    0","  177","    0","    0","    0","    3","  104","    0","    0","    0","    0","    0","    0","    2","    0","    0","   26","    0","    0","    0","    0","    0","    0","    4","    2","    8","    0","    0","    0","    0","    0"
"10470","10742","10214","  260","    0","    0","  152","    0","    0","  185","    6","    2","    0","   56","    3","    0","    0","   14","    1","    2","    0","    0","    3","    0","    3","    0","    1","    1","    0","    0","    0","    0","    1","    2","   21","    0","    0","    0","    0","    8","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  261","    0","    0","    0","    0","    0","    0","    0","    0","    3","    2","    3","    1","  227","    0","    0","    0","    0","   51","    2","    0","    1","    0","    0","    0","    0","    0","    0","   73","    0","    0","    5","    0","    0","    0","    2","    2","   22","    0","    0","    0","    0","    1"
"10848","11096","10615","  270","    0","    1","   22","    0","    0","  138","    7","    8","    0","   55","    3","    0","    0","   61","    1","    1","    0","    0","    1","    0","    6","    0","    3","    0","    7","    0","    0","    0","    1","    0","   33","    0","    0","    0","    0","    5","    0","    0","    0","    0","    5","    0","    0","    0","    3","    0","    6","    2","    0","    0","    0","    0","    2","    0","    0","    0","   17","    0","    1","    0","    0","    5","    2","    0","    0","    2","    4","    1","    0","  299","    1","    1","    0","    0","   41","    3","    0","    0","    0","    0","    2","    0","    0","    0","   69","    0","    0","    6","    0","    0","    0","    4","    0","   22","    0","    0","    0","    0","    0"
"11226","11454","11009","  280","    0","    0","    3","    0","    0","  156","    9","    6","    0","   71","    3","    0","    0","   80","    1","    5","    0","    0","    0","    0","    0","    0","    2","    0","    4","    0","    0","    1","    0","    1","   37","    0","    0","    0","    0","    3","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    3","    0","    0","    0","    2","    0","    1","    0","  288","    5","    0","    0","    0","    4","    3","    0","    1","    0","    1","    3","    0","    0","    0","   69","    0","    0","    1","    0","    0","    0","    4","    0","   40","    0","    0","    1","    0","    0"
"11603","11819","11400","  290","    0","    1","    2","    0","    0","  183","    6","    3","    0","  136","    2","    0","    0","  107","    1","    2","    0","    0","    1","    0","    1","    0","    3","    2","    4","    0","    0","    0","    0","    1","   25","    0","    0","    0","    0","    6","    0","    0","    0","    0","    6","    0","    0","    0","    5","    0","   11","    0","    0","    0","    0","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","  253","    0","    1","    0","    1","   22","    1","    1","    0","    0","    0","    3","    0","    1","    0","   34","    0","    1","    4","    0","    0","    0","    1","    0","   50","    0","    0","    0","    0","    0"
"11943","12159","11750","  299","    0","    0","    1","    0","    0","  163","    4","    2","    0","  178","    3","    0","    0","  137","    0","    1","    0","    0","    1","    0","    1","    0","    1","    3","    4","    0","    0","    0","    0","    1","   12","    2","    0","    0","    0","    7","    1","    1","    0","    0","   11","    0","    0","    0","    3","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    2","    1","  182","    6","    0","    0","    0","   28","    0","    0","    0","    0","    0","    0","    0","    0","    0","   44","    0","    2","    3","    0","    0","    0","    2","    0","   34","    0","    0","    0","    0","    0"
"12358","12586","12167","  310","    0","    0","   50","    0","    0","  238","    1","    4","    0","  226","    7","    0","    0","  109","    0","    5","    0","    0","    1","    0","    3","    0","    2","    1","    6","    0","    0","    0","    0","    4","   31","    0","    0","    0","    0","   10","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","   28","    1","    1","    0","    0","    0","    0","    0","    0","    1","   14","    0","    0","    0","    0","    8","    0","    0","    0","    3","    0","    2","    1","  182","    1","    0","    0","    0","   40","    2","    0","    1","    0","    0","    3","    0","    0","    0","   21","    0","    0","    2","    0","    0","    0","    1","    0","   54","    0","    0","    0","    0","    0"
"12736","12986","12536","  320","    0","    0","  171","    0","    1","  225","    4","    1","    0","  213","    2","    0","    0","    8","    0","    1","    0","    0","    0","    0","    1","    0","    1","    1","    2","    1","    0","    0","    0","    0","   17","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   46","    0","    0","    0","    0","    4","    0","    0","    0","    2","    0","    2","    1","  174","    2","    0","    0","    0","   35","    1","    0","    0","    0","    0","    0","    1","    0","    0","   17","    0","    0","    2","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0"
"12897","13146","12698","  330","    0","    0","   61","    0","    0","  191","    0","    2","    0","  132","    1","    0","    0","    1","    0","    1","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    1","    8","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    3","    0","    0","    0","    3","    0","    1","    0","  142","    2","    0","    0","    0","   24","    1","    0","    0","    0","    1","    0","    0","    0","    0","   13","    0","    0","    1","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"13004","13245","12803","  340","    0","    1","  301","    0","    1","  284","    6","    0","    0","  235","    4","    0","    0","    5","    0","    1","    0","    0","    1","    0","    0","    0","    1","    1","    3","    0","    0","    0","    0","    1","   11","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    6","    0","    0","    0","    6","    0","    1","    1","  196","    1","    1","    0","    1","   35","    0","    0","    0","    0","    0","    0","    1","    0","    0","   28","    1","    0","    2","    0","    0","    0","    0","    0","   28","    0","    0","    0","    0","    0"
"13112","13346","12902","  350","    0","    0","    6","    0","    0","  398","   10","    1","    0","  270","    2","    0","    0","   10","    0","    0","    0","    0","    4","    0","    3","    0","    0","    2","    1","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","  106","    2","    1","    0","    0","   66","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"13219","13455","13001","  360","    0","    0","   58","    0","    0","  114","    4","    0","    0","   44","    3","    0","    0","    2","    1","    0","    0","    0","    1","    1","    1","    0","    1","    0","    0","    0","    0","    0","    0","    1","    7","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    7","    0","    1","    0","  175","    0","    0","    0","    0","   21","    1","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0"
"13326","13566","13098","  370","    1","    1","   31","    0","    0","   26","    1","    1","    0","   13","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    1","    0","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    1","   58","    0","    1","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"13433","13680","13195","  380","    0","    0","  140","    2","    0","  351","    8","    3","    0","   83","   11","    0","    0","    6","    0","    0","    0","    0","    1","    0","    4","    0","    2","    2","    2","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    4","    0","    0","    0","   10","    0","    3","    2","  209","    3","    3","    0","    5","   41","    0","    0","    0","    0","    0","    0","    0","    0","    0","   41","    0","    0","    0","    0","    0","    0","    3","    0","    8","    0","    0","    0","    0","    0"
"13626","13889","13365","  398","    0","    0","  578","    0","    0","  261","    2","    3","    0","   86","    8","    0","    0","    6","    1","    0","    0","    0","    2","    0","    3","    0","    1","    1","    2","    0","    0","    0","    0","    2","   18","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    4","    0","    0","    0","    7","    0","    3","    0","  344","    0","    0","    0","    2","   30","    0","    0","    1","    0","    0","    0","    2","    0","    0","   29","    0","    0","    0","    0","    0","    0","    1","    0","   14","    0","    0","    0","    0","    1"
"13755","14031","13475","  410","    0","    0","   68","    0","    1","  371","   11","    2","    0","  103","   40","    0","    0","    2","    0","    1","    0","    0","    1","    0","    3","    0","    0","    1","    3","    0","    0","    0","    0","    2","   25","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    7","    0","    0","    0","    3","    2","    5","    0","  313","    0","    2","    0","    2","   36","    0","    0","    0","    0","    0","    0","    0","    0","    0","   53","    0","    0","    0","    0","    0","    0","    2","    0","   14","    1","    0","    0","    0","    0"
"13862","14151","13566","  420","    0","    0","  193","    0","    0","  435","    3","    1","    0","   72","   22","    0","    0","    4","    0","    2","    0","    0","    1","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    2","   31","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    1","    0","    0","    0","    4","    0","    0","    0","    4","    0","    2","    2","  254","    0","    1","    0","    0","   25","    0","    0","    0","    0","    0","    1","    1","    0","    0","   36","    0","    0","    1","    0","    0","    0","    1","    1","   12","    0","    0","    0","    0","    0"
"14077","14393","13745","  440","    0","    0"," 1166","    0","    0","  184","    1","    2","    0","  212","    0","    0","    0","    1","    1","    6","    1","    0","    0","    0","    1","    0","    0","    3","    3","    1","    0","    0","    0","    1","   15","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    1","    1","    2","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    8","    0","    1","    0","  225","    1","    2","    0","    3","   12","    1","    0","    0","    0","    1","    0","    0","    0","    0","   11","    0","    0","    1","    0","    0","    1","    0","    0","   10","    1","    0","    0","    0","    0"
"14184","14516","13834","  450","    0","    0","  135","    0","    0","  244","    6","    1","    1","  343","    5","    0","    0","    2","    1","    1","    0","    0","    0","    0","    1","    0","    3","    2","    6","    0","    0","    0","    0","    3","   15","    0","    1","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    6","    0","    5","    2","  173","    0","    0","    0","    3","   26","    3","    0","    0","    0","    0","    1","    0","    0","    0","   21","    0","    0","    1","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0"
"14345","14702","13965","  465","    0","    0","   48","    0","    0","  200","    2","    0","    0","  169","    0","    0","    0","    7","    0","    0","    0","    0","    1","    0","    1","    0","    3","    3","    3","    0","    0","    0","    0","    2","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    3","    1","  210","    0","    0","    0","    1","   12","    0","    0","    0","    0","    0","    1","    0","    0","    0","   23","    0","    0","    0","    0","    0","    0","    1","    0","    6","    0","    0","    0","    0","    0"
"14527","14918","14115","  482","    0","    0","   13","    0","    1","  357","    8","    5","    0","  508","    6","    0","    0","    6","    0","    2","    0","    1","    1","    0","    1","    0","    0","    1","    5","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    5","    2","   65","    0","    2","    0","    6","   13","    6","    0","    0","    0","    1","    1","    0","    0","    0","    6","    0","    0","    2","    0","    1","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"14720","15148","14271","  500","    0","    0","    7","    0","    0","  248","    5","    1","    0","  347","    3","    2","    0","    8","    1","    0","    0","    0","    0","    0","    3","    0","    3","    0","   12","    1","    0","    0","    0","    1","    6","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    5","    0","    3","    0","  214","    0","    0","    0","    0","   15","    0","    0","    1","    0","    1","    0","    0","    0","    0","    9","    0","    0","    1","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"14849","15302","14374","  512","    0","    0","  448","    0","    0","  417","    3","    4","    0","  364","    5","    1","    0","    2","    0","   10","    0","    0","    1","    0","    5","    0","    3","    2","   17","    0","    0","    0","    0","    3","    9","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    2","    0","    0","    0","    4","    0","    6","    4","  362","    0","    0","    0","    0","   34","    1","    0","    0","    0","    0","    0","    0","    0","    1","   18","    0","    0","    2","    0","    0","    0","    0","    0","   18","    1","    0","    0","    2","    0"
"15042","15534","14528","  530","    0","    0","    2","    0","    1","  470","    3","    1","    0","  294","    8","    1","    0","    0","    0","    5","    0","    0","    3","    0","    2","    0","    1","    5","    8","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    3","   55","    0","    0","    0","    0","    7","    0","    0","    0","    1","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0"
"15181","15702","14638","  543","    0","    0","    0","    0","    0","  654","    4","    0","    0","  181","   12","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    9","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    8","   20","    0","    0","    0","    0","    8","    1","    0","    0","    0","    0","    2","    0","    1","    0","    2","    0","    4","    0","    0","    0","    0","    0","    0","   16","    1","    0","    0","    0","    0"
"15342","15897","14764","  558","    0","    0","    1","    0","    0","  820","    2","    1","    1","  385","   18","    0","    0","    2","    0","    1","    0","    0","    1","    0","    0","    0","    1","    6","   65","    0","    1","    0","    0","    2","    7","    0","    0","    0","    1","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","   22","    0","    0","    0","    6","    0","    0","    0","    3","    0","    4","   14","   40","    0","    0","    0","    0","   24","    0","    0","    0","    0","    2","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"15525","16117","14905","  575","    0","    0","    0","    0","    1","  598","    5","    0","    1","  305","   12","    0","    0","    2","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","   23","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    2","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","   17","    0","    0","    0","    3","    0","    0","    0","    4","    1","    3","    6","   26","    0","    1","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","   20","    2","    0","    0","    0","    0"
