"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cistaceae","Convolvulaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","Indeterminable","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Myrtus","Olea t.","Persicaria t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Salix","Sambucus","Thymelaeaceae undif.","Typha","Unknown","Valerianaceae undif.","Viburnum"
"1132",NA,NA,"  55","   0","   1","   1","   4","   0","   0","   2","   0","   0","   1","   1","   0","   1","   0","   0","  86","   0","   0","   2","   1","   0","   0","  11","  12","   2","   0","   1","   2","   0","   0","  16","   0","  17","   3","  87","   3","   0","   3","   6","   0","   0","   0"
"1187",NA,NA,"  60","   0","   0","   2","   8","   0","   0","   6","   0","   0","   0","   3","   0","   0","   0","   0"," 116","   6","  10","   3","   2","   0","   4","   4","  13","   2","   0","   3","   0","   0","   4","  20","   0","  12","   2","  65","   8","   1","   1","   6","   0","   0","   0"
"1241",NA,NA,"  65","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 100","   2","   3","   4","   1","   1","   1","   3","  16","   3","   0","   0","   0","   0","   1","  15","   2","  10","   2","  90","   2","   0","   1","   6","   0","   0","   0"
"1296",NA,NA,"  70","   0","   0","   2","  12","   0","   0","   7","   0","   3","   2","   6","   0","   4","   1","   0","  55","  12","  10","   2","   0","   0","   5","   5","  19","   7","   0","   2","   0","   0","   5","  20","   0","  40","  12","  85","   7","   3","   0","  29","   0","   0","   0"
"1351",NA,NA,"  75","   0","   0","   1","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  65","   0","   4","   0","   0","   0","   2","   8","   4","   4","   0","   0","   0","   0","   2","  20","   0","  42","   4","  80","   4","   1","   1","   1","   0","   1","   0"
"1406",NA,NA,"  80","   0","   0","   2","  18","   0","   0","   7","   0","   0","   0","   3","   0","   1","   0","   0","  39","   6","   4","   2","   0","   0","   0","   8","  19","   3","   0","   2","   2","   0","   0","  17","   0","  25","  11","  70","  11","   1","   4","   5","   1","   0","   0"
"1460",NA,NA,"  85","   0","   1","   0","  32","   0","   0","  10","   0","   0","   0","   6","   0","   0","   0","   2","  30","   2","   6","   3","   0","   0","   0","  11","  26","   2","   0","   1","   1","   0","   0","  19","   0","  23","   9","  66","   7","   2","   2","   3","   1","   0","   0"
"1515",NA,NA,"  90","   0","   0","   3","  34","   0","   0","   6","   0","   0","   0","   8","   0","   0","   0","   0","  67","   5","   1","   1","   4","   0","   0","   5","  18","   3","   0","   0","   1","   0","   0","  18","   0","  17","  12","  50","  14","   1","   0","   1","   1","   0","   0"
"1570",NA,NA,"  95","   0","   0","   0","  11","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","  63","   4","   4","   4","   3","   0","   3","   2","  16","   0","   0","   0","   1","   0","   3","  36","   0","  20","   7","  63","  14","   0","   0","   2","   1","   0","   0"
"1624",NA,NA," 100","   0","   2","   2","  21","   1","   0","   8","   2","   0","   1","   4","   0","   0","   4","   0","  45","   6","   6","   2","   5","   1","   5","   2","  20","   1","   0","   0","   1","   0","   5","  25","   2","  25","   6","  60","  11","   0","   0","   1","   4","   0","   0"
"1679",NA,NA," 105","   0","   3","   4","  31","   0","   0","   6","   0","   0","   1","   5","   0","   0","   0","   0","  53","   5","   7","   1","   4","   0","   4","   5","  20","   5","   0","   2","   2","   0","   4","  16","   0","  15","   9","  52","  13","   2","  12","   5","   1","   0","   0"
"1734",NA,NA," 110","   0","   3","   8","  55","   1","   0","  12","   4","   0","   0","   4","   0","   1","   1","   0","  85","  14","   5","   1","   0","   0","   1","   2","  19","   7","   0","   1","   2","   0","   1","  22","   0","  42","  12","  80","  10","   6","   0","   2","   3","   0","   0"
"1789",NA,NA," 115","   0","   2","   3","  51","   2","   0","   5","   5","   0","   0","   6","   0","   0","   0","   0","  53","   3","   9","   6","   2","   0","   0","   1","  11","   3","   0","   0","   0","   0","   0","  22","   0","  37","   0","  50","  13","   0","   0","   3","   3","   0","   0"
"1843",NA,NA," 120","   0","   4","   2","  63","   3","   0","   3","   1","   0","   2","  11","   0","   1","   0","   0","  71","   6","   4","   8","   1","   0","   0","   1","  25","   4","   0","   1","   3","   0","   0","  18","   0","  30","   6","  60","  28","   1","   3","   1","   1","   0","   0"
"1898",NA,NA," 125","   0","   2","   3","  71","   1","   0","  16","   1","   0","   3","  10","   0","   0","   0","   0","  58","   7","   5","   7","   1","   0","   0","   0","  24","   4","   0","   0","   1","   0","   0","  27","   0","  29","   3","  40","  21","   1","   0","   1","   1","   0","   1"
"1953",NA,NA," 130","   0","   3","   1","  42","   0","   0","  14","   6","   0","   1","  15","   0","   0","   0","   1","  49","  17","   7","   4","   1","   0","   0","   0","  22","   1","   0","   0","   2","   0","   0","  20","   0","  27","   4","  52","  10","   2","   0","   0","   3","   0","   0"
"2007",NA,NA," 135","   0","   1","   1","  75","   0","   0","  12","   0","   0","   0","  19","   0","   1","   0","   0","  56","  19","   2","   3","   0","   1","   2","   0","  29","   3","   0","   3","   4","   0","   2","  20","   0","  30","   6","  40","  13","   1","   2","   0","   1","   0","   0"
"2062",NA,NA," 140","   0","   4","   3"," 110","   0","   0","  23","   0","   0","   4","  39","   0","   1","   0","   1","  48","  46","   7","   7","   0","   2","   4","   8","  50","   9","   0","   0","   3","   0","   4","  21","   0","  36","   7","  47","  22","   6","   3","   4","   2","   0","   0"
"2117",NA,NA," 145","   1","   1","   5","  72","   0","   0","  26","   1","   0","   0","  10","   0","   2","   0","   0","  55","  19","  10","   6","   4","   1","   2","   5","  67","   6","   0","   0","   0","   0","   2","  12","   0","  40","  10","  55","  23","   5","   4","   4","   1","   0","   0"
"2171",NA,NA," 150","   0","   0","   3","  15","   3","   0","   2","   1","   0","   0","   8","   0","   1","   0","   0","  94","   1","   4","   2","   2","   0","   1","   6","  19","   3","   0","   0","   2","   0","   1","  17","   0","  20","   1","  30","   8","   0","   1","   3","   4","   0","   0"
"2226",NA,NA," 155","   0","   0","   3","  32","   1","   0","   8","   1","   1","   0","   6","   0","   0","   0","   0","  50","   2","   3","   8","   6","   1","   1","   7","  17","   4","   0","   2","   0","   0","   1","  16","   0","  27","   2","  61","   9","   0","   1","   2","   1","   0","   0"
"2245",NA,NA," 160","   0","   0","   2","  53","   0","   0","  12","   0","   0","   0","   8","   0","   3","   0","   1","  55","   8","   7","   2","   5","   0","   2","  10","  25","  10","   0","   0","   1","   0","   2","  16","   0","  70","   5","  75","  12","   1","   4","   2","   5","   0","   0"
"2263",NA,NA," 165","   0","   1","   2","  73","   0","   0","   4","   0","   0","   0","   7","   0","   0","   0","   1","  68","   3","   4","   2","   6","   7","   0","   3","  14","   2","   0","   0","   0","   0","   0","  18","   0","  65","   9","  69","  12","   3","   3","   2","   2","   0","   0"
"2282",NA,NA," 170","   0","   0","   0","  40","   0","   0","   4","   0","   0","   0","   0","   0","   1","   0","   0","  86","   4","   3","   0","   1","   0","   0","   6","   6","   4","   0","   0","   1","   0","   0","  15","   0","  50","   2","  53","   4","   0","   0","   2","   1","   0","   0"
"2301",NA,NA," 175","   0","   1","   7","  41","   3","   0","  10","   0","   0","   2","  21","   0","   1","   0","   1"," 114","  17","  13","   8","   0","   1","   2","   0","  59","   4","   0","   0","   7","   0","   2","  18","   0","  80","  14","  84","  27","   2","   5","   6","   3","   0","   0"
"2319",NA,NA," 180","   0","   2","   3","  99","   0","   0","   8","   0","   0","   0","   8","   0","   0","   0","   1","  59","  13","   6","   2","   7","   0","   1","   4","  23","   0","   0","   0","   2","   0","   1","  14","   0","  69","  12","  67","  18","   4","   4","   3","   3","   0","   0"
"2338",NA,NA," 185","   0","   0","   2","  48","   0","   0","   5","   0","   0","   0","  12","   0","   1","   0","   0","  52","   7","   7","   8","   2","   0","   0","   6","  18","   3","   0","   0","   0","   0","   0","  15","   0","  49","  10","  45","  12","   1","   0","   1","   2","   0","   0"
"2357",NA,NA," 190","   0","   2","   0","  20","   2","   0","   2","   0","   0","   0","   4","   0","   4","   0","   0","  24","   8","   4","  14","   3","   2","   0","   2","  24","   2","   0","   0","   0","   0","   0","  18","   0","  90","  10","  86","   8","   4","   0","   4","   4","   0","   0"
"2375",NA,NA," 195","   0","   1","   3","  15","   1","   0","   7","   0","   0","   0","   6","   0","   2","   0","   0","  20","   6","   2","  10","   3","   0","   0","   5","  20","   1","   0","   0","   0","   0","   0","  13","   0","  80","   5","  40","   9","   2","   0","   6","   3","   0","   0"
"2394",NA,NA," 200","   0","   0","   9","  21","   6","   0","  10","   1","   0","   0","   8","   0","   2","   0","   0","  51","   5","   7","   2","   4","   1","   0","   1","  23","   0","   0","   0","   4","   0","   0","  16","   0","  72","   9","  35","   6","   1","   1","   0","   2","   0","   0"
"2413",NA,NA," 205","   0","   1","   7"," 173","   3","   0","  20","   4","   0","   0","  42","   0","   3","   0","   0"," 102","  25","   7","   9","   8","   1","   1","   8","  63","   5","   0","   0","   5","   0","   1","  18","   0"," 140","  12","  69","  10","   8","   6","   3","   1","   0","   0"
"2431",NA,NA," 210","   0","   1","  10"," 156","   1","   0","  14","   2","   1","   0","  32","   0","   2","   0","   0","  64","  24","   7","  15","   3","   0","   1","   9","  57","   5","   0","   0","   1","   0","   1","  19","   0"," 100","  17","  35","   4","  12","   9","   3","   2","   0","   0"
"2450",NA,NA," 215","   0","   1","   5","  40","   0","   0","  17","   3","   0","   0","   9","   0","   1","   0","   1","  38","   8","   6","  14","   6","   1","   0","   3","  29","   2","   0","   0","   3","   0","   0","  32","   0","  80","   8","  32","   4","   2","   0","   4","   2","   0","   0"
"2469",NA,NA," 220","   0","  11","   4","  68","   2","   2","  18","   0","   0","   1","  22","   0","   0","   2","   0","  50","  16","  11","   6","   4","   1","   2","  11","  41","   8","   0","   0","   1","   0","   2","  19","   0"," 171","  20","  38","   8","   5","   3","  15","   3","   0","   0"
"2487",NA,NA," 225","   0","   0","   4","  29","   0","   0","   8","   2","   1","   1","   7","   0","   2","   0","   1","  24","   8","   7","  11","   2","   0","   4","   0","  24","   1","   0","   0","   2","   0","   4","  17","   0","  92","   7","  23","   3","   4","   1","   3","   3","   0","   0"
"2506",NA,NA," 230","   0","   4","   2","  67","   0","   0","  10","   2","   0","   0","  11","   0","   1","   0","   1","  53","  14","  10","   4","   7","   1","   4","   5","  26","   3","   0","   0","   4","   0","   4","  15","   0","  78","   8","  31","   5","   0","   1","   2","   1","   0","   0"
"2539",NA,NA," 235","   0","   3","   5","  50","   0","   0","   6","   3","   1","   1","   9","   0","   1","   0","   1","  50","  13","   3","   3","   1","   0","   3","   6","  25","   2","   0","   0","   1","   0","   3","  10","   0","  80","   7","  28","   5","   3","   2","   5","   2","   0","   0"
"2572",NA,NA," 240","   0","   0","   1","  41","   1","   0","  12","   2","   0","   1","   6","   0","   1","   0","   1","  53","   1","  12","  13","   7","   0","   1","   5","  28","   2","   0","   0","   2","   0","   1","  11","   0","  87","   4","  34","  11","   3","   1","   5","   4","   0","   0"
"2605",NA,NA," 245","   0","   1","   3","  30","   2","   0","   8","   1","   0","   0","   5","   0","   1","   0","   0","  40","   3","   6","   5","   0","   0","   1","   4","  26","   1","   0","   0","   0","   0","   1","   9","   0","  90","   3","  23","   9","   2","   0","   4","   2","   0","   0"
"2637",NA,NA," 250","   0","   1","   3","  26","   0","   0","   9","   1","   0","   0","   6","   0","   0","   0","   0","  30","   4","   3","   8","   2","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","  10","   0","  86","   3","  25","   6","   0","   0","   2","   3","   0","   0"
"2670",NA,NA," 255","   0","   3","   3","  34","   1","   0","  11","   2","   0","   0","   7","   0","   0","   0","   1","  65","   5","   7","   8","   5","   0","   4","   6","  21","   7","   0","   0","   1","   0","   4","  22","   0","  54","  11","  12","   9","   0","   2","   4","   5","   0","   0"
"2703",NA,NA," 260","   0","   2","   2","  21","   0","   0","  11","   0","   0","   0","   9","   0","   2","   0","   0","  47","   3","   3","  11","   2","   0","   1","   2","  11","   4","   0","   0","   1","   0","   1","  13","   0","  67","  13","  20","   4","   2","   2","   2","   2","   0","   0"
"2736",NA,NA," 265","   0","   2","   1","  42","   0","   0","  10","   0","   0","   0","   4","   0","   0","   1","   1","  75","   4","   8","   6","   6","   0","   0","   2","  24","   3","   0","   0","   0","   0","   0","  11","   0","  87","   8","  23","   8","   3","   3","   9","   4","   0","   0"
"2769",NA,NA," 270","   0","   1","   4","  34","   2","   0","   6","   0","   0","   1","   8","   0","   1","   0","   0","  43","   4","   8","  11","   4","   0","   0","   4","  13","   0","   0","   0","   0","   0","   0","  18","   0","  91","   9","  21","   5","   4","   4","   5","   3","   0","   0"
"2802",NA,NA," 275","   0","   1","   5","  39","   3","   1","  13","   0","   0","   1","   7","   0","   1","   0","   1","  56","  10","  17","   6","   6","   1","   1","   2","  16","   0","   0","   0","   3","   0","   1","  16","   0","  64","   6","  33","   9","   0","   1","   3","   6","   0","   0"
"2834",NA,NA," 280","   0","   0","   5","  35","   1","   1","   8","   0","   0","   1","   3","   0","   1","   0","   0","  53","   9","   6","   6","   5","   1","   4","   2","  19","   2","   0","   0","   2","   0","   4","  21","   0","  77","   4","  33","   5","   2","   0","   5","   8","   0","   0"
"2867",NA,NA," 285","   0","   1","   8","  30","   1","   1","   5","   0","   0","   0","   5","   0","   2","   4","   0","  49","   4","  11","   5","   7","   0","   2","   1","  15","   5","   0","   0","   3","   0","   2","  12","   0"," 102","   5","  30","   1","   2","   0","   4","   3","   0","   0"
"2900",NA,NA," 290","   0","   6","   4","  24","   0","   0","   1","   0","   1","   0","   5","   0","   0","   0","   0","  10","   1","  16","   1","   3","   0","   1","   0","  15","   2","   0","   0","   0","   0","   1","   2","   0","  96","  22","  40","   0","   0","   0","  15","   1","   0","   0"
"2933",NA,NA," 295","   0","   0","   2","  27","   1","   0","   4","   1","   0","   0","   9","   0","   0","   2","   0","  55","   4","   0","  11","   4","   0","   4","   1","  10","   3","   0","   0","   1","   0","   4","  20","   0"," 139","   2","  51","   3","   0","   1","   3","   3","   0","   0"
"2966",NA,NA," 300","   0","   7","  11","  56","   0","   0","  13","   0","   0","   0","   0","   0","   2","   0","   1","  47","  17","  17","   9","   1","   1","   4","   0","  31","   2","   0","   0","   1","   0","   4","  24","   0"," 195","  22","  63","  12","   7","   2","   6","   5","   0","   0"
"2998",NA,NA," 305","   0","   0","   9","  21","   0","   0","   1","   0","   0","   2","   3","   0","   0","   0","   0","  15","   1","   7","   2","   2","   0","   1","   0","   6","   1","   0","   0","   1","   0","   1","   6","   0"," 123","   0","  20","  66","   0","   0","   0","   4","   0","   0"
"3031",NA,NA," 310","   0","   0","   3","  26","   2","   1","   5","   0","   0","   0","   2","   0","   0","   0","   1","  15","   1","   6","   8","   8","   0","   0","   0","  14","   1","   0","   0","   0","   0","   0","  17","   0"," 157","   0","  22","  60","   1","   1","   0","  15","   0","   0"
"3064",NA,NA," 315","   0","   3","   3","  41","   0","   0","  12","   1","   0","   0","   9","   0","   2","   1","   0","  59","   3","  11","   7","   2","   0","   3","   4","  24","   3","   0","   2","   2","   1","   3","   9","   0"," 111","  11","  29","  62","   1","   1","   3","  18","   0","   1"
"3097",NA,NA," 320","   0","   0","   0","  18","   0","   0","   3","   0","   0","   0","  12","   0","   1","   0","   0","  22","   2","   0","   0","   3","   0","   2","   0","  16","   2","   0","   1","   1","   0","   2","   0","   0","  89","   3","  18","  65","   6","   0","   0","   1","   0","   0"
"3130",NA,NA," 325","   0","   3","   3","   9","   0","   3","   0","   1","   0","   3","   3","   0","   0","   0","   0","  13","   3","   0","   6","   0","   0","   0","   1","   8","   8","   0","   0","   1","   1","   0","  13","   0","  98","   4","   9","  72","   2","   0","   0","   4","   0","   0"
"3163",NA,NA," 330","   0","   1","  33","   2","   0","   0","  25","   7","   0","   0","   0","   1","   1","   0","   2","  15","   0","   7","   6","   2","   0","   0","   0","  35","   1","   0","   1","   0","   0","   0","  15","   0"," 125","   2","  32","  40","   0","   0","   0","   9","   0","   0"
"3195",NA,NA," 335","   0","   3","  23","  16","   0","   0","  18","   0","   0","   0","   1","   0","   3","   0","   1","  13","   3","   5","  15","   7","   0","   0","   0","  26","   6","   0","   0","   0","   1","   0","  13","   0","  86","   6","  10","   2","   0","   0","   5","  32","   0","   0"
"3228",NA,NA," 340","   0","   2","   6","  20","   0","   1","   6","   0","   0","   2","   8","   0","   2","   0","   0","  20","   6","   6","  20","   1","   0","   0","   0","  30","   4","   0","   0","   0","   0","   0","  16","   0","  94","   6","  12","   2","   2","   2","   2","  30","   0","   0"
"3261",NA,NA," 345","   0","   1","   2","  15","   0","   0","   2","   2","   0","   5","   5","   0","   3","   2","   0","  21","   1","   8","  38","   7","   1","   0","   1","  45","   3","   0","   1","   3","   0","   0","  14","   0"," 117","   3","  32","   0","   0","   0","   0","   2","   0","   0"
"3294",NA,NA," 350","   0","   4","  15","  23","   2","   0","  11","   1","   0","   6","  10","   0","   1","   5","   0","  39","   8","  21","  42","   2","   0","   9","   0","  37","  11","   0","   0","   0","   0","   9","  19","   0"," 197","  23","  50","   7","   1","   5","   3","   2","   0","   0"
"3327",NA,NA," 355","   0","   0","   8","  16","   0","   0","   6","   2","   0","   0","   3","   0","   3","   0","   0","  18","   0","  15","  50","   3","   0","   3","   2","  22","  15","   0","   0","   2","   0","   3","  10","   0","  97","  20","  18","   4","   0","   0","   2","   2","   0","   0"
"3360",NA,NA," 360","   0","   1","   6","  24","   0","   0","   0","   0","   4","   9","   4","   0","   0","   0","   0","   7","   1","   7","  48","   0","   0","   6","   4","   3","   7","   0","   1","   0","   0","   6","  13","   0","  83","   8","  19","   1","   1","   0","   6","   2","   0","   2"
"3392",NA,NA," 365","   0","   2","   2","  18","   0","   0","   0","   0","   0","   4","   6","   0","   0","   0","   0","  20","   0","  10","  28","   0","   0","   4","   0","   2","   0","   0","   0","   0","   0","   4","  12","   0"," 136","  10","  35","   0","   2","   0","   2","   2","   0","   0"
"3425",NA,NA," 370","   0","   2","   4","  11","   0","   0","   0","   3","   0","   6","   3","   0","   1","   0","   0","  19","   4","   8","  16","   2","   1","   2","  11","   7","   4","   0","   0","   1","   0","   2","  12","   0","  85","   2","  46","   1","   0","   1","   3","   4","   0","   0"
"3458",NA,NA," 375","   0","   1","   2","   6","   0","   0","   5","   0","   0","   3","   2","   0","   1","   0","   0","  17","   1","   5","  30","   3","   2","   0","   2","   4","   1","   0","   0","   0","   0","   0","  25","   0"," 106","   3","  36","   0","   1","   0","   0","   2","   0","   0"
"3491",NA,NA," 380","   0","   1","   4","  15","   1","   0","   3","   4","   0","   2","   1","   0","   0","   0","   0","  14","   0","   2","  25","   1","   1","   1","   2","  11","   7","   0","   0","   0","   2","   1","  14","   0"," 129","   3","  27","   1","   1","   0","   1","   1","   0","   0"
"3524",NA,NA," 385","   0","   4","   2","  14","   0","   0","   4","   0","   0","   4","   4","   0","   2","   0","   0","  24","   2","  18","  20","   2","   2","   4","   0","  10","   1","   0","   0","   4","   1","   4","  16","   0"," 182","   6","  50","   0","   2","   0","  10","   0","   0","   0"
"3556",NA,NA," 390","   0","   1","   7","  13","   0","   1","   4","   2","   0","   2","   3","   1","   0","   0","   0","  20","   0","   4","  14","   2","   1","   4","   0","   0","   5","   0","   0","   0","   0","   4","  21","   0"," 148","   8","  33","   0","   3","   0","   2","   3","   0","   0"
"3589",NA,NA," 395","   0","   1","   6","  10","   0","   1","   3","   3","   0","   2","   5","   1","   0","   2","   0","  19","   0","   3","   8","   0","   1","   2","   0","   2","   2","   0","   0","   0","   0","   2","  25","   0"," 109","   5","  32","   1","   2","   0","   5","   2","   0","   0"
"3622",NA,NA," 400","   0","   0","   0","  26","   0","   0","   4","   0","   0","   4","   2","   0","   2","   6","   0","  22","   6","  14","  10","   1","   0","   0","   0","   8","   4","   0","   0","   0","   1","   0","  18","   0","  88","  14","  38","   6","   4","   5","   4","   4","   0","   0"
"3655",NA,NA," 405","   0","   2","   2","   2","   0","   1","   4","   0","   0","   0","   2","   0","   4","   0","   0","  24","   0","   8","  30","   0","   0","   2","   0","  10","   8","   0","   0","   0","   0","   2","  18","   0"," 138","  20","  28","   0","   0","   0","   0","   2","   0","   0"
"3688",NA,NA," 410","   0","   0","  12","  12","   2","   0","   6","   6","   0","   4","   0","   0","   0","   2","   0","  44","   2","  10","  28","   1","   0","   4","   0","  14","   4","   0","   0","   0","   4","   4","  12","   0","  98","  16","  38","   4","   0","   0","  18","   6","   0","   0"
"3721",NA,NA," 415","   0","   0","   4","   7","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   0","  18","   0","   9","  27","   0","   0","   0","   0","   0","   6","   0","   0","   1","   0","   0","  28","   0"," 102","  17","  29","   0","   0","   0","  16","   4","   0","   0"
"3753",NA,NA," 420","   1","   0","   4","  14","   0","   1","   5","   0","   2","   2","   2","   0","   0","   0","   0","  27","   1","   3","  21","   1","   0","   0","   3","   6","   6","   0","   0","   1","   0","   0","  30","   0","  94","  14","  32","   3","   1","   0","  11","   2","   0","   0"
"3772",NA,NA," 425","   0","   0","   2","   6","   0","   1","   4","   4","   0","   0","   0","   0","   0","   0","   0","  26","   4","   2","  18","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   2","  16","   0"," 150","   4","  50","   0","   2","   0","  14","   2","   0","   0"
"3791",NA,NA," 430","   0","   0","   4","  12","   0","   0","   4","   0","   4","   0","   4","   0","   0","   2","   0","  24","   0","   6","  14","   0","   0","   6","   2","   4","   2","   0","   0","   2","   0","   6","  26","   0"," 120","   4","  18","  10","   0","   0","  18","   8","   0","   0"
"3810",NA,NA," 435","   0","   1","   6","   3","   0","   0","   4","   1","   0","   0","   1","   0","   0","   0","   0","  24","   0","   8","  20","   0","   0","   0","   0","   7","   1","   0","   0","   2","   0","   0","  33","   0"," 160","  14","  61","   4","   3","   0","  10","   1","   0","   0"
"3829",NA,NA," 440","   2","   3","   6","  16","   0","   0","   6","   0","   0","   4","   2","   2","   2","   2","   0","  39","   2","   6","  22","   1","   0","   2","   2","   6","   2","   0","   2","   2","   0","   2","  16","   0"," 101","  14","  23","   6","   6","   0","  12","   4","   0","   0"
"3849",NA,NA," 445","   1","   2","   8","  15","   0","   0","   5","   0","   0","   1","   3","   1","   1","   2","   0","  20","   0","   5","  15","   0","   0","   3","   1","   5","   1","   0","   1","   1","   0","   3","  19","   0","  90","   9","  20","   5","   0","   0","  10","   5","   0","   0"
"3868",NA,NA," 450","   0","   4","  10","  14","   0","   0","   6","   0","   0","   2","   5","   0","   0","   0","   0","  33","   9","  12","  30","   0","   0","   5","   0","  15","   3","   0","   0","   2","   0","   5","   5","   0"," 100","  21","  32","  14","   3","   6","   3","   5","   7","   0"
"3887",NA,NA," 455","   0","   1","   5","  18","   0","   0","   4","   0","   0","   0","   1","   0","   3","   0","   0","  24","   4","   1","  21","   0","   0","   0","   0","   8","   0","   0","   0","   1","   0","   0","  10","   0"," 150","  10","  24","  11","   9","   0","   2","   5","   0","   1"
"3906",NA,NA," 460","   0","   3","   2","  45","   0","   1","   2","   2","   0","   0","   1","   0","   1","   0","   0","  21","   3","   1","  14","   0","   0","   1","   5","   2","   3","   0","   0","   1","   0","   1","   7","   0","  92","   6","  20","  12","   5","   0","   6","   3","   0","   2"
"3925",NA,NA," 465","   0","   3","   2","  48","   0","   0","   2","   6","   0","   0","   0","   0","   0","   0","   0","  18","   6","   2","  15","   4","   0","   0","   0","   4","   2","   0","   4","   0","   0","   0","  10","   0"," 114","   9","  18","  18","   5","   2","   8","   8","   0","   0"
