"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anagallis t.","Angiospermae undiff. (herbs)","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Euphorbia t.","Fabaceae Undif.","Fagus","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Hedera","HippophaÃ«","Lamiaceae undif.","Linum t.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Onagraceae","Ononis t.","Ostrya","Papaver t.","Petaloid monocot","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete) undiff.","Polypodiophyta undiff.","Potamogeton","Potentilla t.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Vitis"
"27194.35",NA,NA,"1423.925","3.0","11","0","4","74","0","0","24","4","243","0","10","6","0","2","0","0","3","1","16","0","0","2","7","9","0","204","12","1","4","0","448","0","0","0","4","2","2","0","7","0","6","0","0","1","0","0","0","0","0","0","1","0","41","7","0","385","0","2","0","0","0","1","0","25","2","0","6","0","0","0","0","0","0","0","9","0","2","0","1","0","1"
"27199.75",NA,NA,"1424.225","3.0","0","0","1","108","2","0","20","9","225","0","16","1","0","39","1","0","12","0","25","0","0","12","27","3","0","4","0","0","5","0","139","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","29","3","0","192","0","0","0","0","5","1","0","4","20","0","1","0","0","1","1","2","0","0","3","0","1","2","0","0","0"
"27208.30",NA,NA,"1424.525","2.2","3","0","0","106","0","0","10","7","148","5","7","0","0","16","0","0","10","1","59","0","0","5","39","3","0","1","0","0","6","0","265","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","26","1","0","148","0","0","2","0","1","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27213.70",NA,NA,"1424.825","1.8","0","0","0","85","2","0","2","6","105","0","11","0","0","24","0","0","21","0","22","0","0","12","41","1","0","10","6","0","6","0","609","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","1","0","26","0","0","347","0","0","0","0","7","0","0","0","10","0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","0"
"27219.10",NA,NA,"1425.125","4.2","3","0","0","229","3","0","18","9","169","0","10","0","0","52","0","0","19","0","23","0","0","17","37","6","1","4","3","0","9","1","109","0","0","1","2","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","31","5","0","263","0","0","0","0","6","1","0","1","22","1","1","0","0","0","0","0","1","0","4","0","3","3","0","0","0"
"27224.05",NA,NA,"1425.425","2.6","1","0","0","136","2","0","18","11","232","0","12","0","0","63","0","1","18","0","25","0","0","19","51","5","0","14","5","0","8","0","237","0","0","0","0","0","1","0","12","0","0","1","0","0","0","0","0","0","0","0","2","1","58","5","0","380","0","0","0","0","9","0","1","6","25","0","6","0","0","0","0","1","0","0","10","0","0","1","0","0","1"
"27230.35",NA,NA,"1425.725","2.0","0","0","0","54","1","0","8","7","158","0","11","1","0","69","0","0","18","0","26","0","0","5","37","2","0","25","0","0","5","0","654","0","0","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","40","5","0","378","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"27235.75",NA,NA,"1425.975","2.2","0","0","1","33","0","0","5","7","176","0","15","1","0","64","0","0","13","0","17","0","0","10","30","1","0","11","2","1","4","0","323","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","23","3","0","220","0","0","0","0","0","0","0","0","10","1","1","0","0","0","0","1","4","0","1","0","0","0","0","0","0"
"27242.95",NA,NA,"1426.275","2.4","0","0","1","33","0","0","7","2","101","0","8","2","0","75","0","0","19","0","23","0","0","3","27","1","0","14","1","0","5","0","357","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","31","1","0","295","3","0","0","0","2","0","0","4","5","1","2","0","0","0","0","1","2","0","2","0","0","0","0","0","0"
"27248.35",NA,NA,"1426.750","2.4","0","1","0","26","1","1","5","1","85","0","25","0","0","46","0","0","11","0","15","0","0","4","37","3","0","6","1","1","6","0","4737","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","32","0","0","263","0","0","0","0","4","1","0","1","3","1","4","2","0","0","0","1","0","0","1","0","0","0","0","0","0"
"27253.30",NA,NA,"1427.050","3.3","1","0","1","60","0","0","6","5","72","0","18","2","0","33","0","0","13","1","16","0","0","5","69","12","0","13","2","1","3","0","3020","0","0","0","2","0","1","0","3","0","0","0","0","0","0","1","0","0","0","1","2","1","41","2","0","302","0","0","0","0","0","0","1","2","8","2","1","1","0","0","2","1","2","0","2","0","0","0","0","0","0"
"27256.00",NA,NA,"1427.350","4.4","0","0","2","98","1","0","21","13","234","0","22","1","0","40","0","0","22","0","24","0","0","13","39","4","0","4","4","1","7","0","1605","0","0","1","0","0","1","0","18","0","0","1","0","0","0","0","0","0","0","0","1","0","31","5","0","315","0","0","0","0","4","0","0","0","9","0","1","0","0","0","0","0","0","1","2","0","0","3","0","0","0"
"27257.40",NA,NA,"1427.625","3.2","0","0","0","243","0","1","8","8","113","0","15","1","0","54","0","0","16","0","28","0","0","6","31","7","0","7","0","1","7","0","2931","0","0","0","1","0","1","0","14","0","0","1","1","0","1","0","0","0","2","0","3","0","47","6","0","338","0","0","0","0","2","0","0","1","5","0","1","0","0","0","0","0","1","0","4","0","0","7","0","0","0"
"27260.20",NA,NA,"1427.975","2.6","8","0","4","95","2","0","13","3","231","0","13","3","0","19","0","0","10","0","26","0","1","7","32","6","0","41","1","0","7","0","6538","0","0","0","1","0","1","0","13","0","4","0","0","1","0","0","1","0","0","0","0","0","37","3","0","500","0","0","0","0","0","0","0","3","6","1","5","1","0","0","0","0","0","0","6","0","1","1","0","0","0"
"27263.00",NA,NA,"1428.275","3.6","2","0","3","69","0","1","29","15","209","0","14","3","0","33","0","0","10","0","9","0","0","13","11","7","0","5","2","0","2","1","1613","0","0","0","3","0","0","0","10","0","3","0","0","1","0","1","0","0","0","0","0","0","30","4","0","321","0","0","0","0","0","0","0","4","0","0","2","0","0","0","0","0","1","0","6","0","1","1","1","0","0"
"27265.80",NA,NA,"1428.675","2.9","1","0","0","71","0","2","17","6","95","0","22","4","0","62","0","0","8","0","14","1","0","9","51","6","4","15","2","6","3","1","6265","0","0","0","0","0","0","0","16","0","1","3","0","0","0","0","0","0","1","0","0","1","40","6","0","402","0","0","0","0","0","0","0","2","1","0","2","1","0","0","0","0","0","0","2","0","0","1","1","0","0"
"27268.60",NA,NA,"1428.975","3.8","1","0","3","102","1","1","10","10","133","0","22","1","0","9","0","0","13","0","19","1","0","2","42","11","0","21","0","1","7","0","4051","0","0","0","1","1","0","0","11","0","2","0","0","0","0","0","0","1","0","0","0","1","36","3","0","527","0","0","0","0","0","1","0","2","6","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"27271.40",NA,NA,"1429.250","3.6","0","0","0","75","0","0","15","9","129","0","18","0","0","2","1","0","17","0","29","0","0","6","24","12","0","5","1","0","7","0","3798","0","0","0","0","5","0","0","5","0","0","2","0","0","1","0","0","0","0","0","1","0","29","2","0","404","0","0","0","0","0","0","1","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"27274.20",NA,NA,"1429.400","2.2","1","0","0","22","0","0","14","4","192","0","8","0","0","5","0","0","2","0","4","0","0","1","3","3","0","5","0","0","1","0","1804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","126","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
