"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyclamen","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geraniaceae undif.","Hedera","Hypericum undif.","Indeterminable","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum undif.","Olea t.","Onagraceae","Osmunda regalis-type","Paeonia","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Spergularia t.","Styrax","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitex","Vitis"
"329.0",NA,NA," 30.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  3.0","  2.0","  2.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  7.0","  5.0","  0.0","  0.0","  0.0","  3.0","  0.0","755.0","  0.0","  1.0","  0.0","  0.0","120.0","  0.0","  2.0","  0.0","  0.0","  8.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  2.0","  2.0","  3.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  3.0","  2.0"," 79.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 14.0","  1.0","  0.0","  0.0","  1.0"," 20.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"358.0",NA,NA," 32.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  3.0","  2.0","  9.0","  0.0","  1.0","  1.0","  3.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  2.0"," 12.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","925.0","  0.0","  0.0","  0.0","  0.0","406.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  5.0","  0.0","  0.0","  7.0","  0.0"," 10.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  6.0","  1.0"," 16.0","  0.0"," 97.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 35.0","  3.0","  4.0","  1.0","  2.0"," 39.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  7.0","  0.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"410.0",NA,NA," 36.5","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  3.0","  6.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  3.0","  2.0","  1.0","  0.0","  1.0","  9.0","  8.0","  0.0","  1.0","  0.0","  2.0","  3.0","654.0","  0.0","  0.0","  0.0","  0.0","140.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  6.0","  0.0"," 10.0","  0.0","  2.0","  0.0","  1.0","  4.0","  1.0","  6.0","  2.0"," 90.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 35.0","  0.0","  5.0","  0.0","  0.0"," 38.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"449.0",NA,NA," 40.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  2.0","  1.0","  0.0","  0.0","  1.0","  0.0","365.0","  0.0","  0.0","  0.0","  0.0","125.0","  0.0","  1.0","  0.0","  0.0"," 22.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0"," 38.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  5.0","  1.0"," 43.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 16.0","  1.0","  0.0","  0.0","  0.0","  7.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  5.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"
"504.0",NA,NA," 50.5","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  3.0","  1.0","  9.0","  0.0","  5.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  5.0","  2.0","  0.0","  0.0","  0.0","  3.0","  0.0","975.0","  0.0","  0.0","  0.0","  0.0","346.0","  0.0","  4.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  6.0","  0.0"," 50.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  5.0","  3.0"," 45.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 21.0","  3.0","  2.0","  1.0","  1.0","  7.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 40.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"525.0",NA,NA," 60.5","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  3.0","  8.0","  6.0","  0.0","  5.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0","  5.0","  0.0","230.0","  0.0","  0.0","  0.0","  0.0","250.0","  0.0","  1.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  5.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  7.0","  0.0"," 52.0","  0.0","  0.0","  0.0","  0.0","  8.0","  2.0","  6.0","  8.0"," 98.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 12.0","  3.0","  1.0","  0.0","  2.0","  1.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 33.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"537.0",NA,NA," 70.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  4.0","  1.0","  2.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 15.0"," 22.0","  0.0","  0.0","  3.0","  3.0","  0.0","176.0","  0.0","  0.0","  0.0","  0.0","210.0","  0.0","  1.0","  0.0","  0.0"," 60.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  1.0","  2.0"," 12.0"," 81.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 11.0","  5.0","  1.0","  0.0","  1.0","  1.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"
"550.0",NA,NA," 80.5","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  4.0","  1.0","  2.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","205.0","  0.0","  0.0","  0.0","  0.0","303.0","  0.0","  2.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  4.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  7.0","  0.0","  4.0","  0.0","  0.0","  0.0","  1.0","  8.0","  2.0","  1.0","  4.0"," 30.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  8.0","  6.0","  1.0","  1.0","  0.0","  0.0","  1.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"580.0",NA,NA,"102.5","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","210.0","  0.0","  0.0","  0.0","  0.0","309.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  4.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 15.0","  0.0","  0.0","  1.0","  0.0","  2.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"621",NA,NA,"132","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  3","  2","  0","  7","  0","  2","  0","  4","  0","  0","  4","  0","  1","  0","  0"," 13","  9","  0","  0","  1","  3","  0","460","  0","  0","  1","  0","169","  0","  4","  0","  0","143","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  1","  0","  0","  0","  0","  0","  9","  0","  4","  0","481","  0","  0","  0","  1","  4","  0","  5"," 18"," 58","  0","  0","  0","  0","  2","  0","  0"," 23"," 10","  2","  1","  2","  2","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0"
"682",NA,NA,"156","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  3","  1","  4","  0","  0","  2","  1","  0","  0","  3","  0","  0","  2","  0","  5"," 20","  0","  0","  1","  1","  0","339","  1","  0","  0","  0","116","  0","  2","  0","  0"," 46","  0","  0","  0","  0","  0","  0","  0","  1"," 12","  0","  0","  1","  3","  0","  0","  0","  0","  1","  0","  4","  0","346","  0","  1","  0","  0","  1","  0","  7","  2"," 39","  0","  0","  0","  0","  0","  0","  3"," 94"," 10","  2","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"
"749",NA,NA,"168","  0","  0","  0","  0","  1","  1","  0","  0","  2","  1","  1","  4","  3","  4","  1","  0","  1","  5","  0","  0","  1","  1","  0","  0","  1","  4"," 10","  0","  0","  0","  4","  1","485","  0","  0","  0","  0","120","  0","  4","  0","  0"," 40","  1","  0","  0","  0","  0","  1","  0","  0","  7","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  9","  0","  1","  0","  1","  2","  1","  2","  8"," 37","  0","  0","  0","  0","  0","  0","  2","237","  6","  1","  1","  2","  2","  3","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  1"
"809",NA,NA,"178","  0","  0","  0","  0","  2","  1","  0","  0","  5","  3","  0","  3","  0","  5","  0","  0","  1"," 10","  0","  0","  0","  1","  1","  0","  0","  3","  8","  0","  0","  0","  4","  0","804","  0","  0","  1","  1"," 86","  0","  0","  0","  0"," 27","  0","  0","  0","  0","  1","  1","  0","  0","  2","  0","  0","  1","  2","  1","  0","  0","  0","  0","  0","  1","  0"," 96","  0","  0","  0","  0","  2","  0","  2","  5"," 33","  0","  1","  0","  0","  0","  0","  3","326","  0","  1","  0","  0","  1","  5","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0"
"842",NA,NA,"184","  0","  0","  0","  0","  0","  2","  0","  0"," 10","  2","  1","  0","  2","  1","  0","  0","  0","  2","  0","  1","  2","  0","  0","  0","  0","  1"," 64","  0","  0","  0","  0","  2","106","  0","  0","  0","  0","204","  0","  3","  0","  0"," 74","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  3","  0"," 12","  0","  0","  0","  0","  7","  0","  3","  3"," 49","  0","  0","  0","  0","  1","  0","  0"," 44","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  2","  0","  0","  0","  0"
"888",NA,NA,"192","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  4","  3","  1","  3","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  7"," 22","  0","  2","  0","  2","  0","354","  0","  0","  0","  0","204","  0","  0","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  1","  1","  0","  0","  0","  0","  1","  0","  2","  0","  9","  0","  0","  0","  2","  7","  0","  2","  7"," 37","  0","  0","  0","  0","  0","  0","  1"," 90","  2","  0","  0","  0","  0","  5","  1","  1","  1","  0","  0","  0","  0","  0","  0","  0"," 55","  0","  0","  2","  0","  0","  0","  0","  0"
"910",NA,NA,"196","  2","  0","  0","  0","  1","  3","  0","  0","  1","  0","  1","  4","  2","  1","  0","  1","  1","  1","  0","  0","  5","  0","  0","  0","  0","  4"," 26","  2","  0","  0","  5","  0","328","  0","  0","  0","  0","242","  0","  0","  0","  0"," 24","  0","  0","  0","  0","  0","  1","  0","  1"," 15","  0","  0","  1","  3","  0","  0","  0","  0","  1","  0","  1","  0","  4","  0","  0","  1","  0","  6","  0","  0","  2"," 41","  2","  0","  0","  1","  0","  0","  1"," 71","  5","  0","  1","  1","  0","  3","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  1","  0","  0","  0","  1"
"932",NA,NA,"200","  0","  0","  0","  0","  2","  1","  0","  0","  2","  1","  4","  5","  0","  2","  0","  2","  0","  3","  0","  0","  2","  2","  0","  0","  0","  5"," 25","  0","  0","  1","  2","  0","550","  0","  0","  0","  0","447","  0","  3","  0","  1"," 17","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  1","  1","  0","  0","  0","  0"," 77","  0","  2","  0"," 12","  0","  0","  1","  1","  5","  0","  1"," 11"," 27","  0","  0","  0","  0","  0","  0","  2","146","  6","  0","  1","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  4","  0","  0","  2","  0","  0","  0","  0","  0"
"998",NA,NA,"215","  0","  0"," 37","  0","  0","  3","  0","  0","  1","  0","  1","  1","  0","  2","  0","  0","  2","  4","  0","  0","  1","  0","  1","  0","  0","  3","  4","  0","  0","  0","  3","  0","438","  0","  0","  0","  0","226","  0","  0","  0","  0","  5","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","133","  0","  5","  0","  5","  0","  0","  1","  2","  3","  0","  2"," 19"," 11","  2","  0","  0","  0","  0","  2","  1","119","  1","  1","  0","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
