"sample_name","depth","Hagenia","Acacia t.","Acanthaceae undif.","Acritarcha","Aerva type","Aizoaceae t.","Algae","Amaranthaceae undif.","Anacardiaceae undiff.","Animalia","Animalia ","Apiaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Avicennia","Blepharis","Blighia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassipourea","Celosia type","Centaurea","Cichorieae","Cleome","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dipterygium glaucum","Dodonaea","Echinidinium aculeatum","Echinidinium delicatum","Echinidinium granulatum","Echinidinium transparantum","Echinidinium undiff","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fern","Fungi","Hyphaene t.","Hypoestes t.","Indeterminable","Macaranga","Meliaceae undif.","Mollugo cerviana-type","Monoletes","Morella","Oethe-type","Olea t.","Operculodinium centrocarpum","Operculodinium israelianum","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Podocarpus","Polysphaeridium zoharyi","Protist","Prunus t.","Resedaceae undiff.","Rhizophora","Rosa t.","Rosaceae undif.","Rumex t.","Sapindaceae undif.","Sapotaceae undif.","Schefflera","Schrankia leptocarpa","Selenopemphix quanta","Sideroxylon t.","Solanum","Tamarix","Tintinnid","Tribulus","Triletes","Trinovantedinium applanatum","Trinovantedinium capitatum","Trinovantedinium spp.","Tuberculodinium vancampoae","Typha","Unknown","Verbena t.","Votadinium","Votadinium calvum","Xylia-type","Zygophyllum t.","charcoal"
NA,"339",NA,"  1","  0","  7","  2","  0"," 62"," 52","  0","452"," 12","  0","  0","  0","  3","  1","  2","  0","  2","  0","  0","  0","  1","  0","  0","  2","  1","  0","  0","  1","  1","  0","  0"," 63","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  4"," 40","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 57","  3"," 26","437","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 25","  0","  0","  0","  0","  0","  3","  0","  6","  0","  3","  0","  0","  0","758"
NA," 347",NA,"   0","   0","   8","   0","   0","  26","  28","   0"," 124","   4","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  28","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","  28","   0","   0","   6","   0","   0","   0","   2","   0","   0","   2","   1","   0","   0","   0","   0","  30","   0","   4"," 282","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","  10","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1461"
NA,"355",NA,"  2","  0"," 10","  0","  0"," 40"," 41","  0","135","  2","  0","  0","  0","  2","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0"," 48","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  5"," 33","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 39","  0","  4","305","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  9","  0","  0","  1","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","955"
NA," 364",NA,"   1","   0","   6","   0","   0"," 130","  33","   0"," 181","   6","   0","   0","   4","   6","   7","   0","   0","   0","   0","   0","   0","   0","   0","   2","   9","   0","   0","   0","   2","   1","   0","   0","  73","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","  24","   9","   0","  14","   0","   0","   0","  10","   0","   0","   0","   0","   3","   5","   0","   4","  40","   0","  12"," 614","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","  11","   0","  10","   0","   0","   0","   3","   0","1512"
NA,"369",NA,"  0","  0","  6","  1","  0"," 12"," 40","  0","104","  4","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  3","  0","  0","  0"," 33","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  1"," 51","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 48","  0","  4"," 94","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  6","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  2","  6","  0","  0","  0","  0","  0","750"
NA,"380",NA,"  0","  0","  6","  1","  0"," 15"," 30","  0"," 72","  2","  0","  0","  0","  2","  1","  0","  0","  2","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  1","  0"," 28","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 40","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 36","  0","  5","126","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  1","  3","  1","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","521"
NA,"389",NA,"  1","  0","  5","  1","  0","123"," 24","  0","227","  6","  0","  0","  0","  3","  0","  1","  0","  2","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0"," 35","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 46","  1"," 12","551","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  6","  1","  0","  0"," 24","  1","  4","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","656"
NA," 397",NA,"   0","   0","  10","   2","   0","   7","  58","   0"," 130","   1","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   1","   0","   0","   1","  15","   0","   1","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  25","   1","   2"," 165","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1149"
NA,"406",NA,"  1","  0","  1","  0","  0"," 12"," 45","  0","126","  1","  0","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0"," 19","  0","  0","  9","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 20","  0","  1","177","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","849"
NA,"414",NA,"  0","  0","  0","  4","  0"," 68"," 38","  0","353","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  9","  1","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  5","  5","420","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 26","  2","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","815"
NA,"420",NA,"  0","  0","  3","  0","  0"," 22"," 51","  0","127","  2","  0","  0","  0"," 10","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 29","  0","  2","217","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 11","  3","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","874"
NA,"426",NA,"  0","  0","  4","  0","  1"," 51"," 52","  0","131","  2","  0","  0","  0","  2","  4","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 17","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 33","  0","  3","287","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  4","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","791"
NA," 432","   1","   1","   1","   2","   0","   0","  41","  44","   0"," 155","   0","   0","   1","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","  15","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","  18","   0","   0","   6","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","  22","   1","   1"," 233","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1098"
NA," 439","   1","   2","   0","   1","   1","   0","  32","  40","   0"," 345","   7","   0","   3","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  47","   0","   0","   0","   0","   4","   5","   0","   0","   1","   0","   0","   0","   0","   3","  12","   0","   0","  14","   0","   0","   0","   2","   0","   0","   0","   3","   2","   0","   0","   0","  26","   1","   7"," 571","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","  20","   2","   1","   1","   0","   0","   1","   0","   8","   0","   1","   2","   0","   0","2163"
NA," 445",NA,"   2","   0","   3","   0","   0","  17","  42","   0"," 104","   3","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","  16","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","  40","   0","   1"," 182","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1184"
