"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Lotus t.","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Nuphar","Nymphaea","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"3831","4201","3481"," 470","   0","   5","   7","  23","   1","  93","   1","   0","   0","   0","   1","   0","   0","   0","  12","   4","   0","   0","   0","   0","   3","   1","   0","   3"," 172","   0","  23","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   1","   2","   0","  77","  10","   0","  14","   0","   1","   0","  18","   1","   2","   0","   0","   0","   1","   0","   0","   0","   1","   1","   1","   0","   0","   0","  28","   0","   0"
"3950","4294","3625"," 500","   0","   4","   2","   1","   1","  47","   0","   0","   0","   0","   1","   1","   0","   5","  14","   2","   0","   0","   2","   0","   0","   3","   0","   3"," 114","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   7","   7","   0","  59","  21","   2","   2","   0","   0","   0","   5","   0","   3","   0","   0","   0","   0","   0","   0","   5","   6","   0","   0","   0","   0","   0","  22","   0","   0"
"4089","4403","3792"," 535","   0","   8","   5","   8","   2","  67","   0","   0","   0","   0","   0","   0","   1","   0","  25","   0","   0","   0","   6","   0","   2","   0","   0","   4"," 116","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   2","   7","   2","  48","  15","   2","   0","   0","   0","   0","   4","   1","  21","   0","   0","   0","   0","   0","   0","   3","   7","   0","   0","   0","   0","   0","  10","   0","   0"
"4229","4512","3959"," 570","   0","   4","   8","   8","   3","  34","   0","   0","   1","   0","   0","   0","   0","   0","  10","   5","   0","   0","   7","   0","   0","   2","   0","   1"," 201","   0","   9","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  25","   6","   2","   0","  37","  20","   1","   2","   0","   2","   0","   5","   5","  10","   0","   0","   0","   0","   0","   0","   3","   1","   1","   0","   1","   0","   0","  15","   1","   0"
"4348","4605","4101"," 600","   0","   1","  16","   8","   3","  41","   0","   0","   1","   0","   0","   0","   0","   0","  18","   4","   0","   1","   4","   0","   0","  11","   0","   0","  79","   0","   9","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","  14","   2","   5","   2","  25","   7","   0","   0","   0","   0","   0","   2","   6","  13","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   7","   0","   0"
"4388","4636","4148"," 610","   0","   2","   4","   8","   4","  66","   0","   0","   5","   0","   0","   0","   1","   0","   7","   0","   0","   0","   2","   0","   3","   0","   0","   3","  41","   0","  51","   0","   0","   4","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","  59","   9","   4","   0","  39","  18","   6","   1","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   8","   1","   0","   0","   0","   0","   0","  43","   0","   0"
"4428","4667","4195"," 620","   0","   4","  17","  18","   5","  74","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0","   0","   6","   0","   2","   5","   0","   2"," 131","   0","  51","   0","   5","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","  37","   5","   5","   0","  40","  12","   0","   7","   0","   0","   0","  13","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  29","   0","   3"
"4467","4699","4243"," 630","   0","   4","  20","  18","   7","  37","   0","   0","   0","   0","   1","   0","   3","   0","   4","   9","   0","   0","   1","   0","   0","   3","   0","   4","  88","   0","  47","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   6","   3","   0","  41","  17","   1","   0","   0","   0","   0","   3","   8","  17","   0","   0","   0","   0","   0","   0","  24","   0","   0","   3","   0","   0","   0","  11","   0","   0"
"4507","4730","4290"," 640","   0","   6","   3","  16","   0","  54","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","   0","   0","   7","   0","  10","   4","   0","  11","  61","   0","  43","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   2","   5","   1","  21","  32","   5","   1","   0","   0","   0","   0","   2","  11","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","  49","   0","   1"
"4547","4762","4337"," 650","   0","   7","   8","  45","   5"," 123","   2","   0","   1","  13","   0","   0","   1","   0","   0","   0","   0","   0","  15","   0","  23","   3","   0","  18","  52","   0","  16","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   4","   6","   0","  11","  19","   0","   3","   0","   1","   0","   4","   4","  11","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","  23","   0","   0"
"4587","4794","4384"," 660","   0","  13","   2","  23","   5","  61","   0","   0","   1","   3","   0","   0","   3","   0","   1","   5","   0","   0","   2","   0","   4","   3","   0","   3","  67","   0","  30","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  68","   9","  20","   0","  37","  14","   1","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   0","  10","   0","   0","   3","   0","   0","   0","  21","   0","   0"
"4627","4827","4432"," 670","   0","   3","   4","  22","   0","  94","   1","   0","   1","   5","   0","   1","   0","   0","   3","   0","   0","   0","  10","   0","   8","   0","   0","   6","  93","   0","  30","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  46","   4","  15","   2","  39","  17","   4","   1","   0","   0","   0","   0","   8","   5","   1","   0","   0","   0","   0","   0","   6","   9","   0","   0","   0","   0","   0","  28","   0","   1"
"4666","4859","4479"," 680","   0","   4","   3","  85","   2"," 143","   0","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","  31","   3","   0","  29","  22","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   3","   0","   2","  12","   0","   3","   0","   2","   0","   2","   2","   3","   0","   0","   0","   0","   0","   0","   6","   1","   0","   5","   0","   0","   0","   6","   0","   0"
"4746","4924","4571"," 700","   0","   7","   9","  51","   6"," 158","   0","   0","   0","   5","   3","   0","   0","   0","   0","   2","   0","   0","  11","   0","  36","   0","   0","  22","  15","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","  20","   2","  14","   3","   2","  21","   1","   0","   0","   0","   1","   0","   5","   5","   0","   0","   0","   0","   0","   0","   6","   1","   0","   2","   0","   0","   0","  12","   0","   0"
"4806","4974","4640"," 715","   0","   7","   0","  37","   0"," 107","   0","   0","   1","   5","   2","   0","   2","   0","   0","   0","   0","   0","   2","   0","  54","   2","   0","  16","   9","   0","   3","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   5","   2","   0","  20","   0","   0","   0","   0","   0","  11","   2","   4","   0","   0","   0","   0","   0","   0","   7","   0","   0","   5","   1","   0","   0","  20","   0","   0"
"4865","5024","4709"," 730","   0","   8","   0","  79","   2","  71","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","  34","   1","   0","  27","  19","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   4","   0","   8","   0","   0","  16","   0","   1","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","  14","   0","   0","   5","   0","   0","   0","  13","   0","   0"
"4925","5074","4776"," 745","   0","   4","   1"," 156","   0"," 191","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","  49","   1","   0","  21","  27","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","  12","   1","   5","   4","   0","  11","   0","   2","   0","   0","   0","   3","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","  16","   0","   0"
"4985","5125","4843"," 760","   0","   3","   4","  65","   2"," 146","   1","   0","   0","  29","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","  41","   0","   0","  21","  23","   0","   6","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   1","   4","   5","   6","   1","   1","   0","   0","   0","   1","   2","  10","   0","   0","   1","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","  25","   0","   0"
"5044","5176","4909"," 775","   0","   3","   0"," 112","   9"," 168","   0","   0","   3","  29","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","  24","   0","   0","  20","  20","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   3","   1","   0","   4","   2","   0","   0","   0","   5","   0","   0","   5","   8","   0","   0","   0","   0","   0","   0","  15","   0","   0","   4","   0","   0","   0","  15","   0","   1"
"5104","5229","4976"," 790","   0","   1","   7","  85","   6"," 134","   4","   0","   0","  26","   1","   0","   0","   0","   0","   0","   1","   0","  11","   0","  34","   0","   0","  22","  20","   0","   4","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","  21","   5","   4","   1","   3","   4","   0","   0","   0","   0","   0","   1","   6","  12","   1","   1","   0","   0","   0","   0","  16","   0","   0","   3","   0","   0","   3","  11","   0","   0"
"5144","5265","5020"," 800","   0","   4","   3","  78","   0"," 104","   2","   0","   0","  25","   0","   1","   0","   0","   0","   0","   0","   0","  12","   0","  57","   0","   0","  10","  28","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  16","   5","   6","   0","   7","  15","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   1","  16","   0","   0","   2","   0","   0","   1","  12","   0","   0"
"5223","5341","5107"," 820","   0","   9","   3"," 134","   1"," 180","   0","   0","   0","  17","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","  23","   4","   0","  24","   9","   0","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   1","   0","   0","   3","   5","   0","   1","   0","   3","   0","   3","   0","  10","   0","   0","   0","   0","   0","   0","  19","   0","   0","   5","   0","   0","   0","  22","   2","   0"
"5303","5424","5193"," 840","   0","   7","   3","  82","   7"," 151","   2","   0","   0","  29","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","  45","   1","   0","  30","  18","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   4","   7","   2","   3","  11","   1","   0","   0","   1","   0","   1","   6","  17","   1","   0","   0","   0","   0","   0","  21","   0","   0","   5","   3","   0","   0","  25","   0","   0"
"5383","5512","5279"," 860","   0","   5","   5","  59","   0"," 105","   1","   0","   0","  26","   0","   0","   0","   0","   0","   1","   0","   0","  14","   0","  38","   0","   0","  10","  25","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   3","   8","   0","   4","  23","   0","   2","   0","   0","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","  19","   0","   0"
"5462","5624","5363"," 880","   0","   8","   0","  71","   0"," 125","   1","   0","   0","   6","   0","   1","   0","   0","   0","   0","   0","   0","  15","   0","  13","   1","   0","  46","  15","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   5","   0","   3","   7","   0","   0","   0","   1","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   8","   0","   0","   3","   2","   0","   0","  12","   0","   0"
"5542","5717","5446"," 900","   0","   0","   2","  30","   2","  52","   0","   0","   0","  26","   0","   0","   0","   0","   3","   0","   0","   0","   6","   0","  34","   1","   0","  16","  18","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  14","   1","   2","  23","   1","   0","   0","   0","   1","   1","   0","   2","   2","   0","   1","   0","   0","   0","  23","   0","   0","   3","   0","   0","   1","  28","   0","   0"
"5621","5806","5526"," 920","   0","   5","   0","  28","   2","  60","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  27","   2","   0","  27","  10","   0","   0","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  16","   3","   0","  20","   0","   2","   0","   0","   0","   0","   3","   0","   3","   0","   0","   0","   0","   0","  13","   0","   0","   2","   2","   0","   0","  18","   0","   0"
"5681","5874","5582"," 935","   0","   4","   0","  83","   1"," 125","   1","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","  14","   3","   0","  61","  22","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   3","   1","   0","   0","   0","   0","   0","   4","   2","   6","   0","   0","   0","   0","   0","   0","  15","   0","   0","  12","   0","   0","   0","  19","   0","   0"
"5714","5902","5617"," 950","   0","   4","   1","  49","   4"," 107","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  54","   1","   0","  32","  24","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  11","   1","   0","  10","   0","   1","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","  12","   0","   0","   0","   3","   0","   0","  29","   0","   0"
"5748","5932","5653"," 965","   0","   4","   2","  71","   0"," 156","   1","   0","   0","  13","   1","   0","   0","   0","   0","   0","   0","   0","  12","   0","  48","   0","   0","  34","  32","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   2","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","  10","   0","   0","   2","   1","   0","   0","  32","   0","   0"
"5781","5960","5686"," 980","   0","   0","   2","  43","   0"," 121","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  18","   0","   0","  42","  28","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","  11","   0","   2","   0","   2","   0","   0","   2","   8","   0","   0","   0","   0","   0","   1","  24","   0","   0","  10","   0","   0","   2","  17","   0","   0"
"5814","5989","5720"," 995","   0","   7","   1","  43","   3","  81","   0","   0","   0","  14","   0","   0","   0","   0","   3","   0","   0","   0","  10","   0","  53","   1","   0","  28","  23","   0","   3","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","  29","   0","   1","   0","   0","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   1","   0","   0","   0","  10","   0","   0"
"5847","6018","5753","1010","   0","   6","   2","  30","   4","  97","   1","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  39","   2","   0","  29","  10","   0","   0","   0","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","  22","   0","   0","   0","   0","   0","   3","   3","   4","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   2","   0","   0","  14","   0","   1"
"5881","6048","5786","1025","   0","   4","   0","  52","   0","  79","   1","   0","   0","  40","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","  38","   5","   0","  33","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  11","   1","   0","   8","   0","   0","   0","   0","   0","   1","   2","  12","   0","   0","   0","   0","   0","   0","   8","   0","   0","   2","   1","   0","   0","  18","   0","   0"
"5914","6078","5820","1040","   0","   2","   0","  26","   0","  72","   0","   0","   0","  18","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","  41","   1","   0","  15","  19","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   4","   0","  25","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","   1","   0","   0","  20","   0","   0"
"5947","6107","5853","1055","   0","   2","   0","  31","   0","  45","   0","   0","   0","  19","   0","   0","   1","   0","   0","   0","   0","   1","   5","   0","  61","   0","   0","  19","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   2","   0","  39","   0","   0","   0","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   1","   0","   0","  15","   0","   0"
"5981","6134","5884","1070","   0","   3","   0","  49","   9"," 113","   1","   0","   1","  52","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  51","   7","   0","  43","  12","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  20","   0","   2","  11","   0","   0","   0","   5","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  11","   1","   0","   4","   1","   0","   1","  20","   0","   3"
"6014","6158","5917","1085","   0","   3","   0","  42","   6","  82","   0","   0","   0","  28","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","  43","   1","   0","  24","   9","   0","   2","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  14","   4","   0","  37","   0","   0","   1","   0","   0","   2","   0","   7","   0","   0","   0","   0","   0","   0","  26","   0","   0","   3","   0","   0","   0","  26","   0","   0"
"6047","6173","5949","1100","   0","  11","   0","  40","   2"," 112","   0","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  63","   3","   0","  33","  19","   0","   2","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  19","   0","   0","  16","   1","   1","   1","   0","   0","   0","   2","   8","   0","   0","   0","   0","   0","   0","   5","   0","   0","   3","   0","   0","   1","  34","   0","   0"
"6080","6202","5980","1115","   0","   2","   0","  14","   1","  70","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","  44","   1","   0","  36","  14","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  19","   0","   1","  20","   0","   0","   0","   1","   0","   2","   4","   2","   0","   1","   0","   0","   0","   0","  19","   0","   0","   0","   1","   0","   0","  16","   0","   0"
"6114","6231","6011","1130","   0","   1","   3","  21","   2","  53","   0","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","  38","   0","   0","  15","  12","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   8","   4","   0","  24","   0","   1","   0","   0","   0","   3","   2","   4","   0","   0","   0","   2","   0","   0","  15","   0","   0","   1","   0","   0","   0","  19","   0","   0"
