"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Animalia","Anthemideae","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratophyllum","Cercis","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Hypericum undif.","Ilex","Indeterminable","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Ligustrum","Loranthus","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Onagraceae","Ophioglossum vulgatum","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Picea","Pinus nigra/sylvestris t.","Pinus subg. Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Populus","Portulacaceae t.","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Spergularia t.","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Viburnum","Viola","Vitis"
"3461.27",NA,NA," 50.0","1","0","1","0","0","0","2","7","0","0","0","8","0","1","0","2","0","2","0","0","87","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","42","0","0","4","0","0","0","118","334","0","0","1","0","0","0","0","2","2","7","0","0","0","3","0","0","0","49","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","4","74","0","0","0","0","2","0","0","0","124","5","8","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0"
"3567.59",NA,NA," 55.0","1","1","0","0","0","0","4","8","0","0","3","2","0","2","0","1","0","1","0","2","0","0","0","0","0","1","0","0","1","0","0","0","0","2","0","1","0","3","392","0","1","5","0","1","1","140","5","0","0","1","1","0","0","0","1","35","0","0","0","0","8","0","0","0","84","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","1","28","1","0","0","0","1","0","0","0","194","8","24","0","0","0","1","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"3673.92",NA,NA," 60.0","1","0","0","0","0","0","0","1","0","0","0","1","0","3","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","132","0","1","5","0","0","0","71","3","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","84","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","3","280","1","0","0","0","0","0","0","0","124","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3780.24",NA,NA," 65.0","1","0","0","0","0","0","1","5","0","0","1","3","0","0","0","1","0","1","0","2","12","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","7","0","0","1","0","0","0","84","71","0","0","0","0","1","0","0","0","8","1","0","0","0","16","0","0","0","59","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1","4","300","1","0","0","0","0","0","0","0","59","4","13","0","0","0","1","0","0","0","42","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"3886.57",NA,NA," 70.0","1","0","0","0","0","0","0","2","0","0","0","2","0","2","0","3","0","1","0","0","61","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","126","72","0","0","1","6","0","0","0","1","1","3","0","0","0","5","0","0","0","93","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","422","1","0","0","0","0","0","0","0","52","2","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"3992.90",NA,NA," 75.0","1","2","2","0","0","0","5","3","0","0","0","3","0","1","0","2","0","2","0","1","4","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","10","1","1","4","0","0","0","243","45","0","0","4","0","1","0","0","0","1","12","0","0","0","0","0","0","1","104","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","2","1","5","428","2","0","0","0","0","0","0","0","133","9","19","1","0","0","2","0","0","4","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","3","1","0","0","0"
"4099.22",NA,NA," 80.0","1","1","0","0","0","0","0","1","0","0","6","5","0","0","0","1","0","1","0","4","18","0","0","0","0","1","0","0","0","0","0","6","0","1","1","1","0","0","17","0","0","5","0","0","0","145","45","0","0","2","0","0","0","1","0","0","10","0","0","0","0","0","0","0","110","0","0","1","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","1","0","1","320","3","0","0","0","0","0","0","0","54","7","9","1","0","0","0","1","0","1","0","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","7","0","0","0"
"4205.55",NA,NA," 85.0","1","1","3","1","0","0","3","7","0","0","10","1","0","7","0","8","0","4","0","6","17","3","0","0","1","6","0","0","0","0","0","9","0","1","0","0","0","2","5","0","1","6","0","0","0","181","75","0","0","1","0","1","0","0","0","21","34","0","0","0","0","0","0","0","143","0","0","4","0","0","0","0","0","0","6","0","0","0","0","1","2","0","0","0","2","4","165","1","0","0","0","0","1","0","0","135","15","22","0","0","0","2","0","0","6","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","5","11","0","1","0"
"4311.88",NA,NA," 90.0","1","1","1","0","0","0","1","2","0","0","3","1","0","3","0","1","0","6","0","1","43","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","8","0","0","2","0","0","0","315","29","0","0","1","3","0","0","0","1","0","25","0","0","0","1","2","0","0","73","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","2","213","0","0","0","0","2","0","0","0","157","12","12","0","0","0","5","0","1","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0"
"4313.00",NA,NA," 90.1","1","1","1","0","0","0","0","4","0","0","0","1","0","0","0","4","2","1","0","1","174","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","1","0","1","4","0","0","1","280","49","0","0","2","2","1","0","0","3","1","36","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","2","0","0","3","0","3","22","1","0","0","0","0","0","0","0","135","11","17","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0"
"4439.47",NA,NA," 96.0","1","0","1","0","0","0","3","3","0","0","3","2","0","1","0","2","0","1","0","1","4","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","4","0","0","3","0","0","0","130","43","0","0","3","12","0","0","0","1","2","21","0","0","0","0","0","0","0","64","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","1","0","0","1","2","4","273","0","0","0","0","0","0","0","0","68","4","7","1","0","0","2","0","0","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0"
"4487.53",NA,NA,"100.0","1","1","0","0","0","0","1","3","0","0","0","2","0","0","0","4","0","3","0","0","91","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","6","0","0","2","0","0","0","274","42","0","0","5","7","0","0","1","0","0","36","0","0","5","1","0","0","0","112","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","2","0","0","1","1","1","24","0","0","0","0","0","1","0","0","123","7","14","0","0","0","0","0","0","2","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0"
"4515.20",NA,NA,"110.0","1","0","0","0","0","0","1","2","0","1","1","1","0","1","0","3","0","0","0","4","392","0","0","0","0","5","0","0","0","5","0","2","0","0","0","0","0","0","15","0","0","3","0","0","0","244","45","0","0","2","7","0","0","0","1","0","31","0","0","0","0","0","0","0","102","0","0","2","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","5","35","0","0","0","0","0","0","0","0","115","12","27","1","0","0","0","1","0","2","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0"
"4542.87",NA,NA,"120.0","1","0","1","0","0","0","3","4","0","0","1","0","0","0","0","3","0","0","0","1","147","0","0","0","0","1","0","0","0","0","0","3","0","1","0","0","0","1","12","0","0","4","0","0","0","281","66","0","0","2","2","0","0","0","0","0","16","0","0","0","2","0","0","0","163","0","0","3","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","1","1","3","40","1","0","0","0","1","0","0","0","103","6","6","1","0","0","0","0","0","3","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","1","3","0","0","1"
"4589.08",NA,NA,"130.0","1","1","0","0","0","0","3","0","0","2","1","3","0","1","0","1","2","0","0","2","136","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","17","0","0","4","0","0","0","324","63","0","0","0","0","0","0","0","1","0","67","0","0","0","2","0","0","0","224","0","0","1","0","2","2","0","0","0","3","0","0","0","1","0","3","3","0","0","0","4","23","0","0","0","0","0","0","0","0","113","5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","1","0","0","1","0","0","1","20","0","0","0"
"4709.48",NA,NA,"140.0","1","1","1","0","0","0","0","4","0","0","1","1","0","0","0","3","0","1","0","3","403","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0","0","7","0","0","1","0","0","0","252","59","0","0","2","3","0","0","0","0","0","39","0","0","13","2","0","1","0","277","0","0","5","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","2","25","4","0","0","0","0","0","0","0","104","9","18","1","0","0","2","0","0","3","0","0","0","0","0","0","0","9","0","0","0","0","0","1","0","1","10","0","0","0"
"4829.88",NA,NA,"150.0","1","2","2","0","1","0","3","2","0","0","1","3","0","3","0","0","0","0","0","3","319","0","0","0","0","4","0","0","0","0","0","9","0","2","0","0","0","0","17","0","1","6","0","0","0","302","31","0","0","3","5","0","0","0","1","0","65","0","0","0","0","0","0","0","230","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","2","39","0","1","0","0","0","0","0","0","107","10","24","5","1","0","3","0","0","1","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","5","0","0","0"
"4950.28",NA,NA,"160.0","1","0","1","0","0","0","3","1","0","0","1","3","0","2","0","4","0","0","0","0","503","0","0","0","0","1","0","0","1","0","0","3","0","2","0","0","0","1","2","0","1","1","0","0","0","274","73","0","0","3","3","0","0","0","1","0","28","0","0","0","1","0","0","0","114","0","0","2","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","2","31","3","0","0","0","0","0","0","0","136","12","7","6","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"5070.68",NA,NA,"170.0","1","2","2","0","0","0","2","4","0","0","1","3","0","1","0","5","0","0","0","2","425","0","1","1","0","0","0","0","0","0","0","4","0","1","0","0","0","0","10","0","0","4","0","0","0","338","71","0","0","4","0","1","0","0","0","0","41","0","0","0","0","0","0","0","183","0","0","0","0","0","5","0","0","0","6","0","0","0","0","0","1","0","0","1","0","0","35","1","0","0","0","0","0","0","0","114","9","12","2","0","0","0","0","0","1","0","1","0","0","0","0","2","6","0","0","0","0","0","0","0","1","0","0","0","0"
"5193.04",NA,NA,"180.0","1","1","2","0","0","0","1","2","0","0","2","1","0","1","0","0","0","0","0","0","407","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","295","45","0","0","0","6","0","0","1","1","0","30","0","0","0","0","0","0","0","112","0","0","1","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","3","28","0","0","0","0","0","0","0","0","111","8","5","3","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"
"5323.24",NA,NA,"190.0","1","0","1","0","1","0","1","0","0","0","0","1","0","0","0","2","0","0","0","2","692","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","10","0","0","4","2","0","0","341","76","0","0","1","1","0","0","0","0","0","37","0","0","0","0","0","0","0","277","0","0","5","0","0","3","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","33","0","1","0","0","0","0","0","0","129","8","20","5","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"5453.44",NA,NA,"200.0","1","1","0","0","0","0","0","3","0","0","1","1","0","0","0","2","0","0","0","2","272","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","6","0","0","1","0","0","0","207","134","0","0","0","5","0","0","1","1","1","22","0","0","0","0","0","0","0","106","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","1","31","0","0","0","2","0","1","0","0","94","9","6","3","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0"
"5583.64",NA,NA,"210.0","1","0","1","0","0","0","4","2","1","2","3","4","0","0","0","0","0","0","0","1","160","0","0","0","0","2","1","0","0","0","0","0","0","3","0","0","0","0","6","0","0","4","0","0","0","298","252","0","1","4","1","0","0","0","0","0","20","0","0","0","0","0","0","0","301","0","0","2","0","0","4","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","176","7","21","3","0","2","2","0","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","1","1","0","0","0"
"5713.84",NA,NA,"220.0","1","1","0","0","0","0","2","4","0","0","0","3","0","2","1","0","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","1","5","0","0","5","0","0","0","205","103","0","0","4","2","0","0","0","2","8","4","0","0","0","5","0","0","0","303","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","89","3","0","0","20","0","2","0","0","201","20","10","0","0","0","1","0","0","2","1","0","0","0","0","0","1","2","0","0","0","0","0","1","0","1","9","0","0","0"
"5778.94",NA,NA,"225.0","1","0","1","0","0","0","0","0","0","0","3","3","0","1","0","2","1","2","0","0","9","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","3","15","0","0","2","0","0","0","114","158","0","0","1","4","0","0","0","2","11","5","0","0","0","1","0","0","0","165","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","2","1","53","1","0","0","0","0","0","0","0","278","9","16","0","0","0","0","0","0","2","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","4","1","0","0"
"5881.84",NA,NA,"235.0","1","1","0","0","0","0","1","2","0","0","1","9","0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","1","1","2","0","0","0","2","8","1","0","2","0","0","0","105","60","0","0","1","6","0","0","0","0","0","2","0","0","0","0","0","0","0","86","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0","0","22","2","0","0","0","2","0","0","0","340","9","13","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","2","4","0","0","0"
"5927.45",NA,NA,"240.0","1","0","1","0","0","0","2","0","0","4","1","1","0","1","0","0","0","0","0","0","3","1","0","0","1","2","0","0","0","0","0","1","0","5","0","0","0","0","12","0","1","1","0","0","0","88","27","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","85","0","0","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","36","2","0","0","0","0","0","1","0","403","16","29","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","3","0","0","0"
"6018.66",NA,NA,"250.0","1","0","0","0","1","0","1","0","0","0","1","2","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","1","8","0","0","3","0","0","0","45","20","0","0","1","0","0","0","0","0","0","2","0","0","4","0","0","0","0","158","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","3","43","1","0","0","1","0","0","0","1","322","14","15","0","0","0","2","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","3","0","0","0"
"6109.86",NA,NA,"260.0","1","1","0","0","40","0","1","0","0","4","1","4","0","1","0","2","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","19","0","0","2","0","0","0","38","29","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","61","2","0","0","0","0","0","1","0","457","11","13","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","3","0","0","0"
"6201.07",NA,NA,"270.0","1","0","1","0","0","0","0","3","0","0","1","2","0","2","0","2","0","1","0","0","6","0","0","2","0","0","0","0","0","0","0","1","1","3","0","0","0","1","18","0","1","2","0","0","0","202","91","0","0","4","2","0","0","0","2","0","15","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","43","1","0","0","0","0","0","0","0","143","14","8","2","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","2","4","0","0","0"
"6292.28",NA,NA,"280.0","1","0","1","0","0","0","0","0","0","1","2","4","0","0","0","2","0","0","0","0","1","0","0","1","1","2","0","0","0","0","0","0","0","5","0","0","0","0","64","0","0","1","0","0","0","369","79","0","0","4","0","0","0","0","1","0","27","0","1","0","0","0","0","0","113","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","24","1","0","0","0","0","0","0","0","96","6","41","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"6389.31",NA,NA,"290.0","1","0","0","0","0","0","1","5","0","0","2","9","0","4","0","1","0","2","0","3","0","0","0","1","1","0","0","0","0","0","0","4","1","2","0","0","0","0","14","0","1","1","0","0","0","180","167","0","0","0","0","0","0","0","1","2","13","0","0","0","0","0","0","0","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","83","4","0","0","1","0","0","0","0","182","10","6","2","0","0","3","0","0","3","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","0","0"
"6495.08",NA,NA,"300.0","1","0","1","0","0","0","1","3","0","0","0","2","0","1","0","7","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","3","0","4","0","0","0","0","6","0","0","1","0","0","0","212","235","0","0","1","0","0","0","0","3","0","16","0","0","0","16","0","0","0","163","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","191","1","0","0","2","0","0","0","0","210","17","2","3","0","0","0","0","0","2","0","1","0","0","0","0","0","15","0","1","0","0","0","0","0","2","2","0","0","0"
"6547.96",NA,NA,"305.0","1","0","0","0","0","0","2","3","0","0","8","7","0","3","0","1","1","2","0","2","9","1","0","0","0","0","0","0","0","0","0","16","0","3","0","0","0","1","6","0","0","0","0","0","0","68","40","0","0","2","0","0","0","0","0","2","1","0","0","1","1","0","0","0","701","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","2","144","0","0","0","0","0","0","0","0","228","5","14","0","0","0","1","0","1","1","9","2","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0"
