"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Linum t.","Lythrum","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Polygala","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Salix","Sambucus","Typha","Unknown"
"2214",NA,NA,"  75","   0","   3","   4","  38","  16","  56","   1","  38","   0","  72","   2","   2","  75","   0","  37","   0","   2","   1","   4","   2","   0","   1","   1","   3","  15","   1","   8"," 172","   3","   0","   0","  25","  40","   0","   1","   1","1257"
"3100",NA,NA,"  80","   0","   1","   3","  27","  20","  44","   0","  20","   0","  60","   0","   2","  76","   1","  30","   4","   2","   2","   0","   1","   0","   4","   1","   4","  16","   0","   7"," 108","   0","   0","   6","  17","  24","   0","   0","   0"," 963"
"3986",NA,NA,"  85","   0","   1","   1","  20","  15","  32","   0","  25","   0","  55","   0","   1","  69","   0","  33","   0","   0","   1","   0","   1","   0","   2","   0","   1","  11","   0","   2","  92","   0","   0","   2","   3","  27","   0","   0","   0"," 788"
"4873",NA,NA,"  90","   0","   0","   1","   2","  15","  43","   0","  30","   0","  36","   1","   0","  12","   0","  20","   0","   0","   0","   8","   0","   0","   2","   0","   1","   9","   0","   2","  80","   0","   0","   0","   0","  35","   0","   0","   0"," 603"
"5054",NA,NA,"  95","   0","   4","   3","   1","  23","  76","   0","  58","   0","  49","   0","   1","  59","   0","  25","   0","   1","   1","   0","   0","   4","   3","   0","   6","   9","   0","  11"," 120","   0","   0","   0","   1","  32","   0","   0","   0"," 992"
"5235",NA,NA," 100","   0","   2","   1","   1","  17","  55","   0","  45","   0","  38","   0","   0","  43","   0","  15","   0","   0","   1","   6","   0","   2","   1","   4","   4","   6","   2","   7","  88","   0","   0","   0","   1","  28","   0","   0","   0"," 746"
"5416",NA,NA," 105","   0","   6","   0","   0","   6","  26","   0","  30","   1","  27","   0","   0","   8","   0","  42","   0","   0","   0","   0","   2","   2","   0","   4","   0","   7","   2","   4","  62","   0","   0","   0","   0","  72","   0","   0","   0"," 608"
"5597",NA,NA," 110","   0","   0","   0","   0","   4","  12","   0","  16","   0","  28","   0","   0","   2","   0","  56","   0","   0","   0","   6","   0","   2","   0","   2","   0","   2","   0","   0","  75","   4","   0","   8","   0","  80","   0","   0","   0"," 600"
"5778",NA,NA," 115","   0","   7","   2","   0","   1","  20","   0","  24","   1","  22","   0","   0","  10","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   1","  13","   1","   4","  62","   2","   0","   0","   0","  48","   0","   0","   0"," 479"
"5959",NA,NA," 120","   0","   0","   0","   1","   0","   3","   0","   2","   0","  12","   0","   1","   0","   0","  47","   0","   2","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","  72","   1","   0","   6","   0","  55","   0","   0","   0"," 413"
"6225",NA,NA," 125","   0","   0","   0","   2","   0","   4","   0","   2","   0","  22","   0","   1","   0","   0","  81","   0","   0","   0","   1","   0","   0","   0","  13","   0","   4","   0","   0"," 100","   1","   0","   0","   0","  80","   0","   0","   8"," 641"
"6490",NA,NA," 130","   0","   0","   0","   2","   2","   2","   0","   6","   1","   6","   0","   0","   0","   0","  84","   0","   0","   0","   1","   0","   0","   0","   4","   0","  49","   0","   0","  80","   0","   0","   0","   0","  82","   0","   0","   0"," 638"
"6755",NA,NA," 135","   0","   0","   0","   2","   2","   2","   0","   4","   0","   4","   0","   0","   0","   0","  44","   0","   0","   0","   0","   0","   0","   0","   0","   0","  50","   0","   0","  50","   0","   0","   8","   0","  46","   0","   0","   0"," 424"
"7021",NA,NA," 140","   1","  12","   0","   0","   2","   4","   0","  12","   3","  10","   0","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   2","  71","   0","   0","  70","   0","   0","   0","   0","  50","   0","   0","   0"," 569"
"7286",NA,NA," 145","   0","  10","   0","   2","   4","   2","   0","   9","   6","   8","   0","   0","   0","   0","  40","   0","   0","   0","   2","   0","   0","   0","   6","   0","  58","   0","   2","  40","   0","   0","   0","   0","  48","   0","   0","   4"," 485"
"7551",NA,NA," 150","   2","   8","   0","   0","   2","  10","   0","   8","   6","   2","   0","   0","   0","   0","  30","   0","   0","   0","   2","   0","   0","   0","   6","   0","  29","   0","   0","  50","   0","   0","   0","   0","  40","   0","   0","  10"," 413"
"7817",NA,NA," 155","   0","  12","   0","   0","   2","   8","   0","   6","  30","   2","   0","   0","   0","   0","  31","   0","   0","   0","   1","   0","   0","   0","   4","   0","  35","   0","   0","  32","   0","   0","   0","   0","  46","   0","   0","  12"," 445"
"8082",NA,NA," 160","   5","  28","   0","   1","   0","  35","   0","   1","  95","  14","   0","   7","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 140","   0","   0","  35","   0","   0","   0","   0","  11","   0","   0","   5"," 780"
"8348",NA,NA," 165","   0","  15","   0","   1","   1","  20","   0","   1","  60","   8","   0","   6","   0","   2","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","  50","   0","   0","  28","   0","   0","   0","   0","  10","   0","   0","   3"," 433"
"8613",NA,NA," 170","   0","   8","   0","   4","   0","  18","   0","   4","  80","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   1","   0","  60","   0","   0","  16","   0","   0","   0","   0","  18","   0","   0","   2"," 452"
"8878",NA,NA," 175","  10","   4","   0","   6","   0","  21","   0","   6","  82","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   4","   0","  73","   0","   0","  25","   0","   0","   0","   0","  26","   0","   0","   2"," 552"
"9144",NA,NA," 180","  45","   1","   1","   0","   0","  10","   0","   4"," 100","   4","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   1","   0","  89","   0","   4","  24","   0","   0","   0","   0","  18","   0","   0","   4"," 644"
"11160",NA,NA,"  185","   65","    3","    1","    2","    0","    9","    0","    3","   70","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   60","    0","    5","   21","    0","    0","    0","    0","   19","    0","    0","    3","  526"
"13177",NA,NA,"  190","   49","   11","    1","    1","    0","    8","    0","    2","   78","    1","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","   53","    0","    3","   19","    0","    0","    0","    0","   15","    0","    0","    2","  498"
"15194",NA,NA,"  195","   50","   10","    3","    1","    0","   12","    0","    3","  104","    9","    0","    0","    2","    0","    4","    0","    0","    0","    0","    0","    0","    1","    1","    0","   77","    0","   14","   31","    0","    0","    0","    0","   17","    0","    0","    3","  684"
"17210",NA,NA,"  200","   30","   14","    1","    0","    0","    6","    0","    3","   29","    9","    0","    0","    2","    2","    7","    0","    1","    0","    0","    0","    0","    0","    4","    0","   61","    0","    3","   20","    0","    0","    0","    0","   14","    0","    0","    4","  420"
"19227",NA,NA,"  205","   25","   16","    1","    0","    0","   20","    0","    2","   43","   10","    0","    0","    1","    1","    1","    0","    0","    0","    0","    0","    2","    0","    2","    0","   38","    0","   45","   18","    0","    0","    0","    0","   12","    0","    0","    4","  482"
"21244",NA,NA,"  210","   50","   14","   13","    0","    0","   28","    0","    7","   95","   18","    0","    1","    0","    1","    1","    0","    1","    0","    0","    0","    1","    0","    0","    0","  105","    0","   66","   30","    0","    0","    0","    0","   16","    0","    0","    5","  904"
"23260",NA,NA,"  215","   58","   46","   10","    4","    0","   24","    0","    6","  149","   18","    0","    0","    2","    1","    2","    0","    3","    0","    0","    0","    1","    0","    2","    0","  159","    0","   52","   46","    0","    0","    0","    0","   16","    0","    0","    2"," 1205"
"25277",NA,NA,"  220","   52","   43","    8","    3","    0","   12","    0","    5","   96","   13","    0","    0","    2","    2","    1","    0","    2","    0","    0","    0","    2","    0","    1","    0","  105","    0","   28","   35","    0","    0","    0","    0","   14","    0","    0","    1","  853"
"27294",NA,NA,"  225","   46","   40","    0","    0","    0","   18","    0","    8","   89","   32","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","    1","    0","    6","    0","   90","    0","   33","   56","    0","    0","    3","    0","   12","    0","    0","    3","  880"
"29310",NA,NA,"  230","   45","   44","    3","    1","    0","   17","    0","    5","  103","   14","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","  130","    0","   29","   65","    0","    0","    4","    0","   18","    0","    0","    4","  968"
"29415",NA,NA,"  235","   42","   39","    4","    2","    0","   19","    0","    4","  108","   12","    0","    0","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","  100","    0","   17","   55","    0","    0","    0","    0","   16","    0","    0","    2","  846"
"29521",NA,NA,"  240","   70","   36","    1","    2","    0","   16","    0","    1","   65","   14","    0","    0","    0","    0","    2","    0","    1","    0","    2","    0","    0","    0","    0","    0","  105","    0","   15","   38","    0","    0","    0","    0","   17","    0","    0","    3","  776"
"29626",NA,NA,"  245","   82","   32","    1","    1","    0","   23","    0","    1","   50","   10","    0","    0","    0","    0","    1","    0","    2","    0","    3","    0","    0","    0","    0","    0","   91","    0","   33","   35","    0","    0","    0","    0","   12","    0","    0","    6","  769"
"29731",NA,NA,"  250","   40","   41","    4","    0","    0","   19","    0","    2","   62","    7","    0","    0","    0","    0","    1","    0","    1","    0","    3","    0","    0","    0","    2","    0","   93","    0","   30","   53","    0","    0","    1","    0","   18","    0","    0","    3","  766"
"29836",NA,NA,"  255","   49","   38","    2","    0","    0","   21","    0","    1","   44","    4","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    1","    0","   65","    0","   30","   43","    0","    0","    0","    0","   15","    0","    0","    2","  636"
"29941",NA,NA,"  260","   38","   25","    2","    3","    1","   19","    0","    4","   86","   16","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","  102","    0","   27","   68","    0","    0","    2","    0","   10","    0","    0","   12","  849"
"30046",NA,NA,"  265","   54","   22","    1","    4","    0","   10","    0","    3","  121","   12","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","   25","    0","   34","   50","    0","    0","    0","    0","   11","    0","    0","    9","  732"
"30152",NA,NA,"  270","   33","   14","    1","    7","    1","   17","    0","   10","   43","   12","    0","    1","    1","    0","    1","    0","    0","    0","    5","    0","    0","    0","    1","    0","   97","    0","   42","   52","    0","    0","    1","    0","   19","    0","    0","    3","  725"
"30257",NA,NA,"  275","  100","   12","    1","    6","    1","   16","    0","    5","   57","   13","    0","    0","    1","    0","    2","    0","    0","    0","    3","    0","    0","    0","    1","    0","   35","    0","   80","   51","    0","    0","    0","    0","   18","    0","    0","    2","  814"
"30362",NA,NA,"  280","   55","   16","    3","    6","    2","   14","    0","    5","   42","   12","    0","    0","    6","    0","    1","    0","    0","    0","   10","    0","    0","    0","    0","    0","   97","    0","   78","   93","    0","    0","    0","    6","   20","    0","    0","    6","  944"
"30467",NA,NA,"  285","   30","   10","    2","    5","    1","   17","    0","    3","   88","   10","    0","    0","    5","    0","    2","    0","    0","    0","    9","    0","    0","    0","    0","    0","   32","    0","   43","   79","    0","    0","    5","    6","   21","    0","    0","    7","  753"
"30572",NA,NA,"  290","   39","   14","    1","    7","    4","   16","    0","    6","   42","    7","    0","    1","    6","    0","    1","    0","    0","    0","    8","    0","    1","    1","    5","    0","   45","    0","   50","   71","    0","    0","   11","    6","   13","    0","    0","   11","  735"
"30677",NA,NA,"  295","   33","   17","    1","    4","    3","   14","    0","    5","   67","   11","    0","    1","    7","    0","    1","    0","    0","    0","   10","    0","    1","    0","    5","    0","   30","    0","   70","   80","    0","    0","   12","    7","   14","    0","    0","   10","  806"
"30783",NA,NA,"  300","   71","   18","    1","    6","    4","   10","    0","    7","   25","   12","    0","    0","    5","    0","    0","    0","    0","    0","    9","    0","    1","    1","   10","    0","   29","    0","   21","   78","    0","    0","   14","    8","   12","    0","    0","    8","  703"
"30888",NA,NA,"  305","   39","   22","    6","    5","    1","   11","    0","    8","   41","    4","    0","    0","    2","    0","    5","    0","    0","    0","   11","    0","    0","    2","   14","    0","   69","    0","   25","   72","    0","    0","   15","    2","    8","    0","    0","    7","  738"
"30993",NA,NA,"  310","   11","   10","    5","    6","    2","   10","    0","    7","   72","    9","    0","    0","    1","    0","    3","    0","    0","    0","   10","    0","    0","    1","   10","    0","   42","    0","   32","   60","    0","    0","   17","    2","   10","    0","    0","    6","  652"
"31098",NA,NA,"  315","   28","   15","    2","    7","    3","   10","    0","    8","   55","   11","    0","    0","    1","    0","    1","    0","    0","    0","    9","    0","    0","    1","   11","    0","   49","    0","   20","   63","    0","    0","   20","    2","   11","    0","    0","    5","  664"
"31203",NA,NA,"  320","   33","   10","    4","    5","    1","   11","    0","    5","   34","    4","    0","    0","    0","    0","    1","    0","    0","    0","    8","    0","    0","    0","   12","    0","   35","    0","   15","   52","    0","    0","   21","    3","    9","    0","    0","    6","  538"
"31308",NA,NA,"  325","   12","   15","    1","    4","    1","    9","    0","    4","   29","    9","    0","    0","    1","    0","    4","    0","    0","    0","    7","    0","    0","    0","   14","    0","   41","    0","   17","   48","    0","    0","   18","    0","    7","    0","    0","    6","  494"
"31413",NA,NA,"  330","   16","   10","    1","    3","    2","   17","    0","    8","   33","   10","    0","    0","    0","    0","    2","    0","    0","    0","    5","    0","    0","    0","   11","    0","   25","    0","   10","   50","    0","    0","   15","    0","    6","    0","    0","    7","  462"
"31519",NA,NA,"  335","   10","   14","    1","    7","    1","   14","    0","    7","   41","   11","    0","    0","    1","    0","    1","    0","    0","    0","    6","    0","    0","    0","   10","    0","   14","    0","   15","   45","    0","    0","   26","    1","    5","    0","    0","    8","  476"
"31624",NA,NA,"  340","   15","   14","    2","    6","    2","   10","    0","   10","   20","   12","    0","    0","    0","    0","    2","    0","    0","    0","   10","    0","    0","    0","   14","    0","   20","    0","   25","   50","    0","    0","   17","    0","   10","    0","    0","    5","  488"
"31729",NA,NA,"  345","    9","    8","    1","    5","    0","   11","    0","   10","   21","   10","    0","    0","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","   10","    0","   23","    0","   14","   49","    0","    0","   19","    0","    9","    0","    0","    5","  418"
"31834",NA,NA,"  350","    4","   12","    1","    4","    0","   13","    0","    7","   37","    8","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","   11","    0","    8","    0","   13","   50","    0","    0","   42","    2","   13","    0","    0","    4","  464"
"31939",NA,NA,"  355","    9","   11","    2","    3","    0","   14","    0","    7","   11","    7","    0","    0","    1","    0","    1","    0","    0","    0","    3","    0","    0","    0","   12","    0","   27","    0","   18","   60","    0","    0","   15","    2","    5","    0","    0","    5","  426"
"32044",NA,NA,"  360","    5","   10","    1","    4","    0","   12","    0","    6","   19","    8","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","   13","    0","   21","    0","   15","   56","    0","    0","   36","    0","    9","    0","    0","    2","  442"
"32150",NA,NA,"  365","    7","    1","    1","    3","    0","    7","    0","    1","   25","    5","    0","    0","    6","    0","    3","    0","    0","    0","    8","    0","    0","    0","    5","    0","   26","    0","    8","   30","    0","    0","   22","    0","    2","    0","    0","    2","  324"
"32255",NA,NA,"  370","    8","    1","    1","    1","    0","    6","    0","    1","   30","    7","    0","    0","    4","    0","    2","    0","    0","    0","    4","    0","    0","    0","    6","    0","    9","    0","   11","   42","    0","    0","   30","    0","    1","    0","    0","    2","  338"
"32360",NA,NA,"  375","   10","    8","    3","    2","    0","    8","    0","    2","   85","    6","    0","    0","    3","    1","    4","    0","    0","    0","   13","    0","    0","    1","    7","    0","   19","    0","   23","   64","    0","    0","   38","    0","    0","    2","    0","    8","  614"
"32465",NA,NA,"  380","   11","    7","    2","    1","    0","    6","    0","    1","   22","    5","    0","    0","    4","    1","    3","    0","    0","    0","   10","    0","    0","    1","    8","    0","   62","    0","   24","   53","    0","    0","   40","    0","    1","    1","    0","    9","  550"
"32570",NA,NA,"  385","   11","    8","    3","    1","    0","   17","    0","    8","   33","   12","    0","    0","    1","    0","    1","    1","    0","    0","   16","    1","    0","    1","    5","    0","   78","    0","   57","   97","    0","    0","   23","    0","    2","    0","    0","   11","  774"
"32675",NA,NA,"  390","   14","   10","    2","    1","    0","   15","    0","    7","   62","   11","    0","    0","    1","    1","    1","    1","    0","    0","   11","    1","    0","    0","    4","    0","   21","    0","   48","   85","    0","    1","   21","    0","    1","    1","    0","   11","  665"
"32781",NA,NA,"  395","   15","    9","    3","    2","    0","   12","    0","    5","   50","    9","    0","    0","    2","    0","    1","    0","    0","    0","    9","    1","    0","    1","    5","    0","   22","    0","   36","   63","    0","    1","   18","    0","    1","    0","    0","    8","  549"
"32886",NA,NA,"  400","   20","   11","    3","    1","    0","   13","    0","    6","   59","   10","    0","    0","    0","    0","    2","    1","    0","    0","   12","    1","    0","    0","    3","    0","   19","    0","   51","   90","    0","    1","   19","    0","    1","    1","    0","   10","  671"
"32991",NA,NA,"  405","    2","  291","    5","    2","    0","    5","    0","    1","   18","    1","    0","    0","    2","    0","    1","    0","    0","    0","    1","    0","    1","    8","    0","    0","    3","    0","   13","   20","    0","    1","   16","    0","    3","   20","    0","    3","  834"
"33465",NA,NA,"  410","    4","  280","    6","    1","    0","    4","    0","    1","   14","    1","    0","    0","    1","    0","    1","    1","    0","    0","    1","    1","    1","    7","    0","    0","    7","    0","   12","   21","    0","    0","   97","    0","    2","   23","    0","    4","  980"
"33939",NA,NA,"  415","    3","  291","    4","    1","    0","    2","    0","    1","    4","    3","    0","    0","    1","    2","    6","    0","    0","    0","    1","    1","    0","   16","    5","    0","    3","    0","   10","   40","    0","    0","  168","    0","    3","   92","    0","    4"," 1325"
"34413",NA,NA,"  420","    1","  250","    3","    1","    0","    1","    0","    1","    5","    2","    0","    0","    0","    1","    4","    1","    0","    0","    1","    1","    0","   14","    4","    0","    5","    0","   11","   37","    0","    1","  170","    0","    2","   85","    0","    7"," 1219"
"34887",NA,NA,"  425","    2","  231","    2","    1","    0","    1","    0","    1","    7","    1","    0","    0","    2","    2","    4","    0","    0","    0","    5","    1","    1","   12","    3","    0","    4","    0","   10","   39","    0","    1","  174","    0","    1","   87","    0","    7"," 1201"
"35362",NA,NA,"  430","    4","   45","    3","    5","    0","   12","    0","    2","   53","    8","    0","    0","    2","    0","    5","    0","    0","    0","    4","    0","    1","    2","    7","    0","   20","    0","   37","   82","    0","    1","  115","    0","    1","    5","    0","   13","  854"
"35836",NA,NA,"  435","    7","   52","    2","    4","    0","   10","    0","    1","   42","    8","    0","    0","    2","    0","    3","    0","    0","    0","    5","    1","    1","    1","    5","    0","   16","    0","   25","   71","    0","    0","  120","    0","    1","    6","    0","   13","  795"
"36310",NA,NA,"  440","   10","   60","    3","    5","    0","   11","    0","    1","   25","    7","    0","    0","    3","    0","    4","    0","    0","    0","    3","    0","    1","    1","    1","    0","   16","    0","   19","   69","    0","    0","  125","    0","    1","    8","    0","   12","  773"
"36784",NA,NA,"  445","    2","  178","    2","    2","    0","    7","    0","    0","   14","    1","    0","    0","    1","    0","    3","    0","    0","    0","    4","    0","    0","    4","    2","    0","    7","    0","    6","   23","    0","    2","  131","    0","    2","   28","    0","    4","  849"
"37258",NA,NA,"  450","    3","  143","    1","    2","    0","    6","    0","    0","   13","    1","    0","    0","    2","    0","    2","    0","    0","    0","    5","    0","    0","    3","    2","    0","    5","    0","    5","   31","    0","    2","  120","    0","    1","   21","    0","    3","  745"
"37732",NA,NA,"  455","    3","  122","    1","    2","    0","    5","    0","    0","   11","    1","    0","    0","    0","    0","    3","    0","    0","    0","    3","    0","    0","    2","    2","    0","    5","    0","    1","   32","    0","    3","  111","    0","    2","   19","    0","    2","  663"
"38206",NA,NA,"  460","    2","  177","    6","    3","    0","   18","    0","    6","    3","    1","    0","    0","    0","    0","    2","    0","    0","    0","    3","    0","    5","    0","    0","    0","    2","    0","   20","   17","    0","    0","  113","    0","    3","   40","    0","    1","  844"
"38681",NA,NA,"  465","    2","  152","    3","    2","    0","   17","    0","    4","    4","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    3","   13","    0","    0","    2","    0","   22","   18","    0","    1","  120","    0","    3","   34","    0","    2","  808"
"39155",NA,NA,"  470","    1","  140","    2","    2","    0","   15","    0","    3","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    3","    2","    0","    0","    3","    0","   19","   17","    0","    1","  112","    0","    2","   42","    0","    2","  746"
"39629",NA,NA,"  475","    1","   84","    0","    2","    0","    0","    0","    0","    3","    2","    0","    0","    0","    0","    2","    0","    0","    0","    1","    1","    2","    1","    0","    0","    2","    0","    4","    2","    0","    1","   64","    0","    2","   54","    0","    0","  456"
"40103",NA,NA,"  480","    1","  100","    0","    4","    0","    1","    0","    0","    3","    3","    0","    0","    0","    0","    2","    0","    0","    0","    3","    1","    2","    1","    0","    0","    4","    0","    5","    8","    0","    0","   85","    0","    2","   62","    0","    2","  578"
"40577",NA,NA,"  485","    2","   98","    0","    3","    0","    2","    0","    0","    3","    2","    0","    0","    5","    0","    3","    0","    0","    0","    2","    0","    2","    0","    0","    0","    5","    0","    4","    6","    0","    0","   92","    0","    2","   59","    0","    2","  584"
"41051",NA,NA,"  490","    1","  130","    3","   15","    0","    7","    0","    0","    8","    2","    0","    0","    3","    0","    2","    0","    0","    0","    1","    0","    1","    0","    0","    0","    3","    0","    7","   28","    0","    0","  114","    0","    6","   20","    0","    0","  738"
"41526",NA,NA,"  495","    1","  125","    2","   10","    0","    4","    0","    3","    7","    1","    0","    0","    2","    0","    2","    0","    0","    0","   12","    0","    1","    0","    0","    0","    3","    0","    5","   23","    0","    0","  111","    0","    4","   18","    0","    1","  700"
"42000",NA,NA,"  500","    0","  110","    1","    9","    0","    3","    0","    2","    5","    1","    0","    0","    2","    0","    3","    0","    0","    0","    9","    0","    0","    0","    5","    0","    4","    0","    6","   20","    0","    0","  109","    0","    5","   21","    0","    1","  659"
"42474",NA,NA,"  505","   13","   21","    3","    6","    0","   12","    0","    1","    9","    1","    0","    0","    1","    0","    2","    0","    0","    0","    5","    0","    1","    0","    3","    0","    4","    0","   19","   32","    0","    0","  111","    0","    6","   29","    0","    3","  570"
"42948",NA,NA,"  510","    7","   19","    3","    4","    0","    1","    0","    4","    9","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    5","    0","   20","   34","    0","    0","  113","    0","    2","   25","    0","    2","  516"
"43422",NA,NA,"  515","    4","   15","    1","    2","    0","    9","    0","    3","    8","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","   13","   30","    0","    0","  120","    0","    3","   21","    0","    1","  481"
"43896",NA,NA,"  520","   16","   56","    8","    2","    0","   12","    0","    1","   24","    6","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   15","    0","   30","   54","    0","    0","   58","    0","    2","    2","    0","    8","  608"
