"Depth (cm)","Acacia t.","Algae","Amaranthaceae undif.","Annonaceae","Artemisia","Asteroideae undif.","Boreria spermacore (Rubeacea)","Boscia","Canthium","Clematis-type","Cosmanium","Cuviera","Cyperaceae","Euphorbia t.","Faboideae Undif.","Fraxinus","Fungi","Galium t.","Indeterminable","Indigofera","Lycopodium counted","Mitracarpus","Olea t.","Phoenix t.","Piliostigma","Pinus undif.","Poaceae","Pollen flux (/cm2/yr)","Protist","Rhizophora","Rubiaceae undif.","Sideroxylon t.","Spores","Stereospermum","Tamarindus","Typha","Uapaca","Vernonieae","Ziziphus/Paliurus","pill lycopodium added","pollen concentration volumétrique (/ml)","volume (ml)"
"  171.0000","    2.0000","    0.0000","    4.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    1.0000","    0.0000","    3.0000","    0.0000","   27.0000","    5.0000","    0.0000","    0.0000","    7.0000","    0.0000","   12.0000","    0.0000","  665.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","  106.0000","  670.4625","   49.0000","    7.0000","    3.0000","    0.0000","    2.0000","    0.0000","    0.0000","    5.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 2617.5594","    1.0000"
"  181.0000","    0.0000","    2.0000","    5.0000","    0.0000","    0.0000","    1.0000","    1.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","   33.0000","    4.0000","    0.0000","    0.0000","    1.0000","    0.0000","   10.0000","    0.0000","  983.0000","    5.0000","    0.0000","    0.0000","    0.0000","    2.0000","  199.0000","  759.6572","   44.0000","    5.0000","    2.0000","    0.0000","    5.0000","    0.0000","    0.0000","   10.0000","    0.0000","    0.0000","    1.0000","10672.0000"," 2965.7854","    1.0000"
"  191.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    2.0000","    0.0000","   19.0000","    3.0000","    0.0000","    0.0000","    3.0000","    2.0000","    2.0000","    0.0000","  488.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","   76.0000","  650.1996","   22.0000","    8.0000","    0.0000","    0.0000","    5.0000","    0.0000","    1.0000","    2.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 2538.4508","    1.0000"
"  201.0000","    1.0000","    1.0000","    2.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","    3.0000","    5.0000","    0.0000","    0.0000","    1.0000","    0.0000","   22.0000","    0.0000","  234.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   55.0000","  970.2212","   28.0000","    1.0000","    0.0000","    0.0000","   15.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 3787.8504","    1.0000"
"  211.000","    3.000","    4.000","    8.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    9.000","    0.000","   29.000","    6.000","    0.000","    0.000","    3.000","    0.000","   16.000","    0.000","  442.000","    4.000","    0.000","    0.000","    0.000","    0.000","  132.000"," 1361.473","   58.000","   18.000","    2.000","    0.000","    6.000","    0.000","    0.000","   14.000","    0.000","    0.000","    0.000","10672.000"," 5315.339","    1.000"
"  221.000","    1.000","    0.000","    5.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","   17.000","    1.000","    0.000","    0.000","    5.000","    0.000","    7.000","    0.000","  786.000","    2.000","    1.000","    0.000","    0.000","    0.000","   43.000"," 1682.193","   31.000","    3.000","    1.000","    0.000","    1.000","    0.000","    0.000","    5.000","    2.000","    0.000","    0.000","10679.000"," 1100.508","    1.000"
"  231.000","    2.000","    3.000","    5.000","    0.000","    0.000","    5.000","    0.000","    0.000","    1.000","    0.000","    2.000","    0.000","   21.000","    4.000","    0.000","    0.000","    3.000","    0.000","    7.000","    0.000"," 1077.000","    2.000","    0.000","    0.000","    0.000","    0.000","  144.000"," 3016.135","   29.000","    3.000","    2.000","    0.000","    7.000","    0.000","    0.000","    7.000","    0.000","    0.000","    0.000","10679.000"," 1973.186","    1.000"
"  241.000","    0.000","    0.000","    4.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    0.000","   16.000","    4.000","    0.000","    0.000","    2.000","    0.000","    8.000","    0.000","  862.000","    5.000","    0.000","    0.000","    0.000","    0.000","   74.000"," 2196.700","   32.000","    4.000","    3.000","    0.000","    2.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000","10679.000"," 1437.081","    1.000"
"  251.000","    3.000","    6.000","    9.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    3.000","    0.000","   18.000","    4.000","    0.000","    0.000","   12.000","    0.000","    5.000","    0.000","  665.000","    1.000","    2.000","    0.000","    0.000","    0.000","   98.000"," 3780.180","   59.000","   10.000","    0.000","    0.000","    4.000","    0.000","    0.000","    6.000","    0.000","    0.000","    2.000","10679.000"," 2473.032","    1.000"
"  261.000","    2.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","   11.000","    0.000","    0.000","    0.000","    4.000","    0.000","   10.000","    0.000","  313.000","    0.000","    0.000","    0.000","    0.000","    0.000","   40.000"," 3285.612","   14.000","    0.000","    0.000","    0.000","    6.000","    0.000","    0.000","    5.000","    0.000","    0.000","    0.000","10679.000"," 2149.447","    1.000"
"  271.000","    1.000","    0.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    6.000","    1.000","    0.000","    0.000","    6.000","    1.000","   10.000","    0.000","  544.000","    0.000","    1.000","    1.000","    1.000","    1.000","   47.000"," 2190.504","   19.000","    3.000","    0.000","    1.000","   11.000","    0.000","    0.000","    0.000","    1.000","    1.000","    1.000","10679.000"," 1433.028","    1.000"
"  281.000","    0.000","    2.000","    3.000","    0.000","    0.000","    1.000","    1.000","    0.000","    0.000","    1.000","    0.000","    0.000","   14.000","    2.000","    0.000","    0.000","   11.000","    2.000","    9.000","    0.000"," 1105.000","    1.000","    0.000","    0.000","    0.000","    0.000","   90.000"," 2023.819","   40.000","    9.000","    1.000","    0.000","    5.000","    0.000","    0.000","   10.000","    0.000","    0.000","    1.000","10679.000"," 1324.003","    1.000"
"  301.000","    1.000","    0.000","    3.000","    0.000","    0.000","    1.000","    0.000","    2.000","    0.000","    0.000","    0.000","    0.000","   24.000","    5.000","    0.000","    0.000","    6.000","    0.000","    8.000","    0.000"," 1299.000","    2.000","    2.000","    0.000","    0.000","    1.000","   72.000"," 1696.438","   39.000","    8.000","    2.000","    0.000","    4.000","    0.000","    0.000","    9.000","    0.000","    0.000","    0.000","10679.000"," 1109.827","    1.000"
"  311.0000","    6.0000","    5.0000","    5.0000","    0.0000","    0.0000","    2.0000","    2.0000","    3.0000","    0.0000","    0.0000","    4.0000","    0.0000","   32.0000","    2.0000","    0.0000","    0.0000","   11.0000","    0.0000","    8.0000","    0.0000"," 3181.0000","    4.0000","    0.0000","    0.0000","    0.0000","    1.0000","   83.0000"," 1384.0975","   66.0000","    8.0000","    1.0000","    0.0000","   23.0000","    0.0000","    0.0000","    6.0000","    0.0000","    0.0000","    0.0000","18583.0000","  905.4904","    1.0000"
"  331.000","    0.000","    2.000","    4.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","   19.000","    2.000","    0.000","    0.000","    5.000","    0.000","    8.000","    0.000","  806.000","    2.000","    0.000","    0.000","    0.000","    0.000","   83.000"," 1166.888","   71.000","    6.000","    2.000","    0.000","    7.000","    0.000","    0.000","   15.000","    0.000","    0.000","    0.000","10679.000"," 1815.165","    1.000"
"  351.000","    5.000","    0.000","    7.000","    0.000","    0.000","    0.000","    3.000","    0.000","    1.000","    0.000","    0.000","    0.000","   11.000","   13.000","    0.000","    0.000","    4.000","    0.000","   24.000","    0.000","  690.000","    5.000","    0.000","    0.000","    0.000","    0.000","  119.000"," 2069.465","   45.000","    9.000","    5.000","    0.000","   30.000","    0.000","    0.000","    7.000","    7.000","    0.000","    4.000","10679.000"," 3219.177","    1.000"
"  361.000","    0.000","    1.000","    8.000","    0.000","    0.000","    4.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","   18.000","    3.000","    0.000","    0.000","   11.000","    0.000","    2.000","    0.000","  701.000","    4.000","    0.000","    0.000","    0.000","    0.000","   76.000"," 1322.094","   29.000","   14.000","    2.000","    0.000","    4.000","    0.000","    0.000","    5.000","    0.000","    0.000","    0.000","10679.000"," 2056.583","    1.000"
"  371.0000","    3.0000","    5.0000","   12.0000","    0.0000","    0.0000","    4.0000","    1.0000","    5.0000","    0.0000","    1.0000","    2.0000","    0.0000","   33.0000","    8.0000","    0.0000","    0.0000","   13.0000","    0.0000","   34.0000","    0.0000"," 3165.0000","    5.0000","    2.0000","    0.0000","    0.0000","    1.0000","  126.0000","  511.8964","   45.0000","   10.0000","    2.0000","    0.0000","   17.0000","    0.0000","    0.0000","   14.0000","    0.0000","    0.0000","    2.0000","10679.0000","  796.2856","    1.0000"
"  381.000","    1.000","    1.000","    6.000","    0.000","    0.000","    2.000","    0.000","    1.000","    0.000","    0.000","    7.000","    0.000","   24.000","   14.000","    0.000","    2.000","    5.000","    0.000","   12.000","    0.000"," 1154.000","    3.000","    0.000","    0.000","    0.000","    0.000","  152.000"," 1439.648","   38.000","   10.000","    6.000","    0.000","    5.000","    0.000","    0.000","   14.000","    0.000","    0.000","    1.000","10679.000"," 2239.444","    1.000"
"  401.000","    2.000","    3.000","    7.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    1.000","    0.000","   16.000","    1.000","    0.000","    1.000","   12.000","    0.000","    7.000","    0.000"," 1015.000","    7.000","    1.000","    0.000","    0.000","    1.000","   94.000"," 1021.303","   47.000","    9.000","    5.000","    0.000","    4.000","    0.000","    0.000","    4.000","    0.000","    0.000","    0.000","10679.000"," 1588.699","    1.000"
"  411.0000","    0.0000","    1.0000","    5.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","   24.0000","    4.0000","    0.0000","    0.0000","   12.0000","    0.0000","   19.0000","    0.0000"," 1802.0000","    7.0000","    1.0000","    0.0000","    0.0000","    0.0000","   68.0000","  472.4960","   58.0000","    9.0000","    0.0000","    0.0000","    4.0000","    0.0000","    0.0000","    9.0000","    0.0000","    0.0000","    0.0000","10679.0000","  794.1099","    1.0000"
"  431.0000","    4.0000","    5.0000","    9.0000","    0.0000","    0.0000","    2.0000","    0.0000","    8.0000","    0.0000","    0.0000","    4.0000","    0.0000","   16.0000","    3.0000","    0.0000","    0.0000","    5.0000","    0.0000","    4.0000","    0.0000"," 1417.0000","   12.0000","    0.0000","    0.0000","    0.0000","    0.0000","   41.0000","  515.6751","   41.0000","   12.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    8.0000","    0.0000","    0.0000","    0.0000","10679.0000","  866.6796","    1.0000"
"  441.000","    4.000","    1.000","    4.000","    0.000","    0.000","    1.000","    3.000","    0.000","    1.000","    0.000","    0.000","    0.000","    7.000","   12.000","    0.000","    0.000","    4.000","    0.000","    8.000","    0.000","  763.000","    2.000","    0.000","    0.000","    2.000","    0.000","  140.000"," 1682.190","   25.000","    9.000","    3.000","    0.000","   26.000","    0.000","    0.000","    7.000","    0.000","    0.000","    3.000","10679.000"," 2827.206","    1.000"
"  461.0000","    0.0000","    2.0000","    5.0000","    0.0000","    0.0000","    1.0000","    0.0000","    2.0000","    0.0000","    0.0000","    3.0000","    0.0000","   19.0000","    1.0000","    0.0000","    0.0000","    8.0000","    0.0000","    5.0000","    0.0000","  741.0000","    7.0000","    1.0000","    0.0000","    0.0000","    2.0000","   51.0000","  874.6415","   19.0000","    7.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    4.0000","    0.0000","    0.0000","    0.0000","10679.0000"," 1469.9838","    1.0000"
"  481.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   12.0000","    1.0000","    1.0000","    0.0000","   10.0000","    0.0000","    6.0000","    1.0000"," 1132.0000","    3.0000","    0.0000","    0.0000","    0.0000","    3.0000","   74.0000","  611.8264","   13.0000","    1.0000","    3.0000","    0.0000","   11.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    1.0000","10679.0000"," 1028.2783","    1.0000"
"  491.0000","    1.0000","    1.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   20.0000","    2.0000","    0.0000","    0.0000","   21.0000","    0.0000","   15.0000","    0.0000","  791.0000","    7.0000","    0.0000","    0.0000","    0.0000","    1.0000","   85.0000","  522.9931","   19.0000","    2.0000","    0.0000","    0.0000","    6.0000","    0.0000","    0.0000","    8.0000","    0.0000","    0.0000","    0.0000","10679.0000","  878.9840","    1.0000"
"  501.0000","    0.0000","    6.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    1.0000","    1.0000","    3.0000","    0.0000","   15.0000","    2.0000","    0.0000","    0.0000","    5.0000","    0.0000","   11.0000","    0.0000"," 1441.0000","    0.0000","    0.0000","    0.0000","    1.0000","    1.0000","  132.0000","  723.1494","   34.0000","    3.0000","    0.0000","    0.0000","   11.0000","    0.0000","    0.0000","    4.0000","    0.0000","    0.0000","    0.0000","10679.0000"," 1215.3754","    1.0000"
"  521.0000","    0.0000","    2.0000","    7.0000","    0.0000","    0.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    4.0000","    0.0000","    7.0000","    3.0000","    0.0000","    0.0000","   12.0000","    0.0000","    4.0000","    0.0000"," 1322.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","   48.0000","  389.3155","   40.0000","    5.0000","    1.0000","    0.0000","    3.0000","    0.0000","    0.0000","    3.0000","    1.0000","    0.0000","    0.0000","10679.0000","  654.3109","    1.0000"
"  531.0000","    3.0000","   23.0000","   19.0000","    0.0000","    0.0000","    3.0000","    3.0000","    3.0000","    2.0000","    0.0000","    8.0000","    0.0000","   45.0000","    9.0000","    0.0000","    0.0000","    7.0000","    0.0000","   10.0000","    0.0000"," 3796.0000","    7.0000","    1.0000","    0.0000","    0.0000","    1.0000","  106.0000","  473.0878","   92.0000","   18.0000","    3.0000","    0.0000","   19.0000","    0.0000","    0.0000","   16.0000","    2.0000","    0.0000","    3.0000","18583.0000"," 1199.3770","    1.0000"
"  541.0000","    3.0000","    5.0000","    3.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    5.0000","    1.0000","    0.0000","    0.0000","    7.0000","    0.0000","    6.0000","    0.0000","  365.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   34.0000","  646.2667","   53.0000","    3.0000","    0.0000","    0.0000","   12.0000","    0.0000","    0.0000","    2.0000","    0.0000","    1.0000","    0.0000","10679.0000"," 1638.4219","    1.0000"
"  561.0000","    1.0000","    7.0000","    7.0000","    0.0000","    0.0000","    1.0000","    0.0000","    2.0000","    0.0000","    0.0000","    4.0000","    0.0000","   41.0000","    8.0000","    0.0000","    0.0000","   12.0000","    0.0000","   25.0000","    1.0000"," 1257.0000","    3.0000","    1.0000","    0.0000","    0.0000","    1.0000","  110.0000","  713.7744","   73.0000","   14.0000","    1.0000","    0.0000","   11.0000","    0.0000","    0.0000","   11.0000","    1.0000","    0.0000","    1.0000","10679.0000"," 1809.5680","    1.0000"
"  591.0000","    0.0000","    4.0000","    5.0000","    0.0000","    0.0000","    0.0000","    1.0000","    2.0000","    1.0000","    0.0000","    3.0000","    0.0000","   24.0000","    5.0000","    0.0000","    0.0000","    3.0000","    0.0000","   16.0000","    0.0000"," 1519.0000","    7.0000","    0.0000","    0.0000","    0.0000","    0.0000","   72.0000","  670.7473","  140.0000","    9.0000","    2.0000","    0.0000","    5.0000","    0.0000","    0.0000","    8.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 1700.4852","    1.0000"
"  601.0000","    1.0000","    2.0000","   12.0000","    0.0000","    0.0000","    4.0000","    2.0000","    2.0000","    1.0000","    0.0000","    2.0000","    0.0000","   29.0000","    3.0000","    0.0000","    0.0000","   12.0000","    1.0000","   12.0000","    0.0000"," 2615.0000","    6.0000","    2.0000","    0.0000","    0.0000","    0.0000","   69.0000","  167.8737","  132.0000","   15.0000","    5.0000","    0.0000","    4.0000","    0.0000","    0.0000","   10.0000","    0.0000","    0.0000","    1.0000","18583.0000"," 1158.3285","    1.0000"
"  611.0000","    1.0000","    6.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","   11.0000","    0.0000","    0.0000","    0.0000","    8.0000","    0.0000","    3.0000","    0.0000","  198.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   36.0000","  445.5446","   63.0000","    6.0000","    0.0000","    0.0000","   10.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","10679.0000"," 3074.2576","    1.0000"
"  621.0000","    0.0000","   14.0000","    3.0000","    1.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","    3.0000","    0.0000","   11.0000","    2.0000","    0.0000","    0.0000","    1.0000","    0.0000","    7.0000","    0.0000","  306.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   50.0000","  374.2758","   43.0000","    0.0000","    0.0000","    0.0000","    5.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","10679.0000"," 2582.5033","    1.0000"
"  631.0000","    0.0000","    3.0000","    5.0000","    0.0000","    0.0000","    2.0000","    0.0000","    3.0000","    0.0000","    0.0000","    1.0000","    0.0000","   21.0000","    4.0000","    0.0000","    0.0000","    8.0000","    0.0000","    4.0000","    0.0000","  264.0000","    7.0000","    0.0000","    0.0000","    0.0000","    0.0000","   55.0000","  732.8036","   47.0000","   21.0000","    2.0000","    0.0000","    3.0000","    0.0000","    0.0000","    5.0000","    0.0000","    0.0000","    0.0000","10679.0000"," 5056.3447","    1.0000"
"  651.0000","    4.0000","    0.0000","    6.0000","    0.0000","    0.0000","    1.0000","    0.0000","    1.0000","    2.0000","    0.0000","    0.0000","    0.0000","   15.0000","   11.0000","    0.0000","    0.0000","    6.0000","    0.0000","   12.0000","    2.0000","  389.0000","    1.0000","    1.0000","    0.0000","    1.0000","    0.0000","  160.0000","  938.9531","   30.0000","   14.0000","    4.0000","    0.0000","   29.0000","    0.0000","    0.0000","    2.0000","    3.0000","    0.0000","    2.0000","10679.0000"," 6478.7764","    1.0000"
"  671.0000","    1.0000","    4.0000","    5.0000","    0.0000","    0.0000","    1.0000","    1.0000","    2.0000","    0.0000","    0.0000","    4.0000","    0.0000","   25.0000","   10.0000","    0.0000","    0.0000","   11.0000","    0.0000","    8.0000","    0.0000","  696.0000","    6.0000","    1.0000","    0.0000","    0.0000","    1.0000","   79.0000","  366.9072","   70.0000","   18.0000","    2.0000","    0.0000","    4.0000","    0.0000","    0.0000","   11.0000","    0.0000","    0.0000","    2.0000","10679.0000"," 2531.6595","    1.0000"
"  691.0000","    1.0000","    3.0000","    1.0000","    1.0000","    0.0000","    2.0000","    2.0000","    1.0000","    0.0000","    0.0000","    1.0000","    0.0000","   17.0000","    2.0000","    0.0000","    0.0000","    9.0000","    0.0000","    8.0000","    0.0000","  976.0000","    4.0000","    0.0000","    0.0000","    0.0000","    2.0000","  127.0000","  269.5756","   54.0000","    2.0000","    3.0000","    0.0000","    8.0000","    0.0000","    1.0000","    2.0000","    0.0000","    0.0000","    2.0000","10679.0000"," 1860.0717","    1.0000"
"  701.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    6.0000","    1.0000","    0.0000","    0.0000","    6.0000","    0.0000","    4.0000","    0.0000","  159.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   41.0000","  428.2891","    5.0000","    1.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    2.0000","10679.0000"," 3693.9937","    1.0000"
"  721.0000","    2.0000","    3.0000","    2.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    9.0000","    6.0000","    0.0000","    0.0000","    8.0000","    0.0000","    6.0000","    0.0000","  215.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","   56.0000","  575.8814","   33.0000","   13.0000","    0.0000","    0.0000","    5.0000","    0.0000","    0.0000","    8.0000","    0.0000","    0.0000","    0.0000","10679.0000"," 4966.9767","    1.0000"
"  731.0000","    2.0000","    0.0000","    3.0000","    0.0000","    0.0000","    2.0000","    1.0000","    2.0000","    1.0000","    0.0000","    2.0000","    0.0000","   29.0000","   10.0000","    0.0000","    0.0000","    8.0000","    0.0000","   25.0000","    0.0000","  647.0000","    4.0000","    1.0000","    0.0000","    0.0000","    0.0000","  219.0000","  677.4394","   34.0000","   46.0000","    7.0000","    0.0000","    4.0000","    0.0000","    0.0000","   17.0000","    0.0000","    0.0000","    0.0000","10679.0000"," 5842.9150","    1.0000"
"  751.0000","    2.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    4.0000","    8.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","  451.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","  161.0000","  538.0852","   32.0000","    8.0000","    7.0000","    0.0000","   10.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000","10679.0000"," 4640.9845","    1.0000"
