"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Algae","Alnus","Amaranthaceae undif.","Anthemideae","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fagus","Fern","Ficus","Fraxinus","Galium t.","Hedera","Heliotropium","Lamiaceae undif.","Lycopodium tablets","Mercurialis","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rumex t.","Sanguisorba t.","Saxifragaceae","Sparganium","Spike","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Vitis"
" 3559",NA,NA,"304","1","0","0","9","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","1","0","0","0","0","0","1","15","0","0","0","3","117","3","27","11","0","0","4","18","7","0","3","0","1","16","209","2","0","0","0","0","0","0","0","0","0"
" 3781",NA,NA,"320","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","12","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","2","93","6","12","0","0","0","6","87","21","0","1","0","0","12","1182","0","0","0","0","0","0","0","1","0","0"
" 4003",NA,NA,"336","1","0","3","3","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","2","0","5","0","4","0","9","0","0","0","0","0","1","0","0","0","0","0","6","41","0","0","1","0","120","3","34","0","0","0","1","50","24","0","5","0","0","13","823","0","3","0","0","0","0","0","3","0","0"
" 4225",NA,NA,"352","1","0","1","2","0","5","0","7","0","0","0","4","0","1","0","0","1","0","0","1","0","1","0","0","4","0","8","0","0","0","0","0","9","1","0","0","0","0","0","16","0","0","0","1","106","6","33","0","0","0","7","26","11","0","1","0","0","0","407","1","3","0","0","0","0","0","0","0","2"
" 4448",NA,NA,"368","1","0","0","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","4","0","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","218","2","24","0","0","0","4","46","3","0","0","0","0","1","300","0","3","0","0","0","0","0","0","0","1"
" 4670",NA,NA,"384","1","0","2","8","4","4","0","4","0","6","0","0","0","2","3","0","2","0","0","0","6","0","0","1","2","0","12","0","0","0","0","0","2","0","2","0","0","0","0","20","0","0","0","2","170","10","40","0","0","0","8","74","26","0","2","0","0","4","279","0","2","0","0","0","0","0","2","0","2"
" 4892",NA,NA,"400","1","0","2","3","2","1","0","0","0","1","0","0","0","0","1","2","0","0","0","2","3","0","2","0","2","0","5","0","0","0","0","0","7","0","0","0","0","0","5","37","0","0","0","0","129","3","29","0","0","0","7","86","18","0","3","0","0","2","387","0","2","0","0","0","0","0","0","0","0"
" 5050",NA,NA,"416","1","0","1","4","2","0","0","1","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","5","0","1","0","0","0","9","0","0","0","0","0","0","58","0","0","0","0","95","5","18","0","0","0","12","106","17","0","1","0","0","0","209","0","1","0","0","0","1","0","0","0","0"
" 5207",NA,NA,"432","1","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","118","2","14","0","0","0","7","280","6","0","0","0","0","1","398","0","0","0","0","0","0","0","0","0","1"
" 5365",NA,NA,"448","1","0","0","2","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","6","0","2","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","2","148","8","18","0","0","0","10","104","2","0","2","0","0","0","266","0","0","0","0","0","0","0","0","0","0"
" 5522",NA,NA,"464","1","0","1","5","0","1","0","2","0","0","0","0","0","0","2","1","0","0","0","1","0","0","3","0","4","0","7","0","0","0","0","0","12","0","1","0","0","0","6","36","0","0","0","1","133","6","3","0","0","0","1","98","8","0","0","0","0","8","396","0","0","0","0","0","0","0","0","0","0"
" 5680",NA,NA,"480","1","0","0","8","0","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","4","2","4","0","4","0","4","0","0","0","0","0","6","2","0","0","0","0","0","64","0","0","0","0","104","2","36","0","0","0","16","112","4","0","0","0","0","2","238","0","8","0","0","0","0","0","0","0","4"
" 5977",NA,NA,"512","1","0","2","4","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","6","0","0","0","0","2","2","0","2","0","0","0","2","82","0","1","0","0","166","6","8","22","0","0","2","44","12","0","0","0","0","2","262","0","4","0","0","0","0","0","0","0","0"
" 6243",NA,NA,"544","1","0","0","3","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","6","0","15","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","78","9","42","0","0","0","6","246","0","3","6","0","0","0","357","0","6","0","0","0","0","0","12","0","6"
" 6376",NA,NA,"560","1","0","0","4","0","2","0","0","0","2","0","2","0","2","2","0","0","0","0","0","4","4","0","0","12","2","16","0","0","0","0","8","0","0","0","2","0","0","0","107","0","0","2","0","64","8","36","0","0","0","2","140","22","2","6","2","0","6","125","0","0","0","0","0","0","0","18","0","8"
" 6509",NA,NA,"576","1","0","0","4","4","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","4","0","8","0","2","0","0","0","0","0","2","0","0","0","0","0","0","104","0","0","0","0","112","4","40","0","0","1","10","180","2","0","4","0","0","4","746","0","0","0","0","0","0","0","0","0","6"
" 6642",NA,NA,"592","1","0","1","6","0","4","0","2","0","2","0","0","0","0","0","0","0","0","0","0","2","0","2","0","20","0","10","0","0","0","0","0","0","0","0","0","0","0","6","86","0","0","0","0","34","6","42","0","0","0","2","118","12","0","3","0","0","0","630","2","0","0","0","0","0","0","0","0","4"
" 6790",NA,NA,"608","1","0","0","3","0","3","0","0","0","3","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","9","0","0","0","0","0","0","0","3","0","0","0","2","57","0","1","0","0","45","9","51","0","0","0","6","48","6","0","3","0","0","0","771","0","9","0","0","0","0","0","3","0","3"
" 7116",NA,NA,"640","1","0","0","6","3","0","0","3","0","9","0","3","0","6","0","0","3","0","0","0","21","0","6","0","42","6","18","0","0","0","0","6","3","0","0","0","0","0","21","45","0","3","0","3","12","9","147","0","0","0","3","15","9","0","12","0","0","2","1161","0","0","0","0","3","0","0","15","0","6"
" 7442",NA,NA,"672","1","0","0","3","0","12","0","0","0","27","0","0","0","6","10","3","15","0","0","0","45","0","15","0","30","6","3","0","0","0","0","12","1","0","0","0","0","0","6","12","0","3","0","0","4","21","99","0","0","0","2","15","6","0","3","0","0","0","1290","0","0","0","0","0","0","0","6","0","1"
" 7766",NA,NA,"704","1","0","2","6","0","2","0","0","2","12","2","0","0","0","4","1","0","0","0","0","36","0","2","0","28","0","2","0","3","0","0","10","0","0","0","0","0","0","0","24","2","1","2","6","2","18","140","1","0","0","2","24","22","0","2","0","0","3","524","4","4","0","0","0","0","0","4","0","2"
" 8074",NA,NA,"736","1","0","0","15","3","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","3","0","3","0","30","0","3","0","0","0","0","0","3","0","0","0","0","0","0","24","0","0","0","6","30","0","171","0","0","0","3","39","9","0","0","0","0","89","726","0","0","0","3","0","0","0","0","0","3"
" 8229",NA,NA,"752","1","0","0","9","0","9","0","0","0","18","0","0","0","0","3","0","9","0","0","0","0","0","18","0","18","0","9","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","15","90","18","171","0","0","0","9","26","9","0","3","0","0","54","1452","0","0","0","0","0","0","0","9","0","0"
" 8383",NA,NA,"768","1","0","0","0","0","10","0","0","0","2","0","0","0","0","1","0","0","0","0","1","2","0","2","0","18","0","4","0","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","8","87","4","128","0","0","0","10","9","10","0","5","0","0","10","648","0","2","0","0","0","1","0","4","0","2"
" 8537",NA,NA,"784","1","0","0","6","0","3","0","0","0","0","1","0","0","0","3","0","12","0","0","1","6","3","9","0","27","0","3","0","0","0","0","0","0","0","0","0","0","0","1","21","0","0","1","18","66","6","90","0","0","0","21","3","15","0","3","0","0","15","441","0","0","0","0","0","0","0","0","0","0"
" 8692",NA,NA,"800","1","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","0","4","0","2","0","4","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","2","4","122","20","96","0","0","0","20","8","4","0","0","0","0","0","1020","0","2","0","0","2","0","0","2","0","2"
" 9000",NA,NA,"832","1","0","0","4","0","2","0","4","2","6","0","0","0","0","0","0","0","0","0","0","2","0","10","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","102","22","106","0","0","0","0","4","16","0","0","0","0","6","1673","0","0","0","0","0","1","0","2","0","2"
" 9116",NA,NA,"844","1","0","0","2","3","18","0","5","0","2","0","0","0","7","0","0","0","0","0","0","0","0","5","0","14","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","286","20","104","0","0","0","4","5","4","0","0","0","0","2","328","0","4","0","0","0","0","0","0","0","0"
" 9154",NA,NA,"848","1","0","0","4","0","1","0","2","0","2","0","0","0","0","1","0","0","0","0","0","1","0","5","0","21","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","230","1","97","0","0","0","1","2","1","0","0","0","0","9","340","0","5","0","0","0","0","0","0","0","0"
" 9193",NA,NA,"852","1","0","0","2","0","4","0","2","0","2","0","0","0","0","1","0","0","0","0","0","1","1","9","0","18","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","210","4","108","0","0","0","2","2","2","0","0","0","0","8","366","0","7","0","0","0","0","0","0","0","0"
" 9232",NA,NA,"856","1","0","0","4","3","4","0","4","0","1","0","0","0","2","0","0","0","0","0","0","2","0","5","0","14","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","140","4","120","0","0","0","2","3","2","0","2","0","0","2","410","2","2","0","0","0","0","0","4","0","0"
" 9270",NA,NA,"860","1","0","0","4","0","12","0","0","0","2","0","0","0","0","0","0","0","0","0","0","6","0","2","0","6","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","206","2","180","0","0","0","2","2","2","0","2","0","0","6","618","0","6","0","0","0","0","0","0","0","2"
" 9309",NA,NA,"864","1","0","0","3","1","14","0","4","0","1","0","2","0","3","0","0","0","0","0","0","2","0","5","0","10","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","176","0","80","0","1","0","1","9","8","0","1","0","0","12","626","0","0","0","1","0","1","0","0","0","0"
" 9347",NA,NA,"868","1","0","0","5","4","4","0","2","0","2","0","0","0","1","0","0","0","0","0","0","22","0","4","0","34","0","2","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","90","5","162","0","0","0","2","6","0","0","2","0","0","38","342","0","10","0","0","0","4","0","0","0","0"
" 9386",NA,NA,"872","1","0","0","3","1","18","0","16","0","4","0","0","0","2","4","0","1","0","0","0","24","0","8","0","38","0","4","0","1","0","3","0","0","0","0","0","0","0","0","2","0","0","0","4","10","3","136","0","0","0","4","2","7","0","4","0","0","38","428","0","6","0","0","0","1","6","4","0","0"
" 9425",NA,NA,"876","1","0","0","3","0","5","0","36","0","4","1","1","0","4","3","1","0","0","0","0","12","0","15","0","36","3","3","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","12","5","11","192","0","0","0","3","11","2","4","4","0","0","27","399","0","1","0","0","0","0","0","4","0","0"
" 9463",NA,NA,"880","1","0","0","0","3","2","0","12","0","9","0","0","0","0","0","0","0","0","0","0","18","0","13","0","30","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","12","15","3","248","0","0","0","2","4","1","0","0","0","0","60","680","0","3","0","0","0","0","0","0","0","0"
" 9502",NA,NA,"884","1","0","1","0","0","34","0","16","3","2","0","0","0","0","0","0","0","0","0","0","38","0","18","1","7","0","4","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","10","14","2","256","0","0","0","2","4","0","0","0","0","0","38","830","0","22","0","0","0","0","0","3","0","0"
" 9540",NA,NA,"888","1","0","0","8","0","26","0","43","1","4","0","1","0","1","28","0","0","0","0","0","4","1","3","0","30","1","4","0","0","1","2","0","0","0","0","0","0","0","0","8","0","0","1","12","13","8","210","0","0","0","2","26","8","4","0","0","0","20","423","0","5","1","0","0","0","4","1","1","0"
" 9579",NA,NA,"892","1","0","0","4","0","0","0","8","0","0","0","0","0","2","0","0","0","0","0","0","48","0","2","0","24","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","6","360","0","0","0","1","24","1","0","0","0","0","80","700","0","10","0","0","0","0","0","0","0","0"
" 9617",NA,NA,"896","1","0","0","8","0","20","0","22","8","4","4","0","0","0","2","0","0","0","0","0","46","0","4","0","46","2","8","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","10","4","126","0","0","0","0","34","12","0","0","0","0","86","546","0","1","0","0","0","0","0","2","0","0"
" 9656",NA,NA,"900","1","0","0","120","0","48","0","45","2","25","0","0","0","4","0","0","0","0","0","0","168","0","11","0","274","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","24","15","60","198","0","2","0","6","36","6","0","2","0","0","96","573","0","8","0","0","2","4","0","0","1","6"
" 9748",NA,NA,"904","1","0","0","24","0","12","0","15","0","0","0","0","0","6","0","0","0","0","0","0","135","0","12","0","108","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","15","165","0","0","0","13","0","12","0","0","0","0","51","605","3","3","0","0","0","0","0","3","1","0"
" 9840",NA,NA,"908","1","0","3","2","0","275","49","5","0","0","0","0","2","9","13","0","2","0","0","0","66","0","12","0","12","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","5","0","0","7","2","0","59","0","0","0","3","2","1","0","0","0","0","99","150","0","0","0","0","0","0","0","2","0","0"
" 9931",NA,NA,"912","1","4","1","5","2","26","0","14","3","7","0","1","0","4","4","0","1","0","0","1","264","0","2","0","34","1","3","0","0","0","3","0","0","0","0","0","0","0","1","0","0","8","1","13","6","9","68","1","0","0","3","1","7","2","2","0","0","111","697","2","1","1","0","0","1","14","2","0","0"
"10023",NA,NA,"916","1","10","1","11","1","9","0","15","3","0","0","2","0","1","6","0","0","0","0","0","42","0","4","0","16","2","7","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","25","1","6","72","5","0","0","2","2","5","4","2","0","0","66","713","1","7","0","0","0","0","36","3","1","0"
"10115",NA,NA,"920","1","3","3","33","0","12","0","36","9","18","0","0","0","15","3","1","0","0","0","0","45","0","6","0","105","0","60","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","27","3","18","207","0","1","0","18","18","6","3","12","0","0","304","343","9","3","0","0","0","0","26","0","0","0"
"10207",NA,NA,"924","1","3","9","24","3","0","0","30","0","0","0","0","0","3","23","0","0","0","0","6","69","3","6","0","51","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","21","3","9","138","0","0","0","3","3","0","9","6","0","0","260","1149","0","0","0","0","0","3","6","6","0","0"
"10299",NA,NA,"928","1","3","0","21","0","3","0","33","0","0","0","0","0","0","30","0","3","0","0","0","87","0","0","0","54","3","9","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","54","0","0","0","0","0","0","0","9","0","0","96","435","3","0","0","0","0","0","12","6","0","0"
