"age_Calendar_years_AD/BC","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Cichorieae","Citrus","Corylus","Cupressaceae","Erica t.","Fabaceae Undif.","Fagus","Fraxinus","Galium t.","Hedera","Indeterminable","Juglans","Lamiaceae undif.","Myrtaceae undif.","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete)","Polypodiophyta undiff. (monolete, without perine)","Primula","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Tilia","Trifolium t.","Ulmus t.","Urtica t.","Vitis"
"1430.0",NA,NA," 109.0"," 122.5","   0.0","   4.0","   1.0","   0.0","   0.0","   0.0","  10.0","   0.0","   4.0","   2.0","   0.0","   0.0","   1.0","   0.0","   2.0","   2.0","   0.0","   0.0","  46.0","   4.0","   0.0","   0.0","  16.0","   1.0","   0.0","   0.0","   1.0","   0.0","   4.0","   0.0","   0.0","   5.0","   2.0","   0.0","   3.0","  16.0","   0.0","  41.0","   6.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0"
"1505.0",NA,NA,"  95.2"," 137.0","   6.0","   4.0","   1.0","   0.0","   0.0","   1.0","   5.0","   0.0","   7.0","   1.0","   1.0","   0.0","   2.0","   0.0","   4.0","   2.0","   0.0","   0.0"," 136.0","   2.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   2.0","   4.0","   1.0","   0.0","   5.0","  29.0","   0.0","  45.0","   5.0","   5.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0"
"1575.0",NA,NA,"  81.7"," 116.5","   1.0","   6.0","   0.0","   0.0","   0.0","   1.0","   5.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","  70.0","   4.0","   0.0","   0.0","   7.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","   1.0","   2.0","   0.0","   4.0","  26.0","   0.0","  13.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"
"1654.0",NA,NA,"  67.5","  89.0","   2.0","   8.0","   2.0","   1.0","   0.0","   1.0","  17.0","   0.0","  16.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0"," 167.0","   4.0","   0.0","  23.0","  15.0","   0.0","   1.0","   0.0","   3.0","   0.0","  11.0","   0.0","   4.0","   7.0","   3.0","   0.0","   1.0","  58.0","   0.0","  49.0","   5.0","   7.0","   1.0","   2.0","   4.0","   1.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0"
"1736.0",NA,NA,"  52.5","  78.0","   0.0","   6.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   3.0","   5.0","   3.0","   0.0","   0.0","  58.0","   0.0","   0.0","   3.0","  11.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   2.0","   3.0","   0.0","   1.0","  48.0","   0.0","  13.0","   3.0","   1.0","   2.0","   2.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"1837.0",NA,NA,"  37.5","  35.5","   4.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","  56.0","   1.0","   0.0","   0.0","  25.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   2.0","   1.0","   0.0","   2.0","  48.0","   2.0","  18.0","   1.0","   6.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0"
"1941.0",NA,NA,"  22.5","  89.0","   0.0","  33.0","   2.0","   4.0","   0.0","  17.0","   9.0","   0.0","   4.0","   4.0","  15.0","   0.0","  15.0","   1.0","   0.0","   7.0","   1.0","   0.0"," 149.0","   5.0","   0.0","   0.0","  45.0","   0.0","   1.0","   0.0","  17.0","   0.0","  16.0","   0.0","   3.0","  35.0","   6.0","   0.0","   5.0","   6.0","   1.0","  54.0","   4.0","  24.0","   0.0","   5.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0"
"1977.0",NA,NA,"  13.5","  64.0","   0.0","   5.0","   5.0","   2.0","   6.0","   9.0","   3.0","   1.0","   0.0","   4.0","   1.0","   0.0","  10.0","   0.0","   0.0","   1.0","   3.0","   0.0","  86.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   1.0","  20.0","   3.0","   5.0","   0.0","   3.0","   7.0","   2.0","   0.0","   6.0","   0.0","   3.0","  50.0","  13.0","   1.0","   1.0","   2.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"1986.0",NA,NA,"  10.5","  84.5","   1.0","  14.0","   5.0","   2.0","   3.0","  14.0","   2.0","   1.0","   0.0","   7.0","   2.0","   0.0","  18.0","   0.0","   1.0","   0.0","   2.0","   1.0","  86.0","   2.0","   0.0","   0.0","  13.0","   0.0","   0.0","   0.0","  10.0","   7.0","   5.0","   2.0","   1.0","  17.0","   0.0","   0.0","   5.0","   4.0","   1.0","  21.0","  17.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   1.0"
"1996.0",NA,NA,"   7.5","  85.0","   0.0","  11.0","   4.0","   2.0","   6.0","  33.0","   2.0","   0.0","   1.0","  12.0","   2.0","   0.0","  11.0","   0.0","   0.0","   1.0","   3.0","   1.0","  75.0","   1.0","   2.0","   0.0","  13.0","   0.0","   0.0","   3.0","  11.0","   9.0","   5.0","   1.0","   2.0","  18.0","   2.0","   0.0","   4.0","   1.0","   1.0","  26.0","  12.0","   7.0","   1.0","   1.0","   4.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   0.0"
"2008.0",NA,NA,"   3.0","  60.5","   0.0","  14.0","   3.0","   0.0","   7.0","  14.0","   3.0","   1.0","   0.0","   4.0","   7.0","   0.0","  10.0","   0.0","   0.0","   2.0","   7.0","   0.0","  77.0","   5.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","  21.0","   8.0","  20.0","   0.0","   3.0","  23.0","   2.0","   0.0","   7.0","   8.0","   0.0","  33.0","  17.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   1.0"
"2017",NA,NA,"   1","  40","   1","  21","   4","   4","   2","   3","   7","   2","   0","   2","   2","   1","   7","   0","   3","   2","   2","   0","  94","   2","   1","   0","  19","   1","   0","   0","  22","  10","  10","   3","   1","  19","   0","   1","   2","   1","   0","  27","  17","   0","   1","   1","   5","   0","   1","   4","   0","   0","   1","   3","   0"
