"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Caryophyllaceae undif.","Centaurea","Chamaerops","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypecoum","Lamiaceae undif.","Myriophyllum undif.","Olea t.","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Tamarix","Thymelaeaceae undif.","Tilia","Typha","Vitis"
"1226",NA,NA," 130","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1319",NA,NA," 140","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1411",NA,NA," 150","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1504",NA,NA," 160","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1595",NA,NA," 170","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1687",NA,NA," 180","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1780",NA,NA," 190","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1872",NA,NA," 200","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1964",NA,NA," 210","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2057",NA,NA," 220","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2149",NA,NA," 230","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2240",NA,NA," 240","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2332",NA,NA," 250","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2424",NA,NA," 260","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2515",NA,NA," 270","   0","  29","   1","  51","   8","   1","   0","   0","   0","   0","   0","   1","   0","   7","   3","   0","   3","   3","  70","   0","   0","   6","   8","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  72","   1","   1","   0","  79","   0","   0","   1","  65","   0","   0","   0","   0","   0","   0","   0","   0","   0","  73","   0"
"2606",NA,NA," 280","   0","  17","   0","  11","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   1","   0","  50","   0","   0","   1","  29","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 190","   0"
"2695",NA,NA," 290","   1"," 326","   1","  40","   3","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   0","   3","  63","   0","   0","   9","  12","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 133","   0","   1","   0","  60","   3","   0","   0","  50","   0","   0","   0","   0","   0","   0","   0","   0","   0","1467","   0"
"2784",NA,NA," 300","   0"," 480","   0","  76","   3","   0","   0","   0","   0","   1","   0","   2","   0","   3","   1","   0","   2","  11"," 152","   0","   0","   4","  14","   0","   2","   1","   0","   0","   0","   0","   0","   1","   0","   0"," 130","   0","   1","   1"," 120","   6","   0","   1","  57","   0","   0","   0","   0","   0","   0","   4","   0","   0"," 374","   0"
"2873",NA,NA," 310","   1","  50","   1","  24","   3","   0","   0","   0","   0","   0","   0","   1","   0","   2","   2","   0","   0","   3","   3","   0","   0","   4","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","  50","   0","   1","   0","  14","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","  53","   0"
"2963",NA,NA," 320","   0","  39","   1","  72","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   9","   0","   1","   2","  17","   0","   0","   6","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  58","   1","   1","   0","  81","   0","   0","   3","  64","   1","   0","   0","   3","   0","   0","  12","   0","   0"," 504","   0"
"3052",NA,NA," 330","   2","  60","   1","  85","  11","   0","   1","   0","   1","   0","   0","   0","   0","   7","  20","   0","   1","   3","  10","   0","   0","   7","  15","   0","   2","   3","   0","   0","   0","   0","   0","   5","   0","   0","  66","   1","   0","   0","  85","   0","   0","   2","  86","   1","   0","   0","   0","   0","   0","  15","   0","   0","  30","   0"
"3141",NA,NA," 340","   0","  18","   1","  51","  11","   0","   0","   0","   0","   0","   0","   0","   0","   8","   5","   0","   1","   4","   3","   0","   0","   8","  15","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0"," 124","   1","   1","   0","  48","   0","   0","   1","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0"
"3232",NA,NA," 350","   0","  29","   5","  16","  28","   0","  10","   0","   0","   0","   0","   0","   0","  32","   3","   0","   1","  15","  24","   0","   0","  13","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 110","   1","   3","   0","  59","   0","   0","   7"," 108","   5","   0","   1","   0","   0","   0","   5","   0","   0","  20","   0"
"3277",NA,NA," 355","   0","  33","   1","  36","   6","   0","   0","   0","   0","   0","   0","   0","   0","   6","   5","   0","   0","  15","  39","   0","   0","   5","   7","   0","   2","   2","   0","   0","   0","   0","   0","   8","   0","   0"," 129","   0","   2","   0"," 111","   0","   0","   6"," 195","   0","   0","   0","   0","   0","   0","  16","   1","   0","  39","   0"
"3322",NA,NA," 360","   3","  19","   0","  26","   9","   1","   0","   0","   1","   0","   0","   0","   0","  22","  14","   0","   1","  14","  20","   0","   0","   4","  12","   0","   1","   2","   0","   0","   0","   0","   0","  10","   0","   0"," 221","   0","   4","   0","  62","   0","   0","   6","  68","   0","   0","   0","   0","   0","   0","   2","   1","   0","  22","   0"
"3412",NA,NA," 370","   2","   5","   4","  18","   0","   1","   1","   0","   0","   0","   0","   0","   0","   2","   4","   0","   0","   9","  18","   0","   0","   2","   9","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  52","   1","   3","   0","  23","   1","   0","  15"," 111","   1","   0","   0","   0","   0","   0","  18","   0","   0","  15","   0"
"3499",NA,NA," 380","   0","  39","   2","  39","  13","   0","   0","   0","   0","   0","   0","   0","   0","  14","   4","   0","   9","   9","  33","   0","   0","   3","   4","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0"," 125","   5","   1","   0","  99","   0","   0","   6","  60","   0","   0","   0","   0","   0","   0","   9","   0","   0","  12","   0"
"3588",NA,NA," 390","   0","  18","   1","   2","   4","   0","   0","   0","   0","   0","   0","   0","   0","   9","   1","   0","   0","   2","   1","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   7","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"3676",NA,NA," 400","   0","  14","   0","   1","   3","   0","   1","   0","   0","   0","   0","   0","   0","   5","   5","   0","   0","   1","   2","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   5","   0","   0","   0","   0","   7","   2","   0","   0","   7","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0"
"3761",NA,NA," 410","   0","  13","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   1","   0","   6","   0","   0","   0","   9","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"3846",NA,NA," 420","   0","   4","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   1","   0","   2","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3904",NA,NA," 440","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3929",NA,NA," 450","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3953",NA,NA," 460","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3979",NA,NA," 470","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3997",NA,NA," 480","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4017",NA,NA," 490","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4038",NA,NA," 500","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4078",NA,NA," 520","   0","  28","   0","  21","  13","   1","   2","   0","   0","   0","   0","   0","   0","  10","   1","   0","   1","   1","  21","   0","   0","  10","   8","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","  75","   1","   1","   0","  27","   0","   0","   2","  30","   0","   0","   2","   0","   0","   0","   4","   0","   0","  18","   0"
"4098",NA,NA," 530","   0","  27","   1","  24","   6","   1","   0","   0","   0","   0","   0","   0","   0","  11","   9","   0","   0","   0","  16","   0","   0","   8","   3","   0","   3","   0","   0","   0","   0","   0","   0","   4","   0","   0","  61","   0","   0","   0","  48","   0","   0","   3","  59","   0","   0","   0","   0","   0","   0","   4","   0","   0","   4","   0"
"4119",NA,NA," 540","   0","  54","   2","  18","   7","   2","   2","   0","   0","   0","   0","   0","   0","  30","   4","   0","   1","   3","  21","   0","   1","   4","   5","   0","   0","   1","   0","   1","   0","   2","   0","   6","   0","   0","  62","   0","   4","   0","  45","   0","   0","   3","  60","   0","   0","   1","   0","   0","   0","  18","   0","   0","  14","   0"
"4138",NA,NA," 550","   0","  39","   2","  33","   5","   1","   0","   0","   0","   0","   0","   1","   1","  21","   2","   0","   0","   1","   7","   0","   0","   5","   7","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  92","   0","   1","   1","  30","   0","   0","   1","  51","   0","   0","   0","   0","   0","   0","   9","   1","   0","  11","   0"
"4155",NA,NA," 560","   4","  97","   2","  33","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  10","   6","   0","   0","   1","   8","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","  47","   0","   1","   0","  30","   0","   0","   6","  30","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0"
"4170",NA,NA," 570","   0","  75","   1","  28","   1","   0","   3","   0","   0","   1","   0","   0","   0","   0","   6","   0","   1","   3","   5","   0","   0","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","  31","   0","   1","   0","  23","   0","   0","   1","  39","   0","   0","   0","   0","   0","   0","   1","   0","   0","  13","   1"
"4185",NA,NA," 580","   0","  26","   1","  15","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","  92","   0","   1","   0","  10","   0","   0","   2","  27","   1","   0","   0","   0","   0","   0","   1","   0","   0","  15","   1"
"4201",NA,NA," 590","   0","  13","   1","  10","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   2","   9","   0","   0","   6","   1","   1","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0"," 165","   0","   2","   0","  24","   0","   0","   6","  39","   1","   0","   0","   0","   0","   0","   5","   0","   0","   2","   1"
"4216",NA,NA," 600","   1","  18","   3","   4","   3","   0","   4","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   2","   7","   0","   0","   8","   2","   0","   1","   0","   0","   0","   1","   0","   0","   3","   0","   0","  75","   0","   1","   0","  24","   0","   0","   2","  70","   0","   0","   0","   0","   0","   0","   3","   0","   0","   3","   1"
"4228",NA,NA," 610","   0","   5","   7","   4","   1","   0","   2","   0","   0","   1","   1","   0","   0","   1","   5","   0","   0","   3","  12","   0","   0","   3","   6","   0","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0"," 178","   0","   0","   0","  46","   0","   0","   7"," 113","   1","   0","   1","   0","   0","   0","   8","   0","   0","   1","   2"
"4233",NA,NA," 615","   0","   6","   0","   4","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   1","   3","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 118","   1","   1","   0","  15","   0","   0","   2","  24","   1","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0"
"4239",NA,NA," 620","   0","   5","   2","   4","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","   1","   6","   5","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0"," 185","   0","   2","   0","  20","   0","   0","   2","  35","   0","   0","   0","   0","   0","   0","   3","   0","   0","   3","   1"
"4251",NA,NA," 630","   0","  13","   0","   3","   1","   0","   4","   0","   0","   0","   0","   0","   0","   1","   2","   0","   1","   2","   1","   0","   0","   9","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0"," 162","   1","   1","   0","  20","   0","   0","   1","  31","   0","   0","   0","   0","   0","   0","   2","   1","   0","   3","   0"
"4264",NA,NA," 640","   0","   6","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   1","   3","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0"," 199","   4","   2","   0","  13","   0","   0","   4","  28","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0"
"4292",NA,NA," 650","   0","   7","   1","   7","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","  11","   0","   1","  10","  16","   0","   0","   5","   0","   0","   1","   2","   0","   0","   0","   1","   0","   9","   0","   0"," 223","   1","   5","   0","  56","   0","   0","  13"," 132","   0","   0","   1","   0","   0","   0","   9","   0","   0","   6","   3"
"4321",NA,NA," 660","   0","  17","   0","   9","   3","   1","   2","   0","   0","   0","   0","   0","   0","   0","  11","   0","   1","   8","   3","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0"," 143","   2","   2","   0","  18","   0","   0","  10","  60","   3","   0","   1","   0","   0","   0","   4","   0","   0","   3","   4"
"4348",NA,NA," 670","   0","   8","   0","   5","   2","   3","   2","   0","   0","   1","   0","   0","   0","   1","  11","   0","   0","   8","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0"," 189","   3","   2","   0","  28","   0","   0","   6","  60","   0","   0","   4","   0","   0","   0","   0","   0","   0","   3","   0"
"4378",NA,NA," 680","   0","   7","   1","  10","   3","   2","   2","   0","   0","   0","   0","   0","   0","   1","   6","   0","   0","   1","   1","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0"," 160","   2","   1","   0","  28","   0","   0","   1","  24","   0","   0","   3","   0","   0","   0","   1","   0","   0","   1","   2"
"4407",NA,NA," 690","   0","  13","   2","   3","   0","   3","   2","   0","   0","   0","   0","   0","   0","   3","   3","   0","   2","   3","   3","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0"," 188","   0","   4","   0","  18","   0","   0","   2","  36","   2","   0","   0","   0","   0","   0","   5","   0","   0","   5","   1"
"4437",NA,NA," 700","   0","   9","   0","   3","   4","   0","   2","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 117","   0","   0","   0","  19","   0","   0","   0","  20","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"4466",NA,NA," 710","   0","   5","   0","   2","   1","   0","   2","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","   2","   8","   0","   0","   1","   3","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0"," 142","   0","   1","   0","  14","   0","   0","   0","  22","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2"
"4553",NA,NA," 740","   2","  11","   0","  14","   1","   0","   6","   0","   0","   0","   0","   0","   0","   2","  10","   0","   2","   2","   8","   0","   0","   3","   3","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0"," 355","   0","   0","   0","  10","   0","   0","   2","  82","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"4664",NA,NA," 780","   1","  21","   2","  27","   3","   0","   7","   0","   0","   0","   0","   0","   0","   1","   1","   0","   2","   1","  10","   0","   0","   8","   6","   1","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0"," 282","   4","   3","   0","  15","   0","   0","  16"," 143","   0","   8","   0","   0","   0","   0","   2","   1","   0","   3","   0"
"4772",NA,NA," 820","   0","  56","   2","  46","   4","   0","   1","   0","   0","   0","   0","   0","   0","   5","  12","   0","   1","   6","  11","   0","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0"," 242","   0","   6","   0","  12","   0","   0","  12"," 142","   0","   1","   0","   0","   0","   0","   1","   0","   0","   3","   2"
"4855",NA,NA," 850","   0","  71","   3","  40","   9","   3","   0","   0","   0","   0","   0","   0","   0","   5","   9","   0","   0","  11","  10","   0","   0","   1","   7","   0","   1","   1","   0","   0","   0","   0","   0","  27","   0","   0"," 185","   2","   2","   0","  24","   0","   0","   6"," 137","   0","   3","   0","   0","   0","   0","   1","   0","   0","   3","   2"
