"Depth (cm)","Acacia t.","Acanthus","Acer","Alchornea","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Caesalpinioideae","Calligonum","Caryophyllaceae undif.","Celastraceae undif.","Centaurea","Chionanthus","Cichorieae","Cistaceae","Combretaceae","Corylus","Cupressaceae","Cyperaceae","Echiochilon","Echium t.","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Galium t.","Gymnocarpos","Heliotropium","Juglans","Lamiaceae undif.","Lannea","Maerua","Malva undif.","Moltkia","Morella","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Salix","Sanguisorba t.","Searsia","Spergularia t.","Syzygium t.","Thymelaeaceae undif.","Tilia","Tribulus","Typha","Ulmus t."
"599.5","  1.0","  0.0","  1.0","  0.0","  0.0","225.0","  5.0"," 47.0","  1.0"," 17.0","  1.0","  9.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  3.0","  2.0","  4.0"," 27.0","  0.0","  0.0"," 41.0","  4.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 75.0","  0.0","  0.0","  0.0"," 17.0","  0.0"," 11.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0"
"617.5","  0.0","  0.0","  0.0","  0.0","  0.0","207.0","  0.0"," 98.0","  0.0"," 11.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  1.0","  2.0","  5.0","108.0","  0.0","  0.0"," 38.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0"," 94.0","  1.0","  5.0","  0.0"," 50.0","  0.0","  7.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  1.0","  0.0"
"637.5","  0.0","  0.0","  0.0","  0.0","  1.0","117.0","  5.0"," 62.0","  0.0","  5.0","  1.0","  6.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  2.0","  1.0","  5.0","  4.0"," 60.0","  0.0","  0.0"," 52.0","  3.0","  0.0","  0.0","  0.0","  0.0","  5.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","109.0","  1.0","  2.0","  0.0"," 42.0","  0.0","  4.0","  9.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  4.0","  0.0"
"657.5","  0.0","  0.0","  0.0","  0.0","  0.0","156.0","  2.0"," 76.0","  0.0"," 11.0","  1.0","  6.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  4.0"," 15.0","  0.0","  0.0","116.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","105.0","  0.0","  3.0","  0.0"," 16.0","  1.0","  3.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0"
"677.5","  0.0","  0.0","  0.0","  0.0","  0.0","180.0","  3.0"," 76.0","  0.0"," 16.0","  1.0","  4.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  7.0","  0.0","  1.0","  1.0","  1.0","  9.0","  0.0","  0.0","100.0","  5.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 81.0","  0.0","  3.0","  0.0"," 22.0","  0.0","  1.0","  1.0","  0.0","  4.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0"
"697.5","  0.0","  0.0","  0.0","  0.0","  0.0","239.0","  3.0"," 42.0","  0.0"," 21.0","  0.0","  2.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  4.0","  1.0"," 30.0","  0.0","  0.0"," 52.0","  5.0","  0.0","  1.0","  0.0","  0.0","  3.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  2.0"," 75.0","  0.0","  4.0","  0.0"," 15.0","  0.0","  1.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"717.5","  0.0","  1.0","  0.0","  0.0","  0.0","127.0","  2.0"," 59.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  2.0","  1.0","  0.0","  7.0","  2.0"," 49.0","  0.0","  1.0"," 38.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","136.0","  0.0"," 10.0","  1.0"," 45.0","  0.0","  1.0","  2.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0"
"737.5","  0.0","  0.0","  0.0","  0.0","  2.0"," 96.0","  0.0"," 86.0","  0.0","  8.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  6.0","  2.0"," 62.0","  0.0","  0.0"," 57.0","  0.0","  0.0","  1.0","  1.0","  0.0","  7.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","105.0","  0.0","  4.0","  0.0"," 36.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"
"757.5","  0.0","  0.0","  0.0","  0.0","  0.0","140.0","  1.0"," 78.0","  0.0"," 17.0","  1.0","  6.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  1.0","  1.0"," 19.0","  0.0","  0.0"," 38.0"," 10.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","159.0","  0.0","  3.0","  1.0"," 23.0","  0.0","  4.0","  0.0","  1.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0"
"777.5","  0.0","  0.0","  0.0","  1.0","  1.0","143.0","  5.0"," 93.0","  0.0"," 20.0","  1.0","  4.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  4.0","  3.0","  2.0","  0.0","  0.0"," 26.0","  4.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","137.0","  0.0"," 12.0","  0.0"," 35.0","  0.0","  8.0","  1.0","  0.0","  7.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
