"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geranium","Haplophyllum","HippophaÃ«","Hippuris","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Loranthus","Lythrum","Malva","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Prosopis t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Sparganium","Taxus","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valerianella","Viburnum","Vitis"
"2628","2766","2501"," 185","   0","   1","   0","   0","   1","   1","  15","   0","   7","   5","   0","  33","   0","   5","   0","   0","   9","   0","   0","   0","   2","   5","   0","   0","   2","   0","  15","   9","  12","   0","   0","   3","   7"," 197","   0","   0","   2","   1","   0","   2","   0","   0","   4","   0","   2","  24","   2","   0","   0","   0","   0","   0","   0","   7","   5","   0","   0","   0","   0","   0","   0","   0"," 123","  52","  12","   0","   0","   1","   0"," 179","   4","   0","  43","   4","   3","   0","   0","   0","   0","  20","  44","  44","   0","   0","   0","   0","   0","   5","   0","   1","  29","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2"
"2699","2836","2574"," 190","   0","   0","   0","   0","   0","   2","  24","   0","   9","   2","   0","  60","   0","   7","   0","   1","   8","   1","   0","   0","   1","   6","   0","   0","   1","   0","  27","  22","   4","   0","   0","   1","  16"," 301","   0","   0","   3","   1","   1","   3","   0","   1","  11","   0","   0","   9","   2","   1","   0","   0","   0","   0","   0","  14","   2","   0","   0","   0","   0","   0","   0","   0","  24","  65","  28","   0","   0","   0","   0"," 225","  21","   0","  56","   8","   1","   1","   0","   0","   0","  47","  70","  47","   0","   0","   0","   0","   0","   4","   0","   0","  35","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3"
"2770","2907","2646"," 195","   0","   0","   0","   0","   0","   1","  20","   0","   9","   4","   0","  37","   0","   0","   0","   0","   7","   0","   0","   0","   4","   3","   0","   0","   1","   2","  14","  10","   7","   0","   0","   1","  20"," 226","   0","   0","   2","   0","   0","   1","   0","   0","   5","   0","   0","  13","   1","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","  16","  55","  21","   0","   0","   0","   0"," 154","   3","   0","  52","   6","   0","   0","   0","   0","   0","  22","  41","  47","   0","   0","   0","   0","   0","   3","   0","   1","  46","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2"
"2912","3048","2784"," 205","   0","   0","   0","   0","   0","   1","  62","   1","   8","   5","   0","  36","   0","   3","   0","   0","   3","   1","   0","   0","   0","   2","   0","   0","   2","   0","   8","   5","   7","   0","   0","   1","  15"," 269","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   1","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   9","   0","   0","   0","   0"," 160","   1","   0"," 511","   5","   1","  10","   0","   0","   0","  23","  55","  13","   0","   0","   0","   0","   0","   1","   0","   0"," 102","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1"
"3489","3520","3460"," 220","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  14","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   6","   2","   0","   0","   0","  19"," 109","   0","   0","   1","   1","   0","   0","   0","   0","   4","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0"," 323","   2","   0","  76","   2","   0","   0","   0","   0","   0","   5","  62","   6","   0","   0","   0","   0","   0","   1","   0","   0","  74","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4393","4426","4363"," 235","   0","   2","   0","   0","   0","   1","  10","   0","   5","   2","   1","  22","   0","   5","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   5","   0","   0","   0","   0"," 101","  70","   1","   0","   1","   0","   2","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   2","   0","   0","   0","   0"," 143","   1","   0"," 281","  10","   1","   0","   0","   0","   0","  12"," 172","  39","   0","   0","   0","   0","   0","   0","   0","   0"," 105","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"4991","5040","4947"," 245","   0","   0","   0","   0","   0","   2","  11","   0","   6","   4","   0","  23","   0","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   8","   2","   0","   0","   1","  50","  79","   0","   0","   0","   0","   0","   0","   1","   1","   2","   2","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   8","  44","   3","   0","   0","   0","   0"," 160","   3","   0"," 598","   4","   1","   0","   0","   0","   0","  10"," 216","  15","   0","   0","   0","   0","   0","   0","   0","   0"," 258","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"5589","5654","5530"," 255","   0","   2","   0","   0","   0","   2"," 100","   0","  11","   9","   0","  51","   0","   5","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   9","  20","   2","   0","   0","   3","  20","  17","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","  16","   1","   0","   0","   0","   0","  68","   0","   0"," 487","   3","   1","   0","   0","   0","   0","  12"," 269","   2","   0","   0","   0","   0","   0","   2","   1","   0"," 444","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"6187","6268","6112"," 265","   0","   0","   0","   0","   0","   0","   8","   0","   2","   3","   1","  28","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   6","   3","   0","   0","   1"," 122","  48","   0","   0","   2","   0","   0","   0","   0","   0","   1","   3","   0","   0","   3","   0","   0","   0","   3","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","  11","  43","   0","   0","   0","   0","   0","  83","   2","   0"," 285","   5","   1","   0","   0","   0","   0","   6"," 130","  41","   0","   0","   0","   0","   0","   1","   0","   1"," 323","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6785","6883","6694"," 275","   0","   1","   0","   0","   0","   0","  13","   0","   3","   3","   0","  35","   0","   1","   0","   0","   6","   0","   0","   0","   1","   2","   0","   0","   1","   0","  12","  17","   5","   0","   0","   1","  37","  68","   0","   0","   1","   0","   0","   0","   0","   0","   1","   5","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   1","  13","   0","   0","   0","   0","   0","  89","   0","   0"," 190","   4","   1","   0","   0","   0","   0","   2","  66","   2","   0","   0","   0","   0","   0","   0","   0","   0"," 328","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
