"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteraceae (echinate)","Betula","Brassicaceae","Cannabis","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Lamiaceae undif.","Myrtaceae undif.","Olea t.","Pinus undif.","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Rhamnus","Salix","Thymelaeaceae undif.","Valerianella","Vitis"
"645",NA,NA,"239","  0","  6"," 16"," 33","  0"," 59","  0","  0","  0","  0","  0","  1"," 13"," 27","  8","  9","  0","  3","  3","  0","  4","  0","  0","  1","  0"," 21"," 28"," 12","  0","  0","  1","  0","  0"
"689",NA,NA,"249","  0","  2"," 13","  7","  0"," 55","  0","  0","  0","  0","  0","  7"," 33"," 13"," 13","  4","  0","  3","  5","  0","  0","  0","  0","  2","  0"," 13"," 16"," 19","  0","  0","  0","  0","  2"
"736",NA,NA,"259","  0","  0"," 18"," 32","  0"," 79","  0","  0","  0","  3","  0","  8"," 55"," 24"," 38"," 13","  0","  3","  3","  0","  4","  0","  0","  0","  0"," 20"," 19"," 10","  0","  0","  2","  0","  0"
"788",NA,NA,"269","  0"," 17"," 48"," 12","  0"," 61","  0","  0","  0","  0","  0"," 12"," 42"," 38"," 18"," 19","  0","  0"," 11","  0","  0","  0","  7","  0","  0","  6"," 25"," 14","  0","  0","  4","  0","  0"
"845",NA,NA,"279","  0"," 53","137","  0","  0"," 12","  0","  3","  0","  0","  4","  5","  6"," 15"," 28"," 12","  0","  0"," 11","  0","  1","  0","  0","  0","  0"," 17"," 51"," 61","  0","  7","  4","  0","  0"
"907",NA,NA,"289","  0"," 54"," 65","  4","  0","  5","  0","  8"," 19"," 15","  0","  4","  0","  9"," 18","  9","  0","  1","  1","  0","  6","  0","  0","  0","  0"," 22"," 60"," 74","  0"," 28","  8","  0","  0"
"975",NA,NA,"299","  0"," 37"," 62","  1","  0"," 14","  0","  4"," 58","  2","  0","  0","  1"," 12","  8"," 56","  0","  2","  0","  0","  0","  0","  0","  1"," 11","  0"," 39"," 56","  0","  0","  2","  0","  0"
"1049",NA,NA," 309","   0","  20"," 110","   0","   0","  15","   0","   0","   0","  18","   0","   0","   3","   1","  55","  89","   0","   0","  11","   0","   0","   0","  14","   0","  12","  10"," 220"," 286","   0"," 200","   0","   0","   0"
"1129",NA,NA," 319","   2","   9","  31","   0","   1","  10","   0","   0","   0","   4","   0","   3","   0","   5","  24","  17","   0","   0","   6","   0","   2","   5","   0","   0","  20","   4","  90"," 131","   0","  59","   0","   0","   0"
"1216",NA,NA," 329","   0","   7","  48","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  12","   4","  57","   0","   0","   0","   0","   0","   0","   0","   0","  19","   8","  45","  73","   0","  28","   0","   0","   0"
"1311",NA,NA," 339","   0","   9","  36","   0","   1","   1","   0","   0","   0","   2","   2","   0","   1","   0","   0","  89","   0","   0","   2","   0","   0","   2","   0","   0","  12","   2","  83"," 114","   0","   6","   0","   0","   0"
"1412",NA,NA," 349","   2","  11","  16","   0","   0","   4","   0","   0","   0","   3","   1","   0","   0","   4","   0","  68","   0","   0","   2","   0","   0","  21","   0","   0","  26","   0","  53","  76","   0","  17","   0","   0","   0"
"1522",NA,NA," 359","   2","   3","  11","   5","   0","   3","   0","   0","   0","   3","   0","   0","  10","   8","   0","  23","   0","   0","   1","   0","   0","   4","   0","   0","  24","   0","  74","  96","   0","  13","   0","   0","   0"
"1640",NA,NA," 369","   4","  10","  43","   4","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   1","  86","   0","   0","   0","   0","   0","   6","   0","   0","  26","   5"," 136"," 221","   0","  32","   0","   0","   0"
"1766",NA,NA," 379","   0","   8","  44","   6","   0","   5","   0","   2","   0","   3","   4","   1","   0","   0","   4"," 256","   0","   0","   2","   0","   2","  11","   0","   0","  57","  15"," 251"," 208","   0","  46","   0","   0","   0"
"1901",NA,NA," 389","  15","   0"," 115","   0","   3","  15","   0","   4","   0","   0","   0","   1","   6","   0","   0"," 143","   0","   0","   2","   0","   0","   0","   1","   0","  22","   7"," 209"," 164","   0"," 122","   0","   0","   0"
"2046",NA,NA," 399","   2","   4","  60","   0","   0","   7","   0","   1","   0","   4","   2","   0","   0","   0","   0"," 177","   0","   1","   3","   0","   0","  11","   0","   0","   8","   4"," 294"," 232","   0"," 114","   0","   0","   0"
"2200",NA,NA," 409","   2","   4","  77","  15","   0","   3","   0","   3","   0","   0","   3","   0","   2","   2","   0","  68","   0","   0","   0","   0","   2","  15","   0","   0","   0","   2"," 259"," 210","   0","  40","   0","   0","   0"
"2364",NA,NA," 419","   1","   2","  68","   0","   1","   0","   0","   3","   0","   3","   1","   0","   0","   4","  17","  84","   0","   0","   1","   0","   0","  35","   0","   0","  74","   1"," 153"," 122","   0","   8","   3","   0","   0"
"2539",NA,NA," 429","   4","   0","  25","   0","   0","   0","   0","   0","   0","   2","   0","   0","   5","   2","   0","  36","   0","   0","   1","   0","   0","   0","   0","   0","  24","   2","  44","  43","   0","   2","   1","   0","   0"
"2724",NA,NA," 439","   0","   4","  53","   0","   0","   3","   0","   0","   0","   0","   2","   0","   2","   2","   0","  80","   0","   0","   0","   0","   0","   0","   0","   0","  15","   3","  30","  41","   0","   6","   0","   0","   0"
"2920",NA,NA," 449","   0","   2"," 138","   0","   1","   8","   0","   2","   0","   0","   4","   0","  12","   1","  16"," 141","   2","   0","   1","   6","   3","  13","   0","   0","  69","   0"," 117","  71","   0","   0","   0","   0","   0"
"3128",NA,NA," 459","   0","   3","  77","   0","   4","   7","   0","   0","   0","   1","   2","   0","  14","   3","  26","  83","   0","   0","   2","   4","   0","   7","   0","   0","  27","   0","  74","  59","   0","   1","   0","   0","   0"
"3348",NA,NA," 469","   0","   4","  88","   4","   4","   3","   0","   0","   0","   3","   2","   0","   6","   4","  15","  70","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  81","  51","   0","   0","   0","   0","   0"
"3579",NA,NA," 479","   0","   5"," 106","   3","  12","   9","   0","   0","   0","   2","   3","   0","  14","   0","  42"," 172","   0","  25","   3","   0","   2","   0","   0","   0","   0","   0"," 168"," 133","   0","   2","   0","   0","   0"
"3824",NA,NA," 489","   3","   0","  47","   0","  13","  24","   0","   0","   0","   3","   5","   0","  24","  14","  61"," 112","   0","  48","   0","   0","   0","   0","   0","   0","   0","   7"," 179"," 138","   0","   0","   0","   0","   0"
"4081",NA,NA," 499","   0","   2","  48","   3","   7","  20","   0","   0","   0","   2","   6","   0","  10","   7","  12","  38","   0","   9","   0","   2","   0","   0","   0","   0","   0","   9","  84","  64","   0","   0","   0","   0","   0"
"4351",NA,NA," 509","   4","   1","  98","   6","   0","  20","   0","   4","   0","   2","   7","   0","   6","   5","  38","  88","   0","   8","   2","   0","   0","   0","   0","   0","  31","   0"," 164","  82","   0","   0","   0","   0","   0"
"4635",NA,NA," 519","   0","   0","  59","   3","   3","   4","   0","   1","   0","   0","   2","   0","   6","   3","   8","  79","   0","   2","   2","   0","   0","   0","   0","   0","  12","   0","  69","  42","   0","   0","   0","   0","   0"
"4933",NA,NA," 529","   0","   2","  97","   5","   2","   5","   0","   1","   0","   0","   3","   0","   8","   3","  17","  80","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  64","  40","   0","   0","   0","   0","   0"
"5245",NA,NA," 539","   0","   0","  53","   0","   2","   8","   0","   0","   0","   4","   2","   0","  10","   4","  14","  61","   0","   0","  10","   0","   0","   0","   0","   0","   0","   1","  98","  59","   0","   0","   1","   0","   0"
"5539",NA,NA," 549","   0","   0","  50","   0","   3","  11","   0","   0","   0","   0","   3","   0","   8","   7","   0","  20","   0","   3","   5","   0","   0","   0","   0","   0","   0","   7","  97","  53","   0","   0","   0","   0","   0"
"5741",NA,NA," 554","   0","   0","  58","   0","   0","  14","   0","   0","   0","   0","   7","   0","   5","   7","   0","  25","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0"," 109","  52","   0","   0","   0","   0","   0"
